,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,TT,2016,15350,Manual,42259,Petrol,47.1,1.8,audi,30310067
1,Q2,2020,16750,Manual,47117,Diesel,49.6,1.6,audi,30265084
2,Q3,2017,15150,Manual,54725,Petrol,51.4,1.4,audi,30450331
3,A1,2022,22200,Manual,8624,Petrol,49.6,1,audi,30450361
4,A3,2021,24495,Manual,21003,Petrol,45.6,0.1,audi,30313525
5,A3,2020,24495,Automatic,29001,Diesel,57.7,2.0,audi,30139938
6,Q3,2012,12495,Automatic,61548,Diesel,47.9,2.0,audi,30388302
7,A3,2012,6595,Manual,71685,Petrol,41.5,1.8,audi,30182566
8,Q3,2018,22450,Automatic,10000,Petrol,47.9,1.4,audi,30435544
9,A1,2018,14200,Manual,15000,Petrol,57.7,1.4,audi,30388330
10,Q3,2016,16495,Automatic,46000,Diesel,55.4,2.0,audi,30238879
11,A5,2017,25395,Automatic,55000,Petrol,37.7,3.0,audi,30199740
12,Q7,2014,18995,Automatic,80000,Diesel,38.2,3.0,audi,30329271
13,A3,2019,22795,Manual,10581,Petrol,40.9,1.5,audi,30409691
14,A1,2021,21595,Semi-Auto,32055,Petrol,44.8,1.5,audi,30423971
15,A3,2019,18425,Semi-Auto,45188,Petrol,43.5,1.5,audi,30121298
16,Q5,2018,22795,Semi-Auto,80138,Petrol,40.4,2,audi,30314785
17,A1,2016,15499,Manual,4432,Petrol,58.9,1.4,audi,30132351
18,Q2,2020,25049,Automatic,8574,Petrol,46.3,1.5,audi,30312174
19,A5,2020,25799,Manual,9831,Petrol,37.7,2.0,audi,30272351
20,A1,2017,13349,Manual,10060,Petrol,67.3,1.0,audi,30360600
21,A4,2020,25549,Manual,11598,Petrol,39.2,2.0,audi,30373367
22,A4,2020,27499,Semi-Auto,12280,Petrol,39.2,2.0,audi,30373351
23,Q2,2017,20049,Manual,12396,Petrol,50.4,1.4,audi,30354455
24,A1,2020,21849,Semi-Auto,12457,Petrol,44.8,1.5,audi,30417317
25,A5,2017,18799,Manual,13327,Diesel,65.7,2.0,audi,29916043
26,Q2,2019,18349,Manual,13493,Diesel,49.6,1.6,audi,30188219
27,A1,2020,21049,Semi-Auto,13978,Petrol,44.8,1.5,audi,30079667
28,Q2,2019,18449,Manual,14075,Diesel,49.6,1.6,audi,30251057
29,Q2,2021,22899,Manual,14201,Petrol,47.9,1.5,audi,30308054
30,A4,2020,27449,Semi-Auto,14706,Diesel,50.4,2.0,audi,30161794
31,A4,2020,23149,Semi-Auto,15013,Petrol,42.2,2.0,audi,30360650
32,Q3,2020,29049,Semi-Auto,15307,Diesel,47.1,2.0,audi,30384445
33,A4,2020,25549,Manual,15332,Petrol,39.2,2.0,audi,30389343
34,A5,2019,26449,Semi-Auto,15481,Diesel,47.1,2.0,audi,30201042
35,TT,2018,23049,Manual,16120,Petrol,46.3,2.0,audi,30354478
36,Q2,2019,20299,Manual,16130,Diesel,47.9,1.6,audi,30348726
37,A3,2016,18299,Semi-Auto,16332,Petrol,57.6,1.4,audi,30103614
38,A1,2019,17749,Semi-Auto,16417,Petrol,48.7,1.0,audi,30367103
39,Q2,2020,22599,Semi-Auto,16420,Petrol,43.5,1.5,audi,30312162
40,Q2,2020,22599,Semi-Auto,16420,Petrol,43.5,1.5,audi,30312162
41,A3,2021,21049,Manual,16433,Petrol,48.7,1.5,audi,30438227
42,A5,2017,18549,Semi-Auto,16916,Diesel,70.6,2.0,audi,30155551
43,Q2,2019,25049,Semi-Auto,16997,Diesel,46.3,2.0,audi,30389357
44,Q2,2019,18049,Manual,17188,Diesel,49.6,1.6,audi,30281213
