,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,i3,2020,17945,Automatic,17519,Other,None,0,bmw,29188700
1,3 Series,2018,18995,Automatic,30965,Petrol,48.7,2.0,bmw,29671976
2,2 Series,2018,13990,Manual,52598,Petrol,52.3,1.5,bmw,30175530
3,5 Series,2020,24990,Automatic,26627,Diesel,49.6,2.0,bmw,30288673
4,4 Series,2018,18990,Automatic,35860,Diesel,60.1,2.0,bmw,30238015
5,3 Series,2019,21990,Automatic,50697,Petrol,8.8,2.0,bmw,29851678
6,2 Series,2016,15495,Automatic,23000,Petrol,55.4,1.5,bmw,30194710
7,5 Series,2019,29995,Automatic,33000,Diesel,60.1,3.0,bmw,29154925
8,2 Series,2016,13995,Manual,38000,Diesel,44.1,1.5,bmw,26966930
9,4 Series,2018,21495,Automatic,38000,Diesel,65.7,2.0,bmw,29857746
10,4 Series,2018,21495,Automatic,38000,Diesel,65.7,2.0,bmw,29857746
11,X3,2019,27990,Automatic,38978,Petrol,30.4,2.0,bmw,30306034
12,1 Series,2015,10495,Manual,44000,Diesel,68.9,2.0,bmw,30470828
13,X3,2017,19995,Automatic,53000,Diesel,54.3,2.0,bmw,30405780
14,3 Series,2017,19750,Automatic,61000,Diesel,56.5,3.0,bmw,29857747
15,5 Series,2017,14990,Automatic,83335,Diesel,62.8,2.0,bmw,30231758
16,X5,2023,73995,Automatic,101,Petrol,23.2,4.4,bmw,30248327
17,iX,2022,60995,Automatic,1380,Other,None,1.0,bmw,30321805
18,X4,2022,67995,Automatic,1819,Petrol,26.2,3.0,bmw,30377434
19,X5,2023,92995,Automatic,2155,Petrol,21.6,4.4,bmw,30244346
20,i4,2022,58995,Automatic,3485,Other,None,1.0,bmw,30341992
21,iX,2023,85995,Automatic,4333,Other,None,1.0,bmw,30231768
22,5 Series,2023,47995,Automatic,4578,Petrol,156.9,2.0,bmw,30345593
23,3 Series,2023,45995,Automatic,4765,Petrol,166.2,2.0,bmw,30306130
24,3 Series,2023,45995,Automatic,4863,Petrol,166.2,2.0,bmw,30382032
25,5 Series,2022,38995,Automatic,5504,Petrol,40.4,2.0,bmw,30382025
26,i4,2022,51995,Automatic,5545,Other,None,1.0,bmw,30341988
27,3 Series,2023,40995,Automatic,5558,Petrol,40.9,2.0,bmw,30188706
28,4 Series,2022,59995,Automatic,5807,Petrol,28,3.0,bmw,30397325
29,3 Series,2022,44995,Automatic,6438,Petrol,34.5,3.0,bmw,30244344
30,X5,2022,67995,Automatic,6857,Petrol,23.2,4.4,bmw,30203144
31,X5,2022,63995,Automatic,6914,Diesel,37.7,3.0,bmw,29432234
32,X3,2022,69995,Automatic,7010,Petrol,25.7,3.0,bmw,30405678
33,2 Series,2022,32995,Automatic,7451,Petrol,45.6,1.5,bmw,30188708
34,2 Series,2023,32995,Automatic,8052,Diesel,53.3,2.0,bmw,30397318
35,3 Series,2022,33995,Automatic,8321,Petrol,39.2,2.0,bmw,30306124
36,5 Series,2022,41995,Automatic,8412,Petrol,156.9,2.0,bmw,30112538
37,3 Series,2023,46995,Automatic,8811,Diesel,46.3,3.0,bmw,30382031
38,4 Series,2022,35995,Automatic,8966,Diesel,57.7,2.0,bmw,30405676
39,4 Series,2023,45995,Automatic,9083,Diesel,50.4,3.0,bmw,30116827
40,1 Series,2022,35995,Automatic,9244,Petrol,34.5,2.0,bmw,30382013
41,4 Series,2022,37995,Automatic,9509,Petrol,39.2,2.0,bmw,30405687
42,3 Series,2022,34995,Automatic,9535,Petrol,39.2,2.0,bmw,30306125
43,iX,2022,57995,Automatic,9792,Other,None,1.0,bmw,30382028
44,X5,2023,67995,Automatic,9850,Diesel,34.9,3.0,bmw,30428311
45,X5,2022,63995,Automatic,10623,Diesel,34.9,3.0,bmw,30397319
46,2 Series,2021,27995,Automatic,11128,Petrol,45.6,1.5,bmw,30382041
47,2 Series,2022,31995,Automatic,11387,Petrol,45.6,1.5,bmw,30414680
48,3 Series,2022,41995,Automatic,11408,Diesel,43.5,3.0,bmw,30341981
49,2 Series,2022,28995,Automatic,11608,Petrol,45.6,1.5,bmw,30405689
50,X1,2023,41995,Automatic,11697,Diesel,55.4,2.0,bmw,30428312
51,4 Series,2022,37995,Automatic,12344,Petrol,39.2,2.0,bmw,30038998
52,2 Series,2021,27995,Automatic,12500,Petrol,45.6,1.5,bmw,30397338
53,4 Series,2021,34995,Automatic,12514,Diesel,57.7,2.0,bmw,30341993
54,5 Series,2021,38995,Automatic,13108,Diesel,49.6,2.0,bmw,30405699
55,X5,2022,63995,Automatic,13363,Diesel,37.7,3.0,bmw,30405697
56,4 Series,2021,34995,Automatic,13384,Diesel,57.7,2.0,bmw,30382039
57,5 Series,2022,38995,Automatic,13538,Diesel,51.4,2.0,bmw,30341983
58,4 Series,2021,37500,Automatic,17115,Petrol,39.2,2.0,bmw,30306127
59,M2,2020,40995,Automatic,17599,Petrol,29.1,3.0,bmw,29844585
60,X3,2021,42995,Automatic,18045,Diesel,44.1,2.0,bmw,30382027
61,4 Series,2019,24995,Automatic,18983,Diesel,58.9,2.0,bmw,30433909
62,X2,2020,25495,Automatic,19150,Petrol,36.2,2.0,bmw,30436324
63,8 Series,2020,42995,Automatic,19211,Petrol,31.7,3.0,bmw,29248807
64,X5,2019,48995,Automatic,21187,Diesel,37.7,3.0,bmw,30433904
65,4 Series,2021,34995,Automatic,21279,Petrol,42.2,2.0,bmw,30188710
66,X5,2022,61995,Automatic,21309,Diesel,37.7,3.0,bmw,30382026
67,X5,2021,54995,Automatic,22418,Petrol,188.3,3.0,bmw,30433903
68,X1,2018,24995,Automatic,22432,Petrol,44.8,2.0,bmw,30382015
69,3 Series,2019,28995,Automatic,23435,Diesel,52.3,2.0,bmw,30442757
70,3 Series,2021,27995,Automatic,23671,Petrol,188.3,2.0,bmw,30038987
71,3 Series,2020,28995,Automatic,23827,Diesel,None,2.0,bmw,30377432
72,2 Series,2021,25995,Manual,25285,Petrol,45.6,1.5,bmw,30414679
73,X4,2022,39995,Automatic,27141,Diesel,46.3,2.0,bmw,30397336
74,5 Series,2022,39995,Automatic,27759,Diesel,46.3,3.0,bmw,30397335
75,X3,2019,33995,Automatic,28902,Diesel,54.3,2.0,bmw,30298725
76,4 Series,2022,32995,Automatic,28903,Diesel,54.3,2.0,bmw,30397332
77,5 Series,2022,34995,Automatic,29142,Diesel,51.4,2.0,bmw,30405694
78,X5,2020,49995,Automatic,29436,Diesel,37.7,3.0,bmw,30298735
79,X5,2019,46995,Automatic,30225,Diesel,37.7,3.0,bmw,30405682
80,7 Series,2018,46995,Automatic,32624,Petrol,22.1,6.6,bmw,30382040
81,Z4,2016,18995,Automatic,33132,Petrol,41.5,2.0,bmw,30341977
