,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,4 Series,2016,14986,Manual,55400,Petrol,42.8,2,bmw,30452217
1,X5,2019,45986,Semi-Auto,33085,Diesel,37.7,3,bmw,30452218
2,X3,2013,10495,Automatic,103227,Diesel,50.4,2.0,bmw,30298737
3,1 Series,2016,8490,Manual,82000,Petrol,56.5,1.5,bmw,29254949
4,1 Series,2019,20995,Semi-Auto,17053,Petrol,47.9,2,bmw,30389710
5,1 Series,2015,10995,Manual,63117,Diesel,83.1,1.5,bmw,30352061
6,7 Series,2019,35849,Semi-Auto,24050,Petrol,33.6,3,bmw,30410417
7,1 Series,2019,19995,Semi-Auto,29500,Petrol,47.9,2,bmw,30448393
8,4 Series,2018,22685,Semi-Auto,15500,Petrol,43.5,2,bmw,30374612
9,X3,2020,34889,Semi-Auto,36000,Diesel,54.3,2,bmw,30417744
10,3 Series,2020,33901,Semi-Auto,15195,Diesel,49.6,2,bmw,30463003
11,2 Series,2019,20299,Semi-Auto,8177,Diesel,None,2.0,bmw,30267208
12,3 Series,2018,21899,Semi-Auto,9952,Diesel,64.2,2.0,bmw,30251067
13,1 Series,2020,23299,Manual,10964,Petrol,41.5,1.5,bmw,30161978
14,1 Series,2021,21049,Manual,10996,Diesel,58.9,1.5,bmw,30155455
15,X1,2022,31549,Semi-Auto,11684,Hybrid,148.7,1.5,bmw,30298495
16,2 Series,2018,19549,Semi-Auto,12609,Diesel,51.4,2.0,bmw,30392913
17,1 Series,2021,25549,Semi-Auto,12963,Petrol,None,1.5,bmw,30208474
18,1 Series,2019,16749,Semi-Auto,14739,Diesel,None,1.5,bmw,30208411
19,2 Series,2019,15699,Manual,15684,Petrol,42.8,1.5,bmw,30079798
20,X2,2019,21549,Manual,15691,Diesel,55.4,2.0,bmw,30417398
21,X2,2018,23699,Semi-Auto,15868,Petrol,39.2,2.0,bmw,30317285
22,5 Series,2020,27049,Semi-Auto,16837,Diesel,49.6,2.0,bmw,30046169
23,3 Series,2019,25849,Semi-Auto,16872,Petrol,42.2,2.0,bmw,30384460
24,X2,2019,21799,Semi-Auto,17602,Petrol,37.2,2.0,bmw,30063579
25,2 Series,2020,29549,Semi-Auto,17800,Petrol,36.2,2.0,bmw,30421728
26,1 Series,2019,19349,Semi-Auto,18877,Petrol,36.7,1.5,bmw,30103560
27,2 Series,2018,17199,Manual,18938,Petrol,52.3,1.5,bmw,30178594
28,1 Series,2018,14349,Manual,18999,Diesel,53.3,1.5,bmw,30354489
29,1 Series,2021,26049,Semi-Auto,19299,Petrol,44.1,1.5,bmw,30354616
30,1 Series,2020,21799,Manual,22862,Petrol,41.5,1.5,bmw,30260985
31,X1,2018,22449,Semi-Auto,23119,Petrol,37.7,2.0,bmw,30284856
32,3 Series,2020,24549,Semi-Auto,23564,Diesel,53.3,2.0,bmw,29695046
33,3 Series,2019,27049,Semi-Auto,23650,Diesel,52.3,2.0,bmw,30424971
34,1 Series,2019,20999,Manual,23824,Petrol,None,1.5,bmw,30208511
35,1 Series,2020,19049,Manual,24232,Diesel,57.7,1.5,bmw,30042456
36,1 Series,2019,17849,Manual,24559,Petrol,44.8,1.5,bmw,30046145
37,X1,2019,23049,Semi-Auto,24789,Petrol,39.2,2.0,bmw,30196688
38,X2,2019,20549,Semi-Auto,25395,Petrol,43.5,1.5,bmw,30417205
39,2 Series,2019,18299,Manual,26100,Petrol,52.3,1.5,bmw,30308113
40,1 Series,2020,21799,Manual,22862,Petrol,41.5,1.5,bmw,30260985
41,X1,2018,22449,Semi-Auto,23119,Petrol,37.7,2.0,bmw,30284856
42,2 Series,2018,20849,Semi-Auto,23386,Petrol,46.3,2.0,bmw,30447808
