,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,3 Series,2012,9000,Manual,80062,Diesel,61.4,2.0,bmw,30131133
1,3 Series,2016,12000,Automatic,80512,Petrol,51.4,1.5,bmw,29965609
2,3 Series,2014,9000,Automatic,88314,Diesel,62.8,2.0,bmw,30303596
3,3 Series,2012,9000,Automatic,89791,Diesel,62.8,2.0,bmw,29762301
4,3 Series,2016,10000,Manual,90131,Diesel,72.4,2.0,bmw,28992426
5,M3,2011,22000,Automatic,97630,Petrol,25.2,4.0,bmw,29572790
6,3 Series,2014,8500,Automatic,100482,Diesel,62.8,2.0,bmw,30257873
7,5 Series,2014,8000,Manual,103146,Diesel,65.7,2.0,bmw,30306112
8,2 Series,2014,17000,Automatic,25595,Petrol,47.1,2.0,bmw,30442789
9,1 Series,2017,22000,Automatic,54559,Petrol,39.8,3.0,bmw,30447461
10,1 Series,2016,10000,Manual,60358,Petrol,53.3,1.5,bmw,30453225
11,1 Series,2017,12000,Manual,73109,Petrol,52.3,1.5,bmw,28917082
12,X1,2012,6000,Manual,76711,Diesel,51.4,2.0,bmw,30447459
13,3 Series,2013,9000,Automatic,82108,Diesel,62.8,2.0,bmw,30442798
14,2 Series,2019,20299,Semi-Auto,8177,Diesel,None,2.0,bmw,30267208
15,3 Series,2018,21899,Semi-Auto,9952,Diesel,64.2,2.0,bmw,30251067
16,1 Series,2020,23299,Manual,10964,Petrol,41.5,1.5,bmw,30161978
17,1 Series,2021,21049,Manual,10996,Diesel,58.9,1.5,bmw,30155455
18,X1,2022,31549,Semi-Auto,11684,Hybrid,148.7,1.5,bmw,30298495
19,2 Series,2018,19549,Semi-Auto,12609,Diesel,51.4,2.0,bmw,30392913
20,1 Series,2019,16749,Semi-Auto,14739,Diesel,None,1.5,bmw,30208411
21,X2,2019,21549,Manual,15691,Diesel,55.4,2.0,bmw,30417398
22,X2,2018,23699,Semi-Auto,15868,Petrol,39.2,2.0,bmw,30317285
23,5 Series,2020,27049,Semi-Auto,16837,Diesel,49.6,2.0,bmw,30046169
24,2 Series,2020,29549,Semi-Auto,17800,Petrol,36.2,2.0,bmw,30421728
25,2 Series,2018,17199,Manual,18938,Petrol,52.3,1.5,bmw,30178594
26,1 Series,2018,14349,Manual,18999,Diesel,53.3,1.5,bmw,30354489
27,1 Series,2021,26049,Semi-Auto,19299,Petrol,44.1,1.5,bmw,30354616
28,2 Series,2020,23749,Semi-Auto,19529,Petrol,47.9,2.0,bmw,30429282
29,1 Series,2019,23049,Semi-Auto,22153,Petrol,40.4,1.5,bmw,30260974
30,2 Series,2018,17199,Manual,18938,Petrol,52.3,1.5,bmw,30178594
31,1 Series,2018,14349,Manual,18999,Diesel,53.3,1.5,bmw,30354489
32,1 Series,2021,26049,Semi-Auto,19299,Petrol,44.1,1.5,bmw,30354616
33,2 Series,2020,23749,Semi-Auto,19529,Petrol,47.9,2.0,bmw,30429282
34,X2,2019,18599,Manual,19706,Diesel,55.4,2.0,bmw,30113650
35,3 Series,2021,29049,Semi-Auto,21132,Diesel,56.5,2.0,bmw,30320432
36,2 Series,2020,24949,Semi-Auto,21145,Petrol,42.2,1.5,bmw,30447888
37,1 Series,2019,23049,Semi-Auto,22153,Petrol,40.4,1.5,bmw,30260974
38,X1,2019,22749,Semi-Auto,22193,Petrol,39.2,2.0,bmw,30075201
