,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,3 Series,2016,26990,Semi-Auto,31979,Petrol,40.4,3,bmw,30389945
1,X3,2020,33990,Semi-Auto,34637,Hybrid,44.1,2,bmw,30395945
2,X3,2019,28990,Semi-Auto,56297,Diesel,54.3,2,bmw,30417984
3,1 Series,2017,12750,Manual,48787,Petrol,53.3,1.5,bmw,30212771
4,1 Series,2019,14150,Manual,68924,Petrol,52.3,1.5,bmw,30025147
5,2 Series,2018,15251,Manual,31000,Petrol,40.9,1.5,bmw,30387421
6,3 Series,2007,5990,Manual,84000,Diesel,57.6,2.0,bmw,30414876
7,1 Series,2009,3990,Manual,94000,Diesel,64.2,2.0,bmw,30398422
8,3 Series,2010,5890,Automatic,104000,Diesel,53.3,2.0,bmw,30398425
9,X6,2023,74990,Automatic,1900,Petrol,23,4.4,bmw,30242111
10,i3,2020,19854,White,Electric,Automatic,16200,,bmw,29965971
11,2 Series,2018,18490,Automatic,33025,Petrol,50.4,1.5,bmw,30140154
12,2 Series,2019,20299,Semi-Auto,8177,Diesel,None,2.0,bmw,30267208
13,3 Series,2018,21899,Semi-Auto,9952,Diesel,64.2,2.0,bmw,30251067
14,1 Series,2020,23299,Manual,10964,Petrol,41.5,1.5,bmw,30161978
15,X1,2022,31549,Semi-Auto,11684,Hybrid,148.7,1.5,bmw,30298495
16,2 Series,2018,19549,Semi-Auto,12609,Diesel,51.4,2.0,bmw,30392913
17,1 Series,2021,25549,Semi-Auto,12963,Petrol,None,1.5,bmw,30208474
18,1 Series,2019,16749,Semi-Auto,14739,Diesel,None,1.5,bmw,30208411
19,X2,2019,21549,Manual,15691,Diesel,55.4,2.0,bmw,30417398
20,X2,2018,23699,Semi-Auto,15868,Petrol,39.2,2.0,bmw,30317285
21,5 Series,2020,27049,Semi-Auto,16837,Diesel,49.6,2.0,bmw,30046169
22,2 Series,2020,29549,Semi-Auto,17800,Petrol,36.2,2.0,bmw,30421728
23,2 Series,2018,17199,Manual,18938,Petrol,52.3,1.5,bmw,30178594
24,1 Series,2018,14349,Manual,18999,Diesel,53.3,1.5,bmw,30354489
25,1 Series,2021,26049,Semi-Auto,19299,Petrol,44.1,1.5,bmw,30354616
26,2 Series,2020,23749,Semi-Auto,19529,Petrol,47.9,2.0,bmw,30429282
27,1 Series,2019,23049,Semi-Auto,22153,Petrol,40.4,1.5,bmw,30260974
28,i3,2020,18049,White,Electric,Automatic,22258,,bmw,30354549
29,5 Series,2019,27199,Semi-Auto,22565,Petrol,47.9,2.0,bmw,30373300
30,1 Series,2021,26049,Semi-Auto,19299,Petrol,44.1,1.5,bmw,30354616
31,2 Series,2020,23749,Semi-Auto,19529,Petrol,47.9,2.0,bmw,30429282
32,X2,2019,18599,Manual,19706,Diesel,55.4,2.0,bmw,30113650
33,3 Series,2021,29049,Semi-Auto,21132,Diesel,56.5,2.0,bmw,30320432
34,2 Series,2020,24949,Semi-Auto,21145,Petrol,42.2,1.5,bmw,30447888
35,1 Series,2019,23049,Semi-Auto,22153,Petrol,40.4,1.5,bmw,30260974
36,X1,2019,22749,Semi-Auto,22193,Petrol,39.2,2.0,bmw,30075201
37,i3,2020,18049,White,Electric,Automatic,22258,,bmw,30354549
38,5 Series,2019,27199,Semi-Auto,22565,Petrol,47.9,2.0,bmw,30373300
39,1 Series,2020,20799,Semi-Auto,22642,Diesel,53.3,2.0,bmw,30046053
40,2 Series,2019,18299,Manual,26100,Petrol,52.3,1.5,bmw,30308113
41,2 Series,2019,18299,Manual,26207,Petrol,52.3,1.5,bmw,30233501
42,3 Series,2019,27849,Semi-Auto,26292,Diesel,48.7,2.0,bmw,30438249
43,2 Series,2020,19599,Manual,26543,Petrol,45.6,1.5,bmw,30042395
44,X3,2019,31049,Semi-Auto,27327,Diesel,54.3,2.0,bmw,30417109
45,2 Series,2019,18999,Semi-Auto,27516,Diesel,67.3,2.0,bmw,30132421
46,5 Series,2019,25549,Semi-Auto,27867,Diesel,56.5,3.0,bmw,30438212
47,6 Series,2019,27549,Semi-Auto,29695,Diesel,44.1,2.0,bmw,30417357
48,X1,2019,23299,Semi-Auto,30266,Petrol,39.2,2.0,bmw,30251040
49,1 Series,2019,16549,Semi-Auto,30754,Diesel,78.5,1.5,bmw,30401230
50,X1,2019,23049,Semi-Auto,24789,Petrol,39.2,2.0,bmw,30196688
51,X2,2019,20549,Semi-Auto,25395,Petrol,43.5,1.5,bmw,30417205
52,2 Series,2017,14049,Manual,26018,Diesel,68.9,2.0,bmw,30447767
53,2 Series,2019,18299,Manual,26100,Petrol,52.3,1.5,bmw,30308113
54,2 Series,2019,18299,Manual,26207,Petrol,52.3,1.5,bmw,30233501
55,3 Series,2019,27849,Semi-Auto,26292,Diesel,48.7,2.0,bmw,30438249
56,2 Series,2020,19599,Manual,26543,Petrol,45.6,1.5,bmw,30042395
57,1 Series,2020,21549,Manual,26544,Petrol,41.5,1.5,bmw,30103745
58,2 Series,2017,14549,Manual,26886,Diesel,65.7,2.0,bmw,30112195
59,X3,2019,31049,Semi-Auto,27327,Diesel,54.3,2.0,bmw,30417109
60,2 Series,2019,18999,Semi-Auto,27516,Diesel,67.3,2.0,bmw,30132421
61,2 Series,2019,21049,Semi-Auto,27570,Petrol,38.7,1.5,bmw,30448077
62,5 Series,2019,25549,Semi-Auto,27867,Diesel,56.5,3.0,bmw,30438212
63,6 Series,2019,27549,Semi-Auto,29695,Diesel,44.1,2.0,bmw,30417357
64,X1,2019,23299,Semi-Auto,30266,Petrol,39.2,2.0,bmw,30251040
65,1 Series,2019,16549,Semi-Auto,30754,Diesel,78.5,1.5,bmw,30401230
