,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,i3,2015,12795,Silver,Electric,Automatic,29054,,bmw,29335953
1,i3,2020,18049,White,Electric,Automatic,22258,,bmw,30354549
2,i3,2019,19049,Blue,Electric,Automatic,29302,,bmw,30466706
3,i3,2019,22995,Grey,Electric,Automatic,13000,,bmw,30260050
4,i3,2015,14495,Silver,Electric,Automatic,19000,,bmw,30260055
5,i3,2015,10995,Silver,Electric,Automatic,42000,,bmw,30339424
6,i3,2015,8995,Silver,Electric,Automatic,84000,,bmw,29805302
7,iX,2022,62000,Blue,Electric,Automatic,5487,,bmw,29668166
8,i3,2020,18440,Blue,Electric,Automatic,8609,,bmw,30069146
9,X3,2021,43450,White,Electric,Automatic,14203,,bmw,30408012
10,X3,2021,42950,Black,Electric,Automatic,11216,,bmw,30275089
11,i3,2015,11995,Grey,Electric,Automatic,24467,,bmw,29649312
12,i3,2019,22995,Grey,Electric,Automatic,13000,,bmw,30260050
13,i3,2020,17750,White,Electric,Automatic,17441,,bmw,30032336
14,i3,2020,18440,Grey,Electric,Automatic,23379,,bmw,29986994
15,iX,2021,52950,Grey,Electric,Automatic,25859,,bmw,30108976
16,iX,2023,92950,Black,Electric,Automatic,4225,,bmw,30363743
17,i4,2023,54950,Black,Electric,Automatic,4346,,bmw,30363744
18,i4,2023,51950,White,Electric,Automatic,8076,,bmw,30469637
19,i3,2020,18950,Grey,Electric,Automatic,36916,,bmw,30469640
20,i3,2015,11995,Grey,Electric,Automatic,24467,,bmw,29649312
21,i3,2015,12795,Silver,Electric,Automatic,29054,,bmw,29335953
22,i3,2022,24950,Black,Electric,Automatic,4526,,bmw,30287603
23,i3,2015,14495,Silver,Electric,Automatic,19000,,bmw,30260055
24,iX,2022,68750,Black,Electric,Automatic,30938,,bmw,30319179
25,i4,2023,53450,Green,Electric,Automatic,8125,,bmw,30414152
26,i3,2015,10989,Arravani,Electric,Automatic,25929,,bmw,29472253
27,i4,2022,50000,Black,Electric,Automatic,4316,,bmw,29882361
28,Other,2023,113000,Black,Electric,Automatic,6922,,bmw,30224220
29,X3,2021,47950,White,Electric,Automatic,9913,,bmw,30034110
30,iX,2022,79950,Grey,Electric,Automatic,11607,,bmw,30445530
31,X3,2022,47950,Grey,Electric,Automatic,17117,,bmw,30441913
32,i3,2014,8990,White,Electric,Automatic,52250,,bmw,30375723
33,i4,2021,55690,White,Electric,Automatic,6449,,bmw,29481585
34,iX,2021,69390,Blue,Electric,Automatic,14714,,bmw,30214451
35,i3,2019,22995,Grey,Electric,Automatic,13000,,bmw,30260050
36,i3,2015,10989,Arravani,Electric,Automatic,25929,,bmw,29472253
37,i3,2017,13950,Grey,Electric,Automatic,55248,,bmw,30419403
38,i4,2022,49995,Grey,Electric,Automatic,8250,,bmw,30457867
39,X3,2023,50899,White,Electric,Automatic,4431,,bmw,30415673
40,X3,2022,49299,Black,Electric,Automatic,8001,,bmw,30448251
41,i3,2020,19854,White,Electric,Automatic,16200,,bmw,29965971
42,i3,2016,10495,Ionic,Electric,Automatic,47719,,bmw,30427723
43,iX,2022,56490,Grey,Electric,Automatic,9495,,bmw,30293243
44,i3,2019,15828,Blue,Electric,Automatic,22140,,bmw,30459224
45,X3,2022,51490,Black,Electric,Automatic,11046,,bmw,30150066
