,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,3 Series,2017,12689,Automatic,79032,Petrol,148.7,2.0,bmw,30426704
1,X1,2022,31549,Semi-Auto,11684,Hybrid,148.7,1.5,bmw,30298495
2,3 Series,2019,25499,Semi-Auto,31795,Hybrid,None,2.0,bmw,30190721
3,2 Series,2019,19849,Automatic,38377,Hybrid,113,1.5,bmw,30401215
4,3 Series,2018,16049,Semi-Auto,50552,Hybrid,148.7,2.0,bmw,30424968
5,5 Series,2022,35990,Semi-Auto,7999,Hybrid,40.4,2,bmw,30158378
6,X3,2022,51790,Semi-Auto,8006,Hybrid,30.7,3,bmw,30310219
7,2 Series,2018,20995,Automatic,23041,Hybrid,113,1.5,bmw,30458512
8,2 Series,2022,34990,Automatic,4490,Hybrid,None,1.5,bmw,30441795
9,3 Series,2021,37000,Semi-Auto,23420,Hybrid,176.6,2,bmw,30287460
10,i3,2018,18890,Red,Petrol,Automatic,None,,bmw,29298044
11,3 Series,2020,30000,Automatic,17603,Diesel,50.4,2.0,bmw,30286437
12,2 Series,2016,14495,Automatic,45556,Petrol,141.2,1.5,bmw,30333429
13,2 Series,2019,18200,Automatic,41324,Hybrid,113,1.5,bmw,30230348
14,X2,2020,26895,Semi-Auto,39969,Hybrid,156.9,1.5,bmw,30357944
15,5 Series,2023,52945,Semi-Auto,1,Hybrid,156.9,2,bmw,30315313
16,5 Series,2023,50995,Semi-Auto,15,Hybrid,156.9,2,bmw,30340767
17,3 Series,2023,51994,Semi-Auto,80,Hybrid,156.9,2,bmw,30340765
18,2 Series,2023,44995,Semi-Auto,3759,Hybrid,None,1.5,bmw,30340768
19,3 Series,2021,38780,Semi-Auto,15679,Hybrid,43.5,3,bmw,30169288
20,3 Series,2022,43750,Semi-Auto,1866,Hybrid,35.8,3,bmw,29626410
21,X5,2023,75850,Semi-Auto,5887,Hybrid,188.3,3,bmw,30190908
22,X3,2023,59850,Semi-Auto,8000,Hybrid,30.7,3,bmw,30317977
23,X5,2022,65750,Automatic,7066,Petrol,188.3,3.0,bmw,30319173
24,X1,2020,32699,Automatic,11796,Petrol/PlugIn,148.7,1.5,bmw,30402510
25,2 Series,2023,35450,Semi-Auto,11050,Hybrid,None,1.5,bmw,30408528
26,3 Series,2020,29950,Semi-Auto,11624,Hybrid,188.3,2,bmw,30317978
27,5 Series,2021,34440,Semi-Auto,12407,Hybrid,40.4,2,bmw,30053818
28,3 Series,2021,36950,Semi-Auto,16482,Hybrid,56.5,2,bmw,30295714
29,X3,2021,39750,Semi-Auto,18459,Hybrid,44.1,2,bmw,30174092
30,3 Series,2022,31940,Semi-Auto,29659,Hybrid,56.5,2,bmw,30374116
31,X1,2023,49950,Semi-Auto,4075,Hybrid,None,1.5,bmw,30288216
32,5 Series,2023,50950,Semi-Auto,4287,Hybrid,141.3,2,bmw,30290638
33,4 Series,2023,51440,Semi-Auto,4805,Hybrid,34,3,bmw,30315086
34,X1,2021,33950,Semi-Auto,9185,Hybrid,148.7,1.5,bmw,30215723
35,5 Series,2018,16880,Automatic,105000,Petrol,156.9,2.0,bmw,30363367
36,X5,2023,67000,Automatic,4912,Diesel,34.9,3.0,bmw,30087360
37,2 Series,2023,35450,Semi-Auto,9838,Hybrid,None,1.5,bmw,30438798
38,X5,2022,66950,Semi-Auto,12198,Hybrid,188.3,3,bmw,29987006
39,X6,2022,61450,Semi-Auto,12499,Hybrid,36.2,3,bmw,30362350
40,X3,2020,39950,Semi-Auto,13665,Hybrid,None,2,bmw,30179205
41,5 Series,2020,30450,Semi-Auto,15453,Hybrid,47.9,2,bmw,30429872
42,5 Series,2022,44850,Semi-Auto,15915,Hybrid,166.2,2,bmw,30355488
43,3 Series,2021,31940,Semi-Auto,15920,Hybrid,56.5,2,bmw,29987000
44,5 Series,2021,34440,Semi-Auto,16279,Hybrid,40.4,2,bmw,30243677
45,3 Series,2022,39850,Semi-Auto,16791,Hybrid,43.5,3,bmw,29469967
46,X3,2021,39750,Semi-Auto,17338,Hybrid,44.1,2,bmw,30133114
47,3 Series,2019,17880,Automatic,101000,Petrol,8.8,2.0,bmw,29429814
48,i3,2018,18890,Red,Petrol,Automatic,None,,bmw,29298044
49,5 Series,2021,34950,Semi-Auto,17415,Hybrid,51.4,2,bmw,30292481
50,3 Series,2021,29750,Semi-Auto,19349,Hybrid,None,2,bmw,30368133
51,3 Series,2021,31940,Semi-Auto,20408,Hybrid,56.5,2,bmw,29469973
52,4 Series,2021,37950,Semi-Auto,23052,Hybrid,50.4,3,bmw,29469986
53,2 Series,2019,21950,Automatic,24134,Hybrid,113,1.5,bmw,30364333
54,7 Series,2021,58950,Semi-Auto,26123,Hybrid,104.6,3,bmw,30355487
55,3 Series,2021,38450,Semi-Auto,29472,Hybrid,43.5,3,bmw,29622511
56,5 Series,2017,23440,Semi-Auto,40213,Hybrid,156.9,2,bmw,30387436
57,5 Series,2020,30450,Semi-Auto,41419,Hybrid,47.9,2,bmw,30293402
58,2 Series,2022,29990,Semi-Auto,6124,Hybrid,45.6,1.5,bmw,30463837
59,X3,2020,30880,Automatic,83000,Petrol,None,2.0,bmw,30386314
