,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Golf,2016,19990,Semi-Auto,47101,Petrol,None,2,volkswagen,28467931
1,Tiguan,2020,29495,Automatic,21000,Petrol,38.7,1.5,volkswagen,30071610
2,Arteon,2017,19990,Automatic,48939,Petrol,38.7,2.0,volkswagen,30306043
3,T-Roc,2019,14990,Manual,73275,Petrol,42.2,1.5,volkswagen,30335426
4,Polo,2016,9490,Manual,40380,Petrol,60.1,1.0,volkswagen,30198980
5,Golf,2019,15995,Manual,53000,Diesel,55.4,1.6,volkswagen,27299371
6,Passat,2013,7495,Manual,88000,Diesel,61.4,2.0,volkswagen,30370855
7,T-Roc,2019,11995,Manual,114000,Diesel,51.4,1.6,volkswagen,30116852
8,Touareg,2023,61990,Automatic,9,Diesel,33.6,3.0,volkswagen,30101716
9,ID4,2023,38990,Automatic,10,Other,None,0,volkswagen,30116796
10,ID4,2023,46750,Automatic,10,Other,None,0,volkswagen,30381892
11,Golf,2017,16995,Automatic,14200,Petrol,55.4,1.39,volkswagen,30318956
12,Touareg,2017,22250,Automatic,62825,Diesel,42.8,3.0,volkswagen,30449494
13,Touareg,2023,66750,Automatic,10,Diesel,33.6,3.0,volkswagen,30116789
14,ID4,2023,46990,Automatic,18,Other,None,0,volkswagen,30381889
15,Up,2020,13350,Manual,3783,Petrol,50.4,1.0,volkswagen,30397266
16,Tiguan Allspace,2023,39890,Automatic,5197,Diesel,47.9,2.0,volkswagen,30447380
17,Golf,2022,22990,Manual,5659,Petrol,51.4,1.5,volkswagen,30198993
18,ID4,2022,36990,Automatic,9345,Other,None,0,volkswagen,30271558
19,Golf,2023,26450,Manual,9429,Petrol,51.4,1.5,volkswagen,30321314
20,Golf,2021,21900,Manual,9469,Petrol,51.4,1.5,volkswagen,30397260
21,Golf,2022,31450,Automatic,9620,Petrol,38.2,2.0,volkswagen,29964127
22,Golf,2020,20990,Manual,9858,Petrol,49.6,1.5,volkswagen,30397264
23,Touareg,2015,19750,Automatic,61559,Diesel,42.8,3.0,volkswagen,30426860
24,Golf,2012,7995,Manual,57000,Diesel,62.8,2.0,volkswagen,30310359
25,Polo,2022,19950,Manual,12082,Petrol,54.3,1.0,volkswagen,30316342
26,Polo,2021,23400,Automatic,12780,Petrol,41.5,2.0,volkswagen,30428205
27,Tiguan,2019,23990,Automatic,12938,Petrol,37.7,1.5,volkswagen,29908059
28,Golf,2021,19990,Manual,13521,Petrol,52.3,1.5,volkswagen,30414528
29,Golf,2021,30990,Automatic,14097,Petrol,38.2,2.0,volkswagen,30265791
30,T-Cross,2020,19950,Manual,15013,Petrol,47.9,1.0,volkswagen,30278419
31,Polo,2021,18250,Manual,15512,Petrol,54.3,1.0,volkswagen,30455293
32,T-Cross,2020,17990,Manual,15747,Petrol,47.9,1.0,volkswagen,30231787
33,ID3,2021,25250,Automatic,16023,Other,None,0,volkswagen,30445971
34,T-Roc,2020,31950,Automatic,16210,Petrol,32.5,2.0,volkswagen,30265789
35,Up,2013,8495,Manual,8000,Petrol,60.1,1,volkswagen,30475824
36,Polo,2021,15280,Grey,Other,Manual,None,,volkswagen,30349907
37,Golf,2021,31000,Automatic,18118,Petrol,38.2,2.0,volkswagen,30159881
38,T-Cross,2019,16990,Manual,18654,Petrol,47.9,1.0,volkswagen,30411028
39,Passat,2021,27990,Automatic,18808,Petrol,43.5,1.4,volkswagen,30271556
40,T-Roc,2020,21490,Manual,18962,Petrol,44.8,1.5,volkswagen,30414527
41,Tiguan,2020,22950,Manual,19229,Petrol,38.2,1.5,volkswagen,30455292
42,Golf,2019,17450,Manual,19495,Diesel,57.7,1.6,volkswagen,30434054
43,Tiguan,2020,22450,Manual,19608,Petrol,38.2,1.5,volkswagen,30411023
44,Polo,2020,16950,Manual,20547,Petrol,51.4,1.0,volkswagen,30434060
45,Polo,2020,19450,Automatic,20712,Petrol,46.3,1.0,volkswagen,30279952
46,Tiguan,2020,28850,Automatic,20951,Petrol,36.7,1.5,volkswagen,30434062
47,Up,2017,6079,Manual,81000,Petrol,64.2,1,volkswagen,27435593
48,Arteon,2023,33750,Automatic,4359,Petrol,38.2,2.0,volkswagen,30169998
49,Tiguan,2020,25990,Automatic,21228,Diesel,37.2,1.5,volkswagen,30405468
50,Polo,2021,16990,Manual,21657,Petrol,52.3,1.0,volkswagen,30411031
51,Golf,2019,15950,Manual,22268,Diesel,57.7,1.6,volkswagen,30434059
52,Polo,2019,14250,Manual,23193,Petrol,52.3,1.0,volkswagen,30377183
53,Polo,2021,16490,Manual,23372,Petrol,50.4,1.0,volkswagen,30347573
54,Golf,2019,20750,Automatic,23868,Diesel,52.3,2.0,volkswagen,30434053
55,Up,2019,14490,Manual,24181,Petrol,None,0,volkswagen,30358881
56,Tiguan,2020,21750,Manual,28283,Petrol,38.2,1.5,volkswagen,30381893
57,T-Roc,2019,18490,Manual,28681,Diesel,50.4,1.6,volkswagen,30265786
58,T-Cross,2019,17950,Manual,30026,Petrol,47.9,1.0,volkswagen,30445975
59,Polo,2019,12890,Manual,34499,Petrol,48.7,1,volkswagen,30423168
60,Polo,1996,3450,Manual,85000,Petrol,None,1.6,volkswagen,30258206
61,Tiguan,2020,21490,Manual,30227,Petrol,38.2,1.5,volkswagen,30397265
62,Tiguan,2019,20950,Manual,30754,Petrol,38.2,1.5,volkswagen,30298630
63,Polo,2019,19750,Automatic,31712,Petrol,39.8,2.0,volkswagen,30279954
64,Golf,2018,26450,Automatic,33204,Petrol,39.8,2.0,volkswagen,30377190
65,Polo,2020,14950,Manual,35948,Petrol,50.4,1.0,volkswagen,30381898
66,Polo,2019,12990,Manual,37020,Petrol,48.7,1.0,volkswagen,30358878
67,Tiguan,2019,25950,Manual,39463,Diesel,47.9,2.0,volkswagen,30442564
68,T-Roc,2019,20990,Manual,41131,Diesel,50.4,1.6,volkswagen,30341741
