,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,T-Roc,2020,30500,Automatic,21106,Petrol,32.5,2.0,volkswagen,30274416
1,Polo,2023,21500,Manual,5000,Petrol,54.3,1,volkswagen,29864408
2,Polo,2023,21800,Manual,5000,Petrol,54.3,1,volkswagen,29864410
3,Golf,2022,22500,Manual,5000,Petrol,50.4,1.5,volkswagen,29152655
4,Golf,2023,23400,Manual,5000,Petrol,51.4,1.5,volkswagen,29721107
5,Taigo,2023,23600,Manual,5000,Petrol,51.4,1,volkswagen,29721106
6,Golf,2023,23700,Manual,5000,Petrol,52.3,1.5,volkswagen,30151901
7,T-Cross,2023,24200,Manual,5000,Petrol,48.7,1,volkswagen,29860773
8,T-Cross,2023,24200,Manual,5000,Petrol,48.7,1,volkswagen,29986214
9,Golf,2023,24200,Manual,5000,Petrol,51.4,1.5,volkswagen,30123962
10,Golf,2023,24500,Manual,5000,Petrol,51.4,1.5,volkswagen,29860775
11,Scirocco,2012,11695,Manual,48000,Petrol,37.2,2.0,volkswagen,30165560
12,Polo,2018,13299,Manual,27419,Petrol,64.2,1.0,volkswagen,30457194
13,Golf,2023,25100,Manual,5000,Petrol,49.6,1.5,volkswagen,29864411
14,Taigo,2023,25300,Manual,5000,Petrol,51.4,1,volkswagen,30005871
15,T-Roc,2022,30400,Manual,5000,Petrol,47.1,1.5,volkswagen,29115196
16,Tiguan,2023,37200,Semi-Auto,5000,Diesel,49.6,2,volkswagen,30005866
17,Golf,2023,29900,Semi-Auto,5733,Hybrid,49.6,1.5,volkswagen,30360803
18,T-Cross,2021,21900,Manual,5980,Petrol,48.7,1,volkswagen,30325392
19,Golf,2022,22400,Manual,6834,Petrol,50.4,1.5,volkswagen,29090734
20,Golf,2023,28200,Manual,7000,Diesel,61.4,2,volkswagen,30295153
21,T-Roc,2023,23900,Manual,7411,Petrol,47.1,1,volkswagen,30304490
22,Taigo,2023,27200,Automatic,7467,Petrol,46.3,1.5,volkswagen,30304489
23,Polo,2004,1990,Manual,105000,Petrol,47.1,1.2,volkswagen,30033872
24,Polo,2011,6495,Manual,29000,Petrol,51.4,1.2,volkswagen,30260045
25,Taigo,2023,27200,Automatic,7467,Petrol,46.3,1.5,volkswagen,30304489
26,Touareg,2022,54800,Semi-Auto,8329,Petrol,25.2,3,volkswagen,29845667
27,Taigo,2023,27200,Automatic,8448,Petrol,46.3,1.5,volkswagen,30304488
28,Golf,2022,25780,Manual,8477,Diesel,60.1,2,volkswagen,30275364
29,Golf,2022,28600,Semi-Auto,8847,Hybrid,49.6,1.5,volkswagen,30360806
30,Golf,2022,20400,Manual,10000,Petrol,52.3,1.5,volkswagen,28363618
31,Passat,2022,26450,Semi-Auto,10000,Petrol,44.1,1.5,volkswagen,30158761
32,T-Cross,2022,23600,Manual,11047,Petrol,47.9,1,volkswagen,28977276
33,Polo,2020,16400,Manual,11789,Petrol,50.4,1,volkswagen,30393103
34,Passat,2022,29700,Semi-Auto,11833,Petrol,42.8,1.5,volkswagen,30102380
35,Golf,2016,21495,Manual,29800,Petrol,47.1,2,volkswagen,30390714
36,Polo,2016,9880,Automatic,56000,Petrol,60.1,1.2,volkswagen,30409101
37,Golf,2022,23400,Semi-Auto,12600,Hybrid,50.4,1.5,volkswagen,30123961
38,Polo,2020,16300,Manual,12750,Petrol,50.4,1,volkswagen,30312341
39,Golf,2020,20200,Semi-Auto,13985,Petrol,45.6,1.5,volkswagen,30211952
40,Golf,2019,24900,Manual,15000,Petrol,37.2,2,volkswagen,30413491
41,T-Cross,2022,21900,Automatic,15444,Petrol,45.6,1,volkswagen,30211956
42,T-Cross,2019,18700,Manual,15896,Petrol,47.9,1,volkswagen,28422752
43,T-Cross,2022,21900,Automatic,16206,Petrol,45.6,1,volkswagen,30211955
44,Tiguan,2022,35300,Semi-Auto,16717,Diesel,44.1,2,volkswagen,29090735
45,Polo,2021,15900,Manual,17534,Petrol,51.4,1,volkswagen,27112815
46,T-Roc,2021,27400,Semi-Auto,17930,Petrol,41.5,1.5,volkswagen,30168131
47,Polo,2015,11995,Manual,18009,Petrol,60.1,1,volkswagen,30129646
48,ID3,2021,23995,White,Electric,Automatic,14000,,volkswagen,29847675
49,T-Roc,2020,21300,Manual,20377,Petrol,44.8,1.5,volkswagen,30364154
