,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Polo,2017,10279,Manual,45000,Petrol,60.1,1.0,volkswagen,30244124
1,Taigo,2022,21489,Manual,3701,Petrol,51.4,1,volkswagen,30192736
2,Polo,2022,18989,Manual,3742,Petrol,54.3,1,volkswagen,30186276
3,Polo,2023,22489,Manual,5000,Petrol,54.3,1,volkswagen,29860766
4,Taigo,2023,22989,Manual,5000,Petrol,52.3,1,volkswagen,30151880
5,Golf,2023,23989,Manual,5000,Petrol,52.3,1,volkswagen,30403513
6,Golf,2023,24989,Manual,5000,Petrol,51.4,1.5,volkswagen,29703026
7,Golf,2023,25489,Manual,5000,Petrol,51.4,1.5,volkswagen,29994413
8,Golf,2023,25989,Semi-Auto,5000,Hybrid,50.4,1.5,volkswagen,29860764
9,Taigo,2023,25989,Manual,5000,Petrol,51.4,1,volkswagen,29860765
10,Polo,2022,26489,Semi-Auto,5000,Petrol,50.4,1,volkswagen,30004772
11,Polo,2020,14695,Manual,42700,Petrol,49.6,1,volkswagen,30369451
12,Tiguan,2017,18995,Manual,35727,Diesel,58.9,2,volkswagen,30269180
13,Polo,2022,26489,Semi-Auto,5000,Petrol,50.4,1,volkswagen,30004772
14,Polo,2022,26489,Semi-Auto,5000,Petrol,50.4,1,volkswagen,30004776
15,Golf,2023,29989,Semi-Auto,5000,Hybrid,49.6,1.5,volkswagen,29860767
16,Golf,2023,29989,Semi-Auto,5000,Hybrid,49.6,1.5,volkswagen,30403512
17,Passat,2023,37989,Semi-Auto,5000,Diesel,56.5,2,volkswagen,30286912
18,Golf,2023,37989,Semi-Auto,5000,Petrol,38.2,2,volkswagen,29860768
19,Tiguan,2023,39989,Semi-Auto,5000,Diesel,49.6,2,volkswagen,30286910
20,ID3,2023,41655,Grey,Electric,Automatic,5000,,volkswagen,30286909
21,Arteon,2023,49989,Semi-Auto,5000,Petrol,31,2,volkswagen,30151883
22,Golf,2023,50989,Semi-Auto,5000,Petrol,36.2,2,volkswagen,29786737
23,T-Roc,2018,17995,Manual,27300,Petrol,44.1,1,volkswagen,30091607
24,Golf,2019,18989,Automatic,19003,Petrol,47.1,1.5,volkswagen,30383732
25,T-Roc,2021,25989,Manual,5492,Petrol,44.8,1,volkswagen,30017530
26,T-Roc,2022,29989,Manual,6087,Petrol,47.1,1.5,volkswagen,30017528
27,Up,2019,12489,Manual,6923,Petrol,52.3,1,volkswagen,30126335
