,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Up,2017,6079,Manual,81000,Petrol,64.2,1,volkswagen,27435593
1,T-Cross,2021,22049,Manual,9955,Petrol,43.5,1.0,volkswagen,30417329
2,Polo,2018,14549,Manual,10435,Petrol,64.2,1.0,volkswagen,30392938
3,Up,2019,10199,Manual,10465,Petrol,54.3,1.0,volkswagen,30312249
4,Golf,2019,18399,Manual,10810,Petrol,47.1,1.5,volkswagen,30447840
5,Polo,2020,15999,Manual,10885,Petrol,52.3,1.0,volkswagen,30079714
6,T-Cross,2021,20949,Manual,11180,Petrol,48.7,1.0,volkswagen,30312222
7,Polo,2021,16849,Manual,11596,Petrol,47.9,1.0,volkswagen,30424989
8,Polo,2016,14299,Manual,12211,Petrol,61.4,1.4,volkswagen,30208294
9,Tiguan,2019,21049,Manual,12691,Petrol,40.9,1.5,volkswagen,30325176
10,Polo,2020,15549,Manual,12788,Petrol,52.3,1.0,volkswagen,30281423
11,Polo,2012,8500,Manual,34500,Petrol,51.4,1.2,volkswagen,30445465
12,Polo,2017,10279,Manual,45000,Petrol,60.1,1.0,volkswagen,30244124
13,T-Roc,2020,18499,Manual,10969,Petrol,44.8,1.0,volkswagen,30389361
14,Up,2017,11199,Manual,11169,Petrol,60.1,1.0,volkswagen,30308317
15,T-Cross,2021,20949,Manual,11180,Petrol,48.7,1.0,volkswagen,30312222
16,Polo,2017,12249,Manual,11430,Petrol,60.1,1.0,volkswagen,30384614
17,Polo,2021,16849,Manual,11596,Petrol,47.9,1.0,volkswagen,30424989
18,Polo,2016,14299,Manual,12211,Petrol,61.4,1.4,volkswagen,30208294
19,Polo,2017,12699,Manual,12343,Petrol,58.9,1.0,volkswagen,30438200
20,T-Cross,2020,18199,Manual,12532,Petrol,47.9,1.0,volkswagen,30456347
21,Tiguan,2019,21049,Manual,12691,Petrol,40.9,1.5,volkswagen,30325176
22,Polo,2020,15549,Manual,12788,Petrol,52.3,1.0,volkswagen,30281423
23,Up,2013,3995,Manual,96000,Petrol,None,1.0,volkswagen,30290970
24,Polo,2013,7240,Manual,38000,Petrol,51.4,1.2,volkswagen,30350523
25,Golf,2020,20499,Manual,12841,Petrol,49.6,1.5,volkswagen,30354453
26,Polo,2020,15049,Manual,13065,Petrol,51.4,1.0,volkswagen,30103585
27,T-Cross,2021,20899,Automatic,13078,Petrol,44.1,1.0,volkswagen,30299789
28,Polo,2018,14549,Manual,13178,Petrol,64.2,1.0,volkswagen,30466745
29,Polo,2021,17349,Manual,13178,Petrol,53.3,1.0,volkswagen,30267283
30,Up,2018,10049,Manual,13268,Petrol,64.2,1.0,volkswagen,30373372
31,Up,2018,9299,Manual,13290,Petrol,68.9,1.0,volkswagen,30003827
32,Polo,2016,12049,Manual,13544,Petrol,58.9,1.0,volkswagen,30272321
33,Polo,2015,13099,Manual,13661,Petrol,60.1,1.2,volkswagen,30325307
34,T-Cross,2021,21049,Automatic,13728,Petrol,44.1,1.0,volkswagen,30429246
35,Golf,2009,7695,Automatic,58000,Diesel,None,2.0,volkswagen,30038666
36,Golf,2012,8980,Automatic,34015,Diesel,52.3,2,volkswagen,30254208
37,Polo,2021,16949,Manual,13852,Petrol,51.4,1.0,volkswagen,30407476
38,Polo,2020,15699,Manual,13855,Petrol,51.4,1.0,volkswagen,30337803
39,Polo,2018,16399,Manual,13885,Petrol,60.1,1.0,volkswagen,30272244
40,Up,2019,10449,Manual,13888,Petrol,54.3,1.0,volkswagen,30438216
41,T-Roc,2018,19699,Manual,14067,Petrol,44.1,1.0,volkswagen,30348618
42,T-Roc,2021,24549,Manual,14693,Diesel,58.9,2.0,volkswagen,30307968
43,Polo,2021,21549,Semi-Auto,14907,Petrol,41.5,2.0,volkswagen,30233529
