,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Polo,2011,6227,Manual,69000,Petrol,47.9,1.39,volkswagen,30402804
1,Polo,2022,17349,Manual,9572,Petrol,52.3,1.0,volkswagen,30421769
2,T-Roc,2021,28049,Semi-Auto,9602,Petrol,40.4,1.5,volkswagen,30132511
3,T-Cross,2021,22049,Manual,9955,Petrol,43.5,1.0,volkswagen,30417329
4,Polo,2018,14549,Manual,10435,Petrol,64.2,1.0,volkswagen,30392938
5,Up,2019,10199,Manual,10465,Petrol,54.3,1.0,volkswagen,30312249
6,Golf,2019,18399,Manual,10810,Petrol,47.1,1.5,volkswagen,30447840
7,Polo,2020,15999,Manual,10885,Petrol,52.3,1.0,volkswagen,30079714
8,T-Roc,2020,18499,Manual,10969,Petrol,44.8,1.0,volkswagen,30389361
9,Up,2017,11199,Manual,11169,Petrol,60.1,1.0,volkswagen,30308317
10,T-Cross,2021,20949,Manual,11180,Petrol,48.7,1.0,volkswagen,30312222
11,Tiguan,2012,9990,Semi-Auto,65500,Diesel,47.7,2,volkswagen,30010554
12,Golf,1998,4995,Manual,120000,Petrol,None,1.8,volkswagen,29608368
13,Polo,2021,17349,Manual,13178,Petrol,53.3,1.0,volkswagen,30267283
14,Up,2018,10049,Manual,13268,Petrol,64.2,1.0,volkswagen,30373372
15,Up,2018,9299,Manual,13290,Petrol,68.9,1.0,volkswagen,30003827
16,Polo,2015,13099,Manual,13661,Petrol,60.1,1.2,volkswagen,30325307
17,T-Cross,2021,21049,Automatic,13728,Petrol,44.1,1.0,volkswagen,30429246
18,Polo,2021,16949,Manual,13852,Petrol,51.4,1.0,volkswagen,30407476
19,Polo,2020,15699,Manual,13855,Petrol,51.4,1.0,volkswagen,30337803
20,T-Roc,2018,19699,Manual,14067,Petrol,44.1,1.0,volkswagen,30348618
21,Tiguan,2020,22899,Manual,15458,Petrol,38.2,1.5,volkswagen,30392909
22,Up,2019,11299,Manual,15547,Petrol,55.4,1.0,volkswagen,30384330
23,Golf,2017,15795,Automatic,32000,Petrol,55.4,1.4,volkswagen,30341437
24,Polo,2018,11789,Manual,53322,Petrol,52.3,1.0,volkswagen,30279857
25,T-Roc,2020,21499,Manual,15553,Petrol,44.8,1.5,volkswagen,30281336
26,Polo,2020,14999,Manual,16147,Petrol,50.4,1.0,volkswagen,30075320
27,Polo,2018,13349,Manual,16473,Petrol,64.2,1.0,volkswagen,30103819
28,Polo,2021,16049,Manual,16509,Petrol,50.4,1.0,volkswagen,30281311
29,T-Cross,2019,18599,Manual,16859,Petrol,47.9,1.0,volkswagen,30075207
30,Polo,2020,14449,Manual,16864,Petrol,51.4,1.0,volkswagen,30025518
