,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,ID3,2020,23000,White,Electric,Automatic,25000,,volkswagen,30033736
1,ID3,2023,49999,Black,Electric,Automatic,3000,,volkswagen,30314937
2,ID4,2021,36999,Yellow,Electric,Automatic,15828,,volkswagen,29464992
3,ID5,2022,39499,White,Electric,Automatic,5000,,volkswagen,29682227
4,Golf,2019,14995,Blue,Electric,Automatic,16583,,volkswagen,30240358
5,Golf,2019,15290,Blue,Electric,Automatic,25500,,volkswagen,30452790
6,ID4,2021,30990,White,Electric,Automatic,20177,,volkswagen,30459518
7,ID4,2022,38995,Black,Electric,Automatic,8225,,volkswagen,30101354
8,ID3,2023,38950,Blue,Electric,Automatic,3327,,volkswagen,30011024
9,ID3,2023,41750,Black,Electric,Automatic,323,,volkswagen,30407937
10,ID5,2022,38670,Blue,Electric,Automatic,912,,volkswagen,29755935
11,ID3,2021,25995,Turquoise,Electric,Automatic,6582,,volkswagen,29642030
12,ID3,2021,23995,White,Electric,Automatic,14000,,volkswagen,29847675
13,ID3,2020,24780,Blue,Electric,Automatic,9744,,volkswagen,30312887
14,ID3,2020,24780,Grey,Electric,Automatic,11388,,volkswagen,30312886
15,ID3,2020,23980,Grey,Electric,Automatic,17699,,volkswagen,30251900
16,ID3,2020,22480,Grey,Electric,Automatic,17952,,volkswagen,30351244
17,ID3,2020,24480,Grey,Electric,Automatic,27184,,volkswagen,30253415
18,ID5,2022,39999,Blue,Electric,Automatic,8000,,volkswagen,29465430
19,ID3,2020,23180,Other,Electric,Automatic,28200,,volkswagen,28896392
20,Golf,2019,15290,Black,Electric,Automatic,20267,,volkswagen,30395890
21,ID5,2022,35000,Grey,Electric,Automatic,6500,,volkswagen,29223895
22,ID3,2021,21769,Blue,Electric,Automatic,32255,,volkswagen,30247841
23,ID3,2021,25995,Turquoise,Electric,Automatic,6582,,volkswagen,29642030
24,ID3,2020,23000,White,Electric,Automatic,25000,,volkswagen,30033736
25,ID3,2021,23990,White,Electric,Automatic,11114,,volkswagen,28848845
26,ID3,2020,22990,White,Electric,Automatic,21721,,volkswagen,28848844
27,ID3,2023,41950,White,Electric,Automatic,2009,,volkswagen,30312878
28,Golf,2020,19000,BLUE,Electric,Automatic,13525,,volkswagen,28481793
29,ID5,2022,36290,Grey,Electric,Automatic,10456,,volkswagen,29774083
30,Golf,2020,14990,Grey,Electric,Automatic,39220,,volkswagen,30427896
31,ID5,2022,34495,Blue,Electric,Automatic,10448,,volkswagen,29675943
32,ID3,2023,42999,Grey,Electric,Automatic,50,,volkswagen,30319565
33,ID5,2022,34999,Black,Electric,Automatic,18422,,volkswagen,30271256
34,Golf,2019,16202,White,Electric,Automatic,5662,,volkswagen,30215659
35,ID5,2022,35000,Grey,Electric,Automatic,6500,,volkswagen,29223895
36,ID3,2021,25995,Turquoise,Electric,Automatic,6582,,volkswagen,29642030
37,ID3,2020,24350,Blue,Electric,Automatic,11330,,volkswagen,30444177
38,ID3,2020,22590,Silver,Electric,Automatic,17990,,volkswagen,28895867
39,Golf,2019,15990,Grey,Electric,Automatic,15289,,volkswagen,30409655
40,ID3,2020,23991,Grey,Electric,Automatic,15805,,volkswagen,28856869
41,ID3,2020,24991,Silver,Electric,Automatic,17266,,volkswagen,28856868
42,ID3,2020,34102,White,Electric,Automatic,12042,,volkswagen,28947579
43,ID3,2020,31545,Grey,Electric,Automatic,15771,,volkswagen,28895607
44,ID5,2022,38990,Blue,Electric,Automatic,3411,,volkswagen,29892458
45,ID3,2023,36490,White,Electric,Automatic,1027,,volkswagen,30401291
46,ID4,2023,39000,Black,Electric,Automatic,4875,,volkswagen,30148758
47,ID3,2021,23995,White,Electric,Automatic,14000,,volkswagen,29847675
48,ID3,2020,23000,White,Electric,Automatic,25000,,volkswagen,30033736
49,ID3,2020,26850,Grey,Electric,Automatic,13958,,volkswagen,28954516
50,ID3,2020,28500,Grey,Electric,Automatic,6210,,volkswagen,28896114
51,Up,2017,13490,Black,Electric,Automatic,7960,,volkswagen,29362671
52,ID3,2020,27490,Grey,Electric,Automatic,8092,,volkswagen,28954515
53,ID3,2020,23850,Grey,Electric,Automatic,28259,,volkswagen,29881086
54,Golf,2019,16995,White,Electric,Automatic,9096,,volkswagen,30423848
55,ID5,2022,40400,Red,Electric,Automatic,5497,,volkswagen,30158760
56,ID3,2023,41655,Grey,Electric,Automatic,5000,,volkswagen,30286909
57,ID4,2021,30489,White,Electric,Automatic,27898,,volkswagen,30264902
58,ID3,2020,24788,Grey,Electric,Automatic,15400,,volkswagen,30472320
59,ID3,2021,23995,White,Electric,Automatic,14000,,volkswagen,29847675
60,ID3,2021,25995,Turquoise,Electric,Automatic,6582,,volkswagen,29642030
61,ID3,2020,21495,Glacier,Electric,Automatic,30317,,volkswagen,28996907
62,Golf,2019,14495,Black,Electric,Automatic,53513,,volkswagen,30105654
63,ID3,2020,20250,Grey,Electric,Automatic,25520,,volkswagen,30307381
64,ID3,2020,20500,Silver,Electric,Automatic,12492,,volkswagen,30164026
65,ID3,2020,20500,Turquoise,Electric,Automatic,14470,,volkswagen,29734929
66,ID3,2020,19500,White,Electric,Automatic,17406,,volkswagen,29786076
67,ID3,2020,20500,White,Electric,Automatic,19143,,volkswagen,29676914
68,ID3,2020,19700,Grey,Electric,Automatic,19832,,volkswagen,30170234
69,ID3,2020,23000,White,Electric,Automatic,25000,,volkswagen,30033736
