,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A5,2019,27549,Semi-Auto,15481,Diesel,47.1,2.0,audi,30201042
1,A1,2017,13349,Manual,17889,Petrol,None,1.0,audi,30208671
2,A3,2019,18049,Manual,18058,Petrol,44.8,1.5,audi,30025538
3,A1,2020,18549,Manual,18145,Petrol,48.7,1.0,audi,30250884
4,Q3,2019,31049,Semi-Auto,18488,Petrol,31.4,2.0,audi,30225428
5,Q3,2016,20549,Manual,19532,Diesel,51.4,2.0,audi,30255943
6,A1,2017,17049,Semi-Auto,19701,Petrol,70.6,1.4,audi,29888231
7,Q2,2019,19049,Manual,19811,Diesel,49.6,1.6,audi,30255934
8,A1,2018,18299,Semi-Auto,20898,Petrol,55.4,1.4,audi,29974700
9,A1,2019,18999,Manual,20958,Petrol,50.4,1.0,audi,30050238
10,A3,2019,20599,Manual,20994,Petrol,46.3,1.0,audi,30050201
11,A1,2020,19699,Semi-Auto,21121,Petrol,44.8,1.0,audi,30240191
12,A1,2016,12999,Manual,21588,Petrol,None,1.4,audi,30208636
13,A1,2018,16049,Manual,21656,Diesel,76.4,1.6,audi,30251172
14,A3,2019,20299,Semi-Auto,21895,Petrol,44.8,1.0,audi,30042273
15,A1,2019,20999,Semi-Auto,21996,Petrol,40.9,2.0,audi,30025590
16,A1,2017,15749,Manual,22381,Petrol,56.5,1.4,audi,30008816
17,A1,2020,18549,Manual,22390,Petrol,48.7,1.0,audi,30233516
18,Q2,2019,18849,Manual,22793,Diesel,49.6,1.6,audi,30233503
19,A4,2018,18199,Manual,23287,Petrol,52.3,1.4,audi,30103628
20,A3,2019,21549,Semi-Auto,23715,Petrol,41.5,1.5,audi,29888533
21,A3,2020,25049,Semi-Auto,24052,Petrol,46.3,1.5,audi,30201105
22,Q3,2016,20049,Semi-Auto,25324,Petrol,40.4,2.0,audi,29854749
23,A1,2017,16549,Manual,25836,Petrol,70.6,1.4,audi,30015291
24,A5,2018,19199,Semi-Auto,25973,Petrol,53.3,1.4,audi,30107860
25,A1,2018,14849,Manual,26123,Petrol,55.4,1.4,audi,30188273
26,Q2,2019,18499,Manual,26163,Petrol,47.1,1.0,audi,30003734
27,A4,2019,20699,Manual,27008,Petrol,39.2,2.0,audi,30025501
28,A1,2018,15899,Manual,27099,Petrol,None,1.4,audi,30208532
29,A4,2019,18899,Manual,27114,Petrol,40.4,2.0,audi,30132541
30,Q3,2019,25049,Semi-Auto,27506,Petrol,38.2,1.5,audi,29893721
31,Q2,2019,21549,Semi-Auto,27570,Diesel,46.3,1.6,audi,30251016
32,A3,2018,20799,Semi-Auto,27639,Petrol,56.5,1.5,audi,29993408
33,A5,2017,21049,Semi-Auto,27912,Diesel,65.7,2.0,audi,30025485
34,A3,2019,19699,Manual,28472,Petrol,46.3,1.0,audi,30042484
35,Q2,2018,17799,Manual,28484,Petrol,52.3,1.4,audi,30008809
36,A1,2017,16549,Semi-Auto,28519,Petrol,58.9,1.4,audi,30123784
37,A1,2017,14499,Semi-Auto,28692,Diesel,72.4,1.6,audi,29888094
38,A3,2019,16049,Manual,28944,Petrol,None,1.0,audi,30208560
39,Q2,2017,19049,Manual,29002,Petrol,50.4,1.4,audi,30025559
40,A1,2017,17499,Semi-Auto,21639,Petrol,56.5,1.4,audi,30167971
