,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,e-tron,2020,30549,White,Electric,Automatic,14623,,audi,30079724
1,SQ2,2021,30049,Semi-Auto,15439,Petrol,32.5,2.0,audi,30198647
2,A5,2019,27549,Semi-Auto,15481,Diesel,47.1,2.0,audi,30201042
3,S3,2020,30549,Semi-Auto,16223,Petrol,34.5,2.0,audi,29950363
4,A3,2018,18599,Manual,17404,Petrol,47.1,1.0,audi,29888080
5,A1,2017,13349,Manual,17889,Petrol,None,1.0,audi,30208671
6,A3,2019,18049,Manual,18058,Petrol,44.8,1.5,audi,30025538
7,A1,2020,18549,Manual,18145,Petrol,48.7,1.0,audi,30250884
8,Q3,2019,31049,Semi-Auto,18488,Petrol,31.4,2.0,audi,30225428
9,Q3,2016,20549,Manual,19532,Diesel,51.4,2.0,audi,30255943
10,A1,2017,17049,Semi-Auto,19701,Petrol,70.6,1.4,audi,29888231
11,Q2,2019,19049,Manual,19811,Diesel,49.6,1.6,audi,30255934
12,A1,2018,18299,Semi-Auto,20898,Petrol,55.4,1.4,audi,29974700
13,A1,2019,18999,Manual,20958,Petrol,50.4,1.0,audi,30050238
14,A3,2019,20599,Manual,20994,Petrol,46.3,1.0,audi,30050201
15,A1,2020,19699,Semi-Auto,21121,Petrol,44.8,1.0,audi,30240191
16,A1,2016,12999,Manual,21588,Petrol,None,1.4,audi,30208636
17,A1,2018,16049,Manual,21656,Diesel,76.4,1.6,audi,30251172
18,A3,2019,20299,Semi-Auto,21895,Petrol,44.8,1.0,audi,30042273
19,A1,2019,20999,Semi-Auto,21996,Petrol,40.9,2.0,audi,30025590
20,A1,2017,15749,Manual,22381,Petrol,56.5,1.4,audi,30008816
21,A1,2020,18549,Manual,22390,Petrol,48.7,1.0,audi,30233516
22,Q2,2019,18849,Manual,22793,Diesel,49.6,1.6,audi,30233503
23,A4,2018,18199,Manual,23287,Petrol,52.3,1.4,audi,30103628
24,A3,2019,21549,Semi-Auto,23715,Petrol,41.5,1.5,audi,29888533
25,A3,2020,25049,Semi-Auto,24052,Petrol,46.3,1.5,audi,30201105
26,Q3,2019,26549,Semi-Auto,25208,Petrol,38.2,1.5,audi,29969086
27,Q3,2016,20049,Semi-Auto,25324,Petrol,40.4,2.0,audi,29854749
28,A3,2020,19699,Semi-Auto,25699,Diesel,51.4,2.0,audi,29924939
29,A1,2017,16549,Manual,25836,Petrol,70.6,1.4,audi,30015291
30,A5,2018,19199,Semi-Auto,25973,Petrol,53.3,1.4,audi,30107860
31,A1,2018,14849,Manual,26123,Petrol,55.4,1.4,audi,30188273
32,Q2,2019,18499,Manual,26163,Petrol,47.1,1.0,audi,30003734
33,A4,2019,20699,Manual,27008,Petrol,39.2,2.0,audi,30025501
34,A1,2018,15899,Manual,27099,Petrol,None,1.4,audi,30208532
35,A4,2019,18899,Manual,27114,Petrol,40.4,2.0,audi,30132541
36,Q3,2019,25049,Semi-Auto,27506,Petrol,38.2,1.5,audi,29893721
37,Q2,2019,21549,Semi-Auto,27570,Diesel,46.3,1.6,audi,30251016
38,A3,2018,20799,Semi-Auto,27639,Petrol,56.5,1.5,audi,29993408
39,Other,2017,25049,Semi-Auto,27645,Petrol,41.5,2.0,audi,29950309
40,A1,2018,18299,Semi-Auto,20898,Petrol,55.4,1.4,audi,29974700
41,A1,2019,18999,Manual,20958,Petrol,50.4,1.0,audi,30050238
42,A3,2019,20599,Manual,20994,Petrol,46.3,1.0,audi,30050201
43,A1,2019,18399,Manual,21094,Petrol,49.6,1.0,audi,29986662
44,A1,2020,19699,Semi-Auto,21121,Petrol,44.8,1.0,audi,30240191
45,A1,2016,12999,Manual,21588,Petrol,None,1.4,audi,30208636
46,A1,2017,17499,Semi-Auto,21639,Petrol,56.5,1.4,audi,30167971
47,A1,2018,16049,Manual,21656,Diesel,76.4,1.6,audi,30251172
48,A3,2019,20299,Semi-Auto,21895,Petrol,44.8,1.0,audi,30042273
49,A1,2019,20999,Semi-Auto,21996,Petrol,40.9,2.0,audi,30025590
50,A1,2017,15749,Manual,22381,Petrol,56.5,1.4,audi,30008816
51,A1,2020,18549,Manual,22390,Petrol,48.7,1.0,audi,30233516
52,Q2,2019,18849,Manual,22793,Diesel,49.6,1.6,audi,30233503
53,A1,2020,19399,Manual,23099,Petrol,47.9,1.0,audi,30063605
54,A6,2019,26249,Semi-Auto,23233,Diesel,50.4,2.0,audi,30255917
55,A4,2018,18199,Manual,23287,Petrol,52.3,1.4,audi,30103628
56,A3,2017,16049,Manual,23350,Diesel,58.9,2.0,audi,30161843
57,Q2,2019,18049,Manual,23601,Diesel,49.6,1.6,audi,30050202
58,A1,2017,13799,Semi-Auto,23629,Petrol,57.6,1.4,audi,30103514
59,A3,2019,21549,Semi-Auto,23715,Petrol,41.5,1.5,audi,29888533
60,A5,2019,26349,Semi-Auto,24037,Petrol,37.7,2.0,audi,30161789
61,A3,2020,25049,Semi-Auto,24052,Petrol,46.3,1.5,audi,30201105
62,TT,2018,19699,Manual,24237,Diesel,62.8,2.0,audi,30155550
63,A1,2018,13799,Manual,24389,Petrol,57.7,1.4,audi,30079656
64,A1,2018,13499,Manual,24456,Petrol,67.3,1.0,audi,30079725
65,A1,2018,14049,Manual,24763,Petrol,67.3,1.0,audi,30090235
66,Q3,2019,26549,Semi-Auto,25208,Petrol,38.2,1.5,audi,29969086
67,Q3,2016,20049,Semi-Auto,25324,Petrol,40.4,2.0,audi,29854749
68,A3,2020,19699,Semi-Auto,25699,Diesel,51.4,2.0,audi,29924939
69,A1,2017,16549,Manual,25836,Petrol,70.6,1.4,audi,30015291
70,A1,2018,15049,Manual,33668,Petrol,55.4,1.4,audi,30148621
71,A1,2018,14799,Semi-Auto,33770,Petrol,64.2,1.0,audi,30132530
72,Q2,2019,17849,Manual,33775,Diesel,49.6,1.6,audi,30251056
73,A3,2019,16699,Manual,34506,Petrol,47.9,1.0,audi,30132380
74,A4,2019,18549,Manual,34965,Petrol,39.2,2.0,audi,29878648
75,Q3,2017,17399,Manual,35121,Petrol,51.4,1.4,audi,30015367
76,A1,2016,12749,Manual,35223,Petrol,None,1.4,audi,30208535
77,S1,2016,17699,Manual,35387,Petrol,40.4,2.0,audi,30103734
78,Q2,2018,21699,Semi-Auto,36335,Petrol,40.9,1.5,audi,30250980
79,Q5,2017,24049,Semi-Auto,36402,Diesel,56.5,2.0,audi,29854815
80,A4,2019,18899,Manual,27114,Petrol,40.4,2.0,audi,30132541
81,Q3,2019,25049,Semi-Auto,27506,Petrol,38.2,1.5,audi,29893721
82,Q2,2019,21549,Semi-Auto,27570,Diesel,46.3,1.6,audi,30251016
83,A3,2018,20799,Semi-Auto,27639,Petrol,56.5,1.5,audi,29993408
84,Other,2017,25049,Semi-Auto,27645,Petrol,41.5,2.0,audi,29950309
85,A3,2019,18499,Manual,27856,Diesel,51.4,1.6,audi,29950229
86,A5,2017,21049,Semi-Auto,27912,Diesel,65.7,2.0,audi,30025485
87,A3,2017,16149,Semi-Auto,28226,Diesel,72.4,1.6,audi,30201112
88,A3,2017,15399,Manual,28369,Petrol,60.1,1.4,audi,30042371
89,A3,2019,19699,Manual,28472,Petrol,46.3,1.0,audi,30042484
90,Q5,2019,33549,Semi-Auto,38974,Petrol,32.1,2.0,audi,30015311
91,Q3,2017,20599,Semi-Auto,39048,Diesel,51.4,2.0,audi,29854724
