,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Q7,2015,30495,Automatic,30086,Diesel,47.9,3.0,audi,30094962
1,A3,2013,12695,Automatic,70750,Diesel,62.8,2.0,audi,29158206
2,A5,2012,10499,Manual,68466,Diesel,60.1,2.0,audi,30139335
3,A3,2020,31499,Semi-Auto,20004,Petrol,34.5,2.0,audi,30234449
4,Q2,2020,24249,Manual,21082,Petrol,43.5,1.0,audi,30046605
5,Q3,2017,16000,Manual,67265,Petrol,None,1.4,audi,30050753
6,TT,2013,11795,Automatic,67906,Diesel,51.4,2.0,audi,30145446
7,A5,2014,12895,Automatic,71928,Diesel,58.9,2.0,audi,30145448
8,A4,2015,12895,Automatic,77380,Diesel,56.5,2.0,audi,30204617
9,A1,2014,9250,Manual,79846,Diesel,68.9,2.0,audi,29374684
10,A5,2013,11495,Automatic,85559,Diesel,53.3,2.0,audi,29585012
11,A1,2020,22049,Semi-Auto,1478,Petrol,44.1,1.0,audi,29893690
12,A1,2016,15999,Manual,4432,Petrol,58.9,1.4,audi,30132351
13,A3,2021,24549,Semi-Auto,10119,Petrol,53.3,1.0,audi,30255995
14,A1,2021,19349,Manual,10312,Petrol,49.6,1.0,audi,30042463
15,A1,2017,16049,Manual,10320,Petrol,55.4,1.4,audi,30251107
16,A5,2019,26549,Semi-Auto,11689,Petrol,37.7,2.0,audi,30132315
17,Q2,2019,19049,Manual,13493,Diesel,49.6,1.6,audi,30188219
18,Q2,2019,19049,Manual,14075,Diesel,49.6,1.6,audi,30251057
19,A1,2019,19749,Manual,14377,Petrol,47.9,1.0,audi,30015300
20,e-tron,2020,30549,White,Electric,Automatic,14623,,audi,30079724
21,SQ2,2021,30049,Semi-Auto,15439,Petrol,32.5,2.0,audi,30198647
22,A5,2019,27549,Semi-Auto,15481,Diesel,47.1,2.0,audi,30201042
23,S3,2020,30549,Semi-Auto,16223,Petrol,34.5,2.0,audi,29950363
24,A3,2018,18599,Manual,17404,Petrol,47.1,1.0,audi,29888080
25,A1,2017,13349,Manual,17889,Petrol,None,1.0,audi,30208671
26,A3,2019,18049,Manual,18058,Petrol,44.8,1.5,audi,30025538
27,A1,2020,18549,Manual,18145,Petrol,48.7,1.0,audi,30250884
28,Q3,2019,31049,Semi-Auto,18488,Petrol,31.4,2.0,audi,30225428
29,Q3,2016,20549,Manual,19532,Diesel,51.4,2.0,audi,30255943
30,A1,2017,17049,Semi-Auto,19701,Petrol,70.6,1.4,audi,29888231
31,Q2,2019,19049,Manual,19811,Diesel,49.6,1.6,audi,30255934
32,A1,2018,18299,Semi-Auto,20898,Petrol,55.4,1.4,audi,29974700
33,A1,2019,18999,Manual,20958,Petrol,50.4,1.0,audi,30050238
34,A3,2019,20599,Manual,20994,Petrol,46.3,1.0,audi,30050201
35,A1,2020,19699,Semi-Auto,21121,Petrol,44.8,1.0,audi,30240191
36,A1,2016,12999,Manual,21588,Petrol,None,1.4,audi,30208636
37,A1,2018,16049,Manual,21656,Diesel,76.4,1.6,audi,30251172
38,A3,2019,20299,Semi-Auto,21895,Petrol,44.8,1.0,audi,30042273
39,A1,2019,20999,Semi-Auto,21996,Petrol,40.9,2.0,audi,30025590
40,A1,2017,15749,Manual,22381,Petrol,56.5,1.4,audi,30008816
41,A1,2020,18549,Manual,22390,Petrol,48.7,1.0,audi,30233516
42,Q2,2019,18849,Manual,22793,Diesel,49.6,1.6,audi,30233503
43,A4,2018,18199,Manual,23287,Petrol,52.3,1.4,audi,30103628
44,A3,2019,21549,Semi-Auto,23715,Petrol,41.5,1.5,audi,29888533
45,A3,2020,25049,Semi-Auto,24052,Petrol,46.3,1.5,audi,30201105
46,Q3,2019,26549,Semi-Auto,25208,Petrol,38.2,1.5,audi,29969086
47,Q3,2016,20049,Semi-Auto,25324,Petrol,40.4,2.0,audi,29854749
48,A3,2020,19699,Semi-Auto,25699,Diesel,51.4,2.0,audi,29924939
49,A1,2017,16549,Manual,25836,Petrol,70.6,1.4,audi,30015291
50,A5,2018,19199,Semi-Auto,25973,Petrol,53.3,1.4,audi,30107860
51,A1,2018,14849,Manual,26123,Petrol,55.4,1.4,audi,30188273
52,Q2,2019,18499,Manual,26163,Petrol,47.1,1.0,audi,30003734
53,A4,2019,20699,Manual,27008,Petrol,39.2,2.0,audi,30025501
54,A1,2018,15899,Manual,27099,Petrol,None,1.4,audi,30208532
55,A4,2019,18899,Manual,27114,Petrol,40.4,2.0,audi,30132541
