,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A3,2022,23891,Manual,2500,Petrol,51.4,1,audi,29473635
1,A3,2022,25491,Manual,2500,Petrol,48.7,1.5,audi,29473619
2,A3,2022,41991,Semi-Auto,2656,Petrol,35.3,2,audi,30253532
3,A3,2023,28741,Manual,3000,Petrol,48.7,1,audi,30126643
4,A3,2022,29741,Semi-Auto,6000,Diesel,61.4,2,audi,29608275
5,A5,2022,32241,Semi-Auto,6000,Diesel,57.7,2,audi,29473600
6,Q5,2021,38991,Semi-Auto,6059,Diesel,43.5,2,audi,30253533
7,A3,2022,39991,Semi-Auto,6500,Petrol,35.3,2,audi,29877876
8,A3,2020,26741,Manual,9922,Petrol,45.6,1.5,audi,30265083
9,A5,2022,33991,Semi-Auto,10000,Diesel,55.4,2,audi,29473625
10,A5,2021,30491,Semi-Auto,14500,Diesel,57.7,2,audi,29473634
11,Q5,2022,45991,Semi-Auto,14877,Diesel,42.8,2,audi,30253536
12,Q5,2022,44991,Semi-Auto,15339,Diesel,42.8,2,audi,30253535
13,A3,2022,38991,Semi-Auto,15531,Petrol,35.3,2,audi,30253531
14,Q5,2021,34991,Semi-Auto,15708,Diesel,44.8,2,audi,30216603
15,Q3,2021,33991,Semi-Auto,16060,Petrol,40.4,1.5,audi,30253534
16,A7,2019,34991,Semi-Auto,17236,Petrol,33.6,2,audi,30170583
17,Q3,2019,25741,Manual,18610,Petrol,42.2,1.5,audi,29866742
18,TT,2020,28491,Semi-Auto,18788,Petrol,40.9,2,audi,29877877
19,A1,2020,20491,Manual,18827,Petrol,47.9,1,audi,30223939
20,TT,2020,28491,Semi-Auto,18788,Petrol,40.9,2,audi,29877877
21,A1,2020,20491,Manual,18827,Petrol,47.9,1,audi,30223939
22,Q3,2020,30491,Semi-Auto,20680,Diesel,47.1,2,audi,30186480
23,A3,2020,21491,Manual,21911,Petrol,47.1,1,audi,30017548
24,TT,2019,25991,Semi-Auto,23207,Petrol,40.4,2,audi,30004846
25,A1,2020,20491,Semi-Auto,23926,Petrol,44.8,1,audi,30265074
26,Q3,2021,35991,Semi-Auto,23981,Petrol,31.4,2,audi,30236880
27,Q3,2019,25991,Manual,24308,Petrol,42.2,1.5,audi,30186481
28,Q3,2018,22741,Manual,26137,Diesel,60.1,2,audi,30265080
29,Q5,2020,38491,Semi-Auto,26560,Hybrid,117.7,2,audi,30265085
30,Q3,2021,35991,Semi-Auto,23981,Petrol,31.4,2,audi,30236880
31,Q3,2018,22741,Manual,26137,Diesel,60.1,2,audi,30265080
32,Q5,2020,38491,Semi-Auto,26560,Hybrid,117.7,2,audi,30265085
33,Q3,2020,39991,Semi-Auto,29829,Petrol,31.4,2,audi,30216606
34,A1,2019,16491,Manual,37683,Petrol,51.4,1,audi,30265081
35,Q5,2020,26491,Semi-Auto,40483,Diesel,39.2,2,audi,30265076
36,A4,2023,35241,Semi-Auto,100,Petrol,44.8,2,audi,29509359
37,A8,2022,65991,Semi-Auto,100,Diesel,39.2,3,audi,29473641
38,A6,2022,36791,Semi-Auto,1000,Diesel,50.4,2,audi,29473639
39,A7,2022,45991,Semi-Auto,1000,Diesel,49.6,2,audi,29473642
40,R8,2019,157991,Automatic,1000,Petrol,21.7,5.2,audi,29866737
