,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,1 Series,2014,8950,Manual,78000,Diesel,64.2,2.0,bmw,29820271
1,4 Series,2015,11850,Automatic,126000,Diesel,65.7,2.0,bmw,29961018
2,X3,2014,10950,Automatic,86000,Diesel,50.4,2.0,bmw,30276329
3,M5,2021,69999,Automatic,9500,Petrol,25.2,4.4,bmw,30194793
4,X5,2016,24999,Automatic,98700,Diesel,47.1,3.0,bmw,28353650
5,3 Series,2011,2999,Manual,150000,Diesel,60.1,2.0,bmw,29938007
6,1 Series,2012,6000,Manual,102000,Petrol,49.6,1.6,bmw,30173813
7,5 Series,2008,4795,Automatic,115000,Diesel,50.4,2.0,bmw,30173739
8,3 Series,2013,7000,Manual,115000,Diesel,62.8,2.0,bmw,30068830
9,X3,2000,2495,Manual,150000,Diesel,39.2,2.0,bmw,30280297
10,X3,2011,7985,Manual,85439,Diesel,50.4,2.0,bmw,30006856
11,1 Series,2011,5500,Manual,98500,Petrol,49.6,1.6,bmw,30244608
12,1 Series,2009,4985,Automatic,82000,Diesel,52.3,2.0,bmw,29998600
13,X2,2021,23750,Manual,10000,Diesel,49.6,2.0,bmw,29307919
14,1 Series,2013,6850,Manual,79262,Diesel,65.7,1.6,bmw,30242200
15,3 Series,2015,11450,Manual,84380,Diesel,57.6,2.0,bmw,29878335
16,X5,2016,24750,Automatic,104100,Diesel,42.8,3.0,bmw,30011839
17,3 Series,2018,13950,Automatic,106847,Diesel,62.8,2.0,bmw,30096465
18,1 Series,2009,2950,Automatic,141079,Diesel,52.3,2.0,bmw,29660534
19,4 Series,2018,14450,Automatic,76037,Diesel,58.9,2.0,bmw,29773454
20,M3,2005,16750,Manual,85006,Petrol,20.8,3.2,bmw,29878333
21,3 Series,2015,14750,Automatic,90000,Diesel,51.4,3.0,bmw,29689124
22,5 Series,2011,7950,Automatic,93726,Diesel,54.3,2.0,bmw,30274500
23,1 Series,2008,2950,Automatic,140000,Diesel,52.3,2.0,bmw,29660538
24,X1,2011,8295,Automatic,94653,Diesel,45.6,2.0,bmw,29516696
25,1 Series,2012,9495,Automatic,9000,Petrol,None,1.6,bmw,29997925
26,X1,2011,11995,Automatic,15000,Petrol,None,3.0,bmw,29801276
27,6 Series,2011,11995,Automatic,43000,Petrol,None,4.8,bmw,29518999
28,2 Series,2020,23249,Semi-Auto,9234,Petrol,None,1.5,bmw,30208398
29,2 Series,2019,18199,Manual,10365,Petrol,40.9,1.5,bmw,30079702
30,1 Series,2021,26849,Semi-Auto,12963,Petrol,None,1.5,bmw,30208474
31,X1,2018,20049,Manual,13616,Diesel,60.1,2.0,bmw,30240300
32,1 Series,2019,17599,Semi-Auto,14739,Diesel,None,1.5,bmw,30208411
33,4 Series,2019,22049,Semi-Auto,17198,Diesel,65.7,2.0,bmw,29739648
34,1 Series,2019,19049,Manual,17709,Petrol,52.3,1.5,bmw,30233550
35,2 Series,2018,19349,Semi-Auto,18728,Diesel,62.8,2.0,bmw,30233489
36,1 Series,2019,20799,Semi-Auto,18877,Petrol,36.7,1.5,bmw,30103560
37,1 Series,2018,21499,Semi-Auto,19536,Petrol,None,2.0,bmw,30208769
38,1 Series,2019,17599,Manual,19890,Petrol,None,1.5,bmw,30208694
39,2 Series,2020,22449,Manual,20043,Petrol,45.6,1.5,bmw,30148704
40,5 Series,2020,27049,Semi-Auto,21656,Petrol,50.4,2.0,bmw,30032961
41,4 Series,2020,24549,Semi-Auto,21714,Petrol,48.7,2.0,bmw,30196766
42,1 Series,2019,17549,Semi-Auto,22765,Petrol,54.3,1.5,bmw,29878750
43,5 Series,2018,22799,Semi-Auto,23641,Diesel,68.9,2.0,bmw,29826118
44,1 Series,2019,22049,Manual,23824,Petrol,None,1.5,bmw,30208511
45,1 Series,2020,20699,Manual,24232,Diesel,57.7,1.5,bmw,30042456
46,X1,2019,24049,Semi-Auto,24789,Petrol,39.2,2.0,bmw,30196688
47,1 Series,2019,21849,Manual,25147,Petrol,41.5,1.5,bmw,30167930
