,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,2 Series,2019,18199,Manual,10365,Petrol,40.9,1.5,bmw,30079702
1,1 Series,2021,26849,Semi-Auto,12963,Petrol,None,1.5,bmw,30208474
2,X1,2018,20049,Manual,13616,Diesel,60.1,2.0,bmw,30240300
3,1 Series,2019,17599,Semi-Auto,14739,Diesel,None,1.5,bmw,30208411
4,4 Series,2019,22049,Semi-Auto,17198,Diesel,65.7,2.0,bmw,29739648
5,1 Series,2019,19049,Manual,17709,Petrol,52.3,1.5,bmw,30233550
6,2 Series,2018,19349,Semi-Auto,18728,Diesel,62.8,2.0,bmw,30233489
7,1 Series,2019,20799,Semi-Auto,18877,Petrol,36.7,1.5,bmw,30103560
8,1 Series,2018,21499,Semi-Auto,19536,Petrol,None,2.0,bmw,30208769
9,1 Series,2019,17599,Manual,19890,Petrol,None,1.5,bmw,30208694
10,2 Series,2020,22449,Manual,20043,Petrol,45.6,1.5,bmw,30148704
11,5 Series,2020,27049,Semi-Auto,21656,Petrol,50.4,2.0,bmw,30032961
12,4 Series,2020,24549,Semi-Auto,21714,Petrol,48.7,2.0,bmw,30196766
13,1 Series,2019,17549,Semi-Auto,22765,Petrol,54.3,1.5,bmw,29878750
14,5 Series,2018,22799,Semi-Auto,23641,Diesel,68.9,2.0,bmw,29826118
15,1 Series,2019,22049,Manual,23824,Petrol,None,1.5,bmw,30208511
16,1 Series,2020,20699,Manual,24232,Diesel,57.7,1.5,bmw,30042456
17,X1,2019,24049,Semi-Auto,24789,Petrol,39.2,2.0,bmw,30196688
18,1 Series,2019,21849,Manual,25147,Petrol,41.5,1.5,bmw,30167930
19,i3,2015,9299,Grey,Electric,Automatic,25550,,bmw,29534154
20,3 Series,2018,20949,Semi-Auto,25887,Petrol,47.9,2.0,bmw,29860496
21,2 Series,2019,19299,Manual,26207,Petrol,52.3,1.5,bmw,30233501
22,2 Series,2018,14799,Manual,26436,Diesel,58.9,1.5,bmw,30103605
23,3 Series,2017,19049,Semi-Auto,26741,Diesel,64.2,2.0,bmw,29986737
24,2 Series,2019,19799,Semi-Auto,27516,Diesel,67.3,2.0,bmw,30132421
25,X1,2019,24049,Semi-Auto,27558,Diesel,60.1,2.0,bmw,30113635
26,1 Series,2019,19699,Semi-Auto,28839,Petrol,54.3,1.5,bmw,30003737
27,5 Series,2020,29049,Semi-Auto,29060,Petrol,46.3,2.0,bmw,29983030
28,1 Series,2016,13249,Manual,29701,Diesel,68.9,2.0,bmw,30148613
29,X1,2019,24049,Semi-Auto,30266,Petrol,39.2,2.0,bmw,30251040
30,1 Series,2018,16249,Manual,30267,Diesel,49.6,2.0,bmw,30008834
31,5 Series,2019,26549,Semi-Auto,30384,Hybrid,156.9,2.0,bmw,30198646
32,3 Series,2015,19049,Semi-Auto,30551,Diesel,53.3,3.0,bmw,30255977
33,4 Series,2018,19549,Semi-Auto,30655,Diesel,70.6,2.0,bmw,30255974
34,4 Series,2016,19999,Semi-Auto,31069,Diesel,60.1,2.0,bmw,29716087
35,1 Series,2017,14549,Manual,31311,Diesel,72.4,1.5,bmw,30260907
36,1 Series,2020,20799,Semi-Auto,31329,Diesel,57.7,1.5,bmw,29974706
37,2 Series,2016,13849,Manual,31457,Petrol,52.3,1.5,bmw,30188186
38,1 Series,2020,22899,Semi-Auto,32252,Diesel,57.7,1.5,bmw,30103482
39,1 Series,2019,16899,Semi-Auto,32265,Petrol,55.5,1.5,bmw,30032933
40,4 Series,2016,19699,Semi-Auto,32332,Diesel,60.1,2.0,bmw,30103811
41,2 Series,2016,15199,Automatic,32683,Diesel,65.7,2.0,bmw,29981238
42,1 Series,2019,19849,Semi-Auto,32831,Petrol,36.7,1.5,bmw,30251297
43,X2,2018,18049,Manual,33057,Diesel,55.4,2.0,bmw,30178428
44,3 Series,2017,14849,Manual,33801,Petrol,48.7,2.0,bmw,30188272
45,2 Series,2018,23949,Semi-Auto,33918,Petrol,None,3.0,bmw,30208569
46,X2,2018,22949,Semi-Auto,34242,Diesel,58.9,2.0,bmw,30042635
47,X1,2019,23049,Semi-Auto,34499,Petrol,39.2,2.0,bmw,30042385
48,3 Series,2019,20949,Semi-Auto,34824,Petrol,48.7,2.0,bmw,30008815
49,1 Series,2019,18449,Semi-Auto,35169,Petrol,54.3,1.5,bmw,30079688
50,2 Series,2018,18049,Semi-Auto,35359,Petrol,48.7,2.0,bmw,30225496
51,1 Series,2018,15549,Manual,36308,Diesel,None,2.0,bmw,30208600
52,5 Series,2019,28049,Semi-Auto,36407,Diesel,None,3.0,bmw,30208638
53,X1,2017,20049,Semi-Auto,37014,Diesel,57.6,2.0,bmw,30015289
54,1 Series,2018,16349,Semi-Auto,37112,Diesel,49.6,2.0,bmw,29871855
55,1 Series,2018,18399,Manual,37226,Diesel,48.7,2.0,bmw,30219255
56,1 Series,2018,14049,Manual,37603,Diesel,None,2.0,bmw,30208770
57,3 Series,2018,18249,Semi-Auto,37798,Petrol,None,2.0,bmw,30208580
58,X3,2017,19949,Semi-Auto,38200,Diesel,54.3,2.0,bmw,30132494
59,1 Series,2018,18199,Semi-Auto,38573,Petrol,36.7,1.5,bmw,30132615
60,1 Series,2020,22499,Manual,26544,Petrol,41.5,1.5,bmw,30103745
61,1 Series,2016,21899,Semi-Auto,26554,Petrol,39.8,3.0,bmw,30225477
62,3 Series,2017,19049,Semi-Auto,26741,Diesel,64.2,2.0,bmw,29986737
63,2 Series,2019,19799,Semi-Auto,27516,Diesel,67.3,2.0,bmw,30132421
64,X1,2019,24049,Semi-Auto,27558,Diesel,60.1,2.0,bmw,30113635
65,X6,2019,35799,Semi-Auto,28174,Diesel,40.9,3.0,bmw,30032870
66,1 Series,2019,17449,Manual,28256,Diesel,65.7,2.0,bmw,30188216
67,1 Series,2019,19699,Semi-Auto,28839,Petrol,54.3,1.5,bmw,30003737
68,2 Series,2017,17049,Semi-Auto,28860,Petrol,51.4,1.5,bmw,30042392
69,2 Series,2018,17949,Semi-Auto,28908,Petrol,50.4,1.5,bmw,30118338
70,4 Series,2019,20049,Manual,42447,Diesel,62.8,2.0,bmw,30132419
