,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,X1,2013,13995,Automatic,43500,Diesel,52.3,2.0,bmw,30235364
1,5 Series,2018,26995,Automatic,49000,Diesel,55.4,2.0,bmw,29820404
2,3 Series,2019,24995,Automatic,55000,Diesel,55.4,3.0,bmw,30182636
3,3 Series,2019,24995,Automatic,58000,Diesel,53.3,3.0,bmw,30166640
4,1 Series,2015,10295,Manual,65000,Diesel,62.8,2.0,bmw,30219317
5,3 Series,2013,18395,Automatic,82000,Petrol,37.2,3.0,bmw,29178213
6,2 Series,2019,18199,Manual,10365,Petrol,40.9,1.5,bmw,30079702
7,1 Series,2021,26849,Semi-Auto,12963,Petrol,None,1.5,bmw,30208474
8,X1,2018,20049,Manual,13616,Diesel,60.1,2.0,bmw,30240300
9,4 Series,2019,22049,Semi-Auto,17198,Diesel,65.7,2.0,bmw,29739648
10,1 Series,2019,19049,Manual,17709,Petrol,52.3,1.5,bmw,30233550
11,2 Series,2018,19349,Semi-Auto,18728,Diesel,62.8,2.0,bmw,30233489
12,1 Series,2019,20799,Semi-Auto,18877,Petrol,36.7,1.5,bmw,30103560
13,2 Series,2020,22449,Manual,20043,Petrol,45.6,1.5,bmw,30148704
14,5 Series,2020,27049,Semi-Auto,21656,Petrol,50.4,2.0,bmw,30032961
15,4 Series,2020,24549,Semi-Auto,21714,Petrol,48.7,2.0,bmw,30196766
16,1 Series,2019,17549,Semi-Auto,22765,Petrol,54.3,1.5,bmw,29878750
17,5 Series,2018,22799,Semi-Auto,23641,Diesel,68.9,2.0,bmw,29826118
18,1 Series,2019,22049,Manual,23824,Petrol,None,1.5,bmw,30208511
19,1 Series,2020,20699,Manual,24232,Diesel,57.7,1.5,bmw,30042456
20,4 Series,2019,22049,Semi-Auto,17198,Diesel,65.7,2.0,bmw,29739648
21,X2,2019,23199,Semi-Auto,17602,Petrol,37.2,2.0,bmw,30063579
22,2 Series,2019,25799,Semi-Auto,17613,Petrol,39.8,3.0,bmw,29950298
23,1 Series,2019,19049,Manual,17709,Petrol,52.3,1.5,bmw,30233550
24,3 Series,2019,20999,Semi-Auto,18330,Petrol,51.4,1.5,bmw,30267227
25,1 Series,2019,19199,Manual,18695,Petrol,52.3,1.5,bmw,30168050
26,2 Series,2018,19349,Semi-Auto,18728,Diesel,62.8,2.0,bmw,30233489
27,1 Series,2019,20799,Semi-Auto,18877,Petrol,36.7,1.5,bmw,30103560
