,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,6 Series,2010,9990,Automatic,82000,Diesel,39.2,3.0,bmw,30081959
1,1 Series,2008,3490,Automatic,113000,Diesel,51.4,2.0,bmw,28611128
2,Z4,2006,7990,Manual,120000,Petrol,31.7,3.0,bmw,28482102
3,6 Series,2004,4490,Automatic,170000,Petrol,24.6,4.4,bmw,26503383
4,5 Series,2012,8490,Automatic,112000,Diesel,53.3,3.0,bmw,30126002
5,5 Series,2012,6990,Automatic,132000,Diesel,56.5,2.0,bmw,30277960
6,i3,2020,15781,Automatic,34363,Other,None,0,bmw,30085196
7,1 Series,2021,24491,Manual,9442,Diesel,54.3,1.5,bmw,29739179
8,1 Series,2019,23921,Automatic,13813,Petrol,40.4,1.5,bmw,29910279
9,1 Series,2020,20781,Manual,16552,Petrol,44.1,1.5,bmw,29883639
10,1 Series,2020,22231,Automatic,18579,Petrol,42.8,1.5,bmw,29816164
11,1 Series,2020,21891,Manual,24971,Petrol,41.5,1.5,bmw,29762478
12,2 Series,2020,25195,Automatic,28601,Petrol,42.2,1.5,bmw,30280099
13,1 Series,2018,16395,Automatic,33273,Petrol,55.5,1.5,bmw,30280058
14,X2,2019,18895,Manual,35487,Petrol,42.8,1.5,bmw,30280119
15,X2,2020,25395,Automatic,36128,Petrol,36.2,2.0,bmw,30280107
16,i3,2019,16295,Automatic,46349,Other,None,0,bmw,30280096
17,1 Series,2019,11995,Manual,83336,Diesel,78.5,1.5,bmw,30280136
18,M3,2017,33995,Automatic,34779,Petrol,34,3.0,bmw,30159868
19,1 Series,2014,12495,Manual,40278,Diesel,58.9,2.0,bmw,29403184
20,4 Series,2021,84995,Automatic,8500,Petrol,28,3.0,bmw,29941897
21,4 Series,2022,39995,Automatic,17015,Other,50.4,3.0,bmw,29931793
22,X6,2016,27995,Automatic,26775,Diesel,47.1,3.0,bmw,29931755
23,X3,2019,39495,Automatic,35371,Petrol,34.5,3.0,bmw,30176742
24,1 Series,2018,14995,Manual,40461,Petrol,52.3,1.5,bmw,30246151
25,1 Series,2016,12495,Manual,40949,Petrol,53.3,1.5,bmw,29681250
26,1 Series,2017,11995,Manual,41122,Petrol,53.3,1.5,bmw,30249465
27,3 Series,2015,16495,Automatic,48857,Diesel,51.4,3.0,bmw,30249469
28,X1,2017,18995,Automatic,50246,Diesel,57.6,2.0,bmw,30139494
29,X2,2018,19995,Manual,52327,Diesel,49.6,2.0,bmw,29998465
30,X1,2017,18995,Automatic,50246,Diesel,57.6,2.0,bmw,30139494
31,1 Series,2015,12995,Automatic,51196,Diesel,70.6,2.0,bmw,30262572
32,5 Series,2017,21995,Automatic,52318,Diesel,60.1,2.0,bmw,30269119
33,X2,2018,19995,Manual,52327,Diesel,49.6,2.0,bmw,29998465
34,4 Series,2018,20995,Automatic,52952,Petrol,45.6,2.0,bmw,30173859
35,X5,2018,30995,Automatic,64413,Diesel,47.1,3.0,bmw,30200915
36,3 Series,2017,16995,Automatic,67449,Diesel,56.5,3.0,bmw,29931765
37,3 Series,2016,14495,Automatic,72395,Diesel,64.2,2.0,bmw,29576791
38,3 Series,2018,16995,Automatic,73607,Petrol,46.3,2.0,bmw,29576789
39,i3,2016,11995,Automatic,74567,Other,470.8,0.6,bmw,30139482
40,5 Series,2019,20795,Automatic,90674,Diesel,60.1,3.0,bmw,29931715
41,3 Series,2015,14695,Automatic,91170,Diesel,50.4,3.0,bmw,30176740
42,X2,2018,17395,Automatic,99050,Diesel,58.9,2.0,bmw,30167781
43,4 Series,2017,12995,Automatic,111187,Diesel,60.1,2.0,bmw,29625916
44,5 Series,2015,15695,Automatic,44554,Diesel,62.8,2.0,bmw,30269124
45,1 Series,2017,10495,Manual,49368,Diesel,83.1,1.5,bmw,30262568
46,1 Series,2015,12995,Automatic,51196,Diesel,70.6,2.0,bmw,30262572
47,5 Series,2017,21995,Automatic,52318,Diesel,60.1,2.0,bmw,30269119
48,3 Series,2019,22495,Manual,46034,Diesel,54.3,2.0,bmw,30070361
49,4 Series,2015,17195,Automatic,49367,Diesel,None,3.0,bmw,30269125
50,2 Series,2014,10999,Automatic,43800,Diesel,64.2,2.0,bmw,30181972
51,3 Series,2016,11977,Manual,75000,Petrol,52.3,1.5,bmw,30205230
52,2 Series,2016,12977,Manual,44000,Diesel,74.3,1.5,bmw,30282330
53,2 Series,2015,12995,Automatic,59000,Diesel,68.9,2,bmw,30282329
54,1 Series,2018,10995,Automatic,88000,Petrol,54.3,1.5,bmw,29566256
55,3 Series,2010,3595,Manual,112000,Diesel,68.9,2.0,bmw,29046266
56,3 Series,2012,6295,Manual,120000,Diesel,61.4,2.0,bmw,29344126
57,2 Series,2019,16995,Automatic,38076,Diesel,49.6,2.0,bmw,29863643
58,5 Series,2019,21495,Automatic,49124,Petrol,50.4,2.0,bmw,30231980
59,1 Series,2018,15495,Manual,16682,Petrol,78.5,1.5,bmw,29984692
60,1 Series,2021,24995,Manual,17038,Petrol,41.5,1.5,bmw,30239513
61,5 Series,2019,26995,Automatic,24000,Diesel,65.7,2.0,bmw,26999893
62,1 Series,2017,20995,Automatic,38545,Petrol,39.8,3.0,bmw,27519044
63,X5,2019,48495,Automatic,44980,Diesel,37.7,3.0,bmw,27570697
64,4 Series,2017,16995,Automatic,52090,Diesel,60.1,2.0,bmw,28580400
65,3 Series,2015,12995,Automatic,70408,Diesel,68.9,2.0,bmw,26999887
66,3 Series,2017,15495,Automatic,83225,Diesel,62.8,2.0,bmw,28010665
67,1 Series,2014,7495,Manual,92662,Diesel,65.7,2.0,bmw,26999924
68,3 Series,2000,29995,Automatic,33803,Other,188.3,2.0,bmw,30038157
69,3 Series,2000,23595,Automatic,62265,Other,8.8,2.0,bmw,29993769
70,3 Series,2000,11995,Automatic,107719,Diesel,67.3,2.0,bmw,29610038
71,3 Series,2000,11195,Automatic,111911,Diesel,70.6,2.0,bmw,29963110
72,5 Series,2000,16995,Automatic,87381,Diesel,68.9,2.0,bmw,30277656
73,3 Series,2011,5495,Manual,79000,Petrol,44.8,2.0,bmw,29354841
74,Z4,2007,4795,Manual,90000,Petrol,37.7,2.0,bmw,29635621
