,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,2 Series,2018,19349,Semi-Auto,18728,Diesel,62.8,2.0,bmw,30233489
1,1 Series,2019,20799,Semi-Auto,18877,Petrol,36.7,1.5,bmw,30103560
2,2 Series,2020,22449,Manual,20043,Petrol,45.6,1.5,bmw,30148704
3,5 Series,2020,27049,Semi-Auto,21656,Petrol,50.4,2.0,bmw,30032961
4,4 Series,2020,24549,Semi-Auto,21714,Petrol,48.7,2.0,bmw,30196766
5,1 Series,2019,17549,Semi-Auto,22765,Petrol,54.3,1.5,bmw,29878750
6,5 Series,2018,22799,Semi-Auto,23641,Diesel,68.9,2.0,bmw,29826118
7,1 Series,2019,22049,Manual,23824,Petrol,None,1.5,bmw,30208511
8,1 Series,2020,20699,Manual,24232,Diesel,57.7,1.5,bmw,30042456
9,X1,2019,24049,Semi-Auto,24789,Petrol,39.2,2.0,bmw,30196688
10,X2,2019,23199,Semi-Auto,17602,Petrol,37.2,2.0,bmw,30063579
11,2 Series,2019,25799,Semi-Auto,17613,Petrol,39.8,3.0,bmw,29950298
12,1 Series,2019,19049,Manual,17709,Petrol,52.3,1.5,bmw,30233550
13,3 Series,2019,20999,Semi-Auto,18330,Petrol,51.4,1.5,bmw,30267227
14,1 Series,2019,19199,Manual,18695,Petrol,52.3,1.5,bmw,30168050
15,2 Series,2018,19349,Semi-Auto,18728,Diesel,62.8,2.0,bmw,30233489
16,1 Series,2019,20799,Semi-Auto,18877,Petrol,36.7,1.5,bmw,30103560
17,2 Series,2019,18499,Manual,19517,Petrol,52.3,1.5,bmw,30050194
18,X2,2019,19699,Manual,19706,Diesel,55.4,2.0,bmw,30113650
19,4 Series,2019,25499,Semi-Auto,19774,Petrol,45.6,2.0,bmw,30178630
20,1 Series,2016,13249,Manual,29701,Diesel,68.9,2.0,bmw,30148613
21,X1,2019,24049,Semi-Auto,30266,Petrol,39.2,2.0,bmw,30251040
22,1 Series,2018,16249,Manual,30267,Diesel,49.6,2.0,bmw,30008834
23,5 Series,2019,26549,Semi-Auto,30384,Hybrid,156.9,2.0,bmw,30198646
24,3 Series,2015,19049,Semi-Auto,30551,Diesel,53.3,3.0,bmw,30255977
25,4 Series,2018,19549,Semi-Auto,30655,Diesel,70.6,2.0,bmw,30255974
26,4 Series,2016,19999,Semi-Auto,31069,Diesel,60.1,2.0,bmw,29716087
