,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,4 Series,2019,21749,Semi-Auto,50070,Diesel,65.7,2,bmw,30272865
1,Z4,2016,17000,Manual,27451,Petrol,None,2.0,bmw,29958761
2,X1,2019,25529,Semi-Auto,27343,Diesel,50.4,2,bmw,29956543
3,X1,2019,25404,Semi-Auto,26841,Diesel,50.4,2,bmw,30272813
4,1 Series,2019,16999,Manual,38157,Petrol,52.3,1.5,bmw,29718858
5,1 Series,2013,8499,Automatic,73455,Diesel,64.2,2.0,bmw,30198088
6,1 Series,2017,15587,Automatic,40180,Diesel,67.3,2.0,bmw,30098556
7,5 Series,2017,19299,Automatic,39163,Diesel,60.1,2,bmw,30197513
8,1 Series,2014,9699,Automatic,64273,Diesel,68.9,2,bmw,30156560
9,3 Series,2017,14499,Manual,72329,Diesel,58.9,2,bmw,30252441
10,5 Series,2015,14999,Automatic,78052,Diesel,50.4,3,bmw,29802842
11,1 Series,2014,7999,Manual,69916,Diesel,65.7,2,bmw,30085279
12,3 Series,2016,10499,Manual,72011,Petrol,52.3,1.5,bmw,30026126
13,4 Series,2015,14990,Manual,38199,Petrol,40.9,2,bmw,30280990
14,X1,2010,7995,Manual,51000,Diesel,54.3,2.0,bmw,30127359
15,3 Series,2015,15995,Automatic,76000,Diesel,57.6,2.0,bmw,28835480
16,X6,2020,61999,Automatic,16000,Diesel,34.9,3,bmw,28071110
17,Z4,2015,14999,Manual,51000,Petrol,41.5,2,bmw,30156866
18,X4,2017,24999,Automatic,53000,Diesel,47.9,3,bmw,29905815
19,6 Series,2017,23499,Automatic,55000,Diesel,49.6,3,bmw,28930398
20,4 Series,2018,24499,Automatic,55000,Diesel,49.6,3,bmw,28071109
21,2 Series,2015,12499,Manual,56000,Diesel,64.2,2,bmw,27535497
22,2 Series,2017,13499,Manual,60000,Petrol,52.3,1.5,bmw,27277767
23,M3,2013,23499,Semi-Auto,68000,Petrol,25.2,4,bmw,29170999
24,3 Series,2016,10999,Manual,89000,Diesel,67.3,2,bmw,27904173
25,4 Series,2014,13499,Automatic,93000,Diesel,56.5,3,bmw,30140041
26,1 Series,2015,8499,Manual,100000,Petrol,50.4,1.6,bmw,30105108
27,X1,2010,7999,Automatic,87000,Diesel,44.8,2,bmw,30269228
28,3 Series,2019,23999,Semi-Auto,22106,Hybrid,8.8,2,bmw,29456474
29,X1,2019,22998,Semi-Auto,30935,Diesel,40.9,2,bmw,30104101
30,X1,2019,25377,Semi-Auto,33210,Diesel,50.4,2,bmw,30003264
31,2 Series,2018,15999,Automatic,62017,Hybrid,148.7,1.5,bmw,30168280
32,1 Series,2020,23995,Semi-Auto,10053,Petrol,40.4,1.5,bmw,30241076
33,X3,2016,20995,Semi-Auto,38773,Diesel,47.9,3,bmw,29697029
34,2 Series,2017,20250,Semi-Auto,39729,Petrol,38.2,3,bmw,29854053
35,1 Series,2018,21950,Semi-Auto,41046,Petrol,None,3,bmw,29833222
36,X6,2016,27500,Semi-Auto,58590,Diesel,44.8,3,bmw,30054173
37,X3,2022,48950,Semi-Auto,4087,Diesel,42.2,3,bmw,30267986
38,3 Series,2019,19500,Semi-Auto,32005,Diesel,64.2,2,bmw,30241078
39,3 Series,2019,30500,Semi-Auto,24672,Diesel,51.4,3,bmw,30281033
40,X4,2017,23500,Semi-Auto,42587,Diesel,54.3,2,bmw,30241075
41,4 Series,2015,11495,Automatic,96834,Diesel,70.6,2.0,bmw,30061005
42,1 Series,2012,5495,Manual,101145,Diesel,62.8,2.0,bmw,30116757
43,1 Series,2016,9795,Manual,78592,Petrol,53.3,1.5,bmw,30061017
44,X1,2019,25399,Semi-Auto,31468,Diesel,50.4,2,bmw,29897330
45,X2,2019,17999,Manual,45010,Diesel,55.4,2,bmw,30009097
46,3 Series,2016,13332,Manual,65981,Diesel,64.2,2,bmw,30280663
47,3 Series,2020,24499,Semi-Auto,35712,Diesel,52.3,2,bmw,29846031
48,1 Series,2017,23995,Automatic,35000,Petrol,39.8,3.0,bmw,29933880
49,4 Series,2017,19745,Automatic,42000,Diesel,65.7,2.0,bmw,30226029
50,4 Series,2017,19995,Automatic,44500,Diesel,60.1,2.0,bmw,29933876
51,3 Series,2017,24995,Automatic,34000,Diesel,51.4,3.0,bmw,30001170
52,5 Series,2016,18995,Automatic,41700,Diesel,62.8,2.0,bmw,30001156
53,4 Series,2017,20995,Automatic,43000,Petrol,48.7,2.0,bmw,29930769
54,3 Series,2015,14995,Automatic,47169,Diesel,57.6,3.0,bmw,30008404
55,1 Series,2017,12295,Manual,58000,Petrol,53.3,1.5,bmw,30138630
56,3 Series,2017,15495,Automatic,69720,Diesel,67.3,2.0,bmw,29930776
57,1 Series,2017,10995,Manual,73000,Petrol,53.3,1.5,bmw,30239832
58,4 Series,2015,15495,Automatic,75000,Diesel,58.9,2.0,bmw,30204565
59,1 Series,2013,8995,Manual,78000,Diesel,62.8,2.0,bmw,30072627
60,2 Series,2017,14995,Manual,30986,Petrol,48.7,1.5,bmw,28777305
61,3 Series,2013,13495,Automatic,46975,Diesel,57.6,2.0,bmw,29606090
62,2 Series,2018,15495,Manual,55000,Petrol,52.3,1.5,bmw,29940810
63,3 Series,2015,16495,Automatic,73000,Diesel,51.4,3.0,bmw,29858307
64,3 Series,2018,14995,Manual,78000,Diesel,68.9,2.0,bmw,30161168
65,4 Series,2015,11495,Manual,92981,Diesel,60.1,2.0,bmw,29517063
66,6 Series,2016,25995,Automatic,26000,Diesel,48.7,3.0,bmw,29518989
67,Z3,2001,4995,Manual,54000,Petrol,35.8,1.9,bmw,28685256
68,2 Series,2014,8795,Manual,70000,Petrol,57.6,1.5,bmw,30280264
69,5 Series,2008,7499,Manual,91000,Diesel,None,2.0,bmw,27035286
70,3 Series,2006,4599,Manual,102000,Diesel,None,2.0,bmw,27035211
71,5 Series,2006,7599,Automatic,102000,Diesel,37.7,3.0,bmw,27035263
72,5 Series,2008,7000,Automatic,119000,Diesel,None,2.0,bmw,27035264
73,5 Series,2005,5499,Automatic,122000,Diesel,36.2,2.5,bmw,27035285
74,5 Series,2004,3799,Manual,159000,Diesel,42.2,2.5,bmw,27035253
75,X5,2001,3000,Automatic,160000,Diesel,29.1,2.9,bmw,27035312
76,3 Series,2007,4000,Manual,283000,Diesel,58.9,2.0,bmw,27035250
77,2 Series,2022,31799,Semi-Auto,7675,Diesel,55.4,2.0,bmw,30111756
78,2 Series,2019,21199,Semi-Auto,8177,Diesel,None,2.0,bmw,30267208
79,3 Series,2018,23399,Semi-Auto,9952,Diesel,64.2,2.0,bmw,30251067
80,4 Series,2019,22049,Semi-Auto,17198,Diesel,65.7,2.0,bmw,29739648
81,1 Series,2019,19049,Manual,17709,Petrol,52.3,1.5,bmw,30233550
82,2 Series,2018,19349,Semi-Auto,18728,Diesel,62.8,2.0,bmw,30233489
83,1 Series,2019,20799,Semi-Auto,18877,Petrol,36.7,1.5,bmw,30103560
84,2 Series,2020,22449,Manual,20043,Petrol,45.6,1.5,bmw,30148704
85,5 Series,2020,27049,Semi-Auto,21656,Petrol,50.4,2.0,bmw,30032961
86,4 Series,2020,24549,Semi-Auto,21714,Petrol,48.7,2.0,bmw,30196766
87,1 Series,2019,17549,Semi-Auto,22765,Petrol,54.3,1.5,bmw,29878750
88,5 Series,2018,22799,Semi-Auto,23641,Diesel,68.9,2.0,bmw,29826118
89,1 Series,2019,22049,Manual,23824,Petrol,None,1.5,bmw,30208511
90,1 Series,2020,20699,Manual,24232,Diesel,57.7,1.5,bmw,30042456
91,X1,2019,24049,Semi-Auto,24789,Petrol,39.2,2.0,bmw,30196688
92,1 Series,2019,21849,Manual,25147,Petrol,41.5,1.5,bmw,30167930
93,i3,2015,9299,Grey,Electric,Automatic,25550,,bmw,29534154
94,3 Series,2018,20949,Semi-Auto,25887,Petrol,47.9,2.0,bmw,29860496
95,2 Series,2019,19299,Manual,26207,Petrol,52.3,1.5,bmw,30233501
96,2 Series,2018,14799,Manual,26436,Diesel,58.9,1.5,bmw,30103605
97,3 Series,2017,19049,Semi-Auto,26741,Diesel,64.2,2.0,bmw,29986737
98,2 Series,2019,19799,Semi-Auto,27516,Diesel,67.3,2.0,bmw,30132421
99,X1,2019,24049,Semi-Auto,27558,Diesel,60.1,2.0,bmw,30113635
100,1 Series,2019,19699,Semi-Auto,28839,Petrol,54.3,1.5,bmw,30003737
101,5 Series,2020,29049,Semi-Auto,29060,Petrol,46.3,2.0,bmw,29983030
102,1 Series,2016,13249,Manual,29701,Diesel,68.9,2.0,bmw,30148613
103,X1,2019,24049,Semi-Auto,30266,Petrol,39.2,2.0,bmw,30251040
104,1 Series,2018,16249,Manual,30267,Diesel,49.6,2.0,bmw,30008834
105,5 Series,2019,26549,Semi-Auto,30384,Hybrid,156.9,2.0,bmw,30198646
106,3 Series,2015,19049,Semi-Auto,30551,Diesel,53.3,3.0,bmw,30255977
107,4 Series,2018,19549,Semi-Auto,30655,Diesel,70.6,2.0,bmw,30255974
108,4 Series,2016,19999,Semi-Auto,31069,Diesel,60.1,2.0,bmw,29716087
