,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Z3,1970,35000,Manual,21000,Petrol,None,0,bmw,27964126
1,1 Series,2017,12800,Manual,48787,Petrol,53.3,1.5,bmw,30212771
2,1 Series,2015,9800,Manual,58449,Diesel,70.6,2,bmw,30224971
3,1 Series,2019,14600,Manual,68924,Petrol,52.3,1.5,bmw,30025147
4,X1,2018,18057,Semi-Auto,56755,Diesel,60.1,2,bmw,30272896
5,1 Series,2016,10400,Manual,60625,Diesel,72.4,1.5,bmw,30267438
6,X5,2009,9290,Automatic,114000,Diesel,34.4,3.0,bmw,27050494
7,3 Series,2011,2890,Manual,140000,Diesel,68.9,2.0,bmw,30254696
8,1 Series,2013,5990,Manual,110000,Diesel,65.7,2.0,bmw,30268820
9,X6,2023,74990,Automatic,1900,Petrol,23,4.4,bmw,30242111
10,i3,2020,19854,White,Electric,Automatic,16200,,bmw,29965971
11,2 Series,2018,18490,Automatic,33025,Petrol,50.4,1.5,bmw,30140154
12,2 Series,2020,23249,Semi-Auto,9234,Petrol,None,1.5,bmw,30208398
13,2 Series,2019,18199,Manual,10365,Petrol,40.9,1.5,bmw,30079702
14,1 Series,2021,26849,Semi-Auto,12963,Petrol,None,1.5,bmw,30208474
15,X1,2018,20049,Manual,13616,Diesel,60.1,2.0,bmw,30240300
16,1 Series,2019,17599,Semi-Auto,14739,Diesel,None,1.5,bmw,30208411
17,4 Series,2019,22049,Semi-Auto,17198,Diesel,65.7,2.0,bmw,29739648
18,1 Series,2019,19049,Manual,17709,Petrol,52.3,1.5,bmw,30233550
19,2 Series,2018,19349,Semi-Auto,18728,Diesel,62.8,2.0,bmw,30233489
20,1 Series,2019,20799,Semi-Auto,18877,Petrol,36.7,1.5,bmw,30103560
21,1 Series,2018,21499,Semi-Auto,19536,Petrol,None,2.0,bmw,30208769
22,1 Series,2019,17599,Manual,19890,Petrol,None,1.5,bmw,30208694
23,2 Series,2020,22449,Manual,20043,Petrol,45.6,1.5,bmw,30148704
24,5 Series,2020,27049,Semi-Auto,21656,Petrol,50.4,2.0,bmw,30032961
