,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Tiguan Allspace,2020,25795,Automatic,21463,Diesel,44.1,2.0,volkswagen,29934008
1,T-Roc,2018,17795,Manual,24557,Petrol,44.1,1.0,volkswagen,29002011
2,Tiguan Allspace,2020,26095,Automatic,47282,Petrol,35.8,1.5,volkswagen,30147066
3,Tiguan Allspace,2019,21595,Automatic,64019,Diesel,39.2,2.0,volkswagen,30327631
4,Tiguan,2019,21645,Automatic,19521,Diesel,46.3,2.0,volkswagen,29909620
5,Sharan,2019,23140,Automatic,37632,Diesel,41.5,2.0,volkswagen,30134689
6,Arteon,2021,27450,Automatic,13080,Diesel,55.4,2.0,volkswagen,27156626
7,Golf,2021,31125,Automatic,20976,Petrol,38.2,2.0,volkswagen,30112956
8,Tiguan,2019,21125,Automatic,40511,Diesel,46.3,2.0,volkswagen,30112952
9,T-Roc,2018,21850,Automatic,51958,Petrol,41.5,2.0,volkswagen,30306346
10,T-Roc,2018,21850,Automatic,51958,Petrol,41.5,2.0,volkswagen,30306346
11,T-Roc,2023,30950,Manual,715,Petrol,47.1,1.5,volkswagen,30226338
12,Tiguan Allspace,2023,35350,Automatic,767,Petrol,40.9,1.5,volkswagen,30294183
13,Golf,2022,26450,Manual,4320,Petrol,51.4,1.5,volkswagen,30169681
14,T-Roc,2022,30950,Automatic,4819,Petrol,46.3,1.5,volkswagen,30278686
15,Golf,2023,25750,Manual,5000,Petrol,49.6,1.5,volkswagen,30189327
16,Golf,2023,33150,Automatic,5000,Petrol,49.6,1.5,volkswagen,29997326
17,Polo,2022,18750,Manual,5376,Petrol,54.3,1.0,volkswagen,30271874
18,Golf,2022,26950,Manual,5432,Petrol,51.4,1.5,volkswagen,29828544
19,Polo,2022,18250,Manual,6369,Petrol,52.3,1.0,volkswagen,30257888
20,T-Roc,2019,27950,Automatic,7143,Petrol,51.4,1.5,volkswagen,29984082
21,Golf,2022,22450,Manual,7188,Petrol,52.3,1.5,volkswagen,29875020
22,T-Roc,2023,27250,Manual,7635,Petrol,47.1,1.0,volkswagen,30316811
23,Polo,2020,17425,Manual,8216,Petrol,50.4,1.0,volkswagen,30226346
24,Polo,2021,16950,Manual,8393,Petrol,51.4,1.0,volkswagen,30014032
25,Polo,2021,17950,Manual,10217,Petrol,50.4,1.0,volkswagen,30174625
26,Tiguan,2021,27950,Automatic,12669,Petrol,40.4,1.5,volkswagen,30228898
27,Tiguan,2021,25450,Manual,13585,Petrol,43.5,1.5,volkswagen,30226331
28,Polo,2021,17950,Manual,13976,Petrol,54.3,1.0,volkswagen,30174624
29,Polo,2021,17150,Manual,14056,Petrol,50.4,1.0,volkswagen,30294193
30,Tiguan,2021,25450,Manual,13585,Petrol,43.5,1.5,volkswagen,30226331
31,Polo,2021,17950,Manual,13976,Petrol,54.3,1.0,volkswagen,30174624
32,Polo,2021,17150,Manual,14056,Petrol,50.4,1.0,volkswagen,30294193
33,Golf,2021,30750,Automatic,14587,Diesel,54.3,2.0,volkswagen,29403859
34,Polo,2022,16950,Manual,15285,Petrol,54.3,1.0,volkswagen,30099725
35,Tiguan,2022,27750,Automatic,15982,Petrol,40.4,1.5,volkswagen,30169682
36,Polo,2020,16575,Manual,16165,Petrol,50.4,1.0,volkswagen,30257881
37,Tiguan,2021,28750,Automatic,16342,Petrol,41.5,1.5,volkswagen,27823927
38,Golf,2021,34150,Automatic,16469,Petrol,38.2,2.0,volkswagen,30294194
39,Polo,2021,16850,Manual,17124,Petrol,50.4,1.0,volkswagen,30299049
40,Polo,2021,16750,Manual,19273,Petrol,50.4,1.0,volkswagen,30189329
41,Golf,2019,18125,Manual,19685,Petrol,47.1,1.5,volkswagen,30257887
42,ID4,2021,35850,Automatic,20000,Other,None,0,volkswagen,30278687
43,Golf,2020,23450,Automatic,20386,Petrol,44.8,1.5,volkswagen,30112955
44,Polo,2022,19750,Automatic,21941,Petrol,51.4,1.0,volkswagen,30163413
45,T-Roc,2021,20500,Manual,22211,Petrol,46.3,1.0,volkswagen,30299052
46,Polo,2020,20550,Automatic,22228,Petrol,46.3,1.0,volkswagen,25959517
47,Golf,2019,17750,Manual,25140,Petrol,43.5,1.5,volkswagen,30174623
48,T-Roc,2019,22550,Manual,25433,Diesel,50.4,1.6,volkswagen,30226336
49,Tiguan,2020,21950,Manual,25501,Petrol,38.2,1.5,volkswagen,30014027
50,Golf,2019,17550,Manual,26511,Petrol,49.6,1.5,volkswagen,30014030
51,Golf,2021,19400,Manual,26818,Petrol,47.9,1.5,volkswagen,30112953
52,Golf,2020,20950,Automatic,27472,Petrol,45.6,1.5,volkswagen,30306345
53,Golf,2021,25250,Automatic,28487,Other,None,1.4,volkswagen,30306343
54,Polo,2020,17150,Manual,30276,Petrol,49.6,1.0,volkswagen,30289035
55,Polo,2020,16750,Manual,31290,Petrol,49.6,1.0,volkswagen,30299057
56,Golf,2020,23450,Automatic,32305,Other,141.3,1.4,volkswagen,30014028
57,Tiguan,2018,18650,Manual,33585,Petrol,46.3,1.4,volkswagen,30226347
