,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Polo,2017,10795,Manual,55250,Petrol,60.1,1.2,volkswagen,30220159
1,Golf,2021,24549,Manual,3633,Petrol,49.6,1.5,volkswagen,30267166
2,Up,2019,11049,Manual,7359,Petrol,54.3,1.0,volkswagen,30267174
3,Up,2018,12049,Manual,8541,Petrol,52.3,1.0,volkswagen,30308219
4,Polo,2021,16699,Manual,9018,Petrol,47.9,1.0,volkswagen,30042565
5,Up,2019,15849,Manual,9515,Petrol,50.4,1.0,volkswagen,30267184
6,Up,2017,11549,Manual,11169,Petrol,60.1,1.0,volkswagen,30308317
7,Polo,2019,16749,Semi-Auto,11448,Petrol,45.6,1.0,volkswagen,30008833
8,Up,2016,8899,Manual,12085,Petrol,62.8,1.0,volkswagen,30308010
9,Polo,2016,14899,Manual,12211,Petrol,61.4,1.4,volkswagen,30208294
10,Polo,2019,16749,Semi-Auto,11448,Petrol,45.6,1.0,volkswagen,30008833
11,Up,2016,8899,Manual,12085,Petrol,62.8,1.0,volkswagen,30308010
12,Polo,2016,14899,Manual,12211,Petrol,61.4,1.4,volkswagen,30208294
13,Polo,2020,16049,Manual,12652,Petrol,51.4,1.0,volkswagen,30308044
14,T-Cross,2021,21549,Automatic,13078,Petrol,44.1,1.0,volkswagen,30299789
15,Polo,2016,12299,Manual,13093,Petrol,58.9,1.0,volkswagen,30188245
16,T-Roc,2021,22549,Manual,13124,Petrol,46.3,1.0,volkswagen,30050294
17,Polo,2021,18049,Manual,13178,Petrol,53.3,1.0,volkswagen,30267283
18,Polo,2016,12449,Manual,13544,Petrol,58.9,1.0,volkswagen,30272321
19,Polo,2018,17299,Manual,13885,Petrol,60.1,1.0,volkswagen,30272244
20,T-Roc,2021,25549,Manual,14693,Diesel,58.9,2.0,volkswagen,30307968
21,Touran,2019,21699,Manual,15128,Petrol,40.9,1.0,volkswagen,29898745
22,T-Roc,2020,22049,Manual,15553,Petrol,44.8,1.5,volkswagen,30281336
23,T-Roc,2019,23399,Semi-Auto,15750,Petrol,43.5,1.5,volkswagen,30289996
24,Polo,2018,14749,Manual,16027,Petrol,64.2,1.0,volkswagen,30251258
25,T-Cross,2020,18199,Manual,16090,Petrol,49.6,1.0,volkswagen,30201097
26,Polo,2020,15999,Manual,16147,Petrol,50.4,1.0,volkswagen,30075320
27,Polo,2021,16549,Manual,16509,Petrol,50.4,1.0,volkswagen,30281311
28,Polo,2018,15349,Manual,16678,Petrol,52.3,1.0,volkswagen,30251332
29,T-Cross,2019,17049,Manual,16764,Petrol,48.7,1.0,volkswagen,30188278
30,T-Cross,2020,18049,Manual,17419,Petrol,48.7,1.0,volkswagen,30267280
31,Golf,2019,22699,Semi-Auto,17437,Petrol,43.5,1.5,volkswagen,30132464
32,Golf,2021,22049,Semi-Auto,17737,Diesel,61.4,2.0,volkswagen,29854898
33,Up,2019,9599,Manual,18212,Petrol,54.3,1.0,volkswagen,30042543
34,T-Roc,2020,22299,Manual,18227,Petrol,44.8,1.5,volkswagen,30290022
35,Up,2019,9899,Manual,18355,Petrol,None,1.0,volkswagen,30208687
36,Polo,2019,19849,Semi-Auto,18445,Petrol,39.8,2.0,volkswagen,30260939
37,Up,2019,9799,Manual,18959,Petrol,None,1.0,volkswagen,30208686
38,T-Roc,2019,18049,Manual,18986,Petrol,44.8,1.0,volkswagen,30308011
39,Polo,2020,15549,Manual,19106,Petrol,51.4,1.0,volkswagen,30281118
40,Up,2018,11049,Manual,19244,Petrol,54.3,1.0,volkswagen,30267254
41,Up,2019,10899,Manual,19359,Petrol,54.3,1.0,volkswagen,30123851
42,Polo,2016,11399,Manual,19733,Petrol,60.1,1.0,volkswagen,30181549
43,Up,2017,9049,Manual,19853,Petrol,64.2,1.0,volkswagen,30178643
44,Polo,2020,17249,Manual,20380,Petrol,49.6,1.0,volkswagen,30219127
45,Polo,2018,13049,Manual,20599,Petrol,52.3,1.0,volkswagen,29905992
46,Golf,2018,17699,Semi-Auto,20701,Diesel,67.3,2.0,volkswagen,30255896
47,Polo,2017,12249,Manual,20978,Petrol,60.1,1.2,volkswagen,29993354
48,Golf,2019,20999,Semi-Auto,21132,Diesel,52.3,2.0,volkswagen,30050203
49,Up,2018,10749,Manual,21201,Petrol,64.2,1.0,volkswagen,30196681
50,T-Roc,2020,18349,Manual,21246,Petrol,44.8,1.0,volkswagen,30281270
51,Polo,2018,14049,Manual,21251,Petrol,64.2,1.0,volkswagen,30260979
52,Polo,2018,13749,Manual,21290,Petrol,64.2,1.0,volkswagen,30123849
53,Polo,2018,15799,Semi-Auto,21326,Petrol,61.4,1.0,volkswagen,30132411
54,Scirocco,2016,14499,Manual,21493,Petrol,52.3,1.4,volkswagen,30095329
55,Polo,2017,18049,Semi-Auto,21634,Petrol,50.4,1.8,volkswagen,30307249
56,Polo,2016,14049,Manual,21878,Petrol,65.7,1.0,volkswagen,30208283
57,Golf,2017,15549,Manual,22012,Petrol,54.3,1.4,volkswagen,30295017
58,Golf,2019,16249,Manual,22019,Petrol,None,1.0,volkswagen,30208551
59,Up,2018,9349,Manual,22247,Petrol,64.2,1.0,volkswagen,30178795
60,T-Roc,2019,22849,Manual,22576,Diesel,50.4,1.6,volkswagen,30261055
61,T-Cross,2020,18849,Manual,22878,Petrol,47.9,1.0,volkswagen,30025618
62,Polo,2020,16049,Manual,22946,Petrol,52.3,1.0,volkswagen,30308270
63,T-Cross,2019,18299,Manual,22974,Petrol,47.9,1.0,volkswagen,30148582
64,Polo,2017,15599,Semi-Auto,23050,Petrol,61.4,1.4,volkswagen,30161884
65,Golf,2021,21049,Manual,23070,Petrol,51.4,1.5,volkswagen,30308248
66,T-Roc,2020,26649,Semi-Auto,23119,Petrol,41.5,1.5,volkswagen,30308261
67,Tiguan Allspace,2019,26549,Semi-Auto,23214,Diesel,44.1,2.0,volkswagen,30308195
68,Tiguan,2019,20499,Manual,23551,Petrol,None,1.5,volkswagen,30208657
69,Polo,2019,18399,Semi-Auto,23605,Petrol,39.8,2.0,volkswagen,29986754
70,Golf,2021,27799,Semi-Auto,23700,Diesel,54.3,2.0,volkswagen,29888496
71,Golf,2018,16949,Manual,23842,Petrol,58.9,1.5,volkswagen,30225414
72,T-Roc,2018,20749,Manual,23945,Petrol,42.2,1.5,volkswagen,30289984
73,Golf,2018,23049,Manual,24168,Petrol,37.2,2.0,volkswagen,30008813
74,T-Roc,2020,19599,Manual,24325,Petrol,44.1,1.0,volkswagen,30308048
75,Tiguan,2019,21349,Manual,24497,Petrol,38.2,1.5,volkswagen,30281395
76,Up,2019,11349,Manual,24562,Petrol,54.3,1.0,volkswagen,30299738
