,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Passat,2009,3595,Manual,116800,Diesel,50.4,2.0,volkswagen,30132060
1,Tiguan,2016,15980,Manual,51657,Petrol,48.7,1.4,volkswagen,30252337
2,Golf,2016,18999,Automatic,67500,Petrol,39.8,2.0,volkswagen,30324935
3,T-Roc,2020,25599,Semi-Auto,4900,Petrol,42.2,1.5,volkswagen,30313549
4,Passat,2013,7000,Manual,91811,Diesel,60.1,2.0,volkswagen,30346955
5,Scirocco,2015,13495,Manual,32731,Diesel,55.4,2.0,volkswagen,30245942
6,Golf,2012,7995,Manual,47682,Diesel,74.3,1.6,volkswagen,29941405
7,Tiguan,2016,12495,Manual,69892,Diesel,53.3,2.0,volkswagen,30233076
8,Golf,2013,7995,Manual,73292,Diesel,68.9,1.6,volkswagen,30200598
9,Passat,2012,7495,Manual,96985,Diesel,61.4,2.0,volkswagen,29825228
10,Polo,2013,7995,Manual,47324,Diesel,72.4,1.2,volkswagen,30331864
11,Golf,2019,17990,Semi-Auto,17879,Petrol,45.6,1,volkswagen,29980046
12,Polo,2016,11990,Manual,22659,Petrol,60.1,1.2,volkswagen,29704696
13,Tiguan,2019,24790,Manual,37456,Diesel,47.9,2,volkswagen,29864681
14,Golf,2019,13990,Manual,53684,Petrol,51.4,1,volkswagen,30055168
15,Passat,2019,15990,Manual,54680,Petrol,45.6,1.5,volkswagen,29967815
16,Passat,2019,15990,Semi-Auto,63664,Diesel,49.6,1.6,volkswagen,29967814
17,Golf,2021,24549,Manual,3633,Petrol,49.6,1.5,volkswagen,30267166
18,Up,2019,11049,Manual,7359,Petrol,54.3,1.0,volkswagen,30267174
19,Up,2018,12049,Manual,8541,Petrol,52.3,1.0,volkswagen,30308219
20,Polo,2021,16699,Manual,9018,Petrol,47.9,1.0,volkswagen,30042565
21,Up,2019,15849,Manual,9515,Petrol,50.4,1.0,volkswagen,30267184
22,Up,2017,11549,Manual,11169,Petrol,60.1,1.0,volkswagen,30308317
23,Polo,2019,16749,Semi-Auto,11448,Petrol,45.6,1.0,volkswagen,30008833
24,Up,2016,8899,Manual,12085,Petrol,62.8,1.0,volkswagen,30308010
25,Polo,2016,14899,Manual,12211,Petrol,61.4,1.4,volkswagen,30208294
26,Polo,2020,16049,Manual,12652,Petrol,51.4,1.0,volkswagen,30308044
27,T-Cross,2021,21549,Automatic,13078,Petrol,44.1,1.0,volkswagen,30299789
28,Polo,2016,12299,Manual,13093,Petrol,58.9,1.0,volkswagen,30188245
29,T-Roc,2021,22549,Manual,13124,Petrol,46.3,1.0,volkswagen,30050294
30,T-Cross,2021,21549,Automatic,13078,Petrol,44.1,1.0,volkswagen,30299789
31,Polo,2016,12299,Manual,13093,Petrol,58.9,1.0,volkswagen,30188245
32,T-Roc,2021,22549,Manual,13124,Petrol,46.3,1.0,volkswagen,30050294
33,Polo,2021,18049,Manual,13178,Petrol,53.3,1.0,volkswagen,30267283
34,Polo,2016,12449,Manual,13544,Petrol,58.9,1.0,volkswagen,30272321
35,Polo,2018,17299,Manual,13885,Petrol,60.1,1.0,volkswagen,30272244
36,T-Roc,2021,25549,Manual,14693,Diesel,58.9,2.0,volkswagen,30307968
37,Touran,2019,21699,Manual,15128,Petrol,40.9,1.0,volkswagen,29898745
38,T-Roc,2020,22049,Manual,15553,Petrol,44.8,1.5,volkswagen,30281336
39,T-Roc,2019,23399,Semi-Auto,15750,Petrol,43.5,1.5,volkswagen,30289996
40,Polo,2018,14749,Manual,16027,Petrol,64.2,1.0,volkswagen,30251258
41,T-Cross,2020,18199,Manual,16090,Petrol,49.6,1.0,volkswagen,30201097
42,Polo,2020,15999,Manual,16147,Petrol,50.4,1.0,volkswagen,30075320
43,Polo,2021,16549,Manual,16509,Petrol,50.4,1.0,volkswagen,30281311
44,Polo,2018,15349,Manual,16678,Petrol,52.3,1.0,volkswagen,30251332
45,T-Cross,2019,17049,Manual,16764,Petrol,48.7,1.0,volkswagen,30188278
46,Polo,2020,15449,Manual,16864,Petrol,51.4,1.0,volkswagen,30025518
47,T-Cross,2020,18049,Manual,17069,Petrol,None,1.0,volkswagen,30208719
48,Up,2021,12799,Manual,17163,Petrol,54.3,1.0,volkswagen,30050173
49,T-Cross,2020,18049,Manual,17419,Petrol,48.7,1.0,volkswagen,30267280
50,Golf,2019,22699,Semi-Auto,17437,Petrol,43.5,1.5,volkswagen,30132464
51,Golf,2021,22049,Semi-Auto,17737,Diesel,61.4,2.0,volkswagen,29854898
52,Polo,2020,20049,Semi-Auto,18047,Petrol,39.8,2.0,volkswagen,29916045
53,Up,2019,9599,Manual,18212,Petrol,54.3,1.0,volkswagen,30042543
54,T-Roc,2020,22299,Manual,18227,Petrol,44.8,1.5,volkswagen,30290022
55,Polo,2020,15949,Manual,18246,Petrol,51.4,1.0,volkswagen,29950312
56,Up,2019,9899,Manual,18355,Petrol,None,1.0,volkswagen,30208687
57,Polo,2019,19849,Semi-Auto,18445,Petrol,39.8,2.0,volkswagen,30260939
58,Up,2019,9799,Manual,18959,Petrol,None,1.0,volkswagen,30208686
59,Touran,2017,19549,Manual,18984,Petrol,49.6,1.4,volkswagen,29915909
60,Polo,2020,17249,Manual,20380,Petrol,49.6,1.0,volkswagen,30219127
61,Polo,2018,13049,Manual,20599,Petrol,52.3,1.0,volkswagen,29905992
62,Golf,2018,17699,Semi-Auto,20701,Diesel,67.3,2.0,volkswagen,30255896
63,Polo,2017,12249,Manual,20978,Petrol,60.1,1.2,volkswagen,29993354
64,Golf,2019,20999,Semi-Auto,21132,Diesel,52.3,2.0,volkswagen,30050203
65,Up,2018,10749,Manual,21201,Petrol,64.2,1.0,volkswagen,30196681
66,T-Roc,2020,18349,Manual,21246,Petrol,44.8,1.0,volkswagen,30281270
67,Polo,2018,14049,Manual,21251,Petrol,64.2,1.0,volkswagen,30260979
68,Polo,2018,13749,Manual,21290,Petrol,64.2,1.0,volkswagen,30123849
69,Polo,2018,15799,Semi-Auto,21326,Petrol,61.4,1.0,volkswagen,30132411
70,Golf,2020,16049,Blue,Electric,Automatic,21474,,volkswagen,30272439
71,Scirocco,2016,14499,Manual,21493,Petrol,52.3,1.4,volkswagen,30095329
72,Polo,2017,18049,Semi-Auto,21634,Petrol,50.4,1.8,volkswagen,30307249
73,Polo,2016,14049,Manual,21878,Petrol,65.7,1.0,volkswagen,30208283
74,Golf,2017,15549,Manual,22012,Petrol,54.3,1.4,volkswagen,30295017
75,Golf,2019,16249,Manual,22019,Petrol,None,1.0,volkswagen,30208551
76,Up,2018,9349,Manual,22247,Petrol,64.2,1.0,volkswagen,30178795
77,T-Roc,2019,22849,Manual,22576,Diesel,50.4,1.6,volkswagen,30261055
78,T-Cross,2020,18849,Manual,22878,Petrol,47.9,1.0,volkswagen,30025618
79,Polo,2020,16049,Manual,22946,Petrol,52.3,1.0,volkswagen,30308270
80,T-Cross,2019,18299,Manual,22974,Petrol,47.9,1.0,volkswagen,30148582
81,Polo,2017,15599,Semi-Auto,23050,Petrol,61.4,1.4,volkswagen,30161884
82,Golf,2021,21049,Manual,23070,Petrol,51.4,1.5,volkswagen,30308248
83,T-Roc,2020,26649,Semi-Auto,23119,Petrol,41.5,1.5,volkswagen,30308261
84,Tiguan Allspace,2019,26549,Semi-Auto,23214,Diesel,44.1,2.0,volkswagen,30308195
85,Tiguan,2019,20499,Manual,23551,Petrol,None,1.5,volkswagen,30208657
86,Polo,2019,18399,Semi-Auto,23605,Petrol,39.8,2.0,volkswagen,29986754
87,Golf,2021,27799,Semi-Auto,23700,Diesel,54.3,2.0,volkswagen,29888496
88,Golf,2018,16949,Manual,23842,Petrol,58.9,1.5,volkswagen,30225414
89,T-Roc,2018,20749,Manual,23945,Petrol,42.2,1.5,volkswagen,30289984
90,Golf,2021,21049,Manual,23070,Petrol,51.4,1.5,volkswagen,30308248
91,T-Roc,2020,26649,Semi-Auto,23119,Petrol,41.5,1.5,volkswagen,30308261
92,Tiguan Allspace,2019,26549,Semi-Auto,23214,Diesel,44.1,2.0,volkswagen,30308195
93,Tiguan,2019,20499,Manual,23551,Petrol,None,1.5,volkswagen,30208657
94,Polo,2019,18399,Semi-Auto,23605,Petrol,39.8,2.0,volkswagen,29986754
95,Golf,2021,27799,Semi-Auto,23700,Diesel,54.3,2.0,volkswagen,29888496
96,Golf,2018,16949,Manual,23842,Petrol,58.9,1.5,volkswagen,30225414
97,T-Roc,2018,20749,Manual,23945,Petrol,42.2,1.5,volkswagen,30289984
98,Golf,2018,23049,Manual,24168,Petrol,37.2,2.0,volkswagen,30008813
99,T-Roc,2020,19599,Manual,24325,Petrol,44.1,1.0,volkswagen,30308048
100,Polo,2020,15049,Manual,25831,Petrol,50.4,1.0,volkswagen,30063524
101,Up,2017,9899,Manual,25859,Petrol,64.2,1.0,volkswagen,29993371
102,Up,2018,9449,Manual,26111,Petrol,64.2,1.0,volkswagen,30295025
103,Up,2018,9299,Manual,26259,Petrol,64.2,1.0,volkswagen,30132546
104,Touran,2019,21049,Manual,26486,Diesel,51.4,1.6,volkswagen,30267171
105,T-Cross,2019,16699,Manual,26628,Petrol,47.9,1.0,volkswagen,30123794
106,Polo,2018,13799,Manual,26663,Petrol,64.2,1.0,volkswagen,30284886
107,T-Cross,2019,17199,Manual,26713,Petrol,47.9,1.0,volkswagen,29893676
108,Tiguan,2019,20499,Manual,26713,Petrol,40.9,1.5,volkswagen,30188232
109,Other,2019,23249,Semi-Auto,27053,Diesel,44.1,2.0,volkswagen,30255925
110,Golf,2019,17799,Semi-Auto,27068,Diesel,54.3,1.6,volkswagen,30188252
111,Golf,2019,16649,Manual,27486,Diesel,57.7,1.6,volkswagen,30255924
112,Golf,2019,21299,Semi-Auto,27762,Petrol,44.1,1.5,volkswagen,30042218
113,Tiguan,2017,25049,Manual,27835,Diesel,50.4,2.0,volkswagen,30294999
114,Polo,2019,14549,Manual,27892,Petrol,None,1.0,volkswagen,30208616
115,Up,2019,14349,Manual,28035,Petrol,50.4,1.0,volkswagen,30299774
116,Golf,2018,19599,Semi-Auto,28126,Petrol,55.4,1.5,volkswagen,30219167
117,T-Cross,2020,16449,Manual,28168,Petrol,48.7,1.0,volkswagen,30250918
118,T-Roc,2019,18299,Manual,28264,Diesel,50.4,1.6,volkswagen,30251143
119,Golf,2018,14049,Manual,28623,Diesel,61.4,1.6,volkswagen,30260924
120,Golf,2019,17499,Manual,28625,Petrol,45.6,1.5,volkswagen,30050159
121,Polo,2017,11049,Manual,28776,Petrol,58.9,1.0,volkswagen,30003910
122,T-Roc,2019,19899,Manual,28884,Petrol,42.2,1.5,volkswagen,30167925
123,T-Roc,2019,19049,Manual,28953,Diesel,50.4,1.6,volkswagen,30225476
124,T-Roc,2018,19549,Manual,28981,Petrol,53.3,1.5,volkswagen,30284793
125,Up,2017,9649,Manual,29000,Petrol,60.1,1.0,volkswagen,30255985
126,Polo,2018,13299,Manual,29019,Petrol,64.2,1.0,volkswagen,30219186
127,Up,2018,9599,Manual,29309,Petrol,64.2,1.0,volkswagen,30307965
128,Golf,2019,20549,Semi-Auto,29524,Diesel,52.3,2.0,volkswagen,30196700
129,Polo,2018,13049,Manual,29559,Petrol,64.2,1.0,volkswagen,30132576
130,Polo,2017,11049,Manual,28776,Petrol,58.9,1.0,volkswagen,30003910
131,T-Roc,2019,19899,Manual,28884,Petrol,42.2,1.5,volkswagen,30167925
132,T-Roc,2019,19049,Manual,28953,Diesel,50.4,1.6,volkswagen,30225476
133,T-Roc,2018,19549,Manual,28981,Petrol,53.3,1.5,volkswagen,30284793
134,Up,2017,9649,Manual,29000,Petrol,60.1,1.0,volkswagen,30255985
135,Polo,2018,13299,Manual,29019,Petrol,64.2,1.0,volkswagen,30219186
136,Polo,2019,16049,Manual,29244,Petrol,49.6,1.0,volkswagen,30298494
137,Up,2018,9599,Manual,29309,Petrol,64.2,1.0,volkswagen,30307965
138,Tiguan,2016,23299,Semi-Auto,29493,Diesel,49.6,2.0,volkswagen,29924996
139,Golf,2019,20549,Semi-Auto,29524,Diesel,52.3,2.0,volkswagen,30196700
140,Polo,2018,13049,Manual,29559,Petrol,64.2,1.0,volkswagen,30132576
141,Polo,2016,11049,Manual,29581,Petrol,60.1,1.0,volkswagen,30255902
142,Up,2016,10999,Semi-Auto,29624,Petrol,67.3,1.0,volkswagen,30178731
143,Tiguan,2016,18549,Semi-Auto,29848,Diesel,57.6,2.0,volkswagen,30161857
144,Golf,2018,21499,Semi-Auto,29853,Diesel,57.7,2.0,volkswagen,30132460
145,Golf,2019,20649,Semi-Auto,29860,Petrol,43.5,1.5,volkswagen,30008791
146,Golf,2019,16049,Manual,30136,Diesel,57.7,1.6,volkswagen,30312250
147,Passat,2017,16299,Semi-Auto,30297,Petrol,55.4,1.4,volkswagen,30251140
148,Polo,2018,13049,Manual,30334,Petrol,52.3,1.0,volkswagen,29968994
149,Polo,2016,10999,Manual,30507,Petrol,58.9,1.0,volkswagen,30251301
150,T-Roc,2019,18449,Manual,31473,Petrol,44.1,1.0,volkswagen,30261018
151,T-Cross,2020,16749,Manual,31533,Petrol,None,1.0,volkswagen,30208773
152,Polo,2019,14049,Manual,31627,Petrol,47.9,1.0,volkswagen,30201152
153,T-Roc,2020,22399,Semi-Auto,31631,Diesel,49.6,2.0,volkswagen,30308200
154,Golf,2019,16049,Manual,31794,Petrol,48.7,1.0,volkswagen,30025474
155,Polo,2019,14699,Manual,31835,Petrol,52.3,1.0,volkswagen,30196750
156,Polo,2019,14349,Manual,31874,Petrol,52.3,1.0,volkswagen,30281420
157,Up,2019,8949,Manual,31935,Petrol,54.3,1.0,volkswagen,30240314
158,Polo,2017,12199,Manual,32193,Petrol,60.1,1.2,volkswagen,30251147
159,Golf,2019,23349,Manual,32273,Petrol,37.2,2.0,volkswagen,30272414
160,T-Roc,2019,19349,Manual,31278,Diesel,50.4,1.6,volkswagen,30281334
161,Golf,2017,15349,Semi-Auto,31303,Petrol,53.3,1.4,volkswagen,30308019
162,T-Roc,2019,18449,Manual,31473,Petrol,44.1,1.0,volkswagen,30261018
163,T-Cross,2020,16749,Manual,31533,Petrol,None,1.0,volkswagen,30208773
164,Polo,2019,14049,Manual,31627,Petrol,47.9,1.0,volkswagen,30201152
165,T-Roc,2020,22399,Semi-Auto,31631,Diesel,49.6,2.0,volkswagen,30308200
166,Touran,2018,18299,Semi-Auto,31736,Diesel,65.7,1.6,volkswagen,29915843
167,Golf,2019,16049,Manual,31794,Petrol,48.7,1.0,volkswagen,30025474
168,Polo,2019,14699,Manual,31835,Petrol,52.3,1.0,volkswagen,30196750
169,Polo,2019,14349,Manual,31874,Petrol,52.3,1.0,volkswagen,30281420
170,Golf,2019,18499,Semi-Auto,33896,Petrol,None,1.5,volkswagen,30208491
171,Tiguan,2019,18049,Manual,34519,Petrol,42.2,1.5,volkswagen,30299676
172,Golf,2019,22499,Semi-Auto,34559,Diesel,49.6,2.0,volkswagen,30103651
173,Tiguan,2018,21049,Semi-Auto,34611,Diesel,49.6,2.0,volkswagen,30299678
174,Polo,2018,15499,Semi-Auto,34668,Petrol,45.6,1.0,volkswagen,30267264
175,Arteon,2020,23699,Manual,34878,Diesel,None,2.0,volkswagen,30208710
176,Tiguan,2016,20399,Semi-Auto,34887,Diesel,None,2.0,volkswagen,30208712
177,T-Roc,2018,19749,Manual,35098,Petrol,53.3,1.5,volkswagen,30075246
178,Golf,2019,15899,Manual,35249,Diesel,55.4,1.6,volkswagen,30042613
179,Polo,2017,10549,Manual,35730,Petrol,60.1,1.0,volkswagen,30284905
180,Up,2017,9399,Manual,33729,Petrol,68.9,1.0,volkswagen,29974672
181,Golf,2020,17849,Manual,33812,Petrol,45.6,1.5,volkswagen,30201124
182,Polo,2016,11449,Manual,33813,Petrol,60.1,1.2,volkswagen,30290060
183,Polo,2016,11049,Manual,33830,Petrol,58.9,1.0,volkswagen,30261050
184,Golf,2019,18499,Semi-Auto,33896,Petrol,None,1.5,volkswagen,30208491
185,Tiguan,2019,18049,Manual,34519,Petrol,42.2,1.5,volkswagen,30299676
186,Golf,2019,22499,Semi-Auto,34559,Diesel,49.6,2.0,volkswagen,30103651
187,Tiguan,2018,21049,Semi-Auto,34611,Diesel,49.6,2.0,volkswagen,30299678
188,Polo,2018,15499,Semi-Auto,34668,Petrol,45.6,1.0,volkswagen,30267264
189,Arteon,2020,23699,Manual,34878,Diesel,None,2.0,volkswagen,30208710
190,Polo,2020,14549,Manual,38069,Petrol,47.9,1.0,volkswagen,30299749
191,Passat,2018,15049,Manual,38071,Diesel,54.3,2.0,volkswagen,30025607
192,Passat,2017,17349,Semi-Auto,38198,Diesel,60.1,2.0,volkswagen,30219157
193,Golf,2019,15449,Manual,38435,Petrol,47.1,1.5,volkswagen,30132482
194,Golf,2016,14049,Manual,38529,Diesel,68.9,2.0,volkswagen,30294944
195,Golf,2018,18299,Manual,38874,Diesel,60.1,2.0,volkswagen,30032974
196,Golf,2019,15049,Manual,39656,Diesel,57.7,1.6,volkswagen,30132342
