,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Up,2019,15849,Manual,9515,Petrol,50.4,1.0,volkswagen,30267184
1,Up,2017,11549,Manual,11169,Petrol,60.1,1.0,volkswagen,30308317
2,Polo,2019,16749,Semi-Auto,11448,Petrol,45.6,1.0,volkswagen,30008833
3,Up,2016,8899,Manual,12085,Petrol,62.8,1.0,volkswagen,30308010
4,Polo,2016,14899,Manual,12211,Petrol,61.4,1.4,volkswagen,30208294
5,Polo,2020,16049,Manual,12652,Petrol,51.4,1.0,volkswagen,30308044
6,T-Cross,2021,21549,Automatic,13078,Petrol,44.1,1.0,volkswagen,30299789
7,Polo,2016,12299,Manual,13093,Petrol,58.9,1.0,volkswagen,30188245
8,T-Roc,2021,22549,Manual,13124,Petrol,46.3,1.0,volkswagen,30050294
9,Polo,2021,18049,Manual,13178,Petrol,53.3,1.0,volkswagen,30267283
10,Polo,2016,12449,Manual,13544,Petrol,58.9,1.0,volkswagen,30272321
11,Polo,2018,17299,Manual,13885,Petrol,60.1,1.0,volkswagen,30272244
12,T-Roc,2021,25549,Manual,14693,Diesel,58.9,2.0,volkswagen,30307968
13,Touran,2019,21699,Manual,15128,Petrol,40.9,1.0,volkswagen,29898745
14,T-Roc,2020,22049,Manual,15553,Petrol,44.8,1.5,volkswagen,30281336
15,T-Roc,2019,23399,Semi-Auto,15750,Petrol,43.5,1.5,volkswagen,30289996
16,Polo,2018,14749,Manual,16027,Petrol,64.2,1.0,volkswagen,30251258
17,T-Cross,2020,18199,Manual,16090,Petrol,49.6,1.0,volkswagen,30201097
18,Polo,2020,15999,Manual,16147,Petrol,50.4,1.0,volkswagen,30075320
19,Polo,2021,16549,Manual,16509,Petrol,50.4,1.0,volkswagen,30281311
20,T-Cross,2020,18199,Manual,16090,Petrol,49.6,1.0,volkswagen,30201097
21,Polo,2020,15999,Manual,16147,Petrol,50.4,1.0,volkswagen,30075320
22,Polo,2021,16549,Manual,16509,Petrol,50.4,1.0,volkswagen,30281311
23,Polo,2018,15349,Manual,16678,Petrol,52.3,1.0,volkswagen,30251332
24,T-Cross,2019,17049,Manual,16764,Petrol,48.7,1.0,volkswagen,30188278
25,Polo,2020,15449,Manual,16864,Petrol,51.4,1.0,volkswagen,30025518
26,T-Cross,2020,18049,Manual,17069,Petrol,None,1.0,volkswagen,30208719
27,Up,2021,12799,Manual,17163,Petrol,54.3,1.0,volkswagen,30050173
28,T-Cross,2020,18049,Manual,17419,Petrol,48.7,1.0,volkswagen,30267280
29,Golf,2019,22699,Semi-Auto,17437,Petrol,43.5,1.5,volkswagen,30132464
