,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Tiguan,2022,35590,Semi-Auto,3711,Petrol,39.2,1.5,volkswagen,30259829
1,Golf,2023,22742,Manual,3998,Petrol,52.3,1,volkswagen,29916554
2,T-Cross,2023,23491,Automatic,4988,Petrol,45.6,1,volkswagen,30152105
3,Tiguan,2022,37492,Semi-Auto,6848,Diesel,44.1,2,volkswagen,30098038
4,T-Roc,2021,28990,Semi-Auto,7362,Diesel,54.3,2,volkswagen,30287359
5,Golf,2021,38745,Semi-Auto,7429,Petrol,37.7,2,volkswagen,29981483
6,ID3,2020,25741,White,Electric,Automatic,7501,,volkswagen,30253548
7,Golf,2022,23791,Manual,8854,Petrol,50.4,1.5,volkswagen,30270152
8,Golf,2022,22240,Manual,8878,Petrol,50.4,1.5,volkswagen,30275144
9,T-Roc,2019,23494,Manual,9196,Diesel,50.4,1.6,volkswagen,29676122
10,Golf,2021,37997,Semi-Auto,9317,Petrol,36.2,2,volkswagen,29676120
11,Up,2019,11390,Manual,9823,Petrol,53.3,1,volkswagen,28413017
12,Taigo,2022,20991,Manual,9964,Petrol,51.4,1,volkswagen,30098035
13,Polo,2020,18990,Semi-Auto,10208,Petrol,46.3,1,volkswagen,30275149
14,Sharan,2019,24993,Semi-Auto,11118,Petrol,32.5,1.4,volkswagen,29976710
15,Golf,2022,24240,Manual,11754,Petrol,49.6,1.5,volkswagen,30270148
16,Polo,2022,17991,Manual,11991,Petrol,52.3,1,volkswagen,30249989
17,Touareg,2020,47493,Semi-Auto,12426,Petrol,26.2,3,volkswagen,29932262
18,T-Roc,2021,23990,Manual,12682,Petrol,44.8,1,volkswagen,30270150
19,ID3,2020,24741,Other,Electric,Automatic,13328,,volkswagen,30186497
20,Up,2020,11990,Manual,13837,Petrol,51.4,1,volkswagen,30275148
21,Polo,2020,15590,Manual,14118,Petrol,48.7,1,volkswagen,30275150
22,T-Roc,2021,24740,Manual,15154,Petrol,42.8,1.5,volkswagen,27841037
23,Golf,2020,23591,Semi-Auto,15727,Hybrid,44.8,1.5,volkswagen,30121498
24,Golf,2020,18891,Manual,15734,Petrol,50.4,1.5,volkswagen,30121497
25,T-Roc,2020,21240,Manual,15819,Petrol,44.1,1,volkswagen,26718670
26,T-Roc,2021,23740,Manual,15989,Petrol,44.8,1,volkswagen,26718668
27,Polo,2021,16393,Manual,15992,Petrol,50.4,1,volkswagen,29916553
28,Polo,2019,15191,Manual,16188,Petrol,52.3,1,volkswagen,27406185
29,Polo,2021,16743,Manual,17269,Petrol,51.4,1,volkswagen,30054242
30,Tiguan,2018,25991,Manual,17317,Diesel,47.9,2,volkswagen,30275147
31,Tiguan,2021,41990,Semi-Auto,17701,Petrol,28.3,2,volkswagen,30243193
32,Tiguan,2021,23591,Manual,17858,Petrol,44.1,1.5,volkswagen,30224438
33,Tiguan,2020,30491,Semi-Auto,18619,Diesel,45.6,2,volkswagen,30170603
34,Golf,2021,30992,Semi-Auto,18899,Diesel,54.3,2,volkswagen,30126666
35,Golf,2019,18492,Semi-Auto,20167,Diesel,54.3,1.6,volkswagen,29969538
36,T-Roc,2019,18493,Manual,22759,Diesel,50.4,1.6,volkswagen,30054246
37,Tiguan,2020,30490,Semi-Auto,23398,Diesel,45.6,2,volkswagen,30224433
38,Polo,2021,15590,Manual,25017,Petrol,51.4,1,volkswagen,30275146
39,Tiguan,2019,22690,Semi-Auto,26117,Diesel,46.3,2,volkswagen,27765202
40,T-Roc,2020,20643,Manual,27101,Petrol,44.8,1.5,volkswagen,29872761
41,Polo,2018,13392,Manual,28424,Petrol,64.2,1,volkswagen,30224442
42,T-Roc,2019,19442,Manual,28654,Diesel,50.4,1.6,volkswagen,30101263
43,T-Roc,2019,18741,Manual,28817,Petrol,44.1,1,volkswagen,30287356
44,Polo,2020,20990,Semi-Auto,29713,Petrol,39.8,2,volkswagen,30287358
45,Tiguan,2019,21290,Manual,32014,Petrol,38.2,1.5,volkswagen,30253546
46,Polo,2019,19490,Semi-Auto,32821,Petrol,39.8,2,volkswagen,30224443
47,Polo,2019,14291,Manual,32901,Petrol,52.3,1,volkswagen,30275153
48,Tiguan,2019,20492,Manual,34992,Petrol,38.2,1.5,volkswagen,29916555
49,Golf,2019,18543,Semi-Auto,37772,Petrol,43.5,1.5,volkswagen,30017558
50,Tiguan,2020,23344,Semi-Auto,38838,Petrol,40.4,1.5,volkswagen,29804223
51,Tiguan,2017,17240,Manual,39633,Diesel,58.9,2,volkswagen,30275155
52,T-Roc,2019,19243,Manual,42477,Petrol,44.1,1.5,volkswagen,30059183
53,Golf,2016,12490,Semi-Auto,47747,Petrol,65.7,1,volkswagen,30297574
54,Tiguan,2018,24993,Semi-Auto,49311,Petrol,38.2,2,volkswagen,29877913
55,Tiguan,2018,17241,Manual,52184,Petrol,46.3,1.4,volkswagen,25307213
56,Golf,2017,13490,Semi-Auto,63251,Diesel,62.8,2,volkswagen,30270157
57,Golf,2020,14293,Manual,65839,Diesel,57.7,1.6,volkswagen,30081295
58,Golf,2018,14741,Semi-Auto,71434,Diesel,67.3,2,volkswagen,30098043
59,T-Cross,2021,19193,Manual,8323,Petrol,49.6,1,volkswagen,29898913
60,Golf,2017,13490,Semi-Auto,63251,Diesel,62.8,2,volkswagen,30270157
61,Golf,2020,14293,Manual,65839,Diesel,57.7,1.6,volkswagen,30081295
62,Golf,2018,14741,Semi-Auto,71434,Diesel,67.3,2,volkswagen,30098043
63,Polo,2013,9695,Manual,44980,Petrol,53.3,1.2,volkswagen,30019792
64,T-Cross,2023,24976,Automatic,1873,Petrol,45.6,1,volkswagen,30280691
65,Golf,2021,21749,Manual,21216,Diesel,62.8,2,volkswagen,30272877
66,Golf,2019,24999,Semi-Auto,25134,Petrol,37.7,2,volkswagen,30272879
67,Golf,2020,16227,Manual,27705,Petrol,50.4,1,volkswagen,29865079
68,Golf,2020,17749,Manual,31106,Petrol,50.4,1.5,volkswagen,29924420
69,Golf,2020,16103,Manual,33277,Petrol,50.4,1.5,volkswagen,29858846
70,Polo,2015,8499,Manual,62209,Petrol,60.1,1,volkswagen,30085861
71,Golf,2019,24999,Semi-Auto,25134,Petrol,37.7,2,volkswagen,30272879
72,Polo,2018,16000,Manual,14024,Petrol,49.6,1.0,volkswagen,29740415
73,Polo,2020,15000,Manual,24191,Petrol,48.7,1.0,volkswagen,30033861
74,Tiguan,2019,25000,Semi-Auto,24500,Petrol,37.7,1.5,volkswagen,29958774
75,Golf,2019,26500,Semi-Auto,27393,Petrol,37.7,2.0,volkswagen,30281940
76,Golf,2019,17000,Semi-Auto,41447,Diesel,54.3,1.6,volkswagen,30301383
77,Golf,2019,16800,Manual,43706,Petrol,51.4,1.0,volkswagen,30115412
