,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Golf,2023,29990,Semi-Auto,3566,Hybrid,49.6,1.5,volkswagen,30287357
1,Golf,2020,23591,Semi-Auto,15727,Hybrid,44.8,1.5,volkswagen,30121498
2,Golf,2021,20980,Semi-Auto,17550,Hybrid,54.3,1,volkswagen,30165470
3,Golf,2021,22999,Semi-Auto,26952,Hybrid,48.7,1.5,volkswagen,30312626
4,Golf,2022,24999,Semi-Auto,8000,Hybrid,50.4,1.5,volkswagen,30158235
5,Golf,2022,24999,Semi-Auto,6500,Hybrid,50.4,1.5,volkswagen,30158236
6,Passat,2023,42690,Semi-Auto,3000,Hybrid,41.5,1.4,volkswagen,29873799
7,Arteon,2021,33690,Semi-Auto,19000,Hybrid,44.1,1.4,volkswagen,30300639
8,Golf,2020,20380,Automatic,10918,Petrol,44.8,1.5,volkswagen,30207541
9,Golf,2023,27990,Semi-Auto,412,Hybrid,54.3,1,volkswagen,30287350
10,Golf,2022,30990,Semi-Auto,6068,Hybrid,176.6,1.4,volkswagen,29614473
11,Golf,2021,23690,Semi-Auto,7726,Hybrid,50.4,1.5,volkswagen,30236891
12,Passat,2023,43499,Semi-Auto,1547,Hybrid,41.5,1.4,volkswagen,30259716
13,Golf,2018,20449,Semi-Auto,26176,Hybrid,156.9,1.4,volkswagen,29986867
14,Golf,2022,23990,Semi-Auto,8095,Hybrid,50.4,1.5,volkswagen,30106024
15,Tiguan,2021,34950,Semi-Auto,7700,Hybrid,156.9,1.4,volkswagen,30170774
16,Golf,2021,21300,Semi-Auto,26600,Hybrid,50.4,1.5,volkswagen,30054939
17,Golf,2018,19500,Semi-Auto,39888,Hybrid,166.2,1.4,volkswagen,30259990
18,Golf,2018,18750,Semi-Auto,43495,Hybrid,166.2,1.4,volkswagen,30080716
19,Golf,2020,21800,Semi-Auto,18651,Hybrid,44.8,1.5,volkswagen,30098349
20,Golf,2021,20900,Semi-Auto,26285,Hybrid,51.4,1.5,volkswagen,30258527
21,Tiguan,2021,35890,Automatic,20381,Petrol,156.9,1.4,volkswagen,29951492
22,Multivan,2022,61995,Semi-Auto,2827,Hybrid,156.9,1.4,volkswagen,30146578
23,Golf,2020,20995,Semi-Auto,38644,Hybrid,141.3,1.4,volkswagen,30311282
24,Golf,2021,22289,Automatic,22154,Hybrid,44.8,1.5,volkswagen,30207687
25,Golf,2018,20495,Automatic,20171,Petrol,166.2,1.4,volkswagen,28200654
26,Golf,2021,24490,Automatic,9000,Petrol,54.3,1.0,volkswagen,29602252
27,Passat,2017,15500,Automatic,62030,Petrol,166,1.4,volkswagen,30202281
28,Passat,2017,15200,Automatic,85100,Petrol,166,1.4,volkswagen,29906860
29,Arteon,2023,41990,Automatic,1500,Petrol,44.8,1.4,volkswagen,29981565
30,Arteon,2023,41990,Automatic,1500,Petrol,44.8,1.4,volkswagen,29981565
31,Passat,2023,42990,Automatic,2000,Petrol,41.5,1.4,volkswagen,30120899
32,Golf,2022,39990,Automatic,4781,Petrol,176.6,1.4,volkswagen,29142306
33,Tiguan,2022,36990,Automatic,7500,Petrol,156.9,1.4,volkswagen,28858419
34,Arteon,2022,37990,Automatic,13830,Petrol,44.8,1.4,volkswagen,30163797
35,Golf,2021,27490,Automatic,33313,Petrol,176.6,1.4,volkswagen,30205352
36,Passat,2019,26490,Automatic,45792,Petrol,41.5,1.4,volkswagen,30051027
37,Passat,2020,21200,Semi-Auto,62407,Hybrid,42.8,1.4,volkswagen,30164435
38,Multivan,2023,59990,Automatic,6119,Hybrid,156.9,1.4,volkswagen,30263711
39,Golf,2020,23889,Automatic,7996,Hybrid,44.8,1.5,volkswagen,30265460
40,Golf,2021,32995,Semi-Auto,13489,Hybrid,176.6,1.4,volkswagen,29745884
41,Golf,2016,16995,Semi-Auto,28128,Hybrid,188.3,1.4,volkswagen,30105655
42,Golf,2018,19995,Semi-Auto,39998,Hybrid,156.9,1.4,volkswagen,29272340
43,Passat,2020,23995,Semi-Auto,55721,Hybrid,41.5,1.4,volkswagen,30258443
44,Golf,2022,29514,Semi-Auto,3809,Hybrid,49.6,1.5,volkswagen,30263132
45,Golf,2022,29484,Semi-Auto,4089,Hybrid,49.6,1.5,volkswagen,30263131
46,Multivan,2022,63281,Semi-Auto,7158,Hybrid,156.9,1.4,volkswagen,29766381
47,Passat,2020,26336,Semi-Auto,30294,Hybrid,42.8,1.4,volkswagen,30192840
48,Golf,2022,28990,Semi-Auto,2459,Hybrid,49.6,1.5,volkswagen,30058193
49,Golf,2022,28690,Semi-Auto,5694,Hybrid,49.6,1.5,volkswagen,30058194
50,Golf,2022,27990,Semi-Auto,8642,Hybrid,49.6,1.5,volkswagen,30058202
51,Golf,2020,24990,Semi-Auto,16469,Hybrid,47.1,1.5,volkswagen,30192801
52,Golf,2021,29534,Semi-Auto,13134,Hybrid,176.6,1.4,volkswagen,29629090
53,Golf,2021,28235,Semi-Auto,24503,Hybrid,176.6,1.4,volkswagen,29530501
54,Golf,2020,19353,Semi-Auto,49500,Hybrid,44.8,1.5,volkswagen,30215154
55,Golf,2020,20900,Semi-Auto,38933,Hybrid,44.8,1.5,volkswagen,30151802
56,Tiguan,2022,39724,Automatic,11811,Petrol,176.6,1.4,volkswagen,28200302
57,Golf,2021,28999,Automatic,12856,Petrol,176.6,1.4,volkswagen,30291793
58,Golf,2023,32490,Semi-Auto,3000,Hybrid,None,1.4,volkswagen,29669332
59,Golf,2023,32490,Semi-Auto,3000,Hybrid,None,1.4,volkswagen,29817668
60,Golf,2020,27999,Semi-Auto,15652,Hybrid,176.6,1.4,volkswagen,30058912
61,Passat,2018,20141,Semi-Auto,33587,Hybrid,166,1.4,volkswagen,30171054
62,Golf,2020,22500,Semi-Auto,15583,Hybrid,44.8,1.5,volkswagen,29799899
63,Passat,2017,16000,Automatic,73920,Petrol,166,1.4,volkswagen,30242309
64,Golf,2022,27500,Automatic,8100,Petrol,49.6,1.5,volkswagen,30140313
65,Passat,2017,15500,Automatic,81100,Petrol,166,1.4,volkswagen,29847724
66,Passat,2017,15600,Automatic,82800,Petrol,166,1.4,volkswagen,30034007
67,Golf,2018,13700,Automatic,92450,Petrol,166.2,1.4,volkswagen,30105526
68,Golf,2018,14500,Automatic,104240,Petrol,156.9,1.4,volkswagen,30223203
69,Golf,2020,22998,Semi-Auto,17045,Hybrid,44.8,1.5,volkswagen,30251540
70,Arteon,2023,44495,Automatic,1000,Petrol,47.9,1.4,volkswagen,30157089
71,Golf,2022,40000,Automatic,3500,Petrol,0.9,1.4,volkswagen,29000060
72,Golf,2015,14495,Automatic,52896,Hybrid,None,1.4,volkswagen,30012376
73,Passat,2022,34490,Semi-Auto,7500,Hybrid,42.8,1.4,volkswagen,30111866
74,Golf,2021,29757,Semi-Auto,12681,Hybrid,176.6,1.4,volkswagen,30311210
75,Passat,2021,28980,Semi-Auto,18051,Hybrid,43.5,1.4,volkswagen,30082770
76,Golf,2018,18000,Automatic,52490,Petrol,156.9,1.4,volkswagen,29695982
77,Passat,2017,15200,Automatic,86240,Petrol,166,1.4,volkswagen,29867286
78,Passat,2018,15500,Automatic,86590,Petrol,166,1.4,volkswagen,30185680
79,Golf,2017,13200,Automatic,113880,Petrol,156.9,1.4,volkswagen,30105423
80,Passat,2017,12700,Automatic,117290,Petrol,166,1.4,volkswagen,29847631
81,Golf,2021,28750,Automatic,5625,Hybrid,176.6,1.4,volkswagen,29465820
82,Golf,2021,28750,Automatic,11443,Hybrid,176.6,1.4,volkswagen,30250257
83,Tiguan,2023,42500,Semi-Auto,732,Hybrid,156.9,1.4,volkswagen,29980498
84,Golf,2022,30500,Semi-Auto,3374,Hybrid,None,1.4,volkswagen,29802286
85,Golf,2022,29500,Semi-Auto,7000,Hybrid,None,1.4,volkswagen,29974102
86,Golf,2023,30995,Semi-Auto,1807,Hybrid,49.6,1.5,volkswagen,30223333
87,Multivan,2022,53995,Semi-Auto,8226,Hybrid,156.9,1.4,volkswagen,30180396
88,Golf,2021,21995,Semi-Auto,18563,Hybrid,50.4,1.5,volkswagen,30309810
89,Golf,2020,19995,Semi-Auto,34514,Hybrid,44.8,1.5,volkswagen,30309812
90,Golf,2021,27495,Semi-Auto,34720,Hybrid,176.6,1.4,volkswagen,30001827
91,Passat,2018,19995,Semi-Auto,42668,Hybrid,166,1.4,volkswagen,30004624
92,Golf,2022,29490,Semi-Auto,3260,Hybrid,None,1.4,volkswagen,30058254
93,Arteon,2021,32490,Semi-Auto,7295,Hybrid,47.1,1.4,volkswagen,30300527
94,Golf,2021,26200,Semi-Auto,16085,Hybrid,None,1.4,volkswagen,30214531
95,Passat,2019,21995,Semi-Auto,50112,Hybrid,41.5,1.4,volkswagen,29835254
96,Multivan,2022,53995,Semi-Auto,14811,Hybrid,156.9,1.4,volkswagen,30058625
97,Golf,2020,22500,Automatic,16000,Petrol,44.8,1.5,volkswagen,30125740
98,Golf,2015,16450,Semi-Auto,32739,Hybrid,None,1.4,volkswagen,30236809
99,Golf,2020,24791,Semi-Auto,30681,Hybrid,47.1,1.5,volkswagen,30275878
100,Golf,2020,24250,Semi-Auto,18521,Hybrid,47.1,1.5,volkswagen,30221006
101,Golf,2022,28790,Semi-Auto,6924,Hybrid,49.6,1.5,volkswagen,30300164
102,Golf,2022,28990,Semi-Auto,4599,Hybrid,49.6,1.5,volkswagen,30118925
103,Golf,2020,29490,Semi-Auto,20879,Hybrid,176.6,1.4,volkswagen,26263812
104,Golf,2018,20000,Semi-Auto,44678,Hybrid,156.9,1.4,volkswagen,30081143
105,Golf,2020,22000,Semi-Auto,31254,Hybrid,44.8,1.5,volkswagen,30314659
106,Golf,2020,18990,Semi-Auto,44235,Hybrid,44.8,1.5,volkswagen,30314654
107,Passat,2019,20829,Semi-Auto,67535,Hybrid,41.5,1.4,volkswagen,30090888
108,Passat,2018,20963,Semi-Auto,46106,Hybrid,166,1.4,volkswagen,29889799
109,Golf,2022,29790,Semi-Auto,3304,Hybrid,None,1.4,volkswagen,30186281
110,Passat,2018,21490,Semi-Auto,37824,Hybrid,166,1.4,volkswagen,30223705
111,Golf,2020,28990,Semi-Auto,15489,Hybrid,176.6,1.4,volkswagen,30025346
112,Golf,2021,28490,Semi-Auto,26972,Hybrid,176.6,1.4,volkswagen,29923953
113,Golf,2021,23492,Semi-Auto,11498,Hybrid,49.6,1.5,volkswagen,29704222
114,Golf,2021,21792,Semi-Auto,18704,Hybrid,50.4,1.5,volkswagen,29642480
115,Golf,2021,20992,Semi-Auto,27655,Hybrid,50.4,1.5,volkswagen,29684907
116,Golf,2022,29990,Semi-Auto,2947,Hybrid,49.6,1.5,volkswagen,30293296
117,Golf,2022,29990,Semi-Auto,5064,Hybrid,49.6,1.5,volkswagen,30097062
118,Golf,2022,29290,Semi-Auto,4856,Hybrid,49.6,1.5,volkswagen,30317565
119,Golf,2020,20695,Automatic,34385,Petrol/Electric,44.8,1.5,volkswagen,30274307
120,Golf,2023,26990,Semi-Auto,3596,Hybrid,None,1,volkswagen,30077307
121,Golf,2022,27991,Semi-Auto,11405,Hybrid,49.6,1.5,volkswagen,30230858
122,Passat,2019,25497,Semi-Auto,21007,Hybrid,43.5,1.4,volkswagen,30221225
123,Golf,2022,29995,Semi-Auto,5011,Hybrid,None,1.4,volkswagen,29456340
124,Golf,2020,21295,Semi-Auto,23590,Hybrid,44.8,1.5,volkswagen,29989191
125,Passat,2023,49999,Semi-Auto,2326,Hybrid,41.5,1.4,volkswagen,30151567
126,Golf,2021,24299,Semi-Auto,2741,Hybrid,50.4,1.5,volkswagen,30300382
127,Tiguan,2023,61999,Semi-Auto,4316,Hybrid,156.9,1.4,volkswagen,29695278
128,Touareg,2011,16995,Automatic,94500,Petrol,None,3.0,volkswagen,29734804
129,Arteon,2022,39495,Semi-Auto,7785,Hybrid,44.1,1.4,volkswagen,30287576
130,Golf,2021,23995,Semi-Auto,9499,Hybrid,49.6,1.5,volkswagen,30026834
131,Golf,2021,25995,Semi-Auto,17893,Hybrid,50.4,1.5,volkswagen,30283312
132,Golf,2016,13495,Automatic,80134,Petrol,None,1.4,volkswagen,30315516
133,Golf,2021,20975,Semi-Auto,18813,Hybrid,54.3,1,volkswagen,30283217
134,Golf,2020,22290,Semi-Auto,14291,Hybrid,44.8,1.5,volkswagen,30096823
135,Golf,2021,22900,Semi-Auto,30300,Hybrid,49.6,1.5,volkswagen,30220426
136,Golf,2017,19989,Automatic,32906,Hybrid,156.9,1.4,volkswagen,30126860
137,Golf,2016,16495,Automatic,47000,Petrol,188.3,1.4,volkswagen,29951594
138,Golf,2022,29490,Semi-Auto,2388,Hybrid,49.6,1.5,volkswagen,30295326
139,Golf,2022,28990,Semi-Auto,4967,Hybrid,49.6,1.5,volkswagen,30302948
140,Golf,2021,28990,Semi-Auto,17978,Hybrid,176.6,1.4,volkswagen,29892152
141,Golf,2022,29990,Semi-Auto,7358,Hybrid,49.6,1.5,volkswagen,30293299
142,Golf,2022,28990,Semi-Auto,9442,Hybrid,49.6,1.5,volkswagen,30240711
143,Golf,2022,27990,Semi-Auto,13896,Hybrid,49.6,1.5,volkswagen,30300169
144,Golf,2021,29490,Semi-Auto,19528,Hybrid,176.6,1.4,volkswagen,30074133
145,Golf,2021,23222,Automatic,12221,Hybrid,49.6,1.5,volkswagen,30099137
146,Golf,2023,32999,Semi-Auto,1000,Hybrid,50.4,1.5,volkswagen,30010894
147,Golf,2023,44999,Semi-Auto,1000,Hybrid,176.6,1.4,volkswagen,29866891
148,Tiguan,2023,44999,Semi-Auto,4000,Hybrid,156.9,1.4,volkswagen,29732035
149,Golf,2021,24999,Semi-Auto,6000,Hybrid,50.4,1.5,volkswagen,29465441
150,Golf,2018,20499,Semi-Auto,39667,Hybrid,156.9,1.4,volkswagen,30222218
151,Golf,2023,27000,Semi-Auto,1523,Hybrid,50.4,1.5,volkswagen,29878092
152,Golf,2021,22221,Semi-Auto,13171,Hybrid,50.4,1.5,volkswagen,30218013
153,Golf,2020,21941,Semi-Auto,27623,Hybrid,44.8,1.5,volkswagen,30218012
154,Golf,2022,28480,Semi-Auto,7633,Hybrid,49.6,1.5,volkswagen,30174029
155,Golf,2021,29990,Semi-Auto,18584,Hybrid,176.6,1.4,volkswagen,29806869
156,Golf,2022,28990,Semi-Auto,3757,Hybrid,49.6,1.5,volkswagen,29823428
157,Golf,2022,28990,Semi-Auto,4778,Hybrid,49.6,1.5,volkswagen,30301002
158,Golf,2022,28190,Semi-Auto,6057,Hybrid,48.7,1.5,volkswagen,30285932
159,Golf,2022,28990,Semi-Auto,6907,Hybrid,49.6,1.5,volkswagen,30281659
160,Golf,2022,28490,Semi-Auto,7274,Hybrid,49.6,1.5,volkswagen,30290991
161,Arteon,2022,39990,Semi-Auto,9966,Hybrid,44.1,1.4,volkswagen,30125005
162,Golf,2021,30290,Semi-Auto,18589,Hybrid,176.6,1.4,volkswagen,30074744
163,Golf,2016,16240,Automatic,49000,Petrol,188.3,1.4,volkswagen,29247025
