,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,TT,2019,20999,Automatic,47000,Petrol,40.4,2.0,audi,30029005
1,A4,2003,1995,Automatic,118000,Petrol,33.6,1.8,audi,30040039
2,Q7,2007,6995,Automatic,120252,Diesel,None,3.0,audi,28464166
3,Q7,2007,5950,Automatic,121654,Diesel,26.9,3.0,audi,29973124
4,Q7,2007,5950,Automatic,121654,Diesel,None,3.0,audi,28472877
5,Q5,2011,6975,Manual,125000,Diesel,42.1,2.0,audi,28717618
6,A4,2004,1775,Manual,131000,Petrol,33.2,1.8,audi,28135061
7,Q3,2013,6975,Manual,138000,Diesel,54.3,2.0,audi,29519098
8,S5,2011,10485,Automatic,97200,Petrol,29.1,3.0,audi,29907991
9,A3,2011,4585,Manual,108597,Petrol,49.6,1.4,audi,29781528
10,Q3,2012,7585,Manual,110471,Diesel,54.3,2.0,audi,30019767
11,A3,2010,3395,Manual,113000,Petrol,42.2,1.8,audi,29875205
12,A6,2007,3199,Manual,117000,Diesel,39.8,2.7,audi,27407548
13,A3,2005,2500,Manual,120898,Petrol,42.8,1.6,audi,29504358
14,A8,2005,3285,Automatic,133371,Diesel,33.6,3.0,audi,29504356
15,A4,2009,3285,Manual,144980,Diesel,49.6,2.0,audi,29649429
16,S3,2001,4995,Manual,148000,Petrol,31,1.8,audi,28134580
17,A5,2008,5000,Manual,95000,Petrol,42.8,2.0,audi,29938162
18,A3,2008,4000,Manual,101028,Diesel,55.4,2.0,audi,29983596
19,A5,2010,12495,Automatic,67000,Petrol,30.1,3.0,audi,29263336
20,Q3,2016,21399,Semi-Auto,16991,Petrol,40.4,2,audi,29826377
21,Q5,2021,43999,Semi-Auto,17460,Hybrid,166.2,2,audi,30009735
22,Q2,2018,18299,Manual,27935,Petrol,50.4,1.4,audi,29664972
23,TT,2016,15799,Manual,51727,Petrol,47.1,1.8,audi,29993025
24,A3,2018,22200,Semi-Auto,17981,Petrol,56.5,1.5,audi,29614172
25,Q2,2020,18900,Manual,27000,Diesel,49.6,1.6,audi,29969439
26,A4,2019,21800,Semi-Auto,39840,Diesel,48.7,2,audi,29932129
27,A3,2021,27000,Semi-Auto,26278,Hybrid,235.4,1.4,audi,30051881
28,A4,2020,30000,Semi-Auto,16822,Petrol,36.7,2,audi,29714212
29,A4,2017,20700,Semi-Auto,51014,Diesel,61.4,2,audi,29751829
30,TT,2022,27450,Automatic,1700,Petrol,38.7,2.0,audi,29808487
31,A1,2018,17750,Automatic,28476,Petrol,55.4,1.4,audi,29790568
32,Q8,2018,41950,Automatic,46252,Diesel,33.6,3.0,audi,30038423
33,TT,2017,18750,Automatic,62118,Petrol,42.8,2.0,audi,29951603
34,A3,2016,13250,Automatic,75407,Petrol,176.6,1.4,audi,29608433
35,S3,2016,17985,Automatic,108500,Petrol,None,2.0,audi,29969816
36,A4,2013,5950,Automatic,122908,Diesel,57.6,2.0,audi,29913173
37,Q5,2010,12995,Automatic,27000,Petrol,None,2.0,audi,29965001
38,Q7,2008,13995,Automatic,33000,Petrol,None,4.2,audi,29818393
39,A4,2013,14995,Automatic,40000,Petrol,None,2.0,audi,29908846
40,Q7,2011,16995,Automatic,42000,Petrol,None,3.0,audi,30001076
41,A6 allroad,2012,14995,Automatic,56000,Petrol,None,3.0,audi,29883088
42,A8,2019,28995,Automatic,58000,Petrol,None,3.0,audi,29908842
43,A4,2009,9995,Automatic,59000,Petrol,None,2.0,audi,29852229
44,A4,2012,12995,Automatic,60000,Petrol,None,2.0,audi,29908847
45,A6,2020,29495,Automatic,40000,Diesel,39.8,2.97,audi,29883951
46,A4,2018,21990,Automatic,46000,Petrol,36.7,3,audi,29790994
47,A4,2016,9389,Manual,82000,Diesel,74.3,1.97,audi,29959162
48,e-tron,2020,31499,Black,Electric,Automatic,10000,,audi,29464574
49,A4,2018,17899,Manual,33286,Petrol,51.4,1.4,audi,29845745
50,A1,2017,11199,Manual,47254,Petrol,67.3,1,audi,29942389
51,A1,2018,11599,Manual,73042,Petrol,56.5,1.4,audi,29845747
52,A4,2006,3995,Automatic,73000,Petrol,33.2,2.0,audi,29815315
53,A1,2011,7495,Automatic,108000,Petrol,47.9,1.4,audi,29815370
54,Q5,2009,6495,Manual,109000,Diesel,42.1,2.0,audi,29815283
55,A4,2009,4995,Manual,113000,Diesel,55.4,2.0,audi,29815329
56,Q5,2016,13995,Automatic,133000,Diesel,47.1,2.0,audi,29815360
57,A6,2010,4995,Automatic,135000,Diesel,47.9,2.0,audi,29815299
58,A4,2015,7995,Manual,144000,Diesel,48.7,2.0,audi,29815278
59,A3,2015,8495,Manual,152000,Diesel,68.9,2.0,audi,29815396
60,A4,2005,1995,Manual,183000,Diesel,47.9,2.0,audi,29815205
61,A4,2009,2495,Automatic,202000,Diesel,51.4,2.0,audi,29977547
62,A1,2020,22999,Semi-Auto,1478,Petrol,44.1,1.0,audi,29893690
63,A1,2021,19699,Manual,10302,Petrol,49.6,1.0,audi,30042463
64,A3,2019,22599,Semi-Auto,10866,Petrol,42.2,1.5,audi,29906046
65,A1,2018,15549,Manual,10977,Petrol,47.9,1.0,audi,29563107
66,Q2,2017,20049,Semi-Auto,11143,Petrol,54.3,1.4,audi,30003803
67,A1,2019,18049,Manual,11294,Petrol,51.4,1.0,audi,29831148
68,Q2,2021,24549,Manual,11696,Petrol,45.6,1.0,audi,29836479
69,A1,2019,16549,Manual,12218,Petrol,52.3,1.0,audi,29812468
70,A1,2019,20049,Manual,12561,Petrol,46.3,1.5,audi,29842526
71,A3,2021,24599,Manual,12821,Petrol,45.6,1.5,audi,29709669
72,A1,2018,15749,Manual,12933,Petrol,56.5,1.4,audi,29807969
73,Q3,2020,30049,Semi-Auto,12997,Diesel,44.8,2.0,audi,29898709
74,A5,2017,21649,Manual,13327,Diesel,65.7,2.0,audi,29916043
75,A1,2020,20049,Semi-Auto,13377,Petrol,45.6,1.0,audi,29969164
76,Q2,2021,24049,Manual,14098,Petrol,45.6,1.0,audi,29701793
77,A3,2021,28049,Semi-Auto,14142,Hybrid,235.4,1.4,audi,30010063
78,A6,2019,30849,Semi-Auto,14199,Diesel,47.9,2.0,audi,29786401
79,A1,2019,20049,Manual,14377,Petrol,47.9,1.0,audi,30015300
80,A3,2019,18049,Manual,14519,Petrol,43.5,1.5,audi,30008818
81,S3,2019,30949,Semi-Auto,14611,Petrol,34.5,2.0,audi,29855018
82,Q2,2019,19249,Manual,14692,Petrol,47.1,1.0,audi,29969122
83,A1,2019,22299,Semi-Auto,15387,Petrol,40.9,2.0,audi,29893677
84,S3,2020,31299,Semi-Auto,16223,Petrol,34.5,2.0,audi,29950363
85,TT,2019,25049,Semi-Auto,16291,Petrol,40.9,2.0,audi,29854965
86,Q2,2017,22049,Semi-Auto,16524,Petrol,52.3,1.4,audi,30042348
87,A3,2020,21349,Manual,16586,Petrol,50.4,1.0,audi,30008871
88,Q3,2019,25299,Semi-Auto,16668,Diesel,48.7,2.0,audi,29619780
89,A1,2017,15499,Semi-Auto,16768,Petrol,57.6,1.4,audi,29893716
90,Q3,2019,26549,Manual,20826,Diesel,40.9,2.0,audi,29773142
91,A1,2018,18849,Semi-Auto,20898,Petrol,55.4,1.4,audi,29974700
92,A1,2019,19049,Manual,21094,Petrol,49.6,1.0,audi,29986662
93,A3,2019,20249,Manual,21567,Petrol,42.2,1.5,audi,29854826
94,A3,2019,20849,Semi-Auto,21895,Petrol,44.8,1.0,audi,30042273
95,Q5,2019,30049,Semi-Auto,21973,Diesel,38.2,2.0,audi,29860443
96,A1,2019,21549,Semi-Auto,21996,Petrol,40.9,2.0,audi,30025590
97,Q2,2017,21049,Semi-Auto,22205,Petrol,52.3,1.4,audi,29871793
98,A1,2020,18999,Manual,22340,Petrol,47.9,1.0,audi,29723968
99,A1,2017,16049,Manual,22381,Petrol,56.5,1.4,audi,30008816
100,TT,2017,17549,Manual,18886,Diesel,61.4,2.0,audi,30042566
101,A1,2019,18349,Semi-Auto,18979,Petrol,47.9,1.0,audi,29847252
102,TT,2019,24599,Manual,18983,Petrol,38.2,2.0,audi,29969263
103,A3,2017,21549,Semi-Auto,19581,Petrol,56.5,1.5,audi,30046091
104,Q5,2018,26049,Semi-Auto,19679,Diesel,56.5,2.0,audi,29808068
105,A1,2017,18049,Semi-Auto,19701,Petrol,70.6,1.4,audi,29888231
106,A3,2019,21549,Manual,19719,Petrol,42.2,1.5,audi,29773091
107,Q2,2019,20449,Semi-Auto,19956,Diesel,47.9,1.6,audi,29969035
108,Q3,2019,28049,Semi-Auto,20002,Diesel,47.1,2.0,audi,29768411
109,A3,2019,22549,Semi-Auto,20075,Diesel,50.4,2.0,audi,29826099
110,A3,2020,26699,Semi-Auto,20092,Petrol,41.5,1.5,audi,29974673
111,Q3,2020,25049,Manual,20615,Petrol,42.2,1.5,audi,29651828
112,A4,2020,29049,Semi-Auto,20655,Petrol,39.8,2.0,audi,30004029
113,A6,2019,26049,Semi-Auto,20749,Diesel,50.4,2.0,audi,29548314
