,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A3,2014,8250,Manual,93000,Diesel,67.3,2.0,audi,30023912
1,Q5,2020,29500,Automatic,53300,Diesel,38.2,2.0,audi,29919394
2,A1,2016,13000,Manual,19600,Petrol,57.6,1.4,audi,29748571
3,A1,2019,17400,Manual,53400,Petrol,50.4,1.0,audi,29597783
4,A3,2017,15450,Manual,42700,Diesel,68.9,1.6,audi,30007443
5,A1,2015,9700,Manual,67400,Diesel,80.7,1.6,audi,30029198
6,A3,2016,14240,Manual,45349,Diesel,70.6,1.6,audi,29886058
7,A6,2014,13490,Automatic,69985,Diesel,56.5,2.0,audi,29806218
8,Q5,2016,19490,Automatic,71816,Diesel,47.1,2.0,audi,29632379
9,TT,2017,23990,Automatic,75608,Petrol,40.9,2.0,audi,29749270
10,A6,2017,18990,Automatic,83672,Diesel,58.9,2.0,audi,29909001
11,A1,2016,9990,Manual,90672,Diesel,76.3,1.6,audi,29743308
12,SQ5,2016,22990,Automatic,93172,Diesel,42.2,3.0,audi,29749267
13,A4,2010,7790,Automatic,116303,Petrol,31.4,3.2,audi,29816249
14,Q5,2016,19990,Automatic,72980,Petrol,37.7,2.0,audi,30045602
15,A3,2010,4295,Manual,117335,Diesel,64.2,2.0,audi,29537856
16,A3,2008,3795,Manual,123375,Petrol,35.8,2.0,audi,29996586
17,A1,2016,10990,Manual,30000,Petrol,56.5,1.4,audi,28581518
18,TT,2005,2990,Manual,81000,Petrol,34,1.8,audi,26986040
19,A3,2012,6999,Manual,66000,Petrol,38.6,1.8,audi,30007790
20,TT,2019,25322,Semi-Auto,25825,Petrol,40.9,2,audi,29868314
21,A3,2022,29000,Manual,1000,Petrol,None,0,audi,29269028
22,A3,2022,29000,Manual,1000,Petrol,48.7,1,audi,29468511
23,TT,2022,37000,Semi-Auto,1000,Petrol,40.9,2,audi,29468442
24,TT,2022,37000,Semi-Auto,1000,Petrol,40.9,2,audi,29468447
25,TT,2022,37000,Semi-Auto,1000,Petrol,40.9,2,audi,29468448
26,A3,2022,32350,Manual,1200,Petrol,44.8,1.5,audi,29468441
27,A3,2022,27000,Manual,1500,Petrol,52.3,1,audi,29468432
28,A3,2022,28500,Manual,1500,Petrol,48.7,1,audi,29468519
29,A3,2022,28500,Manual,1500,Petrol,47.1,1.5,audi,29468510
30,Q5,2023,53000,Automatic,3000,Diesel,42.8,2.0,audi,29754169
31,Q5,2023,59000,Automatic,3000,Diesel,34.5,3.0,audi,29736667
32,A7,2022,48000,Semi-Auto,5000,Diesel,47.1,2,audi,29468582
33,Q2,2021,27500,Semi-Auto,5250,Petrol,42.8,1.5,audi,30015761
34,TT,2020,31500,Manual,5920,Petrol,39.2,2,audi,29989212
35,e-tron,2022,86150,Automatic,6236,Other,None,0,audi,28897238
36,A1,2022,21500,Manual,7500,Petrol,49.6,1,audi,29468455
37,A3,2022,26250,Manual,8100,Petrol,47.1,1.5,audi,30015760
