,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A7,2017,16000,Automatic,96056,Diesel,54.3,3.0,audi,29705547
1,A1,2015,14000,Automatic,45980,Petrol,56.5,1.4,audi,29643561
2,A3,2014,9000,Manual,75826,Diesel,67.3,2.0,audi,30042712
3,A1,2016,16250,Manual,15951,Petrol,56.5,1.4,audi,29737590
4,A1,2020,23049,Semi-Auto,1478,Petrol,44.1,1.0,audi,29893690
5,A1,2021,19699,Manual,10302,Petrol,49.6,1.0,audi,30042463
6,A3,2019,22599,Semi-Auto,10866,Petrol,42.2,1.5,audi,29906046
7,A1,2018,15799,Manual,10977,Petrol,47.9,1.0,audi,29563107
8,Q2,2017,20049,Semi-Auto,11143,Petrol,54.3,1.4,audi,30003803
9,A1,2019,18049,Manual,11294,Petrol,51.4,1.0,audi,29831148
10,Q2,2021,25049,Manual,11696,Petrol,45.6,1.0,audi,29836479
11,A1,2019,16549,Manual,12218,Petrol,52.3,1.0,audi,29812468
12,A1,2019,20049,Manual,12561,Petrol,46.3,1.5,audi,29842526
13,A3,2021,24599,Manual,12821,Petrol,45.6,1.5,audi,29709669
14,A1,2018,16049,Manual,12933,Petrol,56.5,1.4,audi,29807969
15,Q3,2020,30049,Semi-Auto,12997,Diesel,44.8,2.0,audi,29898709
16,A5,2017,22049,Manual,13327,Diesel,65.7,2.0,audi,29916043
17,A1,2020,20549,Semi-Auto,13377,Petrol,45.6,1.0,audi,29969164
18,A6,2020,30049,Semi-Auto,13912,Petrol,34,2.0,audi,29428972
19,Q2,2021,24449,Manual,14098,Petrol,45.6,1.0,audi,29701793
20,A1,2019,18049,Manual,18264,Petrol,51.4,1.0,audi,29916035
21,A1,2020,17649,Manual,18697,Petrol,49.6,1.0,audi,29836563
22,TT,2019,25049,Manual,18983,Petrol,38.2,2.0,audi,29969263
23,Q5,2018,26549,Semi-Auto,19679,Diesel,56.5,2.0,audi,29808068
24,Q2,2019,20849,Semi-Auto,19956,Diesel,47.9,1.6,audi,29969035
25,A3,2019,22999,Semi-Auto,20075,Diesel,50.4,2.0,audi,29826099
26,A3,2020,27049,Semi-Auto,20092,Petrol,41.5,1.5,audi,29974673
27,A4,2020,29049,Semi-Auto,20655,Petrol,39.8,2.0,audi,30004029
28,A6,2019,26049,Semi-Auto,20749,Diesel,50.4,2.0,audi,29548314
29,A1,2016,13399,Manual,20886,Petrol,55.4,1.4,audi,29878741
30,A3,2020,21349,Manual,16586,Petrol,50.4,1.0,audi,30008871
31,Q3,2019,26049,Semi-Auto,16668,Diesel,48.7,2.0,audi,29619780
