,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,S3,2019,30949,Semi-Auto,14611,Petrol,34.5,2.0,audi,29855018
1,Q2,2019,19599,Manual,14692,Petrol,47.1,1.0,audi,29969122
2,A1,2019,22299,Semi-Auto,15387,Petrol,40.9,2.0,audi,29893677
3,S3,2020,31549,Semi-Auto,16223,Petrol,34.5,2.0,audi,29950363
4,TT,2019,25049,Semi-Auto,16291,Petrol,40.9,2.0,audi,29854965
5,Q2,2017,22049,Semi-Auto,16524,Petrol,52.3,1.4,audi,30042348
6,A3,2020,21349,Manual,16586,Petrol,50.4,1.0,audi,30008871
7,Q3,2019,26049,Semi-Auto,16668,Diesel,48.7,2.0,audi,29619780
8,A1,2017,15499,Semi-Auto,16768,Petrol,57.6,1.4,audi,29893716
9,A3,2017,20949,Semi-Auto,16795,Diesel,61.4,2.0,audi,29888530
10,A1,2017,16049,Manual,22381,Petrol,56.5,1.4,audi,30008816
11,A4,2016,19049,Semi-Auto,22609,Petrol,53.3,2.0,audi,29779095
12,Q3,2017,19049,Manual,22719,Diesel,61.4,2.0,audi,29812531
13,A3,2018,21049,Semi-Auto,22972,Petrol,42.2,1.5,audi,29812441
14,A6,2017,19349,Manual,23695,Diesel,61.4,2.0,audi,29893717
15,A3,2018,19699,Semi-Auto,23961,Petrol,56.5,1.5,audi,29651750
16,Q3,2017,18049,Manual,24026,Petrol,51.4,1.4,audi,29950403
17,A1,2016,12799,Manual,24246,Petrol,57.6,1.4,audi,29855079
18,A3,2019,19299,Manual,24421,Petrol,42.8,1.5,audi,29658789
19,Q3,2019,27549,Semi-Auto,25208,Petrol,38.2,1.5,audi,29969086
20,A1,2017,18049,Semi-Auto,19701,Petrol,70.6,1.4,audi,29888231
21,A3,2019,21549,Manual,19719,Petrol,42.2,1.5,audi,29773091
22,Q2,2019,20849,Semi-Auto,19956,Diesel,47.9,1.6,audi,29969035
23,Q3,2019,28049,Semi-Auto,20002,Diesel,47.1,2.0,audi,29768411
24,A3,2019,22999,Semi-Auto,20075,Diesel,50.4,2.0,audi,29826099
25,A3,2020,27049,Semi-Auto,20092,Petrol,41.5,1.5,audi,29974673
26,Q3,2020,25049,Manual,20615,Petrol,42.2,1.5,audi,29651828
27,A4,2020,29049,Semi-Auto,20655,Petrol,39.8,2.0,audi,30004029
28,A6,2019,26049,Semi-Auto,20749,Diesel,50.4,2.0,audi,29548314
29,Q3,2019,26549,Manual,20826,Diesel,40.9,2.0,audi,29773142
30,Q3,2018,18849,Manual,26909,Petrol,51.4,1.4,audi,29986782
31,A3,2018,21549,Semi-Auto,27639,Petrol,56.5,1.5,audi,29993408
32,A3,2019,15349,Manual,27652,Petrol,48.7,1.0,audi,29734282
33,Q5,2018,25799,Semi-Auto,27711,Diesel,56.5,2.0,audi,29683143
34,A3,2019,19049,Manual,27856,Diesel,51.4,1.6,audi,29950229
35,A1,2019,20199,Semi-Auto,28360,Petrol,47.1,1.0,audi,29878684
36,Q2,2018,18049,Manual,28484,Petrol,52.3,1.4,audi,30008809
37,Q5,2019,28049,Semi-Auto,28742,Diesel,38.2,2.0,audi,29563174
38,A3,2019,16049,Manual,28775,Diesel,49.6,1.6,audi,29950277
39,A1,2019,19699,Semi-Auto,28914,Petrol,44.8,1.5,audi,29878646
40,Q2,2017,21049,Semi-Auto,22205,Petrol,52.3,1.4,audi,29871793
41,A1,2020,18999,Manual,22340,Petrol,47.9,1.0,audi,29723968
42,A1,2017,16049,Manual,22381,Petrol,56.5,1.4,audi,30008816
43,Q3,2019,24849,Semi-Auto,22489,Diesel,48.7,2.0,audi,29591132
44,A4,2016,19049,Semi-Auto,22609,Petrol,53.3,2.0,audi,29779095
45,A6,2019,28799,Semi-Auto,22673,Diesel,47.9,2.0,audi,29888384
46,Q3,2017,19049,Manual,22719,Diesel,61.4,2.0,audi,29812531
47,A3,2018,21049,Semi-Auto,22972,Petrol,42.2,1.5,audi,29812441
48,Q2,2019,17999,Manual,23176,Diesel,49.6,1.6,audi,29807990
49,A5,2019,23049,Semi-Auto,23327,Petrol,39.8,2.0,audi,29626100
50,A3,2018,18849,Manual,31898,Petrol,54.3,1.5,audi,29993427
51,A1,2016,12599,Manual,32085,Petrol,67.3,1.0,audi,29878728
52,A3,2018,18399,Manual,32203,Petrol,47.1,1.0,audi,29993479
53,A1,2016,14749,Manual,32393,Petrol,58.9,1.4,audi,29986704
54,A3,2019,21049,Semi-Auto,32487,Petrol,42.2,1.5,audi,30015260
55,Q2,2017,19049,Manual,32491,Petrol,50.4,1.4,audi,29915761
56,Q2,2018,19049,Semi-Auto,32745,Petrol,43.5,1.0,audi,29745764
57,A1,2017,13549,Manual,32757,Petrol,55.4,1.4,audi,29915719
58,Q2,2017,17349,Manual,32855,Petrol,52.3,1.4,audi,29969133
