,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A1,2019,16549,Manual,12218,Petrol,52.3,1.0,audi,29812468
1,A1,2019,20049,Manual,12561,Petrol,46.3,1.5,audi,29842526
2,A3,2021,24599,Manual,12821,Petrol,45.6,1.5,audi,29709669
3,A1,2018,16049,Manual,12933,Petrol,56.5,1.4,audi,29807969
4,Q3,2020,30049,Semi-Auto,12997,Diesel,44.8,2.0,audi,29898709
5,A5,2017,22049,Manual,13327,Diesel,65.7,2.0,audi,29916043
6,A1,2020,20549,Semi-Auto,13377,Petrol,45.6,1.0,audi,29969164
7,A6,2020,30049,Semi-Auto,13912,Petrol,34,2.0,audi,29428972
8,Q2,2021,24449,Manual,14098,Petrol,45.6,1.0,audi,29701793
9,A3,2021,27549,Semi-Auto,14142,Hybrid,235.4,1.4,audi,30010063
10,A1,2020,17649,Manual,18697,Petrol,49.6,1.0,audi,29836563
11,TT,2019,25049,Manual,18983,Petrol,38.2,2.0,audi,29969263
12,Q5,2018,26549,Semi-Auto,19679,Diesel,56.5,2.0,audi,29808068
13,Q2,2019,20849,Semi-Auto,19956,Diesel,47.9,1.6,audi,29969035
14,A3,2019,22999,Semi-Auto,20075,Diesel,50.4,2.0,audi,29826099
15,A3,2020,27049,Semi-Auto,20092,Petrol,41.5,1.5,audi,29974673
16,A4,2020,29049,Semi-Auto,20655,Petrol,39.8,2.0,audi,30004029
17,A6,2019,26049,Semi-Auto,20749,Diesel,50.4,2.0,audi,29548314
18,A1,2016,13399,Manual,20886,Petrol,55.4,1.4,audi,29878741
19,A1,2018,18849,Semi-Auto,20898,Petrol,55.4,1.4,audi,29974700
20,A1,2019,19049,Manual,21094,Petrol,49.6,1.0,audi,29986662
21,A3,2020,21599,Semi-Auto,21137,Hybrid,141.3,1.4,audi,30002104
22,Q2,2017,21049,Semi-Auto,22205,Petrol,52.3,1.4,audi,29871793
23,A1,2017,16049,Manual,22381,Petrol,56.5,1.4,audi,30008816
24,A4,2016,19049,Semi-Auto,22609,Petrol,53.3,2.0,audi,29779095
25,Q3,2017,19049,Manual,22719,Diesel,61.4,2.0,audi,29812531
26,A3,2018,21049,Semi-Auto,22972,Petrol,42.2,1.5,audi,29812441
27,A6,2017,19349,Manual,23695,Diesel,61.4,2.0,audi,29893717
28,A3,2018,19699,Semi-Auto,23961,Petrol,56.5,1.5,audi,29651750
29,Q3,2017,18049,Manual,24026,Petrol,51.4,1.4,audi,29950403
30,A1,2019,18649,Semi-Auto,18979,Petrol,47.9,1.0,audi,29847252
31,TT,2019,25049,Manual,18983,Petrol,38.2,2.0,audi,29969263
32,Q5,2018,26549,Semi-Auto,19679,Diesel,56.5,2.0,audi,29808068
33,A1,2017,18049,Semi-Auto,19701,Petrol,70.6,1.4,audi,29888231
34,A3,2019,21549,Manual,19719,Petrol,42.2,1.5,audi,29773091
35,Q2,2019,20849,Semi-Auto,19956,Diesel,47.9,1.6,audi,29969035
36,Q3,2019,28049,Semi-Auto,20002,Diesel,47.1,2.0,audi,29768411
37,A3,2019,22999,Semi-Auto,20075,Diesel,50.4,2.0,audi,29826099
38,A3,2020,27049,Semi-Auto,20092,Petrol,41.5,1.5,audi,29974673
39,Q3,2020,25049,Manual,20615,Petrol,42.2,1.5,audi,29651828
40,Q2,2019,19049,Manual,26163,Petrol,47.1,1.0,audi,30003734
41,A4,2016,18049,Manual,26341,Diesel,68.9,2.0,audi,29916201
42,A3,2018,20049,Semi-Auto,26463,Petrol,56.5,1.5,audi,29733970
43,Q3,2018,18849,Manual,26909,Petrol,51.4,1.4,audi,29986782
44,A3,2018,21549,Semi-Auto,27639,Petrol,56.5,1.5,audi,29993408
45,A3,2019,15349,Manual,27652,Petrol,48.7,1.0,audi,29734282
46,Q5,2018,25799,Semi-Auto,27711,Diesel,56.5,2.0,audi,29683143
47,A3,2019,19049,Manual,27856,Diesel,51.4,1.6,audi,29950229
48,A1,2019,20199,Semi-Auto,28360,Petrol,47.1,1.0,audi,29878684
49,Q2,2018,18049,Manual,28484,Petrol,52.3,1.4,audi,30008809
50,Q5,2019,28049,Semi-Auto,28742,Diesel,38.2,2.0,audi,29563174
51,A3,2019,16049,Manual,28775,Diesel,49.6,1.6,audi,29950277
52,A1,2019,19699,Semi-Auto,28914,Petrol,44.8,1.5,audi,29878646
53,A3,2019,19899,Manual,29604,Diesel,51.4,1.6,audi,29812486
54,Q3,2019,24049,Manual,30157,Diesel,42.8,2.0,audi,29734184
55,A5,2018,21549,Semi-Auto,30455,Petrol,50.4,1.4,audi,29915732
56,A3,2016,19949,Semi-Auto,30751,Petrol,56.5,1.4,audi,29854850
57,A1,2018,15899,Manual,31224,Petrol,55.4,1.4,audi,29916185
58,TT,2018,22249,Semi-Auto,31230,Diesel,52.3,2.0,audi,29878761
59,A5,2019,25549,Semi-Auto,31397,Diesel,50.4,2.0,audi,29915994
60,A3,2018,21049,Semi-Auto,22972,Petrol,42.2,1.5,audi,29812441
61,Q2,2019,17999,Manual,23176,Diesel,49.6,1.6,audi,29807990
62,A5,2019,23049,Semi-Auto,23327,Petrol,39.8,2.0,audi,29626100
63,A6,2017,19349,Manual,23695,Diesel,61.4,2.0,audi,29893717
64,A3,2019,22799,Semi-Auto,23715,Petrol,41.5,1.5,audi,29888533
65,A3,2018,19699,Semi-Auto,23961,Petrol,56.5,1.5,audi,29651750
66,Q3,2017,18049,Manual,24026,Petrol,51.4,1.4,audi,29950403
67,A1,2017,16049,Semi-Auto,24139,Petrol,56.5,1.4,audi,29847207
68,A1,2019,17249,Manual,24194,Petrol,50.4,1.0,audi,29888130
69,A1,2016,12799,Manual,24246,Petrol,57.6,1.4,audi,29855079
70,A1,2018,13949,Manual,24259,Petrol,57.7,1.4,audi,29826271
71,TT,2019,23949,Semi-Auto,24261,Petrol,40.9,2.0,audi,29854756
72,A3,2019,19299,Manual,24421,Petrol,42.8,1.5,audi,29658789
73,A1,2019,18699,Semi-Auto,24469,Petrol,45.6,1.0,audi,29799037
74,A1,2018,18049,Semi-Auto,24471,Petrol,55.4,1.4,audi,29716068
