,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Q3,2018,20800,Semi-Auto,41489,Petrol,47.9,1.4,audi,29995285
1,A5,2018,20500,Semi-Auto,49200,Diesel,68.9,2,audi,29982026
2,Q3,2020,33300,Semi-Auto,15718,Diesel,38.7,2,audi,29570427
3,A3,2017,20550,Semi-Auto,17025,Petrol,56.5,1.5,audi,29814078
4,A3,2017,17750,Manual,26709,Petrol,60.1,1.4,audi,25241584
5,Q3,2016,18495,Automatic,46000,Diesel,54.3,2.0,audi,29946415
6,A7,2014,18995,Automatic,58000,Diesel,47.9,3.0,audi,29581712
7,Q7,2018,37995,Automatic,64000,Diesel,47.1,3.0,audi,29954796
8,A3,2008,5495,Manual,99533,Petrol,38.6,1.8,audi,29896432
9,Q2,2017,20049,Semi-Auto,11143,Petrol,54.3,1.4,audi,30003803
10,Q2,2021,25049,Manual,11696,Petrol,45.6,1.0,audi,29836479
11,A1,2019,16549,Manual,12218,Petrol,52.3,1.0,audi,29812468
12,A1,2018,16049,Manual,12933,Petrol,56.5,1.4,audi,29807969
13,A5,2017,22049,Manual,13327,Diesel,65.7,2.0,audi,29916043
14,A1,2020,20549,Semi-Auto,13377,Petrol,45.6,1.0,audi,29969164
15,A6,2020,30049,Semi-Auto,13912,Petrol,34,2.0,audi,29428972
16,Q2,2021,24449,Manual,14098,Petrol,45.6,1.0,audi,29701793
17,A3,2021,27549,Semi-Auto,14142,Hybrid,235.4,1.4,audi,30010063
18,A1,2019,20049,Manual,14377,Petrol,47.9,1.0,audi,30015300
19,A3,2019,18049,Manual,14519,Petrol,43.5,1.5,audi,30008818
20,Q3,2020,30049,Semi-Auto,12997,Diesel,44.8,2.0,audi,29898709
21,A5,2017,22049,Manual,13327,Diesel,65.7,2.0,audi,29916043
22,A1,2020,20549,Semi-Auto,13377,Petrol,45.6,1.0,audi,29969164
23,A6,2020,30049,Semi-Auto,13912,Petrol,34,2.0,audi,29428972
24,Q2,2021,24449,Manual,14098,Petrol,45.6,1.0,audi,29701793
25,A3,2021,27549,Semi-Auto,14142,Hybrid,235.4,1.4,audi,30010063
26,A6,2019,30849,Semi-Auto,14199,Diesel,47.9,2.0,audi,29786401
27,A1,2019,20049,Manual,14377,Petrol,47.9,1.0,audi,30015300
28,A3,2019,18049,Manual,14519,Petrol,43.5,1.5,audi,30008818
29,S3,2019,30949,Semi-Auto,14611,Petrol,34.5,2.0,audi,29855018
30,Q2,2019,19599,Manual,14692,Petrol,47.1,1.0,audi,29969122
31,A1,2019,22299,Semi-Auto,15387,Petrol,40.9,2.0,audi,29893677
32,S3,2020,31549,Semi-Auto,16223,Petrol,34.5,2.0,audi,29950363
33,TT,2019,25049,Semi-Auto,16291,Petrol,40.9,2.0,audi,29854965
34,Q2,2017,22049,Semi-Auto,16524,Petrol,52.3,1.4,audi,30042348
35,A3,2020,21349,Manual,16586,Petrol,50.4,1.0,audi,30008871
36,Q3,2019,26049,Semi-Auto,16668,Diesel,48.7,2.0,audi,29619780
37,A1,2017,15499,Semi-Auto,16768,Petrol,57.6,1.4,audi,29893716
38,A3,2017,20949,Semi-Auto,16795,Diesel,61.4,2.0,audi,29888530
39,A3,2018,19549,Manual,17404,Petrol,47.1,1.0,audi,29888080
40,A4,2016,19049,Semi-Auto,22609,Petrol,53.3,2.0,audi,29779095
41,Q3,2017,19049,Manual,22719,Diesel,61.4,2.0,audi,29812531
42,A3,2018,21049,Semi-Auto,22972,Petrol,42.2,1.5,audi,29812441
43,A6,2017,19349,Manual,23695,Diesel,61.4,2.0,audi,29893717
44,A3,2018,19699,Semi-Auto,23961,Petrol,56.5,1.5,audi,29651750
45,Q3,2017,18049,Manual,24026,Petrol,51.4,1.4,audi,29950403
46,A1,2016,12799,Manual,24246,Petrol,57.6,1.4,audi,29855079
47,A3,2019,19299,Manual,24421,Petrol,42.8,1.5,audi,29658789
48,Q3,2019,27549,Semi-Auto,25208,Petrol,38.2,1.5,audi,29969086
49,Q2,2019,23249,Semi-Auto,25229,Petrol,42.2,1.5,audi,29871778
50,Q2,2019,18549,Manual,25278,Diesel,47.9,1.6,audi,29389445
51,A1,2017,12449,Manual,25429,Petrol,67.3,1.0,audi,29842621
52,Q2,2019,19349,Semi-Auto,25671,Diesel,47.9,1.6,audi,29675625
53,A3,2020,20049,Semi-Auto,25699,Diesel,51.4,2.0,audi,29924939
54,A3,2017,17449,Semi-Auto,25806,Diesel,70.6,1.6,audi,29568559
55,A1,2017,17049,Manual,25836,Petrol,70.6,1.4,audi,30015291
56,Q2,2019,19049,Manual,26163,Petrol,47.1,1.0,audi,30003734
57,A4,2016,18049,Manual,26341,Diesel,68.9,2.0,audi,29916201
58,A3,2018,20049,Semi-Auto,26463,Petrol,56.5,1.5,audi,29733970
59,Q3,2018,18849,Manual,26909,Petrol,51.4,1.4,audi,29986782
60,A3,2018,21549,Semi-Auto,27639,Petrol,56.5,1.5,audi,29993408
61,A3,2019,15349,Manual,27652,Petrol,48.7,1.0,audi,29734282
62,Q5,2018,25799,Semi-Auto,27711,Diesel,56.5,2.0,audi,29683143
63,A3,2019,19049,Manual,27856,Diesel,51.4,1.6,audi,29950229
64,A1,2019,20199,Semi-Auto,28360,Petrol,47.1,1.0,audi,29878684
65,Q2,2018,18049,Manual,28484,Petrol,52.3,1.4,audi,30008809
66,Q5,2019,28049,Semi-Auto,28742,Diesel,38.2,2.0,audi,29563174
67,A3,2019,16049,Manual,28775,Diesel,49.6,1.6,audi,29950277
68,A1,2019,19699,Semi-Auto,28914,Petrol,44.8,1.5,audi,29878646
69,A3,2019,19899,Manual,29604,Diesel,51.4,1.6,audi,29812486
70,A1,2020,18999,Manual,22340,Petrol,47.9,1.0,audi,29723968
71,A1,2017,16049,Manual,22381,Petrol,56.5,1.4,audi,30008816
72,Q3,2019,24849,Semi-Auto,22489,Diesel,48.7,2.0,audi,29591132
73,A4,2016,19049,Semi-Auto,22609,Petrol,53.3,2.0,audi,29779095
74,A6,2019,28799,Semi-Auto,22673,Diesel,47.9,2.0,audi,29888384
75,Q3,2017,19049,Manual,22719,Diesel,61.4,2.0,audi,29812531
76,A3,2018,21049,Semi-Auto,22972,Petrol,42.2,1.5,audi,29812441
77,Q2,2019,17999,Manual,23176,Diesel,49.6,1.6,audi,29807990
78,A5,2019,23049,Semi-Auto,23327,Petrol,39.8,2.0,audi,29626100
79,A6,2017,19349,Manual,23695,Diesel,61.4,2.0,audi,29893717
80,A1,2016,12599,Manual,32085,Petrol,67.3,1.0,audi,29878728
81,A3,2018,18399,Manual,32203,Petrol,47.1,1.0,audi,29993479
82,A1,2016,14749,Manual,32393,Petrol,58.9,1.4,audi,29986704
83,A3,2019,21049,Semi-Auto,32487,Petrol,42.2,1.5,audi,30015260
84,Q2,2017,19049,Manual,32491,Petrol,50.4,1.4,audi,29915761
85,Q2,2018,19049,Semi-Auto,32745,Petrol,43.5,1.0,audi,29745764
86,A1,2017,13549,Manual,32757,Petrol,55.4,1.4,audi,29915719
87,Q2,2017,17349,Manual,32855,Petrol,52.3,1.4,audi,29969133
88,A3,2019,21049,Semi-Auto,33094,Petrol,41.5,1.5,audi,29723875
89,A4,2018,19699,Manual,33133,Petrol,51.4,1.4,audi,29950334
90,Q5,2019,26549,Semi-Auto,33239,Diesel,39.2,2.0,audi,29734082
91,A3,2019,20049,Semi-Auto,33519,Petrol,42.2,1.5,audi,30015216
92,Q2,2019,22549,Semi-Auto,33887,Petrol,40.9,1.5,audi,29950295
93,A1,2017,13549,Manual,34210,Petrol,55.4,1.4,audi,29950396
94,A3,2018,17549,Manual,34249,Diesel,68.9,1.6,audi,29613849
95,A4,2019,20299,Manual,34965,Petrol,39.2,2.0,audi,29878648
96,Q3,2017,17549,Manual,35121,Petrol,51.4,1.4,audi,30015367
97,A3,2016,13549,Manual,35429,Diesel,70.6,1.6,audi,29422389
98,A3,2018,17849,Manual,35519,Petrol,60.1,1.0,audi,29969131
99,A4,2016,19799,Semi-Auto,35582,Petrol,45.6,2.0,audi,29786305
100,A1,2017,17349,Semi-Auto,35878,Diesel,70.6,1.6,audi,30015262
