,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A1,2017,11995,Manual,49000,Petrol,55.4,1.4,audi,29678978
1,A3,2016,15495,Manual,63000,Petrol,58.9,1.4,audi,29654944
2,TT,2011,7695,Manual,112000,Petrol,42.8,2.0,audi,29810145
3,Q2,2017,15500,Manual,53868,Diesel,64.2,1.6,audi,29819452
4,Q3,2014,15500,Automatic,56489,Diesel,48.7,2.0,audi,29819447
5,TT,2016,16500,Manual,59726,Petrol,47.1,2.0,audi,29367183
6,A3,2015,15250,Automatic,60914,Diesel,61.4,2.0,audi,29425227
7,A5,2014,14250,Automatic,63800,Diesel,53.3,2.0,audi,29819454
8,A3,2014,11500,Automatic,83048,Diesel,60.1,2.0,audi,29403124
9,A3,2015,14250,Manual,66309,Diesel,67.3,2.0,audi,29671439
10,Q2,2017,20049,Semi-Auto,11143,Petrol,54.3,1.4,audi,30003803
11,Q2,2021,25049,Manual,11696,Petrol,45.6,1.0,audi,29836479
12,A1,2019,16549,Manual,12218,Petrol,52.3,1.0,audi,29812468
13,A1,2018,16049,Manual,12933,Petrol,56.5,1.4,audi,29807969
14,A5,2017,22049,Manual,13327,Diesel,65.7,2.0,audi,29916043
15,A1,2020,20549,Semi-Auto,13377,Petrol,45.6,1.0,audi,29969164
16,A6,2020,30049,Semi-Auto,13912,Petrol,34,2.0,audi,29428972
17,Q2,2021,24449,Manual,14098,Petrol,45.6,1.0,audi,29701793
18,A3,2021,27549,Semi-Auto,14142,Hybrid,235.4,1.4,audi,30010063
19,A1,2019,20049,Manual,14377,Petrol,47.9,1.0,audi,30015300
20,A1,2018,16049,Manual,12933,Petrol,56.5,1.4,audi,29807969
21,Q3,2020,30049,Semi-Auto,12997,Diesel,44.8,2.0,audi,29898709
22,A5,2017,22049,Manual,13327,Diesel,65.7,2.0,audi,29916043
23,A1,2020,20549,Semi-Auto,13377,Petrol,45.6,1.0,audi,29969164
24,A6,2020,30049,Semi-Auto,13912,Petrol,34,2.0,audi,29428972
25,Q2,2021,24449,Manual,14098,Petrol,45.6,1.0,audi,29701793
26,A3,2021,27549,Semi-Auto,14142,Hybrid,235.4,1.4,audi,30010063
27,A6,2019,30849,Semi-Auto,14199,Diesel,47.9,2.0,audi,29786401
28,A1,2019,20049,Manual,14377,Petrol,47.9,1.0,audi,30015300
29,A3,2019,18049,Manual,14519,Petrol,43.5,1.5,audi,30008818
30,Q2,2019,20849,Semi-Auto,19956,Diesel,47.9,1.6,audi,29969035
31,A3,2019,22999,Semi-Auto,20075,Diesel,50.4,2.0,audi,29826099
32,A3,2020,27049,Semi-Auto,20092,Petrol,41.5,1.5,audi,29974673
33,A4,2020,29049,Semi-Auto,20655,Petrol,39.8,2.0,audi,30004029
34,A6,2019,26049,Semi-Auto,20749,Diesel,50.4,2.0,audi,29548314
35,A1,2016,13399,Manual,20886,Petrol,55.4,1.4,audi,29878741
36,A1,2018,18849,Semi-Auto,20898,Petrol,55.4,1.4,audi,29974700
37,A1,2019,19049,Manual,21094,Petrol,49.6,1.0,audi,29986662
38,A3,2020,21599,Semi-Auto,21137,Hybrid,141.3,1.4,audi,30002104
39,Q2,2017,21049,Semi-Auto,22205,Petrol,52.3,1.4,audi,29871793
40,A1,2017,16049,Manual,22381,Petrol,56.5,1.4,audi,30008816
41,A4,2016,19049,Semi-Auto,22609,Petrol,53.3,2.0,audi,29779095
42,Q3,2017,19049,Manual,22719,Diesel,61.4,2.0,audi,29812531
43,A3,2018,21049,Semi-Auto,22972,Petrol,42.2,1.5,audi,29812441
44,A6,2017,19349,Manual,23695,Diesel,61.4,2.0,audi,29893717
45,A3,2018,19699,Semi-Auto,23961,Petrol,56.5,1.5,audi,29651750
46,Q3,2017,18049,Manual,24026,Petrol,51.4,1.4,audi,29950403
47,A1,2016,12799,Manual,24246,Petrol,57.6,1.4,audi,29855079
48,A3,2019,19299,Manual,24421,Petrol,42.8,1.5,audi,29658789
49,Q3,2019,27549,Semi-Auto,25208,Petrol,38.2,1.5,audi,29969086
50,Q2,2019,23249,Semi-Auto,25229,Petrol,42.2,1.5,audi,29871778
51,Q2,2019,18549,Manual,25278,Diesel,47.9,1.6,audi,29389445
52,A1,2017,12449,Manual,25429,Petrol,67.3,1.0,audi,29842621
53,Q2,2019,19349,Semi-Auto,25671,Diesel,47.9,1.6,audi,29675625
54,A3,2020,20049,Semi-Auto,25699,Diesel,51.4,2.0,audi,29924939
55,A3,2017,17449,Semi-Auto,25806,Diesel,70.6,1.6,audi,29568559
