,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A3,2022,25241,Manual,1500,Petrol,51.4,1,audi,29473610
1,A3,2022,25241,Manual,2000,Petrol,51.4,1,audi,29473607
2,A3,2022,25991,Manual,2000,Petrol,48.7,1.5,audi,29473636
3,A1,2023,28991,Manual,2000,Petrol,49.6,1,audi,30004847
4,TT,2022,32991,Semi-Auto,2000,Petrol,41.5,2,audi,29473637
5,A3,2022,38991,Semi-Auto,2000,Diesel,57.7,2,audi,29473643
6,A3,2022,24341,Manual,2500,Petrol,51.4,1,audi,29473635
7,A3,2022,25991,Manual,2500,Petrol,48.7,1.5,audi,29473619
8,A5,2022,32991,Semi-Auto,3500,Diesel,58.9,2,audi,29473618
9,Q5,2021,37741,Semi-Auto,3775,Diesel,44.8,2,audi,29856788
10,A3,2022,27641,Manual,4300,Petrol,50.4,1,audi,29473616
11,A3,2022,29991,Semi-Auto,6000,Diesel,61.4,2,audi,29608275
12,A5,2022,32491,Semi-Auto,6000,Diesel,57.7,2,audi,29473600
13,RS Q8,2022,118991,Semi-Auto,6000,Petrol,21.1,4,audi,29866741
14,A3,2022,32741,Semi-Auto,6240,Petrol,47.9,1.5,audi,29832352
15,A3,2022,40491,Semi-Auto,6500,Petrol,35.3,2,audi,29877876
16,A3,2022,38991,Semi-Auto,6850,Petrol,35.3,2,audi,29866740
17,A6,2019,29491,Semi-Auto,8500,Diesel,47.9,2,audi,29739919
18,A1,2020,19341,Manual,9053,Petrol,49.6,1,audi,29594879
19,Q3,2019,25991,Manual,9244,Petrol,40.9,1.5,audi,29827286
20,A1,2022,23491,Manual,9981,Petrol,49.6,1,audi,29981477
21,A5,2022,31991,Semi-Auto,10000,Diesel,57.7,2,audi,29473629
22,A5,2022,34491,Semi-Auto,10000,Diesel,55.4,2,audi,29473625
23,Q2,2021,21491,Manual,10346,Petrol,48.7,1,audi,29987909
24,TT,2019,28991,Manual,11036,Petrol,39.2,2,audi,30026671
