,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,1 Series,2019,19490,Manual,23714,Diesel,72.4,1.5,bmw,29335294
1,1 Series,2019,14990,Manual,36678,Petrol,56.5,1.5,bmw,29912345
2,2 Series,2016,12490,Manual,46830,Petrol,52.3,1.5,bmw,29901332
3,1 Series,2018,22490,Automatic,48052,Petrol,39.8,3.0,bmw,29279660
4,3 Series,2019,25290,Automatic,50697,Petrol,8.8,2.0,bmw,29851678
5,1 Series,2016,12490,Manual,67418,Diesel,70.6,1.5,bmw,29983295
6,1 Series,2000,16490,Manual,25467,Petrol,53.3,1.5,bmw,30028822
7,1 Series,2000,9990,Manual,63586,Diesel,72.4,1.5,bmw,30035862
8,4 Series,2000,19490,Automatic,39638,Petrol,48.7,2.0,bmw,30044127
9,1 Series,2000,15990,Manual,30500,Petrol,56.5,1.5,bmw,30048030
10,3 Series,2018,21250,Automatic,21522,Diesel,64.2,2.0,bmw,30019799
11,1 Series,2020,19990,Manual,25561,Diesel,72.4,1.5,bmw,29868637
12,5 Series,2020,29650,Automatic,27852,Diesel,49.6,2.0,bmw,29908027
13,3 Series,2020,26990,Automatic,29531,Diesel,52.3,2.0,bmw,29689822
14,5 Series,2019,29995,Automatic,33000,Diesel,60.1,3.0,bmw,29154925
15,2 Series,2016,13995,Manual,38000,Diesel,44.1,1.5,bmw,26966930
16,4 Series,2018,21495,Automatic,38000,Diesel,65.7,2.0,bmw,29857746
17,1 Series,2019,18650,Automatic,40212,Diesel,67.3,2.0,bmw,29851670
18,4 Series,2016,17800,Automatic,40956,Diesel,65.7,2.0,bmw,29901271
19,4 Series,2015,16750,Automatic,46712,Diesel,None,2.0,bmw,29953923
20,3 Series,2016,16490,Automatic,59603,Diesel,64.2,2.0,bmw,29760442
21,3 Series,2017,19750,Automatic,61000,Diesel,56.5,3.0,bmw,29857747
22,1 Series,2017,12750,Manual,68761,Petrol,52.3,1.5,bmw,30002339
23,X1,2016,14850,Automatic,73979,Petrol,44.8,2.0,bmw,29760440
24,3 Series,2018,16550,Automatic,90758,Diesel,64.2,2.0,bmw,29912322
25,X5,2010,6995,Automatic,155000,Diesel,37.7,2.9,bmw,29833740
26,3 Series,2013,16500,Automatic,59751,Petrol,43.5,2.0,bmw,30044123
27,3 Series,2020,25990,Automatic,54210,Diesel,52.3,2.0,bmw,30048024
28,2 Series,2016,12450,Manual,39668,Petrol,52.3,1.5,bmw,29609156
29,3 Series,2015,10999,Manual,54000,Petrol,52.3,1.5,bmw,30032352
30,4 Series,2022,67995,Automatic,1853,Petrol,28,3.0,bmw,29937643
31,1 Series,2023,29995,Automatic,3040,Petrol,44.1,1.5,bmw,29996335
32,X5,2022,65995,Automatic,5974,Diesel,37.7,3.0,bmw,29793721
33,2 Series,2022,28995,Manual,6260,Petrol,45.6,1.5,bmw,29912405
34,4 Series,2021,38995,Automatic,7781,Diesel,54.3,2.0,bmw,29996328
35,X2,2021,32995,Automatic,8326,Petrol,36.2,2.0,bmw,29188073
36,1 Series,2020,23495,Manual,14194,Petrol,41.5,1.5,bmw,29937638
37,X3,2022,46995,Automatic,15316,Diesel,44.8,2.0,bmw,30000308
38,1 Series,2021,26995,Automatic,20007,Petrol,40.4,1.5,bmw,29901281
39,2 Series,2020,22995,Automatic,23160,Petrol,40.9,1.5,bmw,29989979
40,1 Series,2020,25995,Automatic,23234,Petrol,40.4,1.5,bmw,29996318
41,2 Series,2020,21995,Automatic,27989,Diesel,67.3,2.0,bmw,29912409
42,X3,2019,47995,Automatic,28147,Petrol,24.8,3.0,bmw,29937632
43,5 Series,2019,31995,Automatic,28565,Diesel,53.3,3.0,bmw,29791660
44,5 Series,2020,29995,Automatic,31417,Diesel,60.1,3.0,bmw,29912408
45,3 Series,2018,19490,Automatic,31987,Diesel,64.2,2.0,bmw,29543068
46,4 Series,2020,42995,Automatic,32902,Petrol,34,3.0,bmw,29908203
47,M2,2018,32995,Automatic,33685,Petrol,35.8,3.0,bmw,29937636
48,1 Series,2020,22995,Automatic,36206,Diesel,57.7,1.5,bmw,29844582
49,1 Series,2020,21995,Manual,37222,Petrol,41.5,1.5,bmw,29977387
50,2 Series,2020,28995,Automatic,42289,Petrol,36.2,2.0,bmw,29937633
51,5 Series,2016,21500,Automatic,46984,Diesel,51.4,3.0,bmw,29989976
52,4 Series,2018,20995,Automatic,47751,Diesel,65.7,2.0,bmw,29937635
53,5 Series,2019,27995,Automatic,47780,Diesel,46.3,2.0,bmw,29760576
54,M2,2016,28995,Automatic,49152,Petrol,35.8,3.0,bmw,29996330
55,5 Series,2017,24995,Automatic,51096,Diesel,60.1,2.0,bmw,29901333
56,1 Series,2017,13750,Manual,52731,Petrol,53.3,1.5,bmw,29996323
57,X4,2019,32995,Automatic,55044,Diesel,42.8,2.0,bmw,29989978
58,1 Series,2016,17995,Automatic,62750,Petrol,37.7,3.0,bmw,29977393
59,i4,2000,69995,Automatic,2161,Other,None,1.0,bmw,30039000
60,X1,2022,28995,Manual,3851,Petrol,44.1,1.5,bmw,29912407
61,X3,2022,42995,Automatic,6565,Diesel,47.1,2.0,bmw,29912400
62,4 Series,2022,74995,Automatic,9995,Petrol,28,3.0,bmw,29901282
63,4 Series,2000,40995,Automatic,10489,Petrol,39.2,2.0,bmw,30038997
64,4 Series,2000,41995,Automatic,12344,Petrol,39.2,2.0,bmw,30038998
65,1 Series,2000,23500,Manual,13003,Petrol,41.5,1.5,bmw,30038991
66,2 Series,2022,32995,Automatic,13204,Diesel,53.3,2.0,bmw,29964280
67,iX,2022,64995,Automatic,14802,Other,None,1.0,bmw,29844600
68,Z4,2019,32995,Automatic,14880,Petrol,37.2,2.0,bmw,29977395
69,1 Series,2021,22995,Automatic,15795,Diesel,53.3,2.0,bmw,29649496
70,4 Series,2000,36995,Automatic,19699,Diesel,54.3,2.0,bmw,30038995
71,3 Series,2021,27995,Automatic,20768,Petrol,188.3,2.0,bmw,29448498
72,3 Series,2000,28995,Automatic,23030,Petrol,188.3,2.0,bmw,30038987
73,2 Series,2021,23995,Automatic,23111,Petrol,44.8,1.5,bmw,29901311
74,3 Series,2000,28995,Automatic,24437,Diesel,52.3,2.0,bmw,30038994
75,i3,2000,17995,Automatic,24970,Other,None,1.0,bmw,30028828
76,X4,2019,46995,Automatic,28820,Petrol,24.8,3.0,bmw,29977389
77,M2,2018,31995,Automatic,30690,Petrol,35.8,3.0,bmw,29912399
78,1 Series,2000,23500,Automatic,34403,Petrol,39.8,3.0,bmw,30038989
79,3 Series,2000,30995,Automatic,36805,Petrol,8.8,2.0,bmw,30028825
80,X5,2019,50995,Automatic,37353,Diesel,33.6,3.0,bmw,29937639
81,1 Series,2015,12995,Automatic,40228,Diesel,67.3,2.0,bmw,29760566
82,X3,2017,22995,Automatic,42346,Diesel,54.3,2.0,bmw,29901294
83,2 Series,2000,18995,Automatic,42804,Diesel,65.7,2.0,bmw,30039003
84,i8,2019,56995,Automatic,43456,Petrol,141.2,1.5,bmw,29248495
85,2 Series,2016,14995,Automatic,43479,Diesel,68.9,2.0,bmw,29989973
86,3 Series,2019,26995,Automatic,47213,Petrol,8.8,2.0,bmw,29996337
87,5 Series,2000,19995,Automatic,47542,Diesel,68.9,2.0,bmw,30038990
88,3 Series,2021,24995,Automatic,58711,Petrol,188.3,2.0,bmw,29793707
89,4 Series,2015,19995,Automatic,58753,Diesel,49.6,3.0,bmw,29793705
90,3 Series,2018,21995,Automatic,58971,Diesel,56.5,3.0,bmw,29937644
91,3 Series,2014,12500,Automatic,63075,Petrol,43.5,2.0,bmw,29760564
92,X1,2017,19500,Automatic,69765,Petrol,44.8,2.0,bmw,29760565
93,2 Series,2022,33995,Automatic,6266,Petrol,44.8,1.5,bmw,29692283
94,i3,2018,18995,Automatic,22441,Other,None,1.0,bmw,29187978
95,M5,2000,58995,Automatic,39704,Petrol,25.2,4.4,bmw,30038988
96,1 Series,2000,30995,Automatic,2286,Petrol,44.1,1.5,bmw,30048059
97,2 Series,2000,49995,Automatic,2870,Petrol,32.1,3.0,bmw,30048050
98,4 Series,2000,53995,Automatic,3808,Petrol,33.6,3.0,bmw,30048061
99,4 Series,2000,37995,Automatic,4491,Diesel,54.3,2.0,bmw,30039002
100,i4,2022,50995,Automatic,4983,Other,None,0,bmw,29559495
101,8 Series,2022,49995,Automatic,5941,Petrol,33.6,3.0,bmw,29964279
102,X5,2000,77995,Automatic,7304,Petrol,188.3,3.0,bmw,30048060
103,4 Series,2022,41995,Automatic,7527,Petrol,39.2,2.0,bmw,29937642
104,3 Series,2022,42995,Automatic,8507,Diesel,43.5,3.0,bmw,29685945
105,3 Series,2021,31995,Automatic,9341,Diesel,56.5,2.0,bmw,29964284
106,3 Series,2023,42995,Automatic,9464,Diesel,51.4,2.0,bmw,29996336
107,M2,2000,38995,Manual,10441,Petrol,28.5,3.0,bmw,30048053
108,4 Series,2022,41995,Automatic,11121,Diesel,53.3,2.0,bmw,29996333
109,X3,2000,47995,Automatic,12588,Diesel,44.8,2.0,bmw,30048062
110,1 Series,2000,18995,Manual,14522,Petrol,52.3,1.5,bmw,30048051
111,8 Series,2000,44995,Automatic,14843,Petrol,32.5,3.0,bmw,30038992
112,2 Series,2020,30995,Automatic,16384,Petrol,36.2,2.0,bmw,29996322
113,3 Series,2021,34995,Automatic,23020,Petrol,39.8,2.0,bmw,29912397
114,X3,2000,33995,Automatic,26775,Diesel,48.7,3.0,bmw,30048065
115,5 Series,2000,29995,Automatic,41625,Diesel,44.1,2.0,bmw,30048055
116,X5,2000,48995,Automatic,43328,Diesel,33.6,3.0,bmw,30048056
117,6 Series,2000,28995,Automatic,43632,Diesel,53.3,3.0,bmw,30048064
118,4 Series,2000,16995,Manual,54421,Diesel,51.4,2.0,bmw,30048057
119,3 Series,2019,25990,Automatic,33056,Other,8.8,2.0,bmw,29592950
120,3 Series,2014,12450,Manual,58000,Petrol,44.8,2.0,bmw,29810116
121,1 Series,2011,5950,Automatic,107000,Petrol,42.8,2.0,bmw,29953907
122,1 Series,2021,25995,Automatic,2757,Petrol,42.8,1.5,bmw,29754895
123,4 Series,2020,26495,Automatic,13902,Petrol,48.7,2.0,bmw,29754894
124,5 Series,2020,29285,Automatic,19224,Diesel,49.6,2.0,bmw,30018768
125,X1,2019,24995,Automatic,20839,Petrol,39.2,2.0,bmw,29997988
126,2 Series,2021,31495,Automatic,21706,Petrol,36.2,2.0,bmw,29991687
127,i3,2020,23495,Automatic,12831,Other,None,0,bmw,28821807
128,3 Series,2019,25495,Automatic,26292,Petrol,42.2,2.0,bmw,30049454
129,3 Series,2019,26750,Automatic,22000,Petrol,42.2,2.0,bmw,29754697
130,4 Series,2017,19950,Automatic,38200,Diesel,65.7,2.0,bmw,29997686
131,3 Series,2018,15750,Manual,53000,Diesel,64.2,2.0,bmw,29524734
132,2 Series,2017,13750,Manual,50204,Petrol,52.3,1.5,bmw,28010156
133,3 Series,2018,15950,Automatic,74620,Petrol,48.7,2.0,bmw,29116333
134,X6,2021,53999,Semi-Auto,10009,Hybrid,28.8,3,bmw,30003218
135,X1,2019,24499,Semi-Auto,20798,Diesel,60.1,2,bmw,29986301
136,X1,2019,22999,Semi-Auto,23851,Diesel,60.1,2,bmw,30003219
137,X4,2019,38499,Semi-Auto,24355,Diesel,37.2,3,bmw,29973606
138,7 Series,2020,44999,Semi-Auto,25121,Diesel,None,3,bmw,29892119
139,2 Series,2019,18999,Manual,25769,Petrol,40.4,1.5,bmw,29987234
140,M4,2019,38999,Semi-Auto,30254,Petrol,34,3,bmw,30003214
141,2 Series,2017,15499,Semi-Auto,34047,Diesel,68.9,2,bmw,30009518
142,X4,2019,34999,Semi-Auto,41094,Diesel,40.4,3,bmw,29992817
143,X6,2017,29999,Semi-Auto,46809,Diesel,47.1,3,bmw,30002948
144,X5,2018,29499,Automatic,49918,Diesel,50.4,2,bmw,29477453
145,X1,2019,21799,Semi-Auto,40025,Petrol,37.7,2,bmw,30024594
146,7 Series,2020,44999,Semi-Auto,25121,Diesel,None,3,bmw,29892119
147,2 Series,2019,16399,Manual,29169,Petrol,40.9,1.5,bmw,29864440
148,X1,2019,22499,Semi-Auto,40768,Diesel,50.4,2,bmw,29665051
149,i3,2015,12999,Automatic,43616,Hybrid,None,0,bmw,29665776
150,5 Series,2019,22499,Semi-Auto,63708,Diesel,45.6,2,bmw,29721237
151,X2,2021,24750,Manual,23359,Diesel,52.3,2,bmw,30011435
152,i3,2017,17995,Automatic,33973,Other,470.8,0.6,bmw,29853385
153,2 Series,2019,16995,Manual,38093,Diesel,57.7,1.5,bmw,30013620
154,4 Series,2014,14995,Automatic,41202,Petrol,46.3,2.0,bmw,30007518
155,1 Series,2018,14495,Manual,23397,Diesel,78.5,1.5,bmw,29310047
156,4 Series,2019,17995,Automatic,70386,Diesel,49.6,2.0,bmw,29971756
157,2 Series,2019,15995,Manual,25000,Diesel,58.9,1.5,bmw,29977451
158,Z4,2005,6995,Automatic,46000,Petrol,29.7,2.5,bmw,29425506
159,3 Series,2012,8495,Manual,75000,Diesel,60.1,2.0,bmw,29920878
160,X1,2013,9750,Automatic,60000,Diesel,56.5,2.0,bmw,29304619
