,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,1 Series,2022,27049,Semi-Auto,5518,Petrol,44.1,1.5,bmw,29534101
1,2 Series,2019,20049,Manual,8256,Petrol,52.3,1.5,bmw,29915915
2,2 Series,2019,24549,Semi-Auto,11649,Petrol,39.8,3.0,bmw,29554682
3,1 Series,2018,20049,Semi-Auto,11700,Petrol,47.9,2.0,bmw,29916156
4,X4,2019,47049,Semi-Auto,12764,Petrol,24.8,3.0,bmw,29798193
5,1 Series,2018,19249,Semi-Auto,13232,Petrol,54.3,1.5,bmw,29974690
6,3 Series,2020,29699,Semi-Auto,18028,Diesel,56.5,2.0,bmw,29878784
7,5 Series,2019,25549,Semi-Auto,19399,Diesel,49.6,2.0,bmw,29666231
8,2 Series,2019,19199,Semi-Auto,20334,Petrol,50.4,1.5,bmw,29554675
9,1 Series,2020,25299,Semi-Auto,20406,Petrol,40.4,1.5,bmw,29855082
10,1 Series,2020,25049,Semi-Auto,21301,Diesel,62.8,2.0,bmw,29826248
11,1 Series,2020,23849,Semi-Auto,22357,Diesel,57.7,1.5,bmw,29916165
12,1 Series,2019,20349,Semi-Auto,22546,Petrol,54.3,1.5,bmw,29969110
13,3 Series,2021,28049,Semi-Auto,23341,Petrol,41.5,2.0,bmw,29916171
14,4 Series,2018,21849,Semi-Auto,23410,Diesel,65.7,2.0,bmw,29915951
15,5 Series,2018,23749,Semi-Auto,23641,Diesel,68.9,2.0,bmw,29826118
16,4 Series,2019,22549,Semi-Auto,25130,Petrol,48.7,2.0,bmw,29981287
17,1 Series,2019,17349,Semi-Auto,25818,Petrol,58.9,1.5,bmw,29958128
18,3 Series,2019,20649,Manual,26337,Diesel,56.5,2.0,bmw,29651889
19,X1,2019,23399,Semi-Auto,26672,Diesel,49.6,2.0,bmw,29871812
20,3 Series,2017,19549,Semi-Auto,26741,Diesel,64.2,2.0,bmw,29986737
21,X4,2018,31049,Semi-Auto,26804,Diesel,42.8,2.0,bmw,29505941
22,5 Series,2018,21899,Semi-Auto,27863,Diesel,52.3,2.0,bmw,29534271
23,1 Series,2019,20049,Semi-Auto,28839,Petrol,54.3,1.5,bmw,30003737
24,5 Series,2020,30049,Semi-Auto,29060,Petrol,46.3,2.0,bmw,29983030
25,1 Series,2018,16649,Manual,30267,Diesel,49.6,2.0,bmw,30008834
26,1 Series,2019,20049,Semi-Auto,30602,Diesel,67.3,2.0,bmw,29799255
27,1 Series,2019,15549,Manual,31154,Petrol,53.3,1.5,bmw,29986809
28,X1,2018,19899,Semi-Auto,31185,Diesel,60.1,2.0,bmw,29831168
29,1 Series,2020,21499,Semi-Auto,31329,Diesel,57.7,1.5,bmw,29974706
30,4 Series,2018,21549,Semi-Auto,22279,Petrol,48.7,2.0,bmw,29831207
31,1 Series,2020,23849,Semi-Auto,22357,Diesel,57.7,1.5,bmw,29916165
32,1 Series,2019,20349,Semi-Auto,22546,Petrol,54.3,1.5,bmw,29969110
33,X2,2018,22349,Manual,22641,Diesel,49.6,2.0,bmw,29888256
34,1 Series,2019,19049,Semi-Auto,22765,Petrol,54.3,1.5,bmw,29878750
35,3 Series,2021,28049,Semi-Auto,23341,Petrol,41.5,2.0,bmw,29916171
36,4 Series,2018,21849,Semi-Auto,23410,Diesel,65.7,2.0,bmw,29915951
37,4 Series,2018,20649,Semi-Auto,23421,Petrol,48.7,2.0,bmw,29756788
38,2 Series,2019,21049,Semi-Auto,23455,Petrol,50.4,1.5,bmw,30032866
39,5 Series,2018,23749,Semi-Auto,23641,Diesel,68.9,2.0,bmw,29826118
40,4 Series,2018,19349,Semi-Auto,35593,Petrol,48.7,2.0,bmw,29768472
41,X2,2018,18049,Manual,35965,Diesel,55.4,2.0,bmw,29734025
42,X2,2018,21649,Semi-Auto,36122,Diesel,58.9,2.0,bmw,29768662
43,2 Series,2019,16699,Manual,36695,Petrol,42.2,1.5,bmw,29826230
44,X1,2018,17449,Manual,36949,Petrol,40.9,1.5,bmw,29906006
45,3 Series,2018,17549,Manual,36962,Diesel,64.2,2.0,bmw,29798864
46,X1,2017,20549,Semi-Auto,37014,Diesel,57.6,2.0,bmw,30015289
47,1 Series,2018,17249,Semi-Auto,37112,Diesel,49.6,2.0,bmw,29871855
48,1 Series,2018,14049,Manual,37366,Diesel,53.3,1.5,bmw,30003870
49,5 Series,2020,21549,Semi-Auto,37545,Diesel,49.6,2.0,bmw,29634322
50,1 Series,2018,13349,Manual,38222,Petrol,56.5,1.5,bmw,30004052
51,X2,2019,20549,Manual,38387,Petrol,41.5,1.5,bmw,29969242
52,1 Series,2017,16549,Semi-Auto,39319,Petrol,54.3,1.5,bmw,30008822
53,3 Series,2019,20049,Manual,39512,Diesel,56.5,2.0,bmw,29812519
54,3 Series,2019,25949,Semi-Auto,39759,Diesel,52.3,2.0,bmw,29916190
55,X1,2019,22799,Semi-Auto,39931,Petrol,39.2,2.0,bmw,29831159
56,1 Series,2020,22049,Semi-Auto,40948,Petrol,40.4,1.5,bmw,29526758
57,5 Series,2018,22849,Semi-Auto,41323,Diesel,68.9,2.0,bmw,29950320
58,X1,2019,23049,Semi-Auto,41330,Petrol,39.2,2.0,bmw,29969020
59,X1,2017,17199,Semi-Auto,41432,Diesel,65.7,2.0,bmw,29847227
60,1 Series,2019,17049,Semi-Auto,41760,Diesel,70.6,2.0,bmw,29958041
61,X1,2019,20549,Manual,42228,Petrol,40.4,1.5,bmw,30003823
62,3 Series,2018,17349,Manual,42322,Petrol,47.9,2.0,bmw,30015244
63,1 Series,2018,15849,Semi-Auto,42901,Petrol,37.7,1.5,bmw,29924902
64,1 Series,2016,14349,Manual,43762,Diesel,65.7,2.0,bmw,30004046
65,3 Series,2020,21199,Semi-Auto,43880,Petrol,43.5,2.0,bmw,29756738
66,X6,2017,30049,Semi-Auto,44035,Diesel,None,3.0,bmw,30015349
67,5 Series,2015,16549,Semi-Auto,44391,Diesel,62.8,2.0,bmw,29798866
68,3 Series,2018,19549,Semi-Auto,44649,Diesel,64.2,2.0,bmw,29950263
69,1 Series,2017,19549,Semi-Auto,44910,Diesel,60.1,2.0,bmw,29969162
70,X2,2019,21799,Semi-Auto,45524,Diesel,58.9,2.0,bmw,29534327
71,5 Series,2018,23049,Semi-Auto,45787,Diesel,49.6,2.0,bmw,29993404
72,3 Series,2018,19349,Semi-Auto,46383,Diesel,64.2,2.0,bmw,29993421
73,1 Series,2018,19549,Semi-Auto,46577,Diesel,48.7,2.0,bmw,30004042
74,3 Series,2017,17849,Semi-Auto,46643,Diesel,64.2,2.0,bmw,30015222
75,1 Series,2016,13349,Semi-Auto,46733,Diesel,78.5,1.5,bmw,29854854
76,1 Series,2018,15549,Semi-Auto,48286,Petrol,38.7,1.5,bmw,30003812
77,4 Series,2019,20499,Semi-Auto,48719,Petrol,48.7,2.0,bmw,29915907
78,X1,2019,21649,Semi-Auto,48860,Diesel,60.1,2.0,bmw,29826008
79,3 Series,2017,15999,Manual,48961,Diesel,64.2,2.0,bmw,29915725
80,X5,2018,36049,Automatic,50273,Diesel,42.8,3.0,bmw,29803147
81,3 Series,2017,21549,Semi-Auto,50889,Diesel,51.4,3.0,bmw,29855081
82,1 Series,2018,15349,Semi-Auto,50994,Diesel,47.9,1.5,bmw,29734254
83,4 Series,2017,17849,Manual,51463,Diesel,60.1,2.0,bmw,29981311
84,4 Series,2018,18999,Manual,51842,Diesel,62.8,2.0,bmw,29878755
85,X1,2018,19049,Semi-Auto,52042,Diesel,48.7,2.0,bmw,30003926
86,2 Series,2016,13349,Manual,52301,Diesel,64.2,2.0,bmw,29950367
87,X4,2017,19549,Manual,52828,Diesel,52.3,2.0,bmw,30003793
88,1 Series,2017,18849,Semi-Auto,52938,Diesel,61.4,2.0,bmw,29981366
89,4 Series,2017,17849,Semi-Auto,53029,Diesel,65.7,2.0,bmw,30008819
90,X3,2018,29049,Semi-Auto,32877,Diesel,48.7,3.0,bmw,29600841
91,2 Series,2018,19349,Semi-Auto,33433,Diesel,65.7,2.0,bmw,29993485
92,1 Series,2020,22499,Semi-Auto,33892,Petrol,40.4,1.5,bmw,29675552
93,X1,2019,21849,Semi-Auto,33927,Petrol,50.4,2.0,bmw,30042216
94,5 Series,2019,25599,Semi-Auto,33986,Diesel,49.6,2.0,bmw,29915959
95,X2,2018,23549,Semi-Auto,34242,Diesel,58.9,2.0,bmw,30042635
96,4 Series,2019,24049,Semi-Auto,34410,Diesel,58.9,2.0,bmw,30004039
97,3 Series,2018,20049,Semi-Auto,34499,Diesel,64.2,2.0,bmw,29950410
98,3 Series,2018,23399,Semi-Auto,34702,Diesel,51.4,3.0,bmw,29825999
99,1 Series,2019,16949,Semi-Auto,34752,Petrol,58.9,1.5,bmw,30042337
100,1 Series,2017,16749,Semi-Auto,60138,Diesel,61.4,2.0,bmw,29695048
101,1 Series,2019,15049,Semi-Auto,61188,Petrol,38.7,1.5,bmw,29878749
102,1 Series,2019,16849,Semi-Auto,61514,Diesel,68.9,2.0,bmw,29916047
103,1 Series,2017,18049,Manual,61917,Petrol,36.2,3.0,bmw,30015201
104,X1,2017,14849,Manual,62027,Diesel,68.9,2.0,bmw,29915853
105,3 Series,2017,18349,Semi-Auto,62438,Diesel,57.6,2.0,bmw,29993443
106,4 Series,2016,16549,Semi-Auto,63719,Diesel,58.9,2.0,bmw,29543604
107,3 Series,2017,16249,Semi-Auto,65044,Diesel,64.2,2.0,bmw,30003801
108,4 Series,2018,18749,Semi-Auto,66184,Diesel,65.7,2.0,bmw,29974713
109,1 Series,2019,18749,Semi-Auto,66189,Diesel,65.7,2.0,bmw,29915885
110,X1,2017,20549,Semi-Auto,37014,Diesel,57.6,2.0,bmw,30015289
