,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,1 Series,2020,25299,Semi-Auto,20406,Petrol,40.4,1.5,bmw,29855082
1,1 Series,2020,25049,Semi-Auto,21301,Diesel,62.8,2.0,bmw,29826248
2,1 Series,2020,23849,Semi-Auto,22357,Diesel,57.7,1.5,bmw,29916165
3,1 Series,2019,20349,Semi-Auto,22546,Petrol,54.3,1.5,bmw,29969110
4,3 Series,2021,28049,Semi-Auto,23341,Petrol,41.5,2.0,bmw,29916171
5,4 Series,2018,21849,Semi-Auto,23410,Diesel,65.7,2.0,bmw,29915951
6,5 Series,2018,23749,Semi-Auto,23641,Diesel,68.9,2.0,bmw,29826118
7,4 Series,2019,22549,Semi-Auto,25130,Petrol,48.7,2.0,bmw,29981287
8,1 Series,2019,17349,Semi-Auto,25818,Petrol,58.9,1.5,bmw,29958128
9,3 Series,2019,20649,Manual,26337,Diesel,56.5,2.0,bmw,29651889
10,X1,2019,23399,Semi-Auto,26672,Diesel,49.6,2.0,bmw,29871812
11,3 Series,2017,19549,Semi-Auto,26741,Diesel,64.2,2.0,bmw,29986737
12,X4,2018,31049,Semi-Auto,26804,Diesel,42.8,2.0,bmw,29505941
13,5 Series,2018,21899,Semi-Auto,27863,Diesel,52.3,2.0,bmw,29534271
14,1 Series,2019,20049,Semi-Auto,28839,Petrol,54.3,1.5,bmw,30003737
15,5 Series,2020,30049,Semi-Auto,29060,Petrol,46.3,2.0,bmw,29983030
16,1 Series,2018,16649,Manual,30267,Diesel,49.6,2.0,bmw,30008834
17,1 Series,2019,20049,Semi-Auto,30602,Diesel,67.3,2.0,bmw,29799255
18,1 Series,2019,15549,Manual,31154,Petrol,53.3,1.5,bmw,29986809
19,X1,2018,19899,Semi-Auto,31185,Diesel,60.1,2.0,bmw,29831168
20,1 Series,2020,25299,Semi-Auto,22258,Petrol,40.4,1.5,bmw,29898789
21,4 Series,2018,21549,Semi-Auto,22279,Petrol,48.7,2.0,bmw,29831207
22,1 Series,2020,23849,Semi-Auto,22357,Diesel,57.7,1.5,bmw,29916165
23,1 Series,2019,20349,Semi-Auto,22546,Petrol,54.3,1.5,bmw,29969110
24,X2,2018,22349,Manual,22641,Diesel,49.6,2.0,bmw,29888256
25,1 Series,2019,19049,Semi-Auto,22765,Petrol,54.3,1.5,bmw,29878750
26,3 Series,2021,28049,Semi-Auto,23341,Petrol,41.5,2.0,bmw,29916171
27,4 Series,2018,21849,Semi-Auto,23410,Diesel,65.7,2.0,bmw,29915951
28,4 Series,2018,20649,Semi-Auto,23421,Petrol,48.7,2.0,bmw,29756788
29,2 Series,2019,21049,Semi-Auto,23455,Petrol,50.4,1.5,bmw,30032866
30,3 Series,2019,21349,Semi-Auto,34824,Petrol,48.7,2.0,bmw,30008815
31,4 Series,2018,19349,Semi-Auto,35593,Petrol,48.7,2.0,bmw,29768472
32,X2,2018,18049,Manual,35965,Diesel,55.4,2.0,bmw,29734025
33,X2,2018,21649,Semi-Auto,36122,Diesel,58.9,2.0,bmw,29768662
34,2 Series,2019,16699,Manual,36695,Petrol,42.2,1.5,bmw,29826230
35,X1,2018,17449,Manual,36949,Petrol,40.9,1.5,bmw,29906006
36,3 Series,2018,17549,Manual,36962,Diesel,64.2,2.0,bmw,29798864
37,X1,2017,20549,Semi-Auto,37014,Diesel,57.6,2.0,bmw,30015289
38,1 Series,2018,17249,Semi-Auto,37112,Diesel,49.6,2.0,bmw,29871855
39,1 Series,2018,14049,Manual,37366,Diesel,53.3,1.5,bmw,30003870
40,1 Series,2019,20299,Semi-Auto,26199,Petrol,43.5,1.5,bmw,29888554
41,3 Series,2019,20649,Manual,26337,Diesel,56.5,2.0,bmw,29651889
42,6 Series,2019,26499,Semi-Auto,26385,Diesel,44.1,2.0,bmw,29658733
43,3 Series,2017,18699,Semi-Auto,26392,Diesel,62.8,2.0,bmw,29981368
44,X1,2017,22049,Semi-Auto,26526,Diesel,60.1,2.0,bmw,30042423
45,3 Series,2018,21849,Semi-Auto,26570,Diesel,64.2,2.0,bmw,29751658
46,1 Series,2019,16649,Semi-Auto,26623,Diesel,78.5,1.5,bmw,29855091
47,3 Series,2020,24699,Semi-Auto,26630,Petrol,42.2,2.0,bmw,29860503
48,X1,2019,23399,Semi-Auto,26672,Diesel,49.6,2.0,bmw,29871812
49,3 Series,2017,19549,Semi-Auto,26741,Diesel,64.2,2.0,bmw,29986737
50,X4,2018,31049,Semi-Auto,26804,Diesel,42.8,2.0,bmw,29505941
51,4 Series,2018,20649,Semi-Auto,27017,Petrol,48.7,2.0,bmw,29905951
52,2 Series,2018,18049,Semi-Auto,27200,Petrol,50.4,1.5,bmw,30042522
