,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,2 Series,2019,24549,Semi-Auto,11649,Petrol,39.8,3.0,bmw,29554682
1,1 Series,2018,20049,Semi-Auto,11700,Petrol,47.9,2.0,bmw,29916156
2,1 Series,2019,18549,Manual,12166,Diesel,65.7,2.0,bmw,29915932
3,X4,2019,47049,Semi-Auto,12764,Petrol,24.8,3.0,bmw,29798193
4,1 Series,2018,19249,Semi-Auto,13232,Petrol,54.3,1.5,bmw,29974690
5,X1,2019,24349,Semi-Auto,13669,Petrol,39.2,2.0,bmw,29554676
6,2 Series,2018,20049,Semi-Auto,14943,Petrol,38.2,2.0,bmw,29974769
7,X1,2020,28549,Semi-Auto,16653,Petrol,48.7,2.0,bmw,30032919
8,4 Series,2019,24049,Semi-Auto,17198,Diesel,65.7,2.0,bmw,29739648
9,X1,2018,24299,Semi-Auto,17427,Petrol,39.2,2.0,bmw,29812431
10,4 Series,2018,21849,Semi-Auto,23410,Diesel,65.7,2.0,bmw,29915951
11,5 Series,2018,23749,Semi-Auto,23641,Diesel,68.9,2.0,bmw,29826118
12,4 Series,2019,22549,Semi-Auto,25130,Petrol,48.7,2.0,bmw,29981287
13,1 Series,2019,17349,Semi-Auto,25818,Petrol,58.9,1.5,bmw,29958128
14,3 Series,2019,20649,Manual,26337,Diesel,56.5,2.0,bmw,29651889
15,X1,2019,23399,Semi-Auto,26672,Diesel,49.6,2.0,bmw,29871812
16,3 Series,2017,19549,Semi-Auto,26741,Diesel,64.2,2.0,bmw,29986737
17,X4,2018,31049,Semi-Auto,26804,Diesel,42.8,2.0,bmw,29505941
18,5 Series,2018,21899,Semi-Auto,27863,Diesel,52.3,2.0,bmw,29534271
19,1 Series,2019,20049,Semi-Auto,28839,Petrol,54.3,1.5,bmw,30003737
20,1 Series,2017,14849,Manual,21162,Diesel,68.9,2.0,bmw,29968989
21,2 Series,2019,16899,Semi-Auto,21285,Diesel,56.5,1.5,bmw,29799028
22,1 Series,2020,25049,Semi-Auto,21301,Diesel,62.8,2.0,bmw,29826248
23,4 Series,2019,26549,Semi-Auto,21820,Petrol,44.8,2.0,bmw,29893621
24,3 Series,2020,27889,Semi-Auto,22174,Hybrid,8.8,2.0,bmw,30041292
25,1 Series,2020,25299,Semi-Auto,22258,Petrol,40.4,1.5,bmw,29898789
26,4 Series,2018,21549,Semi-Auto,22279,Petrol,48.7,2.0,bmw,29831207
27,1 Series,2020,23849,Semi-Auto,22357,Diesel,57.7,1.5,bmw,29916165
28,1 Series,2019,20349,Semi-Auto,22546,Petrol,54.3,1.5,bmw,29969110
29,X2,2018,22349,Manual,22641,Diesel,49.6,2.0,bmw,29888256
30,2 Series,2018,19349,Semi-Auto,33433,Diesel,65.7,2.0,bmw,29993485
31,1 Series,2020,22499,Semi-Auto,33892,Petrol,40.4,1.5,bmw,29675552
32,5 Series,2019,25599,Semi-Auto,33986,Diesel,49.6,2.0,bmw,29915959
33,4 Series,2019,24049,Semi-Auto,34410,Diesel,58.9,2.0,bmw,30004039
34,3 Series,2018,23399,Semi-Auto,34702,Diesel,51.4,3.0,bmw,29825999
35,3 Series,2019,21349,Semi-Auto,34824,Petrol,48.7,2.0,bmw,30008815
36,4 Series,2018,19349,Semi-Auto,35593,Petrol,48.7,2.0,bmw,29768472
37,X2,2018,18049,Manual,35965,Diesel,55.4,2.0,bmw,29734025
38,X2,2018,21649,Semi-Auto,36122,Diesel,58.9,2.0,bmw,29768662
39,2 Series,2019,16699,Manual,36695,Petrol,42.2,1.5,bmw,29826230
40,X1,2018,17449,Manual,36949,Petrol,40.9,1.5,bmw,29906006
41,3 Series,2018,17549,Manual,36962,Diesel,64.2,2.0,bmw,29798864
42,X1,2017,20549,Semi-Auto,37014,Diesel,57.6,2.0,bmw,30015289
43,1 Series,2018,17249,Semi-Auto,37112,Diesel,49.6,2.0,bmw,29871855
44,1 Series,2018,14049,Manual,37366,Diesel,53.3,1.5,bmw,30003870
45,5 Series,2020,21549,Semi-Auto,37545,Diesel,49.6,2.0,bmw,29634322
46,1 Series,2018,13349,Manual,38222,Petrol,56.5,1.5,bmw,30004052
47,X2,2019,20549,Manual,38387,Petrol,41.5,1.5,bmw,29969242
48,1 Series,2017,16549,Semi-Auto,39319,Petrol,54.3,1.5,bmw,30008822
49,3 Series,2019,20049,Manual,39512,Diesel,56.5,2.0,bmw,29812519
50,3 Series,2019,25949,Semi-Auto,39759,Diesel,52.3,2.0,bmw,29916190
51,X1,2019,22799,Semi-Auto,39931,Petrol,39.2,2.0,bmw,29831159
52,1 Series,2020,22049,Semi-Auto,40948,Petrol,40.4,1.5,bmw,29526758
53,5 Series,2018,22849,Semi-Auto,41323,Diesel,68.9,2.0,bmw,29950320
