,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,6 Series,2004,4490,Automatic,170000,Petrol,24.6,4.4,bmw,26503383
1,5 Series,2011,3990,Manual,114000,Diesel,58.9,2.0,bmw,29090385
2,1 Series,2019,20991,Manual,33431,Petrol,41.5,1.5,bmw,29963242
3,1 Series,2021,26941,Manual,9442,Diesel,54.3,1.5,bmw,29739179
4,1 Series,2019,24271,Automatic,13813,Petrol,40.4,1.5,bmw,29910279
5,1 Series,2020,22711,Manual,16552,Petrol,44.1,1.5,bmw,29883639
6,1 Series,2020,24991,Automatic,17061,Petrol,40.4,1.5,bmw,29801382
7,1 Series,2020,23391,Manual,17479,Petrol,41.5,1.5,bmw,29883638
8,1 Series,2020,23161,Automatic,18579,Petrol,42.8,1.5,bmw,29816164
9,2 Series,2021,27991,Automatic,22902,Petrol,53.3,2.0,bmw,30008498
10,1 Series,2020,22691,Manual,24971,Petrol,41.5,1.5,bmw,29762478
11,5 Series,2020,28961,Automatic,28488,Other,49.6,2.0,bmw,29883637
12,3 Series,2019,24991,Automatic,34075,Petrol,42.2,2.0,bmw,29762480
13,X2,2018,22371,Automatic,40914,Diesel,58.9,2.0,bmw,29606633
14,5 Series,2019,22971,Automatic,52481,Diesel,49.6,2.0,bmw,29980803
15,i3,2019,16695,Automatic,46349,Other,None,0,bmw,29116293
16,X1,2018,21895,Automatic,25769,Petrol,46.3,1.5,bmw,29997187
17,2 Series,2020,25895,Automatic,28601,Petrol,42.2,1.5,bmw,29980790
18,2 Series,2017,13395,Manual,35345,Petrol,55.4,1.5,bmw,29909665
19,X2,2019,18895,Manual,35487,Petrol,42.8,1.5,bmw,29963197
20,1 Series,2018,13395,Manual,60207,Petrol,38.2,1.5,bmw,28103655
21,5 Series,2016,10895,Manual,96056,Diesel,65.7,2.0,bmw,29893152
22,2 Series,2019,16395,Manual,11165,Petrol,44.1,1.5,bmw,30048824
23,X1,2019,23395,Automatic,24457,Diesel,60.1,2.0,bmw,29965660
24,1 Series,2018,16995,Automatic,33273,Petrol,55.5,1.5,bmw,29712098
25,X2,2020,25395,Automatic,36128,Petrol,36.2,2.0,bmw,28931424
26,3 Series,2019,24395,Automatic,39676,Petrol,42.2,2.0,bmw,29993656
27,1 Series,2019,14395,Manual,46328,Diesel,78.5,1.5,bmw,29993654
28,1 Series,2019,12390,Manual,83336,Diesel,78.5,1.5,bmw,29993655
29,5 Series,2015,11145,Manual,88745,Diesel,65.7,2.0,bmw,29126396
30,1 Series,2014,12495,Manual,40278,Diesel,58.9,2.0,bmw,29403184
31,X3,2017,26399,Semi-Auto,13670,Diesel,56.5,2,bmw,29835174
32,2 Series,2019,17999,Semi-Auto,22000,Petrol,38.2,2,bmw,29700350
33,X1,2018,23199,Semi-Auto,23000,Petrol,35.3,2,bmw,29626622
34,1 Series,2019,14799,Manual,69476,Diesel,70.6,1.5,bmw,29965472
35,M3,2022,76495,Automatic,2112,Petrol,28,3.0,bmw,29931759
36,4 Series,2021,89995,Automatic,8500,Petrol,28,3.0,bmw,29941897
37,3 Series,2020,26995,Automatic,15842,Petrol,42.2,2.0,bmw,29910375
38,5 Series,2021,49995,Automatic,23243,Petrol,25.5,4.4,bmw,29618415
39,X6,2016,28995,Automatic,26775,Diesel,47.1,3.0,bmw,29931755
40,3 Series,2020,33995,Automatic,31595,Petrol,34.9,3.0,bmw,27273973
41,M3,2017,34995,Automatic,34779,Petrol,34,3.0,bmw,28828747
42,X5,2019,50995,Automatic,35012,Diesel,None,3.0,bmw,28035107
43,7 Series,2017,24995,Automatic,37616,Petrol,41.5,3.0,bmw,30002878
44,1 Series,2016,12495,Manual,40949,Petrol,53.3,1.5,bmw,29681250
45,3 Series,2019,20995,Automatic,45921,Diesel,62.8,2.0,bmw,29931786
46,3 Series,2015,18695,Automatic,49997,Diesel,51.4,3.0,bmw,29910368
47,X2,2018,19995,Manual,52327,Diesel,49.6,2.0,bmw,29998465
48,X5,2019,41995,Automatic,59246,Diesel,37.7,3.0,bmw,29985262
49,X3,2014,13495,Automatic,66616,Diesel,50.4,2.0,bmw,29607136
50,3 Series,2017,17695,Automatic,67449,Diesel,56.5,3.0,bmw,29931765
51,3 Series,2018,16995,Automatic,73607,Petrol,46.3,2.0,bmw,29576789
52,3 Series,2017,16995,Automatic,78955,Other,None,2.0,bmw,29345768
53,3 Series,2013,12995,Automatic,84365,Petrol,36.7,3.0,bmw,29871440
54,X5,2014,21995,Automatic,86854,Diesel,None,3.0,bmw,29910369
55,4 Series,2016,11995,Automatic,87461,Diesel,70.6,2.0,bmw,29931736
56,5 Series,2019,20795,Automatic,90674,Diesel,60.1,3.0,bmw,29931715
57,5 Series,2019,21995,Automatic,94185,Diesel,56.5,3.0,bmw,29992071
58,4 Series,2017,13995,Automatic,111187,Diesel,60.1,2.0,bmw,29625916
59,3 Series,2016,16995,Automatic,54244,Diesel,64.2,2.0,bmw,30037808
60,4 Series,2017,15495,Manual,41310,Diesel,62.8,2.0,bmw,30031553
61,X3,2019,34995,Automatic,24081,Diesel,48.7,3.0,bmw,28800967
62,1 Series,2016,10995,Manual,54998,Petrol,53.3,1.5,bmw,30040075
63,3 Series,2017,12495,Automatic,136225,Other,None,2.0,bmw,29931783
64,2 Series,2014,10999,Automatic,43800,Diesel,64.2,2.0,bmw,29983327
65,5 Series,2016,15977,Automatic,60000,Diesel,62.8,2,bmw,29913046
66,5 Series,2016,15977,Automatic,72000,Diesel,62.8,2,bmw,29489081
67,1 Series,2016,12977,Manual,54000,Petrol,53.3,1.5,bmw,30017081
68,3 Series,2018,17977,Automatic,79000,Diesel,64.2,2,bmw,29675280
69,2 Series,2016,12977,Manual,51000,Diesel,74.3,1.5,bmw,30046586
70,1 Series,2017,13499,Manual,35707,Petrol,53.3,1.5,bmw,30011334
71,1 Series,2018,10995,Automatic,88000,Petrol,54.3,1.5,bmw,29566256
72,3 Series,2010,3595,Manual,112000,Diesel,68.9,2.0,bmw,29046266
73,3 Series,2012,6295,Manual,120000,Diesel,61.4,2.0,bmw,29344126
74,2 Series,2019,16995,Automatic,38076,Diesel,49.6,2.0,bmw,29863643
75,1 Series,2018,15495,Manual,16682,Petrol,78.5,1.5,bmw,29978694
76,5 Series,2019,26995,Automatic,24000,Diesel,65.7,2.0,bmw,26999893
77,1 Series,2017,20995,Automatic,38545,Petrol,39.8,3.0,bmw,27519044
78,X5,2019,48495,Automatic,44980,Diesel,37.7,3.0,bmw,27570697
79,4 Series,2017,16995,Automatic,52090,Diesel,60.1,2.0,bmw,28580400
80,3 Series,2015,12995,Automatic,70408,Diesel,68.9,2.0,bmw,26999887
81,3 Series,2017,15495,Automatic,83225,Diesel,62.8,2.0,bmw,28010665
82,1 Series,2014,7495,Manual,92662,Diesel,65.7,2.0,bmw,26999924
83,3 Series,2000,24995,Automatic,62265,Other,8.8,2.0,bmw,29993769
84,3 Series,2000,11495,Automatic,111911,Diesel,70.6,2.0,bmw,29963110
85,3 Series,2000,30295,Automatic,33639,Other,188.3,2.0,bmw,30038157
86,3 Series,2000,12295,Automatic,107719,Diesel,67.3,2.0,bmw,29610038
87,3 Series,2007,4995,Manual,59000,Petrol,42.8,2.0,bmw,29934058
88,Z4,2007,4795,Manual,90000,Petrol,37.7,2.0,bmw,29635621
89,6 Series,2011,12495,Automatic,95000,Petrol,26.6,4.4,bmw,29293380
90,6 Series,2011,12495,Automatic,95000,Petrol,26.6,4.4,bmw,29293380
91,3 Series,2011,4995,Manual,106000,Diesel,68.9,2.0,bmw,30043579
92,1 Series,2008,2995,Manual,127000,Petrol,48.7,1.6,bmw,29293382
93,1 Series,2006,1495,Manual,154000,Diesel,49.6,2.0,bmw,30043581
94,3 Series,2017,17495,Automatic,100000,Diesel,51.4,3,bmw,30040998
95,X5,2007,6495,Automatic,128000,Diesel,32.5,2.5,bmw,29968513
96,X1,2018,21670,Manual,21244,Petrol,51.4,1.5,bmw,29937762
