,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,X1,2014,13000,Automatic,56280,Diesel,52.3,2.0,bmw,30013113
1,1 Series,2014,11250,Automatic,71192,Diesel,64.2,2.0,bmw,29937578
2,3 Series,2014,13000,Manual,74665,Diesel,55.4,2.0,bmw,30013114
3,2 Series,2021,22549,Manual,4528,Petrol,36.7,2.0,bmw,29916143
4,1 Series,2022,27049,Semi-Auto,5518,Petrol,44.1,1.5,bmw,29534101
5,2 Series,2019,20049,Manual,8256,Petrol,52.3,1.5,bmw,29915915
6,2 Series,2019,24549,Semi-Auto,11649,Petrol,39.8,3.0,bmw,29554682
7,1 Series,2018,20049,Semi-Auto,11700,Petrol,47.9,2.0,bmw,29916156
8,X4,2019,47049,Semi-Auto,12764,Petrol,24.8,3.0,bmw,29798193
9,1 Series,2018,19249,Semi-Auto,13232,Petrol,54.3,1.5,bmw,29974690
10,3 Series,2020,29699,Semi-Auto,18028,Diesel,56.5,2.0,bmw,29878784
11,5 Series,2019,25549,Semi-Auto,19399,Diesel,49.6,2.0,bmw,29666231
12,2 Series,2019,19199,Semi-Auto,20334,Petrol,50.4,1.5,bmw,29554675
13,1 Series,2020,25299,Semi-Auto,20406,Petrol,40.4,1.5,bmw,29855082
14,1 Series,2020,25049,Semi-Auto,21301,Diesel,62.8,2.0,bmw,29826248
15,1 Series,2020,23849,Semi-Auto,22357,Diesel,57.7,1.5,bmw,29916165
16,1 Series,2019,20349,Semi-Auto,22546,Petrol,54.3,1.5,bmw,29969110
17,3 Series,2021,28049,Semi-Auto,23341,Petrol,41.5,2.0,bmw,29916171
18,4 Series,2018,21849,Semi-Auto,23410,Diesel,65.7,2.0,bmw,29915951
19,5 Series,2018,23749,Semi-Auto,23641,Diesel,68.9,2.0,bmw,29826118
20,4 Series,2019,22549,Semi-Auto,25130,Petrol,48.7,2.0,bmw,29981287
21,1 Series,2019,17349,Semi-Auto,25818,Petrol,58.9,1.5,bmw,29958128
22,3 Series,2019,20649,Manual,26337,Diesel,56.5,2.0,bmw,29651889
23,X1,2019,23399,Semi-Auto,26672,Diesel,49.6,2.0,bmw,29871812
24,3 Series,2017,19549,Semi-Auto,26741,Diesel,64.2,2.0,bmw,29986737
25,X4,2018,31049,Semi-Auto,26804,Diesel,42.8,2.0,bmw,29505941
26,5 Series,2018,21899,Semi-Auto,27863,Diesel,52.3,2.0,bmw,29534271
27,1 Series,2019,20049,Semi-Auto,28839,Petrol,54.3,1.5,bmw,30003737
28,5 Series,2020,30049,Semi-Auto,29060,Petrol,46.3,2.0,bmw,29983030
29,1 Series,2018,16649,Manual,30267,Diesel,49.6,2.0,bmw,30008834
30,1 Series,2020,25049,Semi-Auto,21301,Diesel,62.8,2.0,bmw,29826248
31,4 Series,2019,26549,Semi-Auto,21820,Petrol,44.8,2.0,bmw,29893621
32,3 Series,2020,27889,Semi-Auto,22174,Hybrid,8.8,2.0,bmw,30041292
33,1 Series,2020,25299,Semi-Auto,22258,Petrol,40.4,1.5,bmw,29898789
34,4 Series,2018,21549,Semi-Auto,22279,Petrol,48.7,2.0,bmw,29831207
35,1 Series,2020,23849,Semi-Auto,22357,Diesel,57.7,1.5,bmw,29916165
36,1 Series,2019,20349,Semi-Auto,22546,Petrol,54.3,1.5,bmw,29969110
37,X2,2018,22349,Manual,22641,Diesel,49.6,2.0,bmw,29888256
38,1 Series,2019,19049,Semi-Auto,22765,Petrol,54.3,1.5,bmw,29878750
39,3 Series,2021,28049,Semi-Auto,23341,Petrol,41.5,2.0,bmw,29916171
40,5 Series,2019,25599,Semi-Auto,33986,Diesel,49.6,2.0,bmw,29915959
41,4 Series,2019,24049,Semi-Auto,34410,Diesel,58.9,2.0,bmw,30004039
42,3 Series,2018,23399,Semi-Auto,34702,Diesel,51.4,3.0,bmw,29825999
43,3 Series,2019,21349,Semi-Auto,34824,Petrol,48.7,2.0,bmw,30008815
44,4 Series,2018,19349,Semi-Auto,35593,Petrol,48.7,2.0,bmw,29768472
45,X2,2018,18049,Manual,35965,Diesel,55.4,2.0,bmw,29734025
46,X2,2018,21649,Semi-Auto,36122,Diesel,58.9,2.0,bmw,29768662
47,2 Series,2019,16699,Manual,36695,Petrol,42.2,1.5,bmw,29826230
48,X1,2018,17449,Manual,36949,Petrol,40.9,1.5,bmw,29906006
49,3 Series,2018,17549,Manual,36962,Diesel,64.2,2.0,bmw,29798864
50,X1,2017,20549,Semi-Auto,37014,Diesel,57.6,2.0,bmw,30015289
51,1 Series,2018,17249,Semi-Auto,37112,Diesel,49.6,2.0,bmw,29871855
52,1 Series,2018,14049,Manual,37366,Diesel,53.3,1.5,bmw,30003870
53,5 Series,2020,21549,Semi-Auto,37545,Diesel,49.6,2.0,bmw,29634322
54,1 Series,2018,13349,Manual,38222,Petrol,56.5,1.5,bmw,30004052
55,X2,2019,20549,Manual,38387,Petrol,41.5,1.5,bmw,29969242
56,1 Series,2017,16549,Semi-Auto,39319,Petrol,54.3,1.5,bmw,30008822
57,3 Series,2019,20049,Manual,39512,Diesel,56.5,2.0,bmw,29812519
58,3 Series,2019,25949,Semi-Auto,39759,Diesel,52.3,2.0,bmw,29916190
59,X1,2019,22799,Semi-Auto,39931,Petrol,39.2,2.0,bmw,29831159
60,3 Series,2020,24699,Semi-Auto,26630,Petrol,42.2,2.0,bmw,29860503
61,X1,2019,23399,Semi-Auto,26672,Diesel,49.6,2.0,bmw,29871812
62,3 Series,2017,19549,Semi-Auto,26741,Diesel,64.2,2.0,bmw,29986737
63,X4,2018,31049,Semi-Auto,26804,Diesel,42.8,2.0,bmw,29505941
64,4 Series,2018,20649,Semi-Auto,27017,Petrol,48.7,2.0,bmw,29905951
65,2 Series,2018,18049,Semi-Auto,27200,Petrol,50.4,1.5,bmw,30042522
66,5 Series,2018,21899,Semi-Auto,27863,Diesel,52.3,2.0,bmw,29534271
67,1 Series,2020,23899,Semi-Auto,28152,Petrol,40.4,1.5,bmw,29716073
68,X6,2019,37549,Semi-Auto,28174,Diesel,40.9,3.0,bmw,30032870
69,1 Series,2019,19549,Semi-Auto,28356,Petrol,54.3,1.5,bmw,30032895
70,X6,2017,30049,Semi-Auto,44035,Diesel,None,3.0,bmw,30015349
71,5 Series,2015,16549,Semi-Auto,44391,Diesel,62.8,2.0,bmw,29798866
72,3 Series,2018,19549,Semi-Auto,44649,Diesel,64.2,2.0,bmw,29950263
73,1 Series,2017,19549,Semi-Auto,44910,Diesel,60.1,2.0,bmw,29969162
74,X2,2019,21799,Semi-Auto,45524,Diesel,58.9,2.0,bmw,29534327
75,5 Series,2018,23049,Semi-Auto,45787,Diesel,49.6,2.0,bmw,29993404
76,3 Series,2018,19349,Semi-Auto,46383,Diesel,64.2,2.0,bmw,29993421
77,1 Series,2018,19549,Semi-Auto,46577,Diesel,48.7,2.0,bmw,30004042
78,3 Series,2017,17849,Semi-Auto,46643,Diesel,64.2,2.0,bmw,30015222
79,1 Series,2016,13349,Semi-Auto,46733,Diesel,78.5,1.5,bmw,29854854
80,1 Series,2018,15549,Semi-Auto,48286,Petrol,38.7,1.5,bmw,30003812
81,4 Series,2019,20499,Semi-Auto,48719,Petrol,48.7,2.0,bmw,29915907
82,X1,2019,21649,Semi-Auto,48860,Diesel,60.1,2.0,bmw,29826008
83,3 Series,2017,15999,Manual,48961,Diesel,64.2,2.0,bmw,29915725
84,X5,2018,36049,Automatic,50273,Diesel,42.8,3.0,bmw,29803147
85,3 Series,2017,21549,Semi-Auto,50889,Diesel,51.4,3.0,bmw,29855081
86,1 Series,2018,15349,Semi-Auto,50994,Diesel,47.9,1.5,bmw,29734254
87,4 Series,2017,17849,Manual,51463,Diesel,60.1,2.0,bmw,29981311
88,4 Series,2018,18999,Manual,51842,Diesel,62.8,2.0,bmw,29878755
89,X1,2018,19049,Semi-Auto,52042,Diesel,48.7,2.0,bmw,30003926
90,2 Series,2019,19049,Semi-Auto,32519,Petrol,40.9,1.5,bmw,30015355
91,1 Series,2017,14049,Manual,32531,Petrol,53.3,1.5,bmw,30032927
92,2 Series,2016,15849,Automatic,32683,Diesel,65.7,2.0,bmw,29981238
93,3 Series,2019,19499,Manual,32794,Diesel,56.5,2.0,bmw,29540216
94,X3,2018,29049,Semi-Auto,32877,Diesel,48.7,3.0,bmw,29600841
95,2 Series,2018,19349,Semi-Auto,33433,Diesel,65.7,2.0,bmw,29993485
96,1 Series,2020,22499,Semi-Auto,33892,Petrol,40.4,1.5,bmw,29675552
97,X1,2019,21849,Semi-Auto,33927,Petrol,50.4,2.0,bmw,30042216
98,5 Series,2019,25599,Semi-Auto,33986,Diesel,49.6,2.0,bmw,29915959
99,X2,2018,23549,Semi-Auto,34242,Diesel,58.9,2.0,bmw,30042635
100,X2,2019,20599,Semi-Auto,57262,Petrol,36.2,2.0,bmw,29915989
101,3 Series,2016,20399,Semi-Auto,58637,Diesel,49.6,3.0,bmw,29799074
102,1 Series,2020,21549,Semi-Auto,59512,Petrol,40.4,1.5,bmw,29950228
103,2 Series,2018,17049,Semi-Auto,59814,Petrol,48.7,1.5,bmw,29958043
104,1 Series,2017,16749,Semi-Auto,60138,Diesel,61.4,2.0,bmw,29695048
105,1 Series,2019,15049,Semi-Auto,61188,Petrol,38.7,1.5,bmw,29878749
106,1 Series,2019,16849,Semi-Auto,61514,Diesel,68.9,2.0,bmw,29916047
107,1 Series,2017,18049,Manual,61917,Petrol,36.2,3.0,bmw,30015201
108,X1,2017,14849,Manual,62027,Diesel,68.9,2.0,bmw,29915853
109,3 Series,2017,18349,Semi-Auto,62438,Diesel,57.6,2.0,bmw,29993443
110,4 Series,2016,16549,Semi-Auto,63719,Diesel,58.9,2.0,bmw,29543604
111,3 Series,2017,16249,Semi-Auto,65044,Diesel,64.2,2.0,bmw,30003801
112,4 Series,2018,18749,Semi-Auto,66184,Diesel,65.7,2.0,bmw,29974713
113,1 Series,2019,18749,Semi-Auto,66189,Diesel,65.7,2.0,bmw,29915885
114,3 Series,2018,20049,Semi-Auto,66253,Diesel,53.3,3.0,bmw,29808059
115,X1,2017,16549,Semi-Auto,66660,Diesel,60.1,2.0,bmw,29969223
116,X1,2018,16749,Manual,68121,Diesel,47.9,2.0,bmw,29768593
117,X2,2019,22599,Manual,2610,Petrol,42.8,1.5,bmw,29893599
118,2 Series,2018,20049,Semi-Auto,14943,Petrol,38.2,2.0,bmw,29974769
119,X1,2018,24299,Semi-Auto,17427,Petrol,39.2,2.0,bmw,29812431
120,1 Series,2019,17799,Semi-Auto,24220,Petrol,55.5,1.5,bmw,29842527
121,1 Series,2019,20299,Semi-Auto,26199,Petrol,43.5,1.5,bmw,29888554
122,6 Series,2019,26499,Semi-Auto,26385,Diesel,44.1,2.0,bmw,29658733
123,3 Series,2017,18699,Semi-Auto,26392,Diesel,62.8,2.0,bmw,29981368
124,3 Series,2018,21849,Semi-Auto,26570,Diesel,64.2,2.0,bmw,29751658
125,1 Series,2019,16649,Semi-Auto,26623,Diesel,78.5,1.5,bmw,29855091
126,3 Series,2017,17749,Manual,28524,Diesel,64.2,2.0,bmw,29981365
127,1 Series,2017,14699,Semi-Auto,31141,Diesel,72.4,1.5,bmw,29855088
128,2 Series,2019,17999,Semi-Auto,31285,Petrol,40.9,1.5,bmw,29799251
129,1 Series,2019,24049,Semi-Auto,31379,Diesel,50.4,2.0,bmw,29905890
130,1 Series,2018,16699,Manual,32139,Petrol,52.3,1.5,bmw,29915709
