,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,1 Series,2018,10995,Manual,74000,Diesel,53.3,1.5,bmw,28188736
1,2 Series,2020,15931,Manual,24509,Petrol,44.1,1.5,bmw,29824092
2,X1,2020,22835,Automatic,27683,Petrol,50.4,2.0,bmw,29824076
3,2 Series,2019,16143,Manual,29117,Petrol,40.9,1.5,bmw,29824064
4,1 Series,2018,20927,Automatic,29976,Diesel,49.6,2.0,bmw,29436538
5,2 Series,2019,20500,Automatic,33786,Petrol,47.9,2.0,bmw,29824094
6,X2,2019,23664,Automatic,39672,Diesel,52.3,2.0,bmw,29644185
7,1 Series,2019,16171,Manual,40716,Petrol,52.3,1.5,bmw,29438563
8,2 Series,2019,14750,Manual,47769,Petrol,40.9,1.5,bmw,29966335
9,X1,2019,17036,Manual,52846,Petrol,54.3,1.5,bmw,29672174
10,3 Series,2018,16500,Automatic,81401,Other,None,2.0,bmw,29592368
11,M3,2021,74998,Automatic,10398,Petrol,27.7,3.0,bmw,28935183
12,X5,2018,39998,Automatic,67245,Petrol,25.4,4.4,bmw,29984760
13,3 Series,2008,6995,Automatic,121950,Diesel,None,3.0,bmw,27971677
14,1 Series,2014,8690,Manual,63343,Diesel,74.3,1.6,bmw,30036341
15,4 Series,2021,62449,Automatic,11000,Petrol,28,3.0,bmw,29909026
16,M3,2021,60850,Automatic,20000,Petrol,27.7,3.0,bmw,29673436
17,4 Series,2020,40900,Automatic,27000,Petrol,34,3.0,bmw,29789150
18,Z4,2019,39900,Automatic,8000,Petrol,33.2,3.0,bmw,29909028
19,3 Series,2010,6000,Manual,94500,Diesel,60.1,2.0,bmw,27562074
20,3 Series,2010,6000,Manual,94500,Diesel,60.1,2.0,bmw,27562074
21,X2,2020,23980,Automatic,30000,Petrol,38.7,2.0,bmw,29522085
22,6 Series,2018,29980,Automatic,45000,Diesel,47.9,3.0,bmw,29995558
23,2 Series,2018,18398,Manual,14269,Petrol,42.2,1.5,bmw,27505102
24,3 Series,2019,27698,Automatic,17881,Petrol,42.2,2.0,bmw,28016426
25,1 Series,2015,15298,Automatic,18573,Diesel,68.9,1.5,bmw,28016444
26,1 Series,2018,18498,Manual,19691,Petrol,52.3,1.5,bmw,28016463
27,X1,2018,23698,Automatic,22846,Petrol,37.7,2.0,bmw,27538332
28,X1,2018,20998,Automatic,23677,Diesel,60.1,2.0,bmw,27389165
29,X1,2018,20298,Manual,24557,Petrol,51.4,1.5,bmw,30009504
30,1 Series,2018,23298,Manual,25121,Diesel,48.7,2,bmw,29917837
31,4 Series,2017,20998,Automatic,25195,Diesel,65.7,2.0,bmw,28016397
32,1 Series,2019,20998,Automatic,25318,Petrol,47.9,0,bmw,28016370
33,1 Series,2019,16398,Manual,26050,Petrol,53.3,1.5,bmw,29924357
34,4 Series,2018,21998,Automatic,37927,Petrol,48.7,2.0,bmw,27364464
35,3 Series,2017,22498,Automatic,42512,Other,134.5,2.0,bmw,28016414
36,1 Series,2019,20998,Manual,62087,Diesel,62.8,2,bmw,29967268
37,3 Series,2017,17998,Automatic,63327,Diesel,67.3,2.0,bmw,28016447
38,X1,2018,19498,Semi-Auto,30677,Diesel,60.1,2,bmw,29873511
39,3 Series,2020,27980,Automatic,39000,Petrol,42.2,2.0,bmw,29857070
40,2 Series,2015,14480,Manual,50000,Diesel,60.1,2.0,bmw,29975808
41,4 Series,2020,23480,Automatic,55000,Diesel,65.7,2.0,bmw,29588753
42,3 Series,2015,15980,Automatic,83000,Diesel,55.4,2.0,bmw,29882530
43,1 Series,2011,4490,Manual,88637,Diesel,58.9,2.0,bmw,29662766
44,3 Series,2016,8490,Manual,98508,Petrol,52.3,1.5,bmw,28867734
45,3 Series,2014,9490,Manual,118460,Petrol,39.2,2.0,bmw,29887502
46,3 Series,2009,4290,Manual,134105,Diesel,58.9,2.0,bmw,29871166
47,4 Series,2016,15490,Automatic,76845,Diesel,55.4,3.0,bmw,29948478
48,4 Series,2017,13990,Automatic,125638,Diesel,52.3,3.0,bmw,29584468
49,1 Series,2011,5595,Manual,83742,Diesel,62.8,2.0,bmw,28287460
50,3 Series,2000,16150,Manual,45036,Diesel,62.8,2.0,bmw,29739197
51,4 Series,2000,12250,Automatic,99150,Diesel,55.4,3.0,bmw,29327574
52,3 Series,2000,8000,Manual,112342,Diesel,58.9,2.0,bmw,30010181
53,1 Series,2013,6890,Manual,74050,Diesel,65.7,2.0,bmw,27958157
54,3 Series,2017,18995,Semi-Auto,48976,Hybrid,None,2,bmw,29561994
55,i3,2016,11974,Automatic,73150,Other,470.8,0.6,bmw,30024147
56,3 Series,2015,13674,Automatic,73704,Diesel,62.8,2.0,bmw,29931170
57,4 Series,2014,11974,Automatic,89508,Diesel,60.1,2.0,bmw,29673243
58,1 Series,2017,13995,Manual,23820,Petrol,53.3,1.5,bmw,30042806
59,1 Series,2016,9995,Manual,66938,Diesel,72.4,1.5,bmw,29974345
60,3 Series,2018,22995,Automatic,28500,Diesel,53.3,3.0,bmw,30020595
61,1 Series,2014,13495,Manual,32180,Diesel,58.9,2.0,bmw,30020594
62,3 Series,2018,19495,Automatic,41500,Petrol,None,2.0,bmw,30020545
63,1 Series,2015,13795,Automatic,50295,Petrol,54.3,1.5,bmw,30020544
