,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,i3,2020,19800,Blue,Electric,Automatic,20110,,bmw,28811731
1,i3,2019,16900,White,Electric,Automatic,33454,,bmw,29273745
2,i3,2020,17000,Grey,Electric,Automatic,45721,,bmw,29890200
3,i3,2018,18948,Red,Electric,Automatic,19000,,bmw,29641229
4,i3,2018,16990,Blue,Electric,Automatic,24384,,bmw,29708264
5,i3,2019,16500,White,Electric,Automatic,31932,,bmw,29779411
6,i3,2019,20989,Capparis,Electric,Automatic,23000,,bmw,29224022
7,i3,2018,17950,IMPERIAL,Electric,Automatic,15000,,bmw,30033666
8,X3,2022,52000,Grey,Electric,Automatic,4076,,bmw,29951698
9,i3,2020,20000,Blue,Electric,Automatic,9148,,bmw,29831829
10,i3,2020,17000,Black,Electric,Automatic,9095,,bmw,30027957
11,i3,2020,18500,Black,Electric,Automatic,24235,,bmw,29790175
12,i3,2019,16700,Black,Electric,Automatic,29650,,bmw,29995000
13,iX,2022,91995,Sapphire,Electric,Automatic,1850,,bmw,29758374
14,X3,2022,53890,White,Electric,Automatic,12583,,bmw,29450846
15,X3,2021,45890,White,Electric,Automatic,16520,,bmw,29450931
16,i3,2019,15995,Mineral,Electric,Automatic,29144,,bmw,29298499
17,i3,2020,20270,White,Electric,Automatic,14100,,bmw,29965971
18,X3,2021,43490,Black,Electric,Automatic,19169,,bmw,30012581
19,i3,2021,24950,White,Electric,Automatic,4535,,bmw,29994793
20,iX,2022,66950,Grey,Electric,Automatic,2867,,bmw,30051115
21,i4,2022,53950,Black,Electric,Automatic,5575,,bmw,30051118
22,i3,2022,23500,Black,Electric,Automatic,2865,,bmw,28850425
23,i3,2021,20000,Blue,Electric,Automatic,7924,,bmw,30017933
24,i3,2019,18500,Blue,Electric,Automatic,26170,,bmw,29746602
25,X3,2022,54500,Blue,Electric,Automatic,10,,bmw,29847591
26,i4,2022,62000,White,Electric,Automatic,5963,,bmw,29142509
27,i3,2019,19000,Blue,Electric,Automatic,28105,,bmw,29958724
28,i3,2020,18000,Black,Electric,Automatic,30051,,bmw,29924817
29,i3,2019,16850,White,Electric,Automatic,45713,,bmw,29924822
30,i3,2018,15500,Grey,Electric,Automatic,60330,,bmw,29125050
31,i3,2018,17500,White,Electric,Automatic,12419,,bmw,29302053
32,iX,2022,61286,Black,Electric,Automatic,10485,,bmw,29988930
33,i4,2021,72990,White,Electric,Automatic,6449,,bmw,29481585
34,iX,2022,63590,Blue,Electric,Automatic,9805,,bmw,29942207
35,X3,2021,45990,Blue,Electric,Automatic,16732,,bmw,30005909
36,iX,2022,62890,Red,Electric,Automatic,12264,,bmw,30015618
37,i3,2019,22890,Red,Electric,Automatic,10404,,bmw,27539402
38,i3,2019,22495,Black,Electric,Automatic,17500,,bmw,29659966
39,i4,2022,55990,Grey,Electric,Automatic,2011,,bmw,29910677
40,iX,2022,61990,Grey,Electric,Automatic,9290,,bmw,29684042
41,i4,2022,55990,Black,Electric,Automatic,11694,,bmw,29186483
42,i3,2020,21990,Blue,Electric,Automatic,12271,,bmw,29958702
43,X3,2022,51950,Blue,Electric,Automatic,2062,,bmw,29826570
44,X3,2022,52950,Black,Electric,Automatic,2722,,bmw,29851030
45,i4,2022,54950,Red,Electric,Automatic,4695,,bmw,29803538
46,i3,2020,18950,Grey,Electric,Automatic,27767,,bmw,29958689
47,i3,2020,18950,White,Electric,Automatic,29466,,bmw,29994810
48,X3,2022,57950,White,Electric,Automatic,2529,,bmw,29894398
49,X3,2022,50450,Black,Electric,Automatic,4235,,bmw,29975239
50,i3,2017,14795,Capparis,Electric,Automatic,51462,,bmw,29635497
51,X3,2021,43299,Black,Electric,Automatic,6395,,bmw,29900372
52,i4,2022,52950,Black,Electric,Automatic,2850,,bmw,29882361
53,X3,2021,47950,Black,Electric,Automatic,6181,,bmw,29963752
54,X3,2021,47950,White,Electric,Automatic,7082,,bmw,30034110
55,i3,2022,24950,White,Electric,Automatic,7449,,bmw,29660756
56,i3,2017,17950,Red,Electric,Automatic,18196,,bmw,29786131
57,i3,2019,19395,Black,Electric,Automatic,20903,,bmw,29899774
58,X3,2021,46295,White,Electric,Automatic,5983,,bmw,29994481
