,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Sharan,2019,24799,Automatic,21632,Petrol,32.5,1.4,volkswagen,29934043
1,Caddy Maxi,2018,22745,Automatic,26882,Diesel,56.5,2.0,volkswagen,29172113
2,Caddy Maxi,2019,20945,Manual,47076,Diesel,49.6,2.0,volkswagen,29643463
3,Touareg,2023,69950,Automatic,3000,Diesel,33.6,3.0,volkswagen,29869051
4,Golf,2023,25950,Manual,10,Petrol,51.4,1.5,volkswagen,29908487
5,Golf,2023,25450,Manual,12,Petrol,51.4,1.5,volkswagen,29863956
6,Tiguan,2022,43650,Automatic,3303,Other,156.9,1.4,volkswagen,29419377
7,Tiguan,2022,42950,Automatic,3440,Petrol,34,2.0,volkswagen,30044835
8,Golf,2022,26850,Manual,4602,Petrol,51.4,1.5,volkswagen,29828544
9,Polo,2023,23950,Manual,5000,Petrol,54.3,1.0,volkswagen,29875019
10,T-Roc,2022,30950,Automatic,5000,Petrol,44.8,1.5,volkswagen,29882949
11,Golf,2023,32950,Automatic,5000,Petrol,49.6,1.5,volkswagen,29997326
12,Golf,2022,36950,Automatic,5147,Other,176.6,1.4,volkswagen,29419378
13,Polo,2022,22950,Manual,5548,Petrol,54.3,1.0,volkswagen,29997324
14,Golf,2023,27450,Manual,6000,Petrol,49.6,1.5,volkswagen,29997325
15,Golf,2022,24950,Manual,6122,Petrol,51.4,1.5,volkswagen,28940321
16,T-Roc,2019,29650,Automatic,7143,Petrol,51.4,1.5,volkswagen,29984082
17,Golf,2022,22950,Manual,7188,Petrol,52.3,1.5,volkswagen,29875020
18,Tiguan,2021,35650,Automatic,8322,Diesel,42.8,2.0,volkswagen,29902282
19,Polo,2021,18250,Manual,8393,Petrol,51.4,1.0,volkswagen,30014032
20,Golf,2021,25750,Manual,8822,Petrol,51.4,1.5,volkswagen,29978286
21,Golf,2021,39950,Automatic,9091,Petrol,36.2,2.0,volkswagen,29712250
22,Tiguan,2020,23950,Manual,9440,Petrol,44.8,1.5,volkswagen,29984086
23,T-Roc,2020,22750,Manual,10663,Petrol,44.1,1.0,volkswagen,29875018
24,Polo,2020,17750,Manual,11713,Petrol,50.4,1.0,volkswagen,29978287
25,ID4,2022,42950,Automatic,12198,Other,None,0,volkswagen,29828543
26,Polo,2019,18150,Automatic,12709,Petrol,45.6,1.0,volkswagen,30014029
27,Golf,2019,19250,Manual,14050,Petrol,50.4,1.5,volkswagen,29631343
28,Golf,2016,16250,Automatic,15059,Petrol,53.3,1.4,volkswagen,29972213
29,Golf,2019,19150,Manual,15707,Petrol,50.4,1.5,volkswagen,29984088
30,Golf,2019,19250,Manual,14050,Petrol,50.4,1.5,volkswagen,29631343
31,Golf,2016,16250,Automatic,15059,Petrol,53.3,1.4,volkswagen,29972213
32,Golf,2019,19150,Manual,15707,Petrol,50.4,1.5,volkswagen,29984088
33,T-Roc,2018,20950,Manual,16035,Diesel,50.4,1.6,volkswagen,28395720
34,Tiguan,2021,23950,Manual,16461,Petrol,44.1,1.5,volkswagen,29828548
35,Up,2019,12450,Manual,16688,Petrol,52.3,1.0,volkswagen,29939580
36,Arteon,2022,33950,Automatic,16828,Petrol,39.2,2.0,volkswagen,29858125
37,Golf,2020,23950,Manual,17098,Petrol,51.4,1.5,volkswagen,30044831
38,Tiguan,2020,25950,Automatic,17930,Petrol,37.7,1.5,volkswagen,30007869
39,Passat,2020,22450,Manual,18443,Petrol,45.6,1.5,volkswagen,27156634
40,Golf,2021,30771,Automatic,18856,Other,176.6,1.4,volkswagen,29502662
41,Golf,2020,23250,Manual,22653,Petrol,49.6,1.5,volkswagen,29978284
42,Golf,2020,18950,Manual,22668,Petrol,49.6,1.5,volkswagen,29990870
43,Tiguan,2020,23250,Manual,25501,Petrol,38.2,1.5,volkswagen,30014027
44,Golf,2019,18450,Manual,26511,Petrol,49.6,1.5,volkswagen,30014030
45,T-Roc,2018,17950,Manual,26539,Petrol,55.4,1.0,volkswagen,29984087
46,T-Cross,2019,18950,Automatic,27220,Petrol,45.6,1.0,volkswagen,29679921
47,T-Roc,2020,23450,Manual,27668,Petrol,44.1,1.5,volkswagen,29939578
48,Tiguan,2018,20250,Manual,27926,Petrol,46.3,1.4,volkswagen,29939581
49,T-Roc,2019,19950,Manual,28835,Diesel,50.4,1.6,volkswagen,30014031
50,Golf,2020,23750,Automatic,32305,Other,141.3,1.4,volkswagen,30014028
51,Golf,2018,18950,Manual,32358,Petrol,55.4,1.5,volkswagen,29844892
52,Tiguan,2020,23250,Manual,33467,Petrol,38.2,1.5,volkswagen,29984083
53,Tiguan,2019,23450,Automatic,33734,Petrol,37.7,1.5,volkswagen,29972210
54,Golf,2015,13450,Manual,33839,Petrol,53.3,1.4,volkswagen,30044834
55,T-Roc,2019,19250,Manual,34226,Diesel,50.4,1.6,volkswagen,29984085
56,Tiguan,2019,23250,Automatic,43761,Petrol,37.7,1.5,volkswagen,29875023
57,Tiguan,2021,25650,Automatic,44869,Petrol,40.4,1.5,volkswagen,29972209
58,Golf,2021,18250,Manual,48492,Petrol,52.3,1.5,volkswagen,29978285
59,Golf,2016,14950,Automatic,52058,Petrol,53.3,1.4,volkswagen,30044836
60,Up,2016,8250,Manual,52561,Petrol,62.8,1.0,volkswagen,29849498
61,Golf,2016,11950,Manual,80949,Petrol,58.9,1.4,volkswagen,30041676
62,Golf,2015,16990,Manual,44111,Petrol,47.1,2.0,volkswagen,30029104
63,Touran,2017,17950,Manual,49900,Diesel,64.2,2.0,volkswagen,29547233
64,Polo,2018,13000,Manual,31700,Petrol,64.2,1.0,volkswagen,30020301
65,Polo,2014,9950,Manual,33100,Diesel,83.1,1.4,volkswagen,30029189
66,Golf,2019,26400,Automatic,49000,Petrol,32.8,2.0,volkswagen,30007441
67,Tiguan,2017,17600,Manual,49800,Petrol,48.7,1.4,volkswagen,29983780
68,Passat,2017,11900,Manual,73800,Diesel,68.9,2.0,volkswagen,30002450
69,Golf,2020,19950,Automatic,53500,Petrol,44.1,1.5,volkswagen,30048366
70,Golf,2018,20500,Automatic,63400,Diesel,57.7,2.0,volkswagen,30048363
71,Passat,2011,6000,Automatic,107983,Diesel,54.3,2.0,volkswagen,29715574
72,Golf,2018,18990,Automatic,44676,Petrol,156.9,1.4,volkswagen,29295164
73,Golf,2018,24790,Automatic,47351,Petrol,39.8,2.0,volkswagen,29707369
74,Polo,2017,14990,Manual,49012,Petrol,47,1.8,volkswagen,29956100
75,Golf,2017,25990,Automatic,50788,Petrol,39.8,2.0,volkswagen,29839879
76,Touareg,2014,17490,Automatic,79026,Diesel,42.8,3.0,volkswagen,29891360
77,Tiguan,2015,12690,Manual,81731,Diesel,48.7,2.0,volkswagen,29810939
78,Tiguan,2016,16490,Automatic,85741,Diesel,49.6,2.0,volkswagen,29962409
79,Golf,2015,16890,Automatic,95689,Petrol,39.8,2.0,volkswagen,29891356
80,Tiguan,2016,16490,Automatic,85741,Diesel,49.6,2.0,volkswagen,29962409
81,Scirocco,2011,6795,Manual,68070,Petrol,42.8,1.4,volkswagen,30007152
82,Polo,2015,7495,Manual,76000,Petrol,60.1,1.0,volkswagen,29990140
83,Up,2013,5995,Manual,79615,Petrol,60.1,1.0,volkswagen,29908099
84,Polo,2010,5295,Manual,101350,Petrol,53.3,1.2,volkswagen,29996587
85,Passat,2012,5995,Automatic,110105,Diesel,53.3,2.0,volkswagen,29781638
86,Golf,2016,19495,Automatic,12608,Petrol,None,1.4,volkswagen,29960525
87,Touareg,2013,12995,Automatic,128294,Diesel,39.2,3.0,volkswagen,29833606
88,Polo,2011,5650,Manual,72000,Petrol,51.4,1.2,volkswagen,29985168
89,Golf,2012,7995,Automatic,74000,Diesel,52.3,2.0,volkswagen,29839807
90,Up,2012,6495,Automatic,83000,Petrol,64.2,1.0,volkswagen,29720572
91,Golf,2011,4995,Manual,123000,Diesel,62.8,1.6,volkswagen,29484993
92,Touran,2013,7495,Manual,93000,Diesel,55.4,1.6,volkswagen,30014807
93,Passat,2018,19990,Automatic,52500,Other,166,1.4,volkswagen,29997071
94,Passat,2016,18995,Automatic,16803,Diesel,70.6,1.6,volkswagen,28007712
95,Golf,2020,22289,Automatic,28000,Petrol,141.3,1.4,volkswagen,29864307
96,Polo,2015,9999,Manual,29000,Petrol,60.1,1.0,volkswagen,29928721
97,Jetta,2016,11999,Automatic,31000,Diesel,62.8,2.0,volkswagen,29984039
98,Golf,2012,6499,Manual,63000,Diesel,68.9,1.6,volkswagen,29198164
99,Golf,2012,5999,Manual,96000,Diesel,62.8,2.0,volkswagen,26993723
100,Polo,2016,13397,Manual,13202,Petrol,60.1,1.2,volkswagen,29780529
101,Polo,2019,19166,Semi-Auto,19326,Petrol,39.8,2,volkswagen,29837936
102,Golf,2018,16669,Manual,27322,Petrol,58.9,1.5,volkswagen,29795513
103,Polo,2019,14495,Manual,17155,Petrol,None,1.0,volkswagen,29659325
104,Polo,2017,13495,Manual,22334,Petrol,60.1,1.2,volkswagen,29778907
105,Tiguan,2018,23290,Semi-Auto,38814,Petrol,38.2,2.0,volkswagen,29850858
106,ID3,2021,26049,Blue,Electric,Automatic,5841,,volkswagen,29986698
107,T-Cross,2021,20699,Manual,6696,Petrol,48.7,1.0,volkswagen,29651794
108,T-Roc,2021,26499,Semi-Auto,9997,Petrol,44.8,1.5,volkswagen,29974683
109,Polo,2019,17049,Semi-Auto,11448,Petrol,45.6,1.0,volkswagen,30008833
110,Polo,2021,17549,Manual,9018,Petrol,47.9,1.0,volkswagen,30042565
111,Tiguan Allspace,2019,27049,Manual,9061,Petrol,46.3,1.5,volkswagen,30042282
112,Golf,2021,21349,Manual,9073,Petrol,52.3,1.5,volkswagen,30042451
113,Golf,2020,20049,Manual,9352,Petrol,49.6,1.5,volkswagen,30042294
114,T-Roc,2021,26499,Semi-Auto,9997,Petrol,44.8,1.5,volkswagen,29974683
115,Up,2018,10049,Manual,10031,Petrol,64.2,1.0,volkswagen,29591085
116,Golf,2019,19549,Manual,10045,Petrol,50.4,1.5,volkswagen,30025502
117,Tiguan,2021,30699,Semi-Auto,10408,Petrol,38.7,1.5,volkswagen,29563118
118,T-Roc,2020,22549,Manual,10500,Diesel,50.4,2.0,volkswagen,29591135
119,Polo,2019,17049,Semi-Auto,11448,Petrol,45.6,1.0,volkswagen,30008833
120,T-Roc,2021,20049,Manual,23235,Petrol,46.3,1.0,volkswagen,30010071
121,Tiguan,2019,25999,Manual,23287,Diesel,47.9,2.0,volkswagen,29723953
122,T-Roc,2019,20699,Manual,23344,Petrol,42.2,1.5,volkswagen,29993487
123,Polo,2019,19249,Semi-Auto,23605,Petrol,39.8,2.0,volkswagen,29986754
124,Golf,2018,24049,Manual,24168,Petrol,37.2,2.0,volkswagen,30008813
125,Golf,2019,17549,Manual,24604,Diesel,55.4,1.6,volkswagen,30003914
126,Up,2017,10549,Manual,25859,Petrol,64.2,1.0,volkswagen,29993371
127,Golf,2018,16549,Manual,26340,Petrol,47.1,1.5,volkswagen,30015320
128,Polo,2019,19049,Semi-Auto,26739,Petrol,39.8,2.0,volkswagen,30003935
129,Polo,2017,11849,Manual,28776,Petrol,58.9,1.0,volkswagen,30003910
130,Polo,2019,13699,Manual,14636,Petrol,52.3,1.0,volkswagen,29505859
131,Polo,2016,14549,Semi-Auto,14849,Petrol,60.1,1.2,volkswagen,30042552
132,Touran,2019,23049,Manual,15128,Petrol,40.9,1.0,volkswagen,29898745
133,Polo,2016,12049,Manual,16676,Petrol,58.9,1.0,volkswagen,29898805
134,Polo,2020,16049,Manual,16864,Petrol,51.4,1.0,volkswagen,30025518
135,T-Roc,2019,20349,Manual,17316,Petrol,44.1,1.0,volkswagen,29866316
136,Polo,2019,13799,Manual,17704,Petrol,48.7,1.0,volkswagen,29898758
137,Golf,2021,23499,Semi-Auto,17737,Diesel,61.4,2.0,volkswagen,29854898
138,Tiguan,2016,21049,Semi-Auto,17753,Diesel,49.6,2.0,volkswagen,30042619
139,Golf,2020,18849,Manual,18003,Petrol,49.6,1.5,volkswagen,29745697
140,Polo,2017,12249,Manual,34499,Petrol,60.1,1.2,volkswagen,30003969
141,Polo,2018,13749,Manual,35977,Petrol,62.8,1.0,volkswagen,30003952
142,T-Roc,2018,17549,Manual,37142,Petrol,55.4,1.0,volkswagen,30003747
143,Golf,2017,14049,Manual,38359,Petrol,54.3,1.4,volkswagen,29981261
144,Polo,2018,13049,Manual,39435,Petrol,64.2,1.0,volkswagen,29981232
145,Golf,2018,16049,Semi-Auto,42251,Diesel,72.4,1.6,volkswagen,29974744
146,Golf,2018,14049,Manual,44116,Diesel,61.4,1.6,volkswagen,29993389
147,Golf,2018,16549,Semi-Auto,44679,Petrol,58.9,1.5,volkswagen,29986658
148,Tiguan,2017,18999,Semi-Auto,45345,Diesel,49.6,2.0,volkswagen,30015265
149,Touran,2017,18399,Semi-Auto,46290,Diesel,60.1,2.0,volkswagen,29981345
150,Golf SV,2017,13049,Manual,46332,Diesel,65.7,2.0,volkswagen,30003768
151,Tiguan,2016,20049,Semi-Auto,47330,Diesel,49.6,2.0,volkswagen,30008867
152,T-Roc,2018,17749,Manual,50237,Petrol,53.3,1.5,volkswagen,29974768
