,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Golf,2022,22800,Manual,5000,Petrol,50.4,1.5,volkswagen,29090734
1,Golf,2022,22800,Manual,5000,Petrol,50.4,1.5,volkswagen,29152655
2,Polo,2023,23276,Manual,5000,Petrol,54.3,1,volkswagen,29864410
3,Polo,2023,23276,Manual,5000,Petrol,54.3,1,volkswagen,29864408
4,T-Roc,2023,25300,Manual,5000,Petrol,47.1,1,volkswagen,29525360
5,T-Cross,2023,25900,Manual,5000,Petrol,48.7,1,volkswagen,29986214
6,T-Cross,2023,26900,Manual,5000,Petrol,47.9,1,volkswagen,30005867
7,Taigo,2023,26900,Manual,5000,Petrol,51.4,1,volkswagen,30005871
8,Golf,2023,26900,Manual,5000,Petrol,51.4,1.5,volkswagen,30005872
9,T-Cross,2023,27100,Manual,5000,Petrol,48.7,1,volkswagen,29860773
10,Golf,2023,26900,Manual,5000,Petrol,51.4,1.5,volkswagen,30005872
11,T-Cross,2023,27100,Manual,5000,Petrol,48.7,1,volkswagen,29860773
12,T-Cross,2023,27200,Automatic,5000,Petrol,43.5,1,volkswagen,29860774
13,Golf,2023,27400,Manual,5000,Petrol,51.4,1.5,volkswagen,29860775
14,Taigo,2023,27700,Manual,5000,Petrol,51.4,1,volkswagen,29721106
15,Golf,2023,27900,Manual,5000,Petrol,51.4,1.5,volkswagen,29721107
16,Golf,2023,28165,Manual,5000,Petrol,49.6,1.5,volkswagen,29864411
17,T-Cross,2023,28600,Manual,5000,Petrol,47.9,1,volkswagen,29721105
18,T-Roc,2023,28900,Manual,5000,Petrol,47.1,1,volkswagen,30005869
19,T-Roc,2022,31166,Manual,5000,Petrol,47.1,1.5,volkswagen,29115196
20,Tiguan,2023,39200,Semi-Auto,5000,Diesel,49.6,2,volkswagen,30005866
21,Arteon,2023,42100,Semi-Auto,5000,Petrol,39.2,2,volkswagen,29721104
22,Tiguan,2023,47700,Semi-Auto,5394,Petrol,28.3,2,volkswagen,30015470
23,Taigo,2022,24300,Manual,5710,Petrol,51.4,1,volkswagen,29904503
24,Golf,2022,25900,Manual,5977,Petrol,51.4,1.5,volkswagen,29755194
25,T-Cross,2022,24600,Manual,6000,Petrol,47.9,1,volkswagen,28977276
26,T-Roc,2022,33900,Semi-Auto,7000,Petrol,38.2,2,volkswagen,29816370
27,Tiguan,2022,36700,Semi-Auto,9343,Diesel,44.1,2,volkswagen,29845665
28,Golf,2021,27200,Semi-Auto,9360,Hybrid,49.6,1.5,volkswagen,29892066
