,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Up,2013,5000,Manual,79339,Petrol,62.8,1.0,volkswagen,30004115
1,Polo,2012,7000,Manual,82241,Petrol,51.4,1.2,volkswagen,30010109
2,Golf,2013,9500,Automatic,91987,Petrol,60.1,1.4,volkswagen,29728841
3,Up,2021,15789,Manual,710,Petrol,54.3,1,volkswagen,29958323
4,T-Roc,2022,38489,Semi-Auto,2234,Petrol,33.2,2,volkswagen,29780297
5,Taigo,2023,23789,Manual,2393,Petrol,51.4,1,volkswagen,29976344
6,Polo,2022,18989,Manual,2471,Petrol,52.3,1,volkswagen,29751935
7,Polo,2022,24489,Semi-Auto,4951,Petrol,50.4,1,volkswagen,29994412
8,Polo,2022,18989,Manual,5000,Petrol,54.3,1,volkswagen,29696719
9,Polo,2023,24280,Manual,5000,Petrol,54.3,1,volkswagen,29860766
10,Polo,2022,26489,Semi-Auto,5000,Petrol,50.4,1,volkswagen,30004772
11,Polo,2022,26489,Semi-Auto,5000,Petrol,50.4,1,volkswagen,30004776
12,Golf,2023,28235,Manual,5000,Petrol,51.4,1.5,volkswagen,29703026
13,T-Cross,2023,28360,Manual,5000,Petrol,47.9,1,volkswagen,29696720
14,Golf,2023,28905,Semi-Auto,5000,Hybrid,50.4,1.5,volkswagen,29860764
15,Golf,2023,29085,Manual,5000,Petrol,51.4,1.5,volkswagen,30005859
16,Golf,2023,29525,Manual,5000,Petrol,49.6,1.5,volkswagen,29696741
17,Taigo,2023,29755,Manual,5000,Petrol,51.4,1,volkswagen,29860765
18,T-Cross,2023,30625,Automatic,5000,Petrol,44.1,1.5,volkswagen,29703027
19,Golf,2023,32725,Semi-Auto,5000,Hybrid,49.6,1.5,volkswagen,29860767
20,Golf,2022,32989,Semi-Auto,5000,Hybrid,None,1.4,volkswagen,29696732
21,Arteon,2022,32989,Semi-Auto,5000,Petrol,39.2,2,volkswagen,29696714
22,T-Roc,2023,36989,Semi-Auto,5000,Diesel,57.7,2,volkswagen,29696744
23,Tiguan,2023,40989,Semi-Auto,5000,Diesel,45.6,2,volkswagen,29696740
24,Golf,2023,41210,Semi-Auto,5000,Petrol,38.2,2,volkswagen,29860768
25,Golf,2023,52989,Semi-Auto,5000,Petrol,36.2,2,volkswagen,29786737
26,Touareg,2023,79425,Semi-Auto,5000,Diesel,33.6,3,volkswagen,29860763
27,Polo,2021,21989,Semi-Auto,5492,Petrol,51.4,1,volkswagen,30017529
28,T-Roc,2021,26989,Manual,5492,Petrol,44.8,1,volkswagen,30017530
29,T-Roc,2022,31489,Manual,6087,Petrol,47.1,1.5,volkswagen,30017528
30,Polo,2021,17989,Manual,7895,Petrol,51.4,1,volkswagen,29696747
31,Arteon,2022,38489,Semi-Auto,8000,Hybrid,44.8,1.4,volkswagen,29696713
32,T-Roc,2020,25489,Semi-Auto,8012,Petrol,43.5,1.5,volkswagen,29751941
33,Up,2021,19489,Manual,8879,Petrol,53.3,1,volkswagen,30017523
34,Arteon,2022,31989,Semi-Auto,8998,Diesel,54.3,2,volkswagen,29696722
35,T-Cross,2021,22989,Manual,10627,Petrol,47.1,1,volkswagen,29696767
36,ID5,2022,44489,Red,Electric,Automatic,11000,,volkswagen,29696715
37,T-Roc,2021,24989,Manual,12266,Petrol,44.8,1.5,volkswagen,29696718
38,Polo,2019,15989,Manual,12338,Petrol,52.3,1,volkswagen,29696716
39,Polo,2021,19489,Semi-Auto,12500,Petrol,46.3,1,volkswagen,29696703
40,Polo,2019,16989,Manual,13021,Petrol,52.3,1,volkswagen,29780301
41,Golf,2020,26289,Semi-Auto,13680,Hybrid,47.1,1.5,volkswagen,29981417
42,T-Cross,2019,18489,Manual,13719,Petrol,47.9,1,volkswagen,29751937
43,Polo,2021,17789,Manual,14278,Petrol,50.4,1,volkswagen,29746101
44,T-Roc,2020,24489,Manual,14777,Petrol,42.2,1.5,volkswagen,29895203
45,Polo,2021,17289,Manual,14800,Petrol,50.4,1,volkswagen,29804245
46,Polo,2020,15989,Manual,16424,Petrol,48.7,1,volkswagen,30017525
47,Golf,2021,32489,Manual,16895,Petrol,38.2,2,volkswagen,29994409
48,Polo,2020,16989,Manual,17446,Petrol,47.9,1,volkswagen,29862428
49,Touran,2021,28989,Semi-Auto,18552,Petrol,42.8,1.5,volkswagen,29994410
50,T-Roc,2019,25989,Manual,18704,Petrol,53.3,1.5,volkswagen,29696759
51,Golf,2019,21989,Manual,18935,Petrol,47.9,1.5,volkswagen,29827116
52,Polo,2021,16989,Manual,19110,Petrol,51.4,1,volkswagen,29696751
53,Polo,2020,16789,Manual,19261,Petrol,50.4,1,volkswagen,29696734
54,Golf,2021,22489,Manual,19684,Petrol,49.6,1.5,volkswagen,29862431
55,Golf,2021,39489,Semi-Auto,19709,Petrol,36.2,2,volkswagen,29696774
56,Golf,2019,21989,Manual,20870,Petrol,45.6,1.5,volkswagen,29751940
57,Tiguan,2021,31289,Semi-Auto,21945,Petrol,38.2,1.5,volkswagen,29981418
58,Golf,2019,18989,Manual,22248,Petrol,49.6,1.5,volkswagen,30004778
59,T-Cross,2021,20489,Manual,22863,Petrol,48.7,1,volkswagen,29780293
60,T-Roc,2021,26989,Manual,23753,Petrol,42.2,1.5,volkswagen,29703024
61,T-Cross,2019,18989,Manual,24267,Petrol,47.9,1,volkswagen,29696724
62,Golf,2020,18989,Manual,25751,Petrol,50.4,1.5,volkswagen,29751942
63,Golf,2019,28489,Semi-Auto,27318,Petrol,32.8,2,volkswagen,29696777
64,Touareg,2020,49489,Semi-Auto,28976,Diesel,33.6,3,volkswagen,29696773
65,Polo,2019,16789,Semi-Auto,29353,Petrol,45.6,1,volkswagen,29866706
66,Touareg,2020,48989,Semi-Auto,29759,Diesel,33.6,3,volkswagen,29898850
67,Passat,2021,29289,Semi-Auto,29815,Diesel,56.5,2,volkswagen,29981414
68,Tiguan,2020,32489,Semi-Auto,31015,Diesel,44.1,2,volkswagen,30011079
69,Golf,2019,21289,Semi-Auto,31032,Diesel,52.3,2,volkswagen,29780291
70,Golf,2019,18489,Semi-Auto,31188,Petrol,45.6,1,volkswagen,29696709
71,Arteon,2020,28289,Semi-Auto,31648,Petrol,35.8,2,volkswagen,29958322
72,Golf,2020,21489,Semi-Auto,33880,Petrol,45.6,1.5,volkswagen,29780306
73,Tiguan Allspace,2019,26489,Semi-Auto,34044,Diesel,44.1,2,volkswagen,29981419
74,Polo,2018,13289,Manual,34268,Petrol,60.1,1,volkswagen,29981420
75,Passat,2019,21989,Semi-Auto,35978,Diesel,51.4,2,volkswagen,29976343
76,Golf,2018,18989,Manual,36936,Diesel,67.3,2,volkswagen,29976339
77,Jetta,2016,10989,Manual,37972,Petrol,52.3,1.4,volkswagen,29710736
78,Polo,2017,13989,Manual,38596,Petrol,65.7,1,volkswagen,30004773
79,Polo,2019,15989,Semi-Auto,39669,Petrol,45.6,1,volkswagen,29746096
80,Polo,2018,15289,Manual,39818,Petrol,60.1,1,volkswagen,29837698
81,Golf,2018,18989,Manual,42822,Diesel,67.3,2,volkswagen,29696706
82,Tiguan,2019,26989,Semi-Auto,43538,Diesel,39.8,2,volkswagen,29981412
83,Tiguan,2017,18489,Manual,46371,Petrol,46.3,1.4,volkswagen,29746104
84,Polo,2018,18989,Semi-Auto,47170,Petrol,47.9,2,volkswagen,30005858
