,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Polo,2021,17549,Manual,9018,Petrol,47.9,1.0,volkswagen,30042565
1,Tiguan Allspace,2019,27049,Manual,9061,Petrol,46.3,1.5,volkswagen,30042282
2,Golf,2021,21349,Manual,9073,Petrol,52.3,1.5,volkswagen,30042451
3,Golf,2020,20049,Manual,9352,Petrol,49.6,1.5,volkswagen,30042294
4,T-Roc,2021,26499,Semi-Auto,9997,Petrol,44.8,1.5,volkswagen,29974683
5,Up,2018,10049,Manual,10031,Petrol,64.2,1.0,volkswagen,29591085
6,Golf,2019,19549,Manual,10045,Petrol,50.4,1.5,volkswagen,30025502
7,Tiguan,2021,30699,Semi-Auto,10408,Petrol,38.7,1.5,volkswagen,29563118
8,T-Roc,2020,22549,Manual,10500,Diesel,50.4,2.0,volkswagen,29591135
9,Polo,2019,17049,Semi-Auto,11448,Petrol,45.6,1.0,volkswagen,30008833
10,Polo,2019,15249,Manual,12081,Petrol,52.3,1.0,volkswagen,29658762
11,T-Roc,2019,21199,Manual,12429,Diesel,50.4,1.6,volkswagen,29860445
12,Up,2017,9399,Manual,12460,Petrol,64.2,1.0,volkswagen,29888367
13,Polo,2016,13449,Semi-Auto,12513,Petrol,60.1,1.2,volkswagen,30041298
14,Up,2017,9249,Manual,12858,Petrol,68.9,1.0,volkswagen,29619789
15,T-Roc,2020,28049,Semi-Auto,12948,Petrol,41.5,1.5,volkswagen,29826225
16,Golf,2019,17699,Manual,12962,Petrol,50.4,1.0,volkswagen,29786253
17,Polo,2018,14799,Manual,13995,Petrol,62.8,1.0,volkswagen,29866399
18,Up,2018,10449,Manual,14343,Petrol,68.9,1.0,volkswagen,29723952
19,Polo,2019,21049,Semi-Auto,14409,Petrol,39.8,2.0,volkswagen,29888116
20,Polo,2019,13699,Manual,14636,Petrol,52.3,1.0,volkswagen,29505859
21,Polo,2016,14549,Semi-Auto,14849,Petrol,60.1,1.2,volkswagen,30042552
22,Touran,2019,23049,Manual,15128,Petrol,40.9,1.0,volkswagen,29898745
23,Polo,2016,12049,Manual,16676,Petrol,58.9,1.0,volkswagen,29898805
24,Polo,2020,16049,Manual,16864,Petrol,51.4,1.0,volkswagen,30025518
25,T-Roc,2019,20349,Manual,17316,Petrol,44.1,1.0,volkswagen,29866316
26,Polo,2019,13799,Manual,17704,Petrol,48.7,1.0,volkswagen,29898758
27,Golf,2021,23499,Semi-Auto,17737,Diesel,61.4,2.0,volkswagen,29854898
28,Tiguan,2016,21049,Semi-Auto,17753,Diesel,49.6,2.0,volkswagen,30042619
29,Golf,2020,18849,Manual,18003,Petrol,49.6,1.5,volkswagen,29745697
30,Polo,2018,13749,Manual,35977,Petrol,62.8,1.0,volkswagen,30003952
31,T-Roc,2018,17549,Manual,37142,Petrol,55.4,1.0,volkswagen,30003747
32,Golf,2017,14049,Manual,38359,Petrol,54.3,1.4,volkswagen,29981261
33,Polo,2018,13049,Manual,39435,Petrol,64.2,1.0,volkswagen,29981232
34,Golf,2018,16049,Semi-Auto,42251,Diesel,72.4,1.6,volkswagen,29974744
35,Golf,2018,14049,Manual,44116,Diesel,61.4,1.6,volkswagen,29993389
36,Golf,2018,16549,Semi-Auto,44679,Petrol,58.9,1.5,volkswagen,29986658
37,Tiguan,2017,18999,Semi-Auto,45345,Diesel,49.6,2.0,volkswagen,30015265
38,Touran,2017,18399,Semi-Auto,46290,Diesel,60.1,2.0,volkswagen,29981345
39,Golf SV,2017,13049,Manual,46332,Diesel,65.7,2.0,volkswagen,30003768
40,Tiguan,2016,20049,Semi-Auto,47330,Diesel,49.6,2.0,volkswagen,30008867
41,T-Roc,2018,17749,Manual,50237,Petrol,53.3,1.5,volkswagen,29974768
42,Tiguan,2017,19049,Semi-Auto,51794,Diesel,49.6,2.0,volkswagen,30008857
43,Golf,2017,14049,Manual,53200,Petrol,58.9,1.5,volkswagen,29974758
44,Tiguan,2019,20499,Semi-Auto,56413,Diesel,45.6,2.0,volkswagen,30003913
45,Golf,2019,16349,Semi-Auto,56694,Diesel,54.3,1.6,volkswagen,30003821
46,Golf,2018,13649,Manual,57078,Petrol,49.6,1.0,volkswagen,29986752
47,Tiguan,2017,22899,Semi-Auto,58194,Diesel,49.6,2.0,volkswagen,30015305
48,Up,2016,7549,Manual,59130,Petrol,64.2,1.0,volkswagen,30003848
49,Golf,2018,23049,Semi-Auto,60542,Petrol,39.2,2.0,volkswagen,30015338
50,Polo,2019,16849,Semi-Auto,22035,Petrol,45.6,1.0,volkswagen,30008808
51,Golf,2019,14799,Manual,22084,Petrol,49.6,1.0,volkswagen,29363843
52,Up,2016,11799,Semi-Auto,22133,Petrol,67.3,1.0,volkswagen,29808044
53,Golf,2017,14049,Manual,22484,Petrol,65.7,1.0,volkswagen,29745772
54,Tiguan,2020,24049,Manual,22693,Petrol,44.1,1.5,volkswagen,29969233
55,Up,2016,8699,Manual,22707,Petrol,64.2,1.0,volkswagen,29799188
56,T-Cross,2020,19549,Manual,22878,Petrol,47.9,1.0,volkswagen,30025618
57,Polo,2017,12049,Manual,23175,Petrol,60.1,1.2,volkswagen,30042415
58,Golf,2019,18799,Semi-Auto,23187,Diesel,54.3,1.6,volkswagen,30042571
59,T-Roc,2021,20049,Manual,23235,Petrol,46.3,1.0,volkswagen,30010071
60,Up,2017,9699,Manual,6621,Petrol,64.2,1.0,volkswagen,29915764
61,Polo,2021,19699,Semi-Auto,6880,Petrol,46.3,1.0,volkswagen,29905909
62,Up,2019,16049,Manual,7889,Petrol,50.4,1.0,volkswagen,30025597
63,Polo,2021,17549,Manual,9018,Petrol,47.9,1.0,volkswagen,30042565
64,Tiguan Allspace,2019,27049,Manual,9061,Petrol,46.3,1.5,volkswagen,30042282
65,Golf,2021,21349,Manual,9073,Petrol,52.3,1.5,volkswagen,30042451
66,Polo,2020,15899,Manual,9074,Petrol,52.3,1.0,volkswagen,29651711
67,Up,2018,10749,Manual,9199,Petrol,68.9,1.0,volkswagen,30025575
68,Golf,2020,20049,Manual,9352,Petrol,49.6,1.5,volkswagen,30042294
69,Up,2019,10349,Manual,9513,Petrol,62.8,1.0,volkswagen,29950276
70,Golf,2019,23599,Manual,25358,Petrol,37.2,2.0,volkswagen,29888251
71,Polo,2018,14999,Manual,25498,Petrol,60.1,1.0,volkswagen,29751586
72,Golf,2018,16549,Manual,25529,Petrol,58.9,1.5,volkswagen,30025598
73,T-Cross,2019,16749,Manual,25613,Petrol,47.9,1.0,volkswagen,29842612
74,Golf,2017,15049,Manual,25619,Diesel,61.4,1.6,volkswagen,29855004
75,Tiguan,2020,27549,Semi-Auto,25834,Petrol,36.7,1.5,volkswagen,29535486
76,Up,2017,10549,Manual,25859,Petrol,64.2,1.0,volkswagen,29993371
77,Polo,2019,13699,Manual,25920,Petrol,48.7,1.0,volkswagen,29768510
78,T-Cross,2020,16649,Manual,25957,Petrol,48.7,1.0,volkswagen,29773068
79,Polo,2016,10399,Manual,25998,Petrol,60.1,1.2,volkswagen,29724006
80,Golf,2018,16549,Manual,26340,Petrol,47.1,1.5,volkswagen,30015320
81,T-Cross,2019,17199,Manual,26669,Petrol,47.9,1.0,volkswagen,29831197
82,T-Cross,2019,18349,Manual,26713,Petrol,47.9,1.0,volkswagen,29893676
83,Polo,2019,19049,Semi-Auto,26739,Petrol,39.8,2.0,volkswagen,30003935
84,Polo,2019,15049,Manual,27060,Petrol,49.6,1.0,volkswagen,29600875
85,Golf,2018,26699,Semi-Auto,27180,Petrol,39.8,2.0,volkswagen,29950262
86,Tiguan,2019,25049,Semi-Auto,27500,Diesel,38.7,2.0,volkswagen,29591235
87,Polo,2018,13699,Manual,27565,Petrol,62.8,1.0,volkswagen,29905990
88,Golf,2019,22049,Semi-Auto,27762,Petrol,44.1,1.5,volkswagen,30042218
89,Golf,2017,20049,Semi-Auto,27818,Diesel,57.7,2.0,volkswagen,29808007
90,Polo,2019,21049,Semi-Auto,14409,Petrol,39.8,2.0,volkswagen,29888116
