,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,ID3,2021,26049,Blue,Electric,Automatic,5841,,volkswagen,29986698
1,T-Cross,2021,20699,Manual,6696,Petrol,48.7,1.0,volkswagen,29651794
2,T-Roc,2021,26499,Semi-Auto,9997,Petrol,44.8,1.5,volkswagen,29974683
3,Polo,2019,17049,Semi-Auto,11448,Petrol,45.6,1.0,volkswagen,30008833
4,Polo,2019,13699,Manual,14636,Petrol,52.3,1.0,volkswagen,29505859
5,Polo,2020,17199,Manual,18246,Petrol,51.4,1.0,volkswagen,29950312
6,Tiguan,2018,23549,Semi-Auto,19297,Diesel,45.6,2.0,volkswagen,30003762
7,Golf,2020,19249,Manual,19463,Petrol,50.4,1.5,volkswagen,30015294
8,Tiguan,2019,33049,Semi-Auto,20590,Diesel,35.3,2.0,volkswagen,29993459
9,Polo,2019,21549,Semi-Auto,20863,Petrol,39.8,2.0,volkswagen,29974655
10,Polo,2017,12849,Manual,20978,Petrol,60.1,1.2,volkswagen,29993354
11,T-Roc,2020,27399,Semi-Auto,21601,Petrol,41.5,1.5,volkswagen,29981340
12,Golf,2019,14799,Manual,22084,Petrol,49.6,1.0,volkswagen,29363843
13,Tiguan,2020,24049,Manual,22693,Petrol,44.1,1.5,volkswagen,29969233
14,T-Roc,2021,20049,Manual,23235,Petrol,46.3,1.0,volkswagen,30010071
15,Tiguan,2019,25999,Manual,23287,Diesel,47.9,2.0,volkswagen,29723953
16,T-Roc,2019,20699,Manual,23344,Petrol,42.2,1.5,volkswagen,29993487
17,Polo,2019,19249,Semi-Auto,23605,Petrol,39.8,2.0,volkswagen,29986754
18,Golf,2018,24049,Manual,24168,Petrol,37.2,2.0,volkswagen,30008813
19,Golf,2019,17549,Manual,24604,Diesel,55.4,1.6,volkswagen,30003914
20,Golf,2019,17699,Manual,12962,Petrol,50.4,1.0,volkswagen,29786253
21,Polo,2018,14799,Manual,13995,Petrol,62.8,1.0,volkswagen,29866399
22,Up,2018,10449,Manual,14343,Petrol,68.9,1.0,volkswagen,29723952
23,Polo,2019,21049,Semi-Auto,14409,Petrol,39.8,2.0,volkswagen,29888116
24,Polo,2019,13699,Manual,14636,Petrol,52.3,1.0,volkswagen,29505859
25,Polo,2016,14549,Semi-Auto,14849,Petrol,60.1,1.2,volkswagen,30042552
26,Touran,2019,23049,Manual,15128,Petrol,40.9,1.0,volkswagen,29898745
27,Polo,2016,12049,Manual,16676,Petrol,58.9,1.0,volkswagen,29898805
28,Polo,2020,16049,Manual,16864,Petrol,51.4,1.0,volkswagen,30025518
29,T-Roc,2019,20349,Manual,17316,Petrol,44.1,1.0,volkswagen,29866316
30,Polo,2019,13799,Manual,17704,Petrol,48.7,1.0,volkswagen,29898758
31,Golf,2021,23499,Semi-Auto,17737,Diesel,61.4,2.0,volkswagen,29854898
32,Tiguan,2016,21049,Semi-Auto,17753,Diesel,49.6,2.0,volkswagen,30042619
33,Golf,2020,18849,Manual,18003,Petrol,49.6,1.5,volkswagen,29745697
34,Up,2016,8549,Manual,18097,Petrol,64.2,1.0,volkswagen,29563168
35,Up,2019,10094,Manual,18212,Petrol,54.3,1.0,volkswagen,30042543
36,Polo,2020,17199,Manual,18246,Petrol,51.4,1.0,volkswagen,29950312
37,Polo,2018,13799,Manual,18894,Petrol,64.2,1.0,volkswagen,29768303
38,Tiguan Allspace,2019,36549,Semi-Auto,18932,Petrol,30.7,2.0,volkswagen,29969252
39,Tiguan,2018,23549,Semi-Auto,19297,Diesel,45.6,2.0,volkswagen,30003762
40,Golf,2018,16549,Semi-Auto,44679,Petrol,58.9,1.5,volkswagen,29986658
41,Tiguan,2017,18999,Semi-Auto,45345,Diesel,49.6,2.0,volkswagen,30015265
42,Touran,2017,18399,Semi-Auto,46290,Diesel,60.1,2.0,volkswagen,29981345
43,Golf SV,2017,13049,Manual,46332,Diesel,65.7,2.0,volkswagen,30003768
44,Tiguan,2016,20049,Semi-Auto,47330,Diesel,49.6,2.0,volkswagen,30008867
45,T-Roc,2018,17749,Manual,50237,Petrol,53.3,1.5,volkswagen,29974768
46,Tiguan,2017,19049,Semi-Auto,51794,Diesel,49.6,2.0,volkswagen,30008857
47,Golf,2017,14049,Manual,53200,Petrol,58.9,1.5,volkswagen,29974758
48,Tiguan,2019,20499,Semi-Auto,56413,Diesel,45.6,2.0,volkswagen,30003913
49,Golf,2019,16349,Semi-Auto,56694,Diesel,54.3,1.6,volkswagen,30003821
50,Golf,2018,13649,Manual,57078,Petrol,49.6,1.0,volkswagen,29986752
51,Tiguan,2017,22899,Semi-Auto,58194,Diesel,49.6,2.0,volkswagen,30015305
52,Up,2016,7549,Manual,59130,Petrol,64.2,1.0,volkswagen,30003848
53,Golf,2018,23049,Semi-Auto,60542,Petrol,39.2,2.0,volkswagen,30015338
54,Golf,2018,13549,Manual,60555,Diesel,61.4,1.6,volkswagen,30004044
55,Tiguan,2019,19299,Manual,64641,Diesel,47.9,2.0,volkswagen,29981306
