,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Tiguan,2020,20991,Manual,26461,Diesel,47.9,2.0,volkswagen,29576254
1,Tiguan,2020,26441,Automatic,34216,Diesel,39.8,2.0,volkswagen,29850664
2,T-Roc,2022,23441,Manual,10925,Petrol,47.1,1.0,volkswagen,29739178
3,Tiguan,2019,28191,Automatic,28073,Petrol,36.7,1.5,volkswagen,29830749
4,Tiguan,2019,22251,Automatic,32383,Petrol,37.7,1.5,volkswagen,29860103
5,Tiguan,2019,28991,Automatic,32576,Petrol,31,2.0,volkswagen,29987395
6,Golf,2019,22181,Automatic,43937,Diesel,49.6,2.0,volkswagen,30014903
7,Golf,2018,24199,Automatic,44005,Petrol,39.2,2.0,volkswagen,29993643
8,Golf,2019,15995,Automatic,20942,Other,None,0,volkswagen,29909674
9,Golf,2020,16995,Automatic,24629,Other,None,0,volkswagen,29909663
10,Polo,2018,13895,Manual,28259,Petrol,60.1,1.0,volkswagen,29905483
11,Polo,2018,15695,Manual,35444,Petrol,49.6,1.0,volkswagen,29909677
12,Polo,2016,9395,Manual,67834,Petrol,60.1,1.0,volkswagen,30013854
13,T-Roc,2021,18995,Manual,28747,Petrol,46.3,1.0,volkswagen,28905127
14,Caddy Maxi,2015,16480,Automatic,25000,Diesel,48.7,1.6,volkswagen,28343745
15,Caddy Maxi,2016,18880,Automatic,48000,Diesel,54.3,2.0,volkswagen,29822041
16,Polo,2013,7995,Manual,27304,Petrol,51.4,1.2,volkswagen,29403180
17,Polo,2016,9795,Manual,45418,Petrol,60.1,1.0,volkswagen,29944223
18,Golf,2015,9995,Manual,48128,Diesel,68.9,1.6,volkswagen,29403173
19,Polo,2010,5495,Manual,56623,Diesel,83.1,1.2,volkswagen,29403185
20,Polo,2013,5995,Automatic,86853,Petrol,47.9,1.4,volkswagen,29403183
21,Golf,2018,17699,Semi-Auto,7818,Petrol,41.5,1.6,volkswagen,29626621
22,Tiguan,2020,21999,Manual,13000,Petrol,38.2,1.5,volkswagen,29626606
23,Golf,2019,16899,Manual,23621,Petrol,47.1,1.5,volkswagen,29835166
24,Tiguan,2018,18699,Manual,27000,Petrol,46.3,1.5,volkswagen,29626617
25,Polo,2018,14899,Semi-Auto,35000,Petrol,45.6,1,volkswagen,29831498
26,Polo,2021,16995,Manual,15225,Petrol,53.3,1.0,volkswagen,29645390
27,Golf,2019,14995,Manual,34655,Diesel,57.7,1.6,volkswagen,29973180
28,Polo,2016,9995,Manual,48423,Petrol,60.1,1.0,volkswagen,29956117
29,Golf,2017,15995,Automatic,78638,Other,156.9,1.4,volkswagen,29931729
30,Golf,2017,15995,Automatic,78638,Other,156.9,1.4,volkswagen,29931729
31,Golf,2015,12495,Manual,83266,Diesel,67.3,2.0,volkswagen,29931780
32,Caddy Maxi,2017,10495,Manual,103024,Diesel,60.1,2.0,volkswagen,29931770
33,Golf,2018,22695,Automatic,47582,Petrol,39.2,2.0,volkswagen,30015089
34,Golf,2012,7495,Automatic,79990,Diesel,62.8,1.6,volkswagen,29654938
35,Scirocco,2012,7495,Manual,100383,Diesel,62.8,2.0,volkswagen,29944262
36,T-Roc,2018,18977,Manual,48000,Petrol,53.3,1.5,volkswagen,29125004
37,Golf,2019,14977,Manual,66000,Diesel,57.7,1.6,volkswagen,28714877
38,Golf,2016,10977,Manual,82000,Diesel,74.3,1.6,volkswagen,27504043
39,Polo,2022,18431,Manual,9201,Petrol,52.3,1,volkswagen,30027544
40,Polo,2015,12007,Manual,42459,Petrol,61.4,1.4,volkswagen,30027543
41,Polo,2015,10495,Automatic,26000,Petrol,60.1,1.2,volkswagen,27561153
42,Beetle,2014,8995,Manual,48000,Diesel,57.6,2.0,volkswagen,27325208
43,Golf,2017,7495,Manual,56000,Diesel,72.4,1.6,volkswagen,29869324
44,Tiguan,2009,2995,Manual,170000,Diesel,40.4,2.0,volkswagen,29869326
45,Golf,2019,15244,Automatic,46550,Other,None,0,volkswagen,29061069
46,Touran,2016,20995,Automatic,5610,Diesel,60.1,2.0,volkswagen,29977643
47,Golf,2019,17995,Automatic,13635,Petrol,45.6,1.5,volkswagen,29863642
48,Tiguan,2020,23495,Automatic,22147,Diesel,46.3,2.0,volkswagen,27484169
49,Polo,2013,8695,Manual,28370,Petrol,51.4,1.2,volkswagen,29908817
50,Polo,2023,20995,Manual,359,Petrol,52.3,1.0,volkswagen,29869118
51,Golf,2018,18495,Manual,3336,Petrol,47.1,1.5,volkswagen,30049102
52,Polo,2022,19995,Manual,3975,Petrol,52.3,1.0,volkswagen,29920885
53,Polo,2018,18495,Automatic,11036,Petrol,46.3,1.0,volkswagen,29920884
54,Scirocco,2017,17495,Automatic,41562,Petrol,44.1,2.0,volkswagen,29914068
55,Golf,2014,7750,Manual,70300,Diesel,None,1.6,volkswagen,26999908
56,Passat,2000,13595,Manual,105986,Petrol,54.3,1.4,volkswagen,29920994
57,Beetle,2008,1995,Manual,140000,Petrol,36.2,1.6,volkswagen,29968481
58,Golf,2017,18995,Manual,36000,Petrol,35.8,2,volkswagen,30043017
59,Polo,2018,12990,Manual,37072,Petrol,52.3,1.0,volkswagen,29937765
60,Golf,2016,6480,Manual,140644,Diesel,74.3,1.6,volkswagen,29937759
61,Polo,2019,12250,Manual,54496,Petrol,52.3,1.0,volkswagen,29977470
62,Sharan,2016,15990,Automatic,68953,Diesel,54.3,2.0,volkswagen,28127287
63,Tiguan,2015,11988,Manual,83867,Diesel,53.3,2.0,volkswagen,30035936
64,Passat,2019,15450,Automatic,93000,Diesel,53.3,2.0,volkswagen,29977920
65,Caravelle,2013,22750,Automatic,90000,Diesel,37.2,2.0,volkswagen,28683312
66,Passat,2017,9450,Automatic,115634,Diesel,60.1,2.0,volkswagen,29572251
67,Golf,2013,8990,Automatic,68141,Petrol,56.5,1.4,volkswagen,28639591
68,T-Cross,2021,22500,Automatic,7900,Petrol,45.6,1.0,volkswagen,29210484
69,Touareg,2019,36000,Automatic,23264,Diesel,34.5,3.0,volkswagen,28640207
70,Golf,2019,17000,Automatic,25489,Other,None,1,volkswagen,29583492
71,Golf,2020,25500,Automatic,29048,Petrol,37.7,2.0,volkswagen,29961772
72,Polo,2017,12000,Automatic,40589,Petrol,60.1,1.2,volkswagen,29502847
73,Polo,2019,13500,Manual,42371,Petrol,48.7,1.0,volkswagen,29499660
74,Polo,2019,12200,Manual,47151,Petrol,48.7,1.0,volkswagen,29487950
75,Golf,2019,14300,Automatic,51990,Other,None,1,volkswagen,29503523
76,Golf,2019,15000,Automatic,63264,Other,None,1,volkswagen,29503525
77,Golf,2017,18000,Automatic,71163,Petrol,39.8,2.0,volkswagen,27320679
78,Passat,2017,12500,Manual,95977,Diesel,68.9,2.0,volkswagen,27012824
79,Polo,2020,19999,Semi-Auto,5136,Petrol,46.3,1.0,volkswagen,29836497
80,T-Cross,2021,20699,Manual,6696,Petrol,48.7,1.0,volkswagen,29651794
81,T-Roc,2021,26499,Semi-Auto,9997,Petrol,44.8,1.5,volkswagen,29974683
82,Polo,2019,17049,Semi-Auto,11448,Petrol,45.6,1.0,volkswagen,30008833
83,Polo,2019,13699,Manual,14636,Petrol,52.3,1.0,volkswagen,29505859
84,Polo,2020,17199,Manual,18246,Petrol,51.4,1.0,volkswagen,29950312
85,Tiguan,2018,23549,Semi-Auto,19297,Diesel,45.6,2.0,volkswagen,30003762
86,Golf,2020,19249,Manual,19463,Petrol,50.4,1.5,volkswagen,30015294
87,Tiguan,2019,33049,Semi-Auto,20590,Diesel,35.3,2.0,volkswagen,29993459
88,Polo,2019,21549,Semi-Auto,20863,Petrol,39.8,2.0,volkswagen,29974655
89,Polo,2017,12849,Manual,20978,Petrol,60.1,1.2,volkswagen,29993354
90,T-Roc,2020,27399,Semi-Auto,21601,Petrol,41.5,1.5,volkswagen,29981340
91,Golf,2019,14799,Manual,22084,Petrol,49.6,1.0,volkswagen,29363843
92,Tiguan,2020,24049,Manual,22693,Petrol,44.1,1.5,volkswagen,29969233
93,T-Roc,2021,20049,Manual,23235,Petrol,46.3,1.0,volkswagen,30010071
94,Tiguan,2019,25999,Manual,23287,Diesel,47.9,2.0,volkswagen,29723953
95,T-Roc,2019,20699,Manual,23344,Petrol,42.2,1.5,volkswagen,29993487
96,Polo,2019,19249,Semi-Auto,23605,Petrol,39.8,2.0,volkswagen,29986754
97,Golf,2018,24049,Manual,24168,Petrol,37.2,2.0,volkswagen,30008813
98,Golf,2019,17549,Manual,24604,Diesel,55.4,1.6,volkswagen,30003914
99,Up,2017,10549,Manual,25859,Petrol,64.2,1.0,volkswagen,29993371
100,Golf,2018,16549,Manual,26340,Petrol,47.1,1.5,volkswagen,30015320
101,Polo,2019,19049,Semi-Auto,26739,Petrol,39.8,2.0,volkswagen,30003935
102,Polo,2017,11849,Manual,28776,Petrol,58.9,1.0,volkswagen,30003910
103,Golf,2019,21549,Semi-Auto,29860,Petrol,43.5,1.5,volkswagen,30008791
104,Polo,2017,12849,Manual,30267,Petrol,60.1,1.2,volkswagen,29915724
105,Tiguan,2019,20849,Manual,30689,Diesel,47.9,2.0,volkswagen,29986770
106,Polo,2017,11049,Manual,30868,Petrol,60.1,1.0,volkswagen,29826155
107,Polo,2017,12049,Manual,31082,Petrol,60.1,1.2,volkswagen,30003876
108,T-Roc,2020,19049,Manual,31547,Petrol,44.1,1.0,volkswagen,30015235
109,Polo,2016,11049,Manual,32894,Petrol,60.1,1.0,volkswagen,30015218
110,Polo,2017,12299,Manual,33604,Petrol,60.1,1.2,volkswagen,29986759
111,Up,2017,10049,Manual,33729,Petrol,68.9,1.0,volkswagen,29974672
112,Polo,2017,12249,Manual,34499,Petrol,60.1,1.2,volkswagen,30003969
113,Polo,2018,13749,Manual,35977,Petrol,62.8,1.0,volkswagen,30003952
114,T-Roc,2018,17549,Manual,37142,Petrol,55.4,1.0,volkswagen,30003747
115,Golf,2017,14049,Manual,38359,Petrol,54.3,1.4,volkswagen,29981261
116,Polo,2018,13049,Manual,39435,Petrol,64.2,1.0,volkswagen,29981232
117,Golf,2018,16049,Semi-Auto,42251,Diesel,72.4,1.6,volkswagen,29974744
118,Golf,2018,14049,Manual,44116,Diesel,61.4,1.6,volkswagen,29993389
119,Golf,2018,16549,Semi-Auto,44679,Petrol,58.9,1.5,volkswagen,29986658
120,Polo,2019,18849,Semi-Auto,19474,Petrol,39.8,2.0,volkswagen,29666199
121,Polo,2018,14549,Manual,19922,Petrol,52.3,1.0,volkswagen,30042313
122,Tiguan,2019,33049,Semi-Auto,20590,Diesel,35.3,2.0,volkswagen,29993459
123,Polo,2018,14049,Manual,20599,Petrol,52.3,1.0,volkswagen,29905992
124,Tiguan,2020,21949,Manual,20609,Petrol,44.8,1.5,volkswagen,29888140
125,T-Roc,2020,26549,Semi-Auto,20649,Petrol,41.5,1.5,volkswagen,30042518
126,Polo,2019,21549,Semi-Auto,20863,Petrol,39.8,2.0,volkswagen,29974655
127,Polo,2017,12849,Manual,20978,Petrol,60.1,1.2,volkswagen,29993354
128,T-Roc,2018,18899,Manual,21482,Petrol,44.1,1.0,volkswagen,29836514
129,Up,2017,9249,Manual,21495,Petrol,64.2,1.0,volkswagen,29756712
130,T-Roc,2020,27399,Semi-Auto,21601,Petrol,41.5,1.5,volkswagen,29981340
131,Tiguan,2019,22899,Semi-Auto,21871,Diesel,45.6,2.0,volkswagen,29888442
132,Up,2018,9549,Manual,21995,Petrol,54.3,1.0,volkswagen,29723833
133,Polo,2019,16849,Semi-Auto,22035,Petrol,45.6,1.0,volkswagen,30008808
134,Golf,2019,14799,Manual,22084,Petrol,49.6,1.0,volkswagen,29363843
135,Up,2016,11799,Semi-Auto,22133,Petrol,67.3,1.0,volkswagen,29808044
136,Golf,2017,14049,Manual,22484,Petrol,65.7,1.0,volkswagen,29745772
137,Tiguan,2020,24049,Manual,22693,Petrol,44.1,1.5,volkswagen,29969233
138,Up,2016,8699,Manual,22707,Petrol,64.2,1.0,volkswagen,29799188
139,T-Cross,2020,19549,Manual,22878,Petrol,47.9,1.0,volkswagen,30025618
140,T-Cross,2021,23599,Automatic,1442,Petrol,43.5,1.0,volkswagen,29916075
141,Up,2017,9199,Manual,3398,Petrol,64.2,1.0,volkswagen,29958098
142,Polo,2020,19999,Semi-Auto,5136,Petrol,46.3,1.0,volkswagen,29836497
