,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Scirocco,2016,11495,Manual,83404,Diesel,67.3,2.0,volkswagen,29656456
1,Tiguan,2014,7995,Manual,97000,Diesel,53.3,2.0,volkswagen,30014377
2,Golf,2019,30950,Automatic,18430,Petrol,None,2.0,volkswagen,27081763
3,Golf,2012,7995,Manual,47682,Diesel,74.3,1.6,volkswagen,29941405
4,Golf,2012,8250,Manual,51925,Diesel,64.2,1.6,volkswagen,29825212
5,Golf,2014,10495,Manual,60726,Diesel,67.3,2.0,volkswagen,30001236
6,Passat,2012,7495,Manual,96985,Diesel,61.4,2.0,volkswagen,29825228
7,Golf,2019,17990,Semi-Auto,17879,Petrol,45.6,1,volkswagen,29980046
8,Tiguan,2019,21990,Manual,18946,Diesel,47.9,2,volkswagen,29314366
9,Polo,2016,12390,Manual,22659,Petrol,60.1,1.2,volkswagen,29704696
10,Passat,2019,16490,Semi-Auto,63664,Diesel,49.6,1.6,volkswagen,29967814
11,Golf,2019,17990,Semi-Auto,17879,Petrol,45.6,1,volkswagen,29980046
12,Passat,2019,16490,Manual,54680,Petrol,45.6,1.5,volkswagen,29967815
13,Golf,2019,14990,Manual,29973,Diesel,57.7,1.6,volkswagen,28617141
14,ID3,2021,26049,Blue,Electric,Automatic,5841,,volkswagen,29986698
15,T-Cross,2021,20699,Manual,6696,Petrol,48.7,1.0,volkswagen,29651794
16,T-Roc,2021,26499,Semi-Auto,9997,Petrol,44.8,1.5,volkswagen,29974683
17,Polo,2019,17049,Semi-Auto,11448,Petrol,45.6,1.0,volkswagen,30008833
18,Polo,2019,13699,Manual,14636,Petrol,52.3,1.0,volkswagen,29505859
19,Polo,2020,17199,Manual,18246,Petrol,51.4,1.0,volkswagen,29950312
20,Golf,2021,21349,Manual,9073,Petrol,52.3,1.5,volkswagen,30042451
21,Golf,2020,20049,Manual,9352,Petrol,49.6,1.5,volkswagen,30042294
22,T-Roc,2021,26499,Semi-Auto,9997,Petrol,44.8,1.5,volkswagen,29974683
23,Up,2018,10049,Manual,10031,Petrol,64.2,1.0,volkswagen,29591085
24,Golf,2019,19549,Manual,10045,Petrol,50.4,1.5,volkswagen,30025502
25,Tiguan,2021,30699,Semi-Auto,10408,Petrol,38.7,1.5,volkswagen,29563118
26,T-Roc,2020,22549,Manual,10500,Diesel,50.4,2.0,volkswagen,29591135
27,Polo,2019,17049,Semi-Auto,11448,Petrol,45.6,1.0,volkswagen,30008833
28,Polo,2019,15249,Manual,12081,Petrol,52.3,1.0,volkswagen,29658762
29,T-Roc,2019,21199,Manual,12429,Diesel,50.4,1.6,volkswagen,29860445
30,T-Roc,2019,20699,Manual,23344,Petrol,42.2,1.5,volkswagen,29993487
31,Polo,2019,19249,Semi-Auto,23605,Petrol,39.8,2.0,volkswagen,29986754
32,Golf,2018,24049,Manual,24168,Petrol,37.2,2.0,volkswagen,30008813
33,Golf,2019,17549,Manual,24604,Diesel,55.4,1.6,volkswagen,30003914
34,Up,2017,10549,Manual,25859,Petrol,64.2,1.0,volkswagen,29993371
35,Golf,2018,16549,Manual,26340,Petrol,47.1,1.5,volkswagen,30015320
36,Polo,2019,19049,Semi-Auto,26739,Petrol,39.8,2.0,volkswagen,30003935
37,Polo,2017,11849,Manual,28776,Petrol,58.9,1.0,volkswagen,30003910
38,Golf,2018,15899,Manual,29429,Petrol,54.3,1.4,volkswagen,29958085
39,Golf,2019,21549,Semi-Auto,29860,Petrol,43.5,1.5,volkswagen,30008791
40,Polo,2017,12849,Manual,30267,Petrol,60.1,1.2,volkswagen,29915724
41,Tiguan,2019,20849,Manual,30689,Diesel,47.9,2.0,volkswagen,29986770
42,Polo,2017,11049,Manual,30868,Petrol,60.1,1.0,volkswagen,29826155
43,Polo,2017,12049,Manual,31082,Petrol,60.1,1.2,volkswagen,30003876
44,T-Roc,2020,19049,Manual,31547,Petrol,44.1,1.0,volkswagen,30015235
45,Polo,2016,11049,Manual,32894,Petrol,60.1,1.0,volkswagen,30015218
46,Polo,2017,12299,Manual,33604,Petrol,60.1,1.2,volkswagen,29986759
47,Up,2017,10049,Manual,33729,Petrol,68.9,1.0,volkswagen,29974672
48,Polo,2017,12249,Manual,34499,Petrol,60.1,1.2,volkswagen,30003969
49,Polo,2018,13749,Manual,35977,Petrol,62.8,1.0,volkswagen,30003952
50,Polo,2020,17199,Manual,18246,Petrol,51.4,1.0,volkswagen,29950312
51,Polo,2018,13799,Manual,18894,Petrol,64.2,1.0,volkswagen,29768303
52,Tiguan Allspace,2019,36549,Semi-Auto,18932,Petrol,30.7,2.0,volkswagen,29969252
53,Tiguan,2018,23549,Semi-Auto,19297,Diesel,45.6,2.0,volkswagen,30003762
54,Golf,2020,19249,Manual,19463,Petrol,50.4,1.5,volkswagen,30015294
55,Polo,2019,18849,Semi-Auto,19474,Petrol,39.8,2.0,volkswagen,29666199
56,Polo,2018,14549,Manual,19922,Petrol,52.3,1.0,volkswagen,30042313
57,Tiguan,2019,33049,Semi-Auto,20590,Diesel,35.3,2.0,volkswagen,29993459
58,Polo,2018,14049,Manual,20599,Petrol,52.3,1.0,volkswagen,29905992
59,Tiguan,2020,21949,Manual,20609,Petrol,44.8,1.5,volkswagen,29888140
60,T-Roc,2018,17749,Manual,50237,Petrol,53.3,1.5,volkswagen,29974768
61,Tiguan,2017,19049,Semi-Auto,51794,Diesel,49.6,2.0,volkswagen,30008857
62,Golf,2017,14049,Manual,53200,Petrol,58.9,1.5,volkswagen,29974758
63,Tiguan,2019,20499,Semi-Auto,56413,Diesel,45.6,2.0,volkswagen,30003913
64,Golf,2019,16349,Semi-Auto,56694,Diesel,54.3,1.6,volkswagen,30003821
65,Golf,2018,13649,Manual,57078,Petrol,49.6,1.0,volkswagen,29986752
66,Tiguan,2017,22899,Semi-Auto,58194,Diesel,49.6,2.0,volkswagen,30015305
67,Up,2016,7549,Manual,59130,Petrol,64.2,1.0,volkswagen,30003848
68,Golf,2018,23049,Semi-Auto,60542,Petrol,39.2,2.0,volkswagen,30015338
69,Golf,2018,13549,Manual,60555,Diesel,61.4,1.6,volkswagen,30004044
70,Tiguan,2019,19299,Manual,64641,Diesel,47.9,2.0,volkswagen,29981306
71,Tiguan,2017,16999,Manual,65510,Diesel,50.4,2.0,volkswagen,30015195
72,Passat,2017,16549,Manual,65631,Diesel,67.3,2.0,volkswagen,30003788
73,Golf,2017,14049,Semi-Auto,65891,Diesel,68.9,1.6,volkswagen,29974719
74,Golf,2016,16049,Semi-Auto,66382,Diesel,62.8,2.0,volkswagen,29993424
75,Golf,2018,12049,Manual,70003,Diesel,67.3,1.6,volkswagen,29986676
76,T-Roc,2019,21199,Manual,12429,Diesel,50.4,1.6,volkswagen,29860445
77,Golf,2019,17699,Manual,12962,Petrol,50.4,1.0,volkswagen,29786253
78,Polo,2019,21049,Semi-Auto,14409,Petrol,39.8,2.0,volkswagen,29888116
79,Polo,2016,12049,Manual,16676,Petrol,58.9,1.0,volkswagen,29898805
80,Polo,2018,13799,Manual,18894,Petrol,64.2,1.0,volkswagen,29768303
81,Tiguan Allspace,2019,36549,Semi-Auto,18932,Petrol,30.7,2.0,volkswagen,29969252
82,Up,2018,9549,Manual,21995,Petrol,54.3,1.0,volkswagen,29723833
83,Polo,2016,10399,Manual,25998,Petrol,60.1,1.2,volkswagen,29724006
84,Polo,2019,15049,Manual,27060,Petrol,49.6,1.0,volkswagen,29600875
85,Tiguan,2019,25049,Semi-Auto,27500,Diesel,38.7,2.0,volkswagen,29591235
86,Up,2016,9249,Manual,30034,Petrol,64.2,1.0,volkswagen,29898665
87,Golf,2019,17899,Semi-Auto,36081,Diesel,52.3,1.6,volkswagen,29842670
88,Polo,2019,13449,Manual,36185,Petrol,52.3,1.0,volkswagen,29768302
89,Golf,2018,14799,Manual,37762,Petrol,49.6,1.0,volkswagen,29974776
90,Golf,2018,12049,Manual,41904,Diesel,57.7,1.6,volkswagen,29520009
91,Golf,2019,16899,Semi-Auto,43626,Diesel,54.3,1.6,volkswagen,29866288
92,Golf,2018,13549,Manual,51680,Diesel,61.4,1.6,volkswagen,29751530
93,Tiguan,2020,26549,Semi-Auto,52485,Petrol,36.7,2.0,volkswagen,29888528
94,Golf,2020,15349,Manual,53744,Petrol,50.4,1.5,volkswagen,29768321
95,Golf,2019,13799,Manual,56866,Diesel,57.7,1.6,volkswagen,29888553
96,Golf,2019,14049,Manual,67722,Diesel,57.7,1.6,volkswagen,30015246
97,Passat,2019,15549,Manual,67835,Diesel,53.3,2.0,volkswagen,29888525
98,Polo,2020,19999,Semi-Auto,5136,Petrol,46.3,1.0,volkswagen,29836497
99,Polo,2021,19699,Semi-Auto,6880,Petrol,46.3,1.0,volkswagen,29905909
100,Polo,2021,17549,Manual,9018,Petrol,47.9,1.0,volkswagen,30042565
101,Tiguan Allspace,2019,27049,Manual,9061,Petrol,46.3,1.5,volkswagen,30042282
102,Golf,2021,21349,Manual,9073,Petrol,52.3,1.5,volkswagen,30042451
103,Golf,2020,20049,Manual,9352,Petrol,49.6,1.5,volkswagen,30042294
104,Up,2018,10049,Manual,10031,Petrol,64.2,1.0,volkswagen,29591085
105,Golf,2019,19549,Manual,10045,Petrol,50.4,1.5,volkswagen,30025502
106,Tiguan,2021,30699,Semi-Auto,10408,Petrol,38.7,1.5,volkswagen,29563118
