,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,T-Cross,2021,19990,Manual,8323,Petrol,49.6,1,volkswagen,29898913
1,Golf,2022,21991,Manual,8811,Petrol,52.3,1,volkswagen,29856808
2,T-Roc,2021,22691,Manual,9001,Petrol,46.3,1,volkswagen,29799830
3,T-Roc,2019,23992,Manual,9196,Diesel,50.4,1.6,volkswagen,29676122
4,Golf,2020,30994,Semi-Auto,10882,Hybrid,176.6,1.4,volkswagen,29482261
5,Sharan,2019,26940,Semi-Auto,11118,Petrol,32.5,1.4,volkswagen,29976710
6,T-Cross,2020,19240,Manual,12714,Petrol,48.7,1,volkswagen,29976708
7,Tiguan Allspace,2019,26992,Manual,13624,Diesel,46.3,2,volkswagen,29739938
8,ID3,2020,24999,Blue,Electric,Automatic,14656,,volkswagen,28818198
9,Polo,2021,17240,Manual,15992,Petrol,50.4,1,volkswagen,29916553
10,Polo,2020,21492,Semi-Auto,19091,Petrol,39.8,2,volkswagen,29739936
11,Polo,2021,16290,Manual,19888,Petrol,51.4,1,volkswagen,29969537
12,Golf,2019,19240,Semi-Auto,20167,Diesel,54.3,1.6,volkswagen,29969538
13,T-Roc,2020,22741,Manual,23453,Petrol,42.2,1.5,volkswagen,29872757
14,T-Roc,2019,21293,Manual,26158,Petrol,42.2,1.5,volkswagen,29622753
15,Tiguan,2019,21440,Manual,26903,Petrol,44.8,1.5,volkswagen,29916557
16,T-Roc,2020,21241,Manual,27101,Petrol,44.8,1.5,volkswagen,29872761
17,Tiguan,2019,21191,Manual,34594,Petrol,38.2,1.5,volkswagen,29932260
18,Tiguan,2019,21240,Manual,34992,Petrol,38.2,1.5,volkswagen,29916555
19,Tiguan,2020,24591,Semi-Auto,38838,Petrol,40.4,1.5,volkswagen,29804223
20,Polo,2016,10990,Manual,43994,Petrol,60.1,1.2,volkswagen,29951290
21,Tiguan,2018,25741,Semi-Auto,49311,Petrol,38.2,2,volkswagen,29877913
22,Golf,2019,14490,Grey,Electric,Automatic,54268,,volkswagen,30017560
23,Golf,2019,17191,Semi-Auto,65588,Petrol,45.6,1.5,volkswagen,29774763
24,T-Roc,2023,34490,Manual,1992,Petrol,45.6,1.5,volkswagen,30026680
25,Tiguan,2023,37242,Semi-Auto,6006,Diesel,44.1,2,volkswagen,29951288
26,Touareg,2020,48491,Semi-Auto,12426,Petrol,26.2,3,volkswagen,29932262
27,Polo,2020,16792,Manual,15531,Petrol,50.4,1,volkswagen,29895648
28,Tiguan,2021,27741,Semi-Auto,16904,Petrol,40.9,2,volkswagen,29958349
29,T-Roc,2020,21491,Manual,19436,Petrol,44.8,1.5,volkswagen,29906366
30,Up,2019,10440,Manual,27708,Petrol,54.3,1,volkswagen,30035236
31,Polo,2016,10291,Manual,44286,Petrol,60.1,1,volkswagen,29994461
32,Polo,2022,26992,Semi-Auto,1992,Petrol,41.5,2,volkswagen,29888984
33,Golf,2021,40991,Semi-Auto,7429,Petrol,37.7,2,volkswagen,29981483
34,Golf,2021,39994,Semi-Auto,9317,Petrol,36.2,2,volkswagen,29676120
35,Polo,2021,20491,Semi-Auto,12414,Petrol,49.6,1,volkswagen,29976709
36,Golf,2019,19391,Semi-Auto,37772,Petrol,43.5,1.5,volkswagen,30017558
37,T-Roc,2023,33740,Semi-Auto,4211,Petrol,46.3,1.5,volkswagen,30035237
38,T-Cross,2020,20592,Manual,24992,Petrol,47.9,1,volkswagen,29758839
39,Tiguan,2023,48990,Semi-Auto,3511,Petrol,28.3,2,volkswagen,30054244
40,T-Cross,2020,20592,Manual,24992,Petrol,47.9,1,volkswagen,29758839
41,Golf,2019,15590,Manual,27416,Petrol,48.7,1,volkswagen,30054248
42,Golf,2019,19391,Semi-Auto,37772,Petrol,43.5,1.5,volkswagen,30017558
43,T-Roc,2020,18990,Manual,39527,Petrol,44.1,1,volkswagen,30054243
44,Up,2014,7295,Manual,34479,Petrol,60.1,1.0,volkswagen,29678970
45,Polo,2013,9695,Manual,44980,Petrol,53.3,1.2,volkswagen,30019792
46,T-Cross,2022,25499,Automatic,1843,Petrol,45.6,1,volkswagen,29970886
47,Tiguan,2020,23749,Manual,15334,Petrol,38.2,1.5,volkswagen,29485732
48,Golf,2020,18199,Manual,27705,Petrol,50.4,1,volkswagen,29865079
49,Golf,2020,17749,Manual,31106,Petrol,50.4,1.5,volkswagen,29924420
50,Golf,2020,17499,Manual,33277,Petrol,50.4,1.5,volkswagen,29858846
51,Tiguan,2019,20999,Manual,33862,Diesel,47.9,2,volkswagen,29750353
52,Polo,2018,16000,Manual,13000,Petrol,49.6,1.0,volkswagen,29740415
53,Polo,2020,15500,Manual,24191,Petrol,48.7,1.0,volkswagen,30033861
54,Tiguan,2019,25000,Semi-Auto,24500,Petrol,37.7,1.5,volkswagen,29958774
55,Golf,2017,15500,Semi-Auto,43000,Diesel,58.9,1.6,volkswagen,29958776
56,T-Roc,2018,17990,Manual,31422,Petrol,44.1,1,volkswagen,29882397
57,T-Roc,2021,21628,Manual,19511,Petrol,44.8,1.5,volkswagen,29768134
58,Golf,2020,17599,Manual,26670,Petrol,50.4,1.5,volkswagen,29979708
59,Golf,2020,17599,Manual,26748,Petrol,50.4,1.5,volkswagen,29755330
60,Sharan,2019,24920,Semi-Auto,29237,Diesel,41.5,2,volkswagen,29755331
61,Tiguan,2019,19309,Manual,48798,Diesel,47.9,1.2,volkswagen,29650184
62,Golf,2017,25614,Automatic,30717,Petrol,39.2,2.0,volkswagen,29963712
63,Golf,2017,13799,Manual,21273,Petrol,65.7,1.0,volkswagen,29417742
64,Up,2014,6999,Manual,43306,Petrol,67.3,1.0,volkswagen,28865156
65,Up,2014,6999,Manual,43852,Petrol,68.9,1.0,volkswagen,29718864
66,Polo,2014,9999,Automatic,48843,Petrol,58.9,1.2,volkswagen,29521679
67,Up,2015,6499,Manual,50167,Petrol,62.8,1.0,volkswagen,29521681
68,Polo,2015,9299,Manual,54140,Petrol,60.1,1.0,volkswagen,29355158
69,Beetle,2015,9999,Manual,74951,Diesel,61.4,2.0,volkswagen,29785978
70,Golf SV,2015,12499,Manual,8781,Petrol,50.4,1.4,volkswagen,29629522
71,Up,2018,9499,Manual,36689,Petrol,50.4,1.0,volkswagen,29401240
72,Polo,2013,7599,Manual,52549,Petrol,51.4,1.2,volkswagen,29935051
73,Golf,1989,10999,Manual,62086,Petrol,None,1.8,volkswagen,27481674
74,Polo,2018,12499,Automatic,62446,Petrol,61.4,1.0,volkswagen,30027137
75,Up,2015,6299,Manual,62833,Petrol,62.8,1.0,volkswagen,30027138
76,Polo,2014,7499,Manual,83468,Diesel,83.1,1.4,volkswagen,29595567
77,Golf,2018,20095,Manual,35112,Diesel,60.1,2.0,volkswagen,29710133
78,Golf,2019,22682,Automatic,52988,Diesel,49.6,2.0,volkswagen,29800282
79,Polo,2015,9499,Manual,39877,Petrol,60.1,1,volkswagen,29651316
80,Tiguan,2015,13499,Manual,42781,Petrol,37.2,1.39,volkswagen,29784457
81,Tiguan,2016,13499,Manual,43880,Diesel,56.5,2,volkswagen,29694482
82,Polo,2012,7499,Manual,52823,Petrol,47.9,1.39,volkswagen,29968141
83,Tiguan,2015,11999,Manual,54684,Diesel,56.5,2,volkswagen,29812163
84,Golf,2017,13799,Semi-Auto,57906,Petrol,65.7,1,volkswagen,30016996
85,Golf,2014,14999,Manual,59489,Petrol,47.1,2,volkswagen,29593974
86,Passat,2014,10699,Automatic,67732,Diesel,54.3,2,volkswagen,29807659
87,Tiguan,2014,13499,Semi-Auto,30781,Diesel,47.7,2,volkswagen,29957750
88,Polo,2017,11299,Manual,43752,Petrol,60.1,1.2,volkswagen,30050615
89,Polo,2017,12499,Semi-Auto,43806,Petrol,60.1,1.2,volkswagen,30026129
90,Golf,2014,14999,Manual,59489,Petrol,47.1,2,volkswagen,29593974
91,Passat,2014,10699,Automatic,67732,Diesel,54.3,2,volkswagen,29807659
92,Tiguan,2014,13499,Semi-Auto,30781,Diesel,47.7,2,volkswagen,29957750
93,Polo,2017,11299,Manual,43752,Petrol,60.1,1.2,volkswagen,30050615
94,Touareg,2015,15499,Automatic,78229,Diesel,42.8,3,volkswagen,30050612
95,Scirocco,2013,7999,Manual,97545,Diesel,62.8,2,volkswagen,30050617
96,Passat,2009,6995,Automatic,62000,Diesel,45.6,2.0,volkswagen,29283740
97,Passat,2012,9995,Automatic,65000,Diesel,54.3,2.0,volkswagen,29718744
98,Passat,2013,5995,Automatic,140000,Diesel,54.3,2.0,volkswagen,29917653
99,Golf,2017,19999,Manual,66000,Petrol,39.8,2,volkswagen,29812319
100,Up,2013,7495,Manual,42131,Petrol,60.1,1.0,volkswagen,29532511
101,Tiguan,2013,8995,Manual,105758,Diesel,48.7,2.0,volkswagen,27965102
102,Golf,2020,17999,Manual,30361,Petrol,50.4,1.5,volkswagen,29967370
103,Golf,2020,17999,Manual,30842,Petrol,50.4,1.5,volkswagen,29967369
104,Golf,2020,16987,Manual,42292,Petrol,50.4,1.5,volkswagen,30003266
105,Tiguan,2019,20963,Manual,29173,Diesel,47.9,2,volkswagen,29979718
106,Caddy,2022,28995,Semi-Auto,6100,Diesel,55.4,2,volkswagen,29660058
107,Caravelle,2020,59995,Semi-Auto,19000,Diesel,33.6,2,volkswagen,29866754
108,ID3,2020,25000,Grey,Electric,Automatic,22512,,volkswagen,29170469
109,Shuttle,2019,28995,Manual,54000,Diesel,38.2,2,volkswagen,29951292
110,Golf,2017,13950,Manual,55337,Diesel,67.3,2,volkswagen,29876756
111,Golf,2017,19450,Semi-Auto,59827,Diesel,57.7,2,volkswagen,29859512
112,Touareg,2017,23450,Semi-Auto,62259,Diesel,42.8,3,volkswagen,29864468
113,Caddy Maxi Life,2020,22995,Manual,37000,Diesel,None,2,volkswagen,30035238
114,Tiguan,2018,19700,Semi-Auto,46320,Petrol,40.4,1.4,volkswagen,29892778
115,Polo,2013,6995,Manual,60000,Petrol,51.4,1.2,volkswagen,29983361
116,Golf,2011,6795,Manual,101839,Diesel,53.3,2.0,volkswagen,29154944
117,Tiguan,2019,20608,Manual,30604,Diesel,47.9,2,volkswagen,29840519
118,Tiguan,2019,20608,Manual,34284,Diesel,47.9,2,volkswagen,29979732
119,Tiguan,2019,20608,Manual,34553,Diesel,47.9,3,volkswagen,29865053
120,Golf,2020,17599,Manual,37069,Petrol,50.4,1.5,volkswagen,29771439
121,Golf,2020,17599,Manual,38810,Petrol,50.4,1.5,volkswagen,29865054
122,Tiguan,2019,19702,Semi-Auto,66406,Petrol,37.7,1.5,volkswagen,30015586
123,Passat,2020,16298,Semi-Auto,95019,Diesel,53.3,1.3,volkswagen,29980211
