,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,C Class,2019,19049,Manual,35568,Diesel,65.7,1.6,mercedes-benz,30485024
1,EV6,2021,38500,Automatic,13532,Electric,0,0,kia,30563404
2,Sportage,2020,21250,Manual,14219,Petrol,34.9,1.6,kia,30425863
3,Picanto,2021,11700,Manual,14467,Petrol,52.3,1,kia,30408207
4,Xceed,2022,18900,Manual,15119,Petrol,44.8,1.5,kia,30458570
5,Niro,2022,23400,Automatic,15953,Hybrid,64.2,1.6,kia,30458569
6,Arona,2020,15300,Manual,16662,Petrol,49.6,1,seat,30368399
7,Niro,2022,23500,Automatic,17621,Hybrid,54.3,1.6,kia,29681683
8,Ibiza,2021,15700,Manual,18511,Petrol,51.4,1,seat,30309316
9,Picanto,2019,7900,Manual,20468,Petrol,56.5,1,kia,30552026
10,Ceed,2022,19800,Manual,22029,Petrol,49.6,1.5,kia,30458574
11,MX-5,2017,16549,Manual,14765,Petrol,40.9,2.0,mazda,30546361
12,Swift,2020,10699,Manual,15254,Petrol,None,1.2,suzuki,30208778
13,208,2020,13900,Manual,22132,Petrol,53.3,1.2,peugeot,30368398
14,Picanto,2018,8880,Manual,24604,Petrol,61.4,1.25,kia,30476092
15,Astra,2019,12300,Manual,24783,Petrol,47.9,1.4,vauxhall,30290986
16,Sportage,2017,19300,Automatic,30997,Petrol,37.7,1.6,kia,30491596
17,Polo,2018,11600,Manual,39569,Petrol,60.1,1,volkswagen,30285917
18,Venga,2018,9850,Manual,43106,Diesel,64.2,1.6,kia,30491595
19,Sportage,2017,14650,Automatic,47708,Diesel,57.7,1.7,kia,30509037
20,Grandland X,2018,11500,Manual,57444,Petrol,55.4,1.2,vauxhall,30218132
21,MX-5,2023,25000,Manual,3,Petrol,44.8,1.5,mazda,30319997
22,Leaf,2022,28000,Automatic,1420,Electric,0,0,nissan,29366846
23,Clio,2018,10699,Manual,34980,Diesel,85.6,1.5,renault,30507608
24,Polo,2019,16799,Semi-Auto,42123,Petrol,39.8,2.0,volkswagen,30354452
25,Leaf,2022,23600,Automatic,3193,Electric,0,0,nissan,29811731
26,Leaf,2022,19650,Automatic,4274,Electric,0,0,nissan,29811728
27,Leaf,2022,20900,Automatic,4786,Electric,0,0,nissan,29619174
