,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Q2,2021,27031,Semi-Auto,14503,Petrol,44.8,1.5,audi,30438957
1,A4,2008,4000,Manual,110000,Diesel,49.6,2.0,audi,30397848
2,A5,2008,5500,Automatic,115000,Petrol,31.7,3.2,audi,30141982
3,A5,2010,11995,Automatic,67000,Petrol,30.1,3.0,audi,29263336
4,A3,2020,21980,Manual,20406,Petrol,42.8,1.5,audi,30097021
5,A1,2019,17890,Semi-Auto,27434,Petrol,47.9,1,audi,30333808
6,Q3,2018,17480,Manual,45000,Diesel,53.3,2,audi,30253136
7,A1,2016,11980,Manual,47001,Petrol,55.4,1.4,audi,30391548
8,TT,2022,25450,Automatic,1700,Petrol,38.7,2.0,audi,29808487
9,Q5,2018,22450,Automatic,74138,Diesel,55.4,2.0,audi,30340042
10,A3,2016,12250,Automatic,75407,Petrol,176.6,1.4,audi,29608433
11,S3,2014,15350,Automatic,85600,Petrol,40.9,2.0,audi,30274502
12,A4,2013,5750,Automatic,122908,Diesel,57.6,2.0,audi,29913173
13,A3,2007,3685,Automatic,125055,Petrol,35.3,1.6,audi,30449641
14,A3,2006,3285,Automatic,135248,Petrol,36.2,1.6,audi,30449644
15,A4,2013,14995,Automatic,40000,Petrol,None,2.0,audi,29908846
16,Q7,2011,16995,Automatic,42000,Petrol,None,3.0,audi,30001076
17,A4,2009,9995,Automatic,59000,Petrol,None,2.0,audi,29852229
18,A4,2012,12995,Automatic,60000,Petrol,None,2.0,audi,29908847
19,A4,2000,12995,Automatic,26500,Petrol,None,2.0,audi,29806065
20,A1,2016,15499,Manual,4432,Petrol,58.9,1.4,audi,30132351
21,Q2,2020,25049,Automatic,8574,Petrol,46.3,1.5,audi,30312174
22,A5,2020,25799,Manual,9831,Petrol,37.7,2.0,audi,30272351
23,A1,2017,13349,Manual,10060,Petrol,67.3,1.0,audi,30360600
24,A4,2020,25549,Manual,11598,Petrol,39.2,2.0,audi,30373367
25,Q2,2020,23049,Manual,11864,Petrol,47.9,1.5,audi,30438231
