,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A6,2021,34250,Automatic,17500,Diesel,47.1,2.0,audi,30250449
1,RS6,2021,89990,Automatic,19106,Petrol,22.2,4.0,audi,30377149
2,A5,2021,29990,Automatic,20102,Diesel,54.3,2.0,audi,30377161
3,A4,2022,29990,Automatic,21220,Petrol,40.9,2.0,audi,30377151
4,A5,2021,26990,Automatic,22222,Diesel,57.7,2.0,audi,30405793
5,A1,2019,16990,Manual,22531,Petrol,46.3,1.5,audi,30377162
6,A4,2020,24500,Automatic,23150,Diesel,54.3,2.0,audi,30428351
7,Q7,2020,45450,Automatic,28548,Diesel,33.2,3.0,audi,30411051
8,A6,2019,24990,Automatic,37300,Diesel,50.4,2.0,audi,30099358
9,Q3,2018,15900,Manual,47732,Petrol,51.4,1.4,audi,30165893
10,A3,2021,26450,Automatic,14478,Petrol,47.9,1.5,audi,30428352
11,Q2,2022,27990,Automatic,14547,Petrol,44.8,1.5,audi,30428354
12,A3,2020,20990,Manual,14550,Petrol,52.3,1.0,audi,30411057
13,A1,2020,18490,Manual,14647,Petrol,49.6,1.0,audi,30194717
14,A5,2021,28450,Automatic,14744,Diesel,55.4,2.0,audi,30377160
15,A3,2020,21130,Manual,14800,Petrol,47.1,1.0,audi,30207880
16,Q2,2022,27990,Automatic,14965,Petrol,44.8,1.5,audi,30434084
17,Q7,2019,46450,Automatic,15000,Diesel,32.8,3.0,audi,29990075
18,A1,2019,18660,Automatic,16528,Petrol,47.9,1.0,audi,30405789
19,A1,2020,20990,Automatic,16665,Petrol,44.8,1.0,audi,30442544
20,Q4 e-tron,2022,41990,Automatic,10500,Other,None,0,audi,29748382
21,TT,2020,30990,Automatic,12365,Petrol,34.9,2.0,audi,30405795
22,A4,2022,26990,Automatic,12800,Petrol,44.8,2.0,audi,30061121
23,TT,2020,27990,Automatic,13900,Petrol,40.9,2.0,audi,30411041
24,A3,2021,26450,Automatic,14478,Petrol,47.9,1.5,audi,30428352
25,A3,2020,20990,Manual,14550,Petrol,52.3,1.0,audi,30411057
26,A1,2020,18490,Manual,14647,Petrol,49.6,1.0,audi,30194717
27,A3,2020,21130,Manual,14800,Petrol,47.1,1.0,audi,30207880
28,Q2,2022,27990,Automatic,14965,Petrol,44.8,1.5,audi,30434084
29,Q7,2019,46450,Automatic,15000,Diesel,32.8,3.0,audi,29990075
30,A1,2019,18660,Automatic,16528,Petrol,47.9,1.0,audi,30405789
31,A1,2020,20990,Automatic,16665,Petrol,44.8,1.0,audi,30442544
32,A5,2021,30990,Automatic,17400,Diesel,54.3,2.0,audi,30335724
33,A1,2019,19374,Automatic,18500,Petrol,44.8,1.5,audi,30238064
34,A6,2019,28940,Automatic,19600,Diesel,50.4,2.0,audi,29983375
35,A5,2020,28990,Automatic,22182,Diesel,54.3,2.0,audi,30377163
36,A6,2020,26990,Automatic,22500,Diesel,50.4,2.0,audi,29849150
37,A4,2020,27990,Automatic,22705,Diesel,50.4,2.0,audi,30265920
38,TT,2019,25450,Automatic,23447,Petrol,34.9,2.0,audi,29844349
39,A4,2019,25750,Automatic,24195,Petrol,39.2,2.0,audi,30411055
40,Q3,2020,31250,Automatic,24703,Petrol,31.4,2.0,audi,30321205
41,A1,2021,19450,Manual,26835,Petrol,47.9,1.0,audi,30428356
42,A4,2022,37990,Automatic,28111,Diesel,39.8,3.0,audi,30442548
43,A3,2019,18800,Manual,28876,Petrol,46.3,1.0,audi,30177654
44,A3,2017,12990,Manual,29000,Petrol,62.8,1.0,audi,30000145
45,Q8,2021,38990,Automatic,30041,Other,None,0,audi,30303631
46,RS3,2018,38990,Automatic,30250,Petrol,34,2.5,audi,30231866
47,Q2,2018,18800,Manual,31350,Petrol,50.4,1.4,audi,30131882
48,Q2,2017,16650,Manual,32034,Petrol,52.3,1.4,audi,30414729
49,TT,2020,23990,Automatic,32137,Petrol,40.9,2.0,audi,30382089
50,Q7,2020,48990,Automatic,35500,Diesel,33.2,3.0,audi,30382090
51,Q3,2019,24800,Manual,35764,Petrol,39.8,1.5,audi,30370861
52,TT,2015,16950,Manual,36380,Petrol,47.9,2.0,audi,30442539
53,Q7,2020,48990,Automatic,37250,Diesel,33.2,3.0,audi,30321204
54,A6,2019,24990,Automatic,37300,Diesel,50.4,2.0,audi,30099358
55,A8,2019,31990,Automatic,37450,Diesel,40.4,3.0,audi,29996457
56,A5,2019,24750,Automatic,39064,Diesel,50.4,2.0,audi,30202904
57,RS5,2019,43990,Automatic,41000,Petrol,29.7,2.9,audi,30442542
58,A3,2018,14450,Manual,41100,Petrol,48.7,1.0,audi,30446043
59,A3,2019,17650,Manual,41122,Diesel,51.4,1.6,audi,30446044
60,A4,2016,15830,Manual,43000,Petrol,49.6,2.0,audi,30293693
61,Q3,2018,15900,Manual,47732,Petrol,51.4,1.4,audi,30165893
62,A4,2019,19990,Manual,50741,Petrol,38.7,2.0,audi,30279997
63,A5,2017,18990,Automatic,53555,Diesel,61.4,2.0,audi,30411050
64,A4,2018,15450,Manual,66275,Petrol,50.4,1.4,audi,30397514
65,A6,2019,21990,Automatic,68000,Diesel,50.4,2.0,audi,30447415
66,Q2,2018,17495,Manual,13452,Petrol,50.4,1.4,audi,29182546
67,A6,2019,31995,Automatic,48031,Diesel,39.2,3.0,audi,27114470
68,A6,2018,28950,Automatic,59776,Petrol,30.1,4.0,audi,30322730
69,A5,2015,14495,Automatic,94011,Diesel,47.9,3.0,audi,28751542
70,A1,2015,10450,Manual,37000,Petrol,53.3,1.4,audi,30225824
71,Q5,2020,29990,Automatic,55995,Diesel,38.2,2.0,audi,30094501
72,A6,2019,23950,Automatic,75162,Diesel,50.4,2.0,audi,29559472
73,A3,2018,14450,Automatic,78785,Diesel,54.3,1.6,audi,30244508
74,e-tron,2020,29990,Automatic,16260,Other,None,1.0,audi,29187830
75,e-tron,2020,44990,Automatic,26000,Other,None,1.0,audi,30445970
76,A5,2015,15990,Automatic,52187,Petrol,34.9,3.0,audi,30019806
77,A4,2016,12495,Manual,71000,Petrol,51.4,1.4,audi,30288819
78,Q5,2017,19490,Automatic,71800,Diesel,56.5,2.0,audi,30131780
79,Q5,2015,15990,Manual,78606,Diesel,47.9,2.0,audi,30445962
80,A6,2020,26490,Automatic,30611,Diesel,50.4,2.0,audi,29550521
81,A1,2014,8995,Manual,64380,Petrol,52.3,1.4,audi,30030043
82,TT,2010,6950,Manual,94000,Diesel,53.3,2.0,audi,30370757
83,A4,2022,32995,Automatic,8776,Petrol,39.8,2.0,audi,30062404
84,Q2,2022,20495,Manual,10738,Petrol,48.7,1.0,audi,30412802
85,A6,2019,28985,Automatic,18060,Diesel,47.9,2.0,audi,29707190
86,A4,2021,29995,Automatic,20555,Diesel,52.3,2.0,audi,29397155
87,TT,2020,23745,Manual,25181,Petrol,40.9,2.0,audi,30366651
88,A3,2022,25995,Automatic,33480,Diesel,60.1,2.0,audi,30379063
89,A1,2020,17885,Manual,3683,Petrol,49.6,1.0,audi,30324364
90,Q3,2019,26795,Automatic,24240,Diesel,47.1,2.0,audi,30245882
91,TT,2020,23745,Manual,25181,Petrol,40.9,2.0,audi,30366651
92,Q3,2019,25995,Automatic,32381,Diesel,40.9,2.0,audi,28965696
93,A3,2022,25995,Automatic,33480,Diesel,60.1,2.0,audi,30379063
94,TT,2015,16375,Manual,41343,Diesel,67.3,2.0,audi,30306605
95,TT,2012,10999,Manual,63652,Diesel,53.3,2.0,audi,28854043
96,A4,2015,9995,Manual,99359,Diesel,61.4,2.0,audi,30118044
97,TT,2005,3995,Automatic,145589,Petrol,28.8,3.2,audi,28307593
98,Q3,2016,16750,Manual,41000,Diesel,52.3,2.0,audi,30372218
99,A3,2015,10850,Manual,80000,Diesel,67.3,2.0,audi,30447592
100,A3,2020,18950,Manual,33705,Petrol,44.8,1.5,audi,29788683
101,Q2,2021,27499,Semi-Auto,8030,Petrol,44.8,1.5,audi,30312514
102,A4,2019,21499,Semi-Auto,13484,Petrol,39.2,2,audi,30221854
103,A1,2019,18999,Semi-Auto,20014,Petrol,47.1,1,audi,30318312
104,Q2,2021,24499,Manual,28198,Petrol,44.8,1,audi,30251551
105,A3,2018,18799,Manual,28731,Petrol,54.3,1.5,audi,30438475
106,Q8,2020,59999,Semi-Auto,30000,Diesel,31.4,4,audi,30444106
107,A3,2017,20399,Semi-Auto,30403,Petrol,54.3,1.5,audi,30338027
108,A4,2019,24799,Semi-Auto,33904,Petrol,38.7,2,audi,30281616
109,A6,2019,24499,Semi-Auto,40412,Diesel,50.4,2,audi,30304519
110,A4,2018,19499,Semi-Auto,69000,Petrol,48.7,2,audi,30295286
