,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,RS4,2023,82900,Semi-Auto,1972,Petrol,28.8,2.9,audi,30367216
1,Q2,2023,33900,Semi-Auto,2150,Petrol,44.1,1.5,audi,30190415
2,TT,2023,35990,Semi-Auto,2941,Petrol,40.9,2,audi,30276945
3,Q5,2023,43300,Semi-Auto,3695,Diesel,43.5,2,audi,30376195
4,RS3,2022,59500,Semi-Auto,4716,Petrol,31.7,2.5,audi,30211936
5,A3,2023,27900,Manual,5000,Petrol,48.7,1.5,audi,29696787
6,A3,2023,34800,Semi-Auto,5000,Diesel,58.9,2,audi,30011086
7,Q3,2023,38400,Semi-Auto,5000,Diesel,51.4,2,audi,30011087
8,A3,2023,38900,Semi-Auto,5000,Diesel,58.9,2,audi,29857250
9,TT,2023,39300,Semi-Auto,5000,Petrol,40.9,2,audi,29700032
10,TT,2023,39800,Semi-Auto,5000,Petrol,40.9,2,audi,29843009
11,A5,2023,44900,Semi-Auto,5000,Petrol,42.8,2,audi,30297483
12,A6,2023,44900,Semi-Auto,5000,Petrol,38.2,2,audi,30297484
13,Q5,2023,46700,Semi-Auto,5000,Diesel,43.5,2,audi,29696792
14,A6,2023,47100,Semi-Auto,5000,Petrol,39.2,2,audi,29864406
15,A6,2023,49030,Semi-Auto,5000,Petrol,38.2,2,audi,30148767
16,Q5,2023,49900,Semi-Auto,5000,Petrol,33.6,2,audi,30256055
17,Q5,2023,54905,Semi-Auto,5000,Diesel,42.8,2,audi,29843013
18,Q8,2023,107900,Semi-Auto,5000,Petrol,22.1,4,audi,30297485
19,A1,2023,23445,Manual,5227,Petrol,50.4,1,audi,29843010
20,A3,2022,27100,Manual,5326,Petrol,46.3,1.5,audi,29508093
21,A3,2022,24900,Manual,5447,Petrol,48.7,1.5,audi,29365754
22,A3,2020,25700,Semi-Auto,6726,Diesel,50.4,2,audi,30355314
23,A1,2022,24900,Manual,7600,Petrol,49.6,1,audi,30102377
24,A1,2019,17800,Manual,7780,Petrol,48.7,1,audi,30276946
25,RS3,2022,57900,Semi-Auto,7841,Petrol,31,2.5,audi,30367213
26,A5,2022,33700,Semi-Auto,8014,Petrol,41.5,2,audi,29508094
27,A3,2020,28900,Semi-Auto,9342,Diesel,57.7,2,audi,30247877
28,A4,2022,29900,Semi-Auto,9359,Petrol,44.8,2,audi,29263487
29,A8,2022,49900,Semi-Auto,10836,Petrol,30.1,3,audi,28363608
30,A3,2022,36900,Semi-Auto,10934,Petrol,35.3,2,audi,30360789
31,A3,2022,30900,Semi-Auto,11206,Petrol,47.9,1.5,audi,30360780
32,A5,2023,49900,Semi-Auto,11973,Diesel,39.2,3,audi,30343919
33,A4,2022,35000,Semi-Auto,12073,Diesel,50.4,2,audi,29093133
34,A4,2022,29400,Semi-Auto,13001,Petrol,41.5,2,audi,30401297
35,Q5,2022,40900,Semi-Auto,13471,Petrol,32.5,2,audi,30096841
36,Q5,2021,39900,Semi-Auto,14131,Hybrid,176.6,2,audi,28927818
37,Q8,2022,54900,Semi-Auto,14187,Diesel,34,3,audi,30364153
38,A4,2021,31990,Semi-Auto,15128,Diesel,50.4,2,audi,30325389
39,A7,2022,38900,Semi-Auto,16089,Diesel,47.1,2,audi,28503539
40,Q3,2020,28400,Manual,17222,Diesel,40.9,2,audi,30096834
41,Q3,2022,40900,Semi-Auto,18325,Hybrid,141.3,1.4,audi,30068912
42,A1,2019,20900,Semi-Auto,19359,Petrol,44.8,1.5,audi,30414102
43,A6,2019,26900,Semi-Auto,19367,Diesel,47.9,2,audi,30352141
44,RS Q3,2019,44900,Semi-Auto,19523,Petrol,28.8,2.5,audi,26580243
45,Q3,2021,31400,Manual,19809,Petrol,40.9,1.5,audi,30325384
46,Q2,2020,22500,Manual,20742,Petrol,43.5,1.5,audi,30379516
47,Q3,2020,29900,Semi-Auto,20759,Petrol,39.8,1.5,audi,30367214
48,A3,2019,30300,Semi-Auto,23180,Petrol,34.9,2,audi,30389426
49,Q2,2020,25900,Semi-Auto,24478,Petrol,42.2,1.5,audi,27832040
50,A4,2021,31900,Semi-Auto,24883,Petrol,39.8,2,audi,30355312
51,A3,2020,28700,Semi-Auto,29968,Petrol,34.5,2,audi,30190416
52,A1,2016,15900,Semi-Auto,31193,Diesel,70.6,1.6,audi,30312340
53,RS5,2021,55900,Semi-Auto,31833,Petrol,29.1,2.9,audi,29152610
54,Q5,2018,35800,Semi-Auto,33389,Petrol,34,3,audi,30355313
55,Q3,2021,27400,Manual,34037,Petrol,40.9,1.5,audi,30256054
56,Q5,2020,33300,Semi-Auto,38036,Petrol,32.1,2,audi,30062860
57,Q5,2020,39900,Semi-Auto,49800,Diesel,37.2,2,audi,30361988
58,Q8,2022,62900,Semi-Auto,11028,Diesel,33.6,3,audi,30275362
59,Q7,2021,72900,Semi-Auto,16325,Petrol,22.8,4,audi,30287684
60,A1,2018,15400,Manual,27499,Petrol,56.5,1.4,audi,30426010
61,A7,2019,32600,Semi-Auto,32659,Petrol,40.4,3,audi,30068907
62,Q2,2019,18900,Manual,37446,Petrol,40.9,1.5,audi,30424236
63,A3,2021,21300,Manual,38456,Petrol,48.7,1,audi,29976361
64,Q2,2018,22900,Semi-Auto,40513,Petrol,51.4,1.4,audi,30260188
65,A3,2018,17200,Semi-Auto,60926,Petrol,56.5,1.5,audi,30429347
66,A3,2022,31500,Semi-Auto,1498,Petrol,47.9,1.5,audi,30389423
67,A5,2022,43900,Semi-Auto,7097,Petrol,36.7,2,audi,30364152
68,A7,2019,44700,Semi-Auto,22471,Diesel,35.8,3,audi,30389424
69,A3,2020,33900,Semi-Auto,23736,Petrol,36.2,2,audi,30360786
70,A7,2019,32600,Semi-Auto,32659,Petrol,40.4,3,audi,30068907
71,Q2,2018,22900,Semi-Auto,40513,Petrol,51.4,1.4,audi,30260188
72,A5,2023,53900,Semi-Auto,5000,Petrol,36.7,2,audi,30449611
73,A7,2023,60990,Semi-Auto,5000,Diesel,47.1,2,audi,30449610
74,A3,2022,33900,Semi-Auto,18424,Petrol,36.2,2,audi,30393098
75,Q5,2021,36900,Semi-Auto,30986,Petrol,33.6,2,audi,30449613
76,A4,2020,36400,Semi-Auto,56203,Diesel,39.2,3,audi,30355309
77,A3,2015,13400,Manual,51186,Diesel,67.3,2,audi,30363922
78,A3,2016,13900,Semi-Auto,75590,Petrol,56.5,1.4,audi,30253038
79,A5,2017,24490,Automatic,63640,Petrol,38.2,3.0,audi,30399688
80,A1,2020,17995,Manual,28862,Petrol,48.7,1,audi,30444497
81,A1,2018,13322,Manual,40766,Petrol,47.9,1,audi,30295493
82,A3,2017,16345,Semi-Auto,70545,Petrol,56.5,1.5,audi,30295489
83,A1,2017,19695,Manual,24938,Petrol,39.8,2,audi,30417489
84,A1,2016,15499,Manual,4432,Petrol,58.9,1.4,audi,30132351
85,Q2,2020,25049,Automatic,8574,Petrol,46.3,1.5,audi,30312174
86,A5,2020,25799,Manual,9831,Petrol,37.7,2.0,audi,30272351
87,A1,2017,13349,Manual,10060,Petrol,67.3,1.0,audi,30360600
88,A4,2020,25549,Manual,11598,Petrol,39.2,2.0,audi,30373367
89,A4,2020,27499,Semi-Auto,12280,Petrol,39.2,2.0,audi,30373351
90,Q2,2017,20049,Manual,12396,Petrol,50.4,1.4,audi,30354455
91,A1,2020,21849,Semi-Auto,12457,Petrol,44.8,1.5,audi,30417317
92,A5,2017,18799,Manual,13327,Diesel,65.7,2.0,audi,29916043
93,Q2,2019,18349,Manual,13493,Diesel,49.6,1.6,audi,30188219
94,A1,2020,21049,Semi-Auto,13978,Petrol,44.8,1.5,audi,30079667
95,Q2,2019,18449,Manual,14075,Diesel,49.6,1.6,audi,30251057
96,Q2,2021,22899,Manual,14201,Petrol,47.9,1.5,audi,30308054
97,A4,2020,27449,Semi-Auto,14706,Diesel,50.4,2.0,audi,30161794
98,A4,2020,23149,Semi-Auto,15013,Petrol,42.2,2.0,audi,30360650
99,Q3,2020,29049,Semi-Auto,15307,Diesel,47.1,2.0,audi,30384445
100,A4,2020,25549,Manual,15332,Petrol,39.2,2.0,audi,30389343
101,A5,2019,26449,Semi-Auto,15481,Diesel,47.1,2.0,audi,30201042
102,TT,2018,23049,Manual,16120,Petrol,46.3,2.0,audi,30354478
103,Q2,2019,20299,Manual,16130,Diesel,47.9,1.6,audi,30348726
104,A3,2016,18299,Semi-Auto,16332,Petrol,57.6,1.4,audi,30103614
105,A1,2019,17749,Semi-Auto,16417,Petrol,48.7,1.0,audi,30367103
106,Q2,2020,22599,Semi-Auto,16420,Petrol,43.5,1.5,audi,30312162
107,A5,2017,18549,Semi-Auto,16916,Diesel,70.6,2.0,audi,30155551
108,Q2,2019,25049,Semi-Auto,16997,Diesel,46.3,2.0,audi,30389357
109,Q2,2019,18049,Manual,17188,Diesel,49.6,1.6,audi,30281213
110,Q2,2019,25049,Semi-Auto,16997,Diesel,46.3,2.0,audi,30389357
111,Q2,2019,18049,Manual,17188,Diesel,49.6,1.6,audi,30281213
112,A3,2020,25549,Semi-Auto,17347,Petrol,47.9,1.5,audi,30367131
113,A3,2018,16849,Manual,17404,Petrol,47.1,1.0,audi,29888080
114,A3,2021,23549,Semi-Auto,17428,Petrol,53.3,1.0,audi,30389389
115,A3,2018,20849,Semi-Auto,17658,Petrol,44.1,1.0,audi,30354550
116,A3,2019,21049,Manual,17787,Petrol,42.8,1.5,audi,30360583
117,A4,2020,19799,Manual,17793,Petrol,42.2,2.0,audi,30438207
118,A3,2019,19049,Semi-Auto,17881,Diesel,52.3,1.6,audi,30348752
119,A1,2017,12549,Manual,17889,Petrol,None,1.0,audi,30208671
120,A3,2017,21199,Semi-Auto,19450,Petrol,47.9,2.0,audi,30312224
121,Q3,2020,24599,Manual,19495,Petrol,42.2,1.5,audi,30161889
122,Q3,2016,19699,Manual,19532,Diesel,51.4,2.0,audi,30255943
123,A3,2017,19549,Semi-Auto,19581,Petrol,56.5,1.5,audi,30046091
124,Q2,2019,18299,Manual,19811,Diesel,49.6,1.6,audi,30255934
125,Q2,2021,21199,Manual,20179,Petrol,48.7,1.0,audi,30075060
126,A1,2018,16249,Semi-Auto,20898,Petrol,55.4,1.4,audi,29974700
127,A3,2019,19299,Manual,20994,Petrol,46.3,1.0,audi,30050201
128,Q2,2019,18349,Manual,21634,Diesel,49.6,1.6,audi,30407515
129,A1,2017,17049,Semi-Auto,21639,Petrol,56.5,1.4,audi,30167971
130,A1,2018,16249,Semi-Auto,20898,Petrol,55.4,1.4,audi,29974700
131,A3,2019,19299,Manual,20994,Petrol,46.3,1.0,audi,30050201
132,Q2,2019,18349,Manual,21634,Diesel,49.6,1.6,audi,30407515
133,A1,2017,17049,Semi-Auto,21639,Petrol,56.5,1.4,audi,30167971
134,A3,2019,21349,Semi-Auto,22907,Petrol,44.1,1.0,audi,30424960
135,A4,2019,20299,Manual,22927,Petrol,42.2,2.0,audi,30392959
136,A1,2020,18699,Manual,23099,Petrol,47.9,1.0,audi,30063605
137,A6,2019,25199,Semi-Auto,23233,Diesel,50.4,2.0,audi,30255917
138,A4,2018,17349,Manual,23287,Petrol,52.3,1.4,audi,30103628
139,A3,2019,17599,Manual,23720,Petrol,47.9,1.0,audi,30317352
140,A1,2018,12549,Manual,24456,Petrol,67.3,1.0,audi,30079725
141,A4,2020,24049,Manual,24795,Petrol,39.2,2.0,audi,30429250
142,A1,2017,15749,Manual,25204,Petrol,58.9,1.4,audi,30348858
