,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A1,2016,15499,Manual,4432,Petrol,58.9,1.4,audi,30132351
1,Q2,2020,25049,Automatic,8574,Petrol,46.3,1.5,audi,30312174
2,A5,2020,25799,Manual,9831,Petrol,37.7,2.0,audi,30272351
3,A1,2017,13349,Manual,10060,Petrol,67.3,1.0,audi,30360600
4,A4,2020,25549,Manual,11598,Petrol,39.2,2.0,audi,30373367
5,A4,2020,27499,Semi-Auto,12280,Petrol,39.2,2.0,audi,30373351
6,Q2,2017,20049,Manual,12396,Petrol,50.4,1.4,audi,30354455
7,A1,2020,21849,Semi-Auto,12457,Petrol,44.8,1.5,audi,30417317
8,A5,2017,18799,Manual,13327,Diesel,65.7,2.0,audi,29916043
9,Q2,2019,18349,Manual,13493,Diesel,49.6,1.6,audi,30188219
10,A1,2020,21049,Semi-Auto,13978,Petrol,44.8,1.5,audi,30079667
11,Q2,2019,18449,Manual,14075,Diesel,49.6,1.6,audi,30251057
12,Q2,2021,22899,Manual,14201,Petrol,47.9,1.5,audi,30308054
13,A4,2020,27449,Semi-Auto,14706,Diesel,50.4,2.0,audi,30161794
14,A4,2020,23149,Semi-Auto,15013,Petrol,42.2,2.0,audi,30360650
15,Q3,2020,29049,Semi-Auto,15307,Diesel,47.1,2.0,audi,30384445
16,A4,2020,25549,Manual,15332,Petrol,39.2,2.0,audi,30389343
17,A5,2019,26449,Semi-Auto,15481,Diesel,47.1,2.0,audi,30201042
18,TT,2018,23049,Manual,16120,Petrol,46.3,2.0,audi,30354478
19,Q2,2019,20299,Manual,16130,Diesel,47.9,1.6,audi,30348726
20,A3,2016,18299,Semi-Auto,16332,Petrol,57.6,1.4,audi,30103614
21,A1,2019,17749,Semi-Auto,16417,Petrol,48.7,1.0,audi,30367103
22,Q2,2020,22599,Semi-Auto,16420,Petrol,43.5,1.5,audi,30312162
23,A5,2017,18549,Semi-Auto,16916,Diesel,70.6,2.0,audi,30155551
24,Q2,2019,25049,Semi-Auto,16997,Diesel,46.3,2.0,audi,30389357
25,Q2,2019,18049,Manual,17188,Diesel,49.6,1.6,audi,30281213
26,A3,2020,25549,Semi-Auto,17347,Petrol,47.9,1.5,audi,30367131
27,A3,2018,16849,Manual,17404,Petrol,47.1,1.0,audi,29888080
