,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A4,2009,9990,Automatic,50000,Petrol,22.4,4.2,audi,28368252
1,A5,2012,10990,Automatic,58000,Petrol,44.1,2.0,audi,30180091
2,A3,2004,5990,Automatic,99000,Petrol,28.2,3.2,audi,26509590
3,A5,2010,4990,Manual,124000,Petrol,42.2,2.0,audi,27342704
4,R8,2015,63995,Automatic,32000,Petrol,21.9,5.2,audi,30142964
5,TT,2016,21995,Automatic,51500,Petrol,40.9,2.0,audi,30328699
6,A6,2019,26395,Automatic,27852,Diesel,50.4,2.0,audi,29672165
7,A4,2019,18395,Manual,40163,Petrol,39.2,2.0,audi,30085119
8,Q2,2019,18995,Manual,20315,Petrol,44.8,1.5,audi,29726472
9,A3,2017,12395,Manual,40151,Petrol,62.8,1.0,audi,29788535
10,A1,2017,11995,Manual,44089,Petrol,67.3,1.0,audi,29403179
11,A1,2017,9995,Manual,74522,Petrol,67.3,1.0,audi,29944221
12,A4,2022,33499,Semi-Auto,14767,Petrol,39.8,2,audi,30430446
13,A5,2021,25799,Semi-Auto,17208,Diesel,58.9,2,audi,30304835
14,A1,2020,16499,Manual,18628,Petrol,49.6,1,audi,30349126
15,RS Q3,2021,53995,Automatic,19998,Petrol,28.3,2.5,audi,28148495
16,A8,2021,41995,Automatic,20667,Diesel,39.2,3.0,audi,30040071
17,Q4 e-tron,2021,40995,Automatic,23887,Other,None,0,audi,29576754
18,A3,2017,17495,Manual,38823,Petrol,54.3,1.5,audi,29931792
19,A1,2017,11695,Manual,40244,Petrol,67.3,1.0,audi,29673546
20,A3,2017,12995,Manual,47875,Petrol,61.4,1.4,audi,30324988
21,A4,2017,14295,Manual,48391,Diesel,74.3,2.0,audi,29998453
22,TT,2015,14695,Manual,74470,Petrol,45.6,2.0,audi,30324958
23,SQ7,2017,39995,Automatic,56888,Diesel,39.2,4.0,audi,29699917
24,A3,2017,14995,Manual,57278,Petrol,54.3,1.5,audi,30139420
25,A1,2017,15499,Manual,14222,Petrol,55.4,1.4,audi,30228667
26,A5,2015,8499,Automatic,122000,Diesel,58.9,2.0,audi,29944259
27,A6,2020,26977,Semi-Auto,21000,Diesel,50.4,2,audi,29074682
28,A3,2017,14977,Manual,71000,Petrol,57.6,1.39,audi,30229423
29,A4,2015,13877,Manual,78000,Diesel,56.5,2,audi,29751381
30,A4,2016,12977,Semi-Auto,92000,Diesel,72.4,2,audi,30085347
31,Q3,2015,15477,Manual,54000,Diesel,52.3,2,audi,29027709
32,A1,2015,10677,Manual,70000,Petrol,67.3,1,audi,29825835
33,Q3,2016,13787,Manual,55900,Diesel,61.4,2,audi,30432455
34,A6,2021,36995,Automatic,16700,Diesel,47.1,2.0,audi,29426943
35,A1,2012,5595,Manual,90000,Diesel,74.3,1.6,audi,29040167
36,A3,2016,9995,Manual,111000,Diesel,None,2.0,audi,27971751
37,A3,2014,9590,Manual,61395,Diesel,74.3,1.6,audi,30175864
38,A1,2020,19495,Manual,7155,Petrol,49.6,1,audi,30200400
39,Q2,2019,19995,Manual,13154,Petrol,47.1,1,audi,29911497
40,Q2,2017,17495,Manual,39646,Petrol,52.3,1.4,audi,30442300
41,A4,2013,9995,Manual,108000,Diesel,55.4,2.0,audi,28226025
42,TT,2006,3495,Manual,75900,Petrol,30.1,1.8,audi,30297960
43,A6,2017,21995,Semi-Auto,58000,Diesel,50.4,3,audi,30423165
44,Q5,2016,13495,Semi-Auto,85000,Diesel,47.1,2,audi,30344731
45,A6,2008,4495,Automatic,115000,Diesel,38.2,2.7,audi,29968497
46,A4,2020,32750,Automatic,55000,Diesel,38.2,3.0,audi,30199476
47,Q3,2016,16795,Manual,52000,Diesel,49.6,2.0,audi,30261682
48,A3,2022,30500,Automatic,6959,Petrol,46.3,1.5,audi,30200344
49,A3,2020,16500,Automatic,63474,Other,141.3,1.4,audi,29605939
50,A3,2018,11500,Manual,92770,Diesel,70.6,1.6,audi,30421085
51,A3,2018,11000,Manual,94690,Diesel,49.6,1.6,audi,30336875
52,A1,2016,15499,Manual,4432,Petrol,58.9,1.4,audi,30132351
53,Q2,2020,25049,Automatic,8574,Petrol,46.3,1.5,audi,30312174
54,A5,2020,25799,Manual,9831,Petrol,37.7,2.0,audi,30272351
55,A1,2017,13349,Manual,10060,Petrol,67.3,1.0,audi,30360600
56,A4,2020,25549,Manual,11598,Petrol,39.2,2.0,audi,30373367
57,A4,2020,27499,Semi-Auto,12280,Petrol,39.2,2.0,audi,30373351
58,Q2,2017,20049,Manual,12396,Petrol,50.4,1.4,audi,30354455
59,A1,2020,21849,Semi-Auto,12457,Petrol,44.8,1.5,audi,30417317
60,A5,2017,18799,Manual,13327,Diesel,65.7,2.0,audi,29916043
61,Q2,2019,18349,Manual,13493,Diesel,49.6,1.6,audi,30188219
62,A1,2020,21049,Semi-Auto,13978,Petrol,44.8,1.5,audi,30079667
63,Q2,2019,18449,Manual,14075,Diesel,49.6,1.6,audi,30251057
64,Q2,2021,22899,Manual,14201,Petrol,47.9,1.5,audi,30308054
65,A4,2020,27449,Semi-Auto,14706,Diesel,50.4,2.0,audi,30161794
66,A4,2020,23149,Semi-Auto,15013,Petrol,42.2,2.0,audi,30360650
67,Q3,2020,29049,Semi-Auto,15307,Diesel,47.1,2.0,audi,30384445
68,A4,2020,25549,Manual,15332,Petrol,39.2,2.0,audi,30389343
69,A5,2019,26449,Semi-Auto,15481,Diesel,47.1,2.0,audi,30201042
70,TT,2018,23049,Manual,16120,Petrol,46.3,2.0,audi,30354478
71,Q2,2019,20299,Manual,16130,Diesel,47.9,1.6,audi,30348726
72,A3,2016,18299,Semi-Auto,16332,Petrol,57.6,1.4,audi,30103614
73,A1,2019,17749,Semi-Auto,16417,Petrol,48.7,1.0,audi,30367103
74,Q2,2020,22599,Semi-Auto,16420,Petrol,43.5,1.5,audi,30312162
75,A5,2017,18549,Semi-Auto,16916,Diesel,70.6,2.0,audi,30155551
76,Q2,2019,25049,Semi-Auto,16997,Diesel,46.3,2.0,audi,30389357
77,Q2,2019,18049,Manual,17188,Diesel,49.6,1.6,audi,30281213
78,A3,2020,25549,Semi-Auto,17347,Petrol,47.9,1.5,audi,30367131
79,A3,2018,16849,Manual,17404,Petrol,47.1,1.0,audi,29888080
80,A3,2021,23549,Semi-Auto,17428,Petrol,53.3,1.0,audi,30389389
81,A3,2018,20849,Semi-Auto,17658,Petrol,44.1,1.0,audi,30354550
82,A3,2019,21049,Manual,17787,Petrol,42.8,1.5,audi,30360583
83,A3,2019,19049,Semi-Auto,17881,Diesel,52.3,1.6,audi,30348752
84,A1,2017,12549,Manual,17889,Petrol,None,1.0,audi,30208671
85,A1,2019,16049,Manual,18264,Petrol,51.4,1.0,audi,29916035
86,Q3,2019,29799,Semi-Auto,18488,Petrol,31.4,2.0,audi,30225428
87,A1,2020,17949,Manual,19225,Petrol,49.6,1.0,audi,30325287
