,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Q7,2015,30495,Automatic,30086,Diesel,47.9,3.0,audi,30094962
1,A3,2020,30000,Semi-Auto,20004,Petrol,34.5,2.0,audi,30234449
2,Q2,2020,22499,Manual,21082,Petrol,43.5,1.0,audi,30046605
3,TT,2015,20549,Semi-Auto,64562,Petrol,40.9,2.0,audi,30344472
4,Q3,2015,14000,Manual,66162,Diesel,60.1,2.0,audi,30355947
5,A6,2013,9995,Manual,61859,Diesel,57.6,2.0,audi,30190084
6,TT,2013,11795,Automatic,67906,Diesel,51.4,2.0,audi,30145446
7,A5,2014,12895,Automatic,71928,Diesel,58.9,2.0,audi,30145448
8,A1,2014,9250,Manual,79846,Diesel,68.9,2.0,audi,29374684
9,A5,2013,11495,Automatic,85559,Diesel,53.3,2.0,audi,29585012
10,A1,2021,17990,Manual,16757,Petrol,49.6,1,audi,30163151
11,A3,2019,15990,Manual,19336,Petrol,48.7,1,audi,29846383
12,A7,2017,22990,Semi-Auto,51401,Diesel,52.3,3,audi,29967817
13,A4,2019,19999,Semi-Auto,66118,Petrol,38.2,2,audi,30197106
14,A1,2016,15499,Manual,4432,Petrol,58.9,1.4,audi,30132351
15,Q2,2020,25049,Automatic,8574,Petrol,46.3,1.5,audi,30312174
16,A5,2020,25799,Manual,9831,Petrol,37.7,2.0,audi,30272351
17,A1,2017,13349,Manual,10060,Petrol,67.3,1.0,audi,30360600
18,A4,2020,25549,Manual,11598,Petrol,39.2,2.0,audi,30373367
19,A4,2020,27499,Semi-Auto,12280,Petrol,39.2,2.0,audi,30373351
20,Q2,2017,20049,Manual,12396,Petrol,50.4,1.4,audi,30354455
21,A1,2020,21849,Semi-Auto,12457,Petrol,44.8,1.5,audi,30417317
22,A5,2017,18799,Manual,13327,Diesel,65.7,2.0,audi,29916043
23,Q2,2019,18349,Manual,13493,Diesel,49.6,1.6,audi,30188219
