,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,e-tron,2020,29698,Blue,Electric,Automatic,11720,,audi,30384824
1,e-tron,2021,37000,Black,Electric,Automatic,12800,,audi,30375707
2,e-tron,2020,34950,White,Electric,Automatic,17250,,audi,29923716
3,e-tron,2021,43990,Silver,Electric,Automatic,12006,,audi,30389403
4,e-tron,2020,34498,Grey,Electric,Automatic,28758,,audi,30410212
5,Q4 e-tron,7,46923,SUV,Automatic,Grey,7,e,audi,30278335
6,e-tron,7,101969,Saloon,Automatic,Black,7,e,audi,30283947
7,Q4 e-tron,20,43820,SUV,Automatic,Grey,20,e,audi,30265454
8,Q4 e-tron,20,44971,SUV,Automatic,Grey,20,e,audi,30293184
9,Q4 e-tron,20,49074,SUV,Automatic,Grey,20,e,audi,30163195
10,Other,20,89912,SUV,Automatic,Grey,20,e,audi,30315772
11,RS e-tron GT,20,121333,Saloon,Automatic,Black,20,e,audi,29898525
12,RS e-tron GT,20,121333,Saloon,Automatic,Grey,20,e,audi,30010481
13,Q4 e-tron,21,46997,SUV,Automatic,Grey,21,e,audi,29959980
14,Other,21,78931,SUV,Automatic,Blue,21,e,audi,30301390
15,RS e-tron GT,2023,119999,Grey,Electric,Automatic,3000,,audi,30369694
16,e-tron,2023,45999,Blue,Electric,Automatic,3488,,audi,29913756
17,e-tron,2021,37977,Blue,Electric,Automatic,23223,,audi,30402132
18,e-tron,2020,31998,Black,Electric,Automatic,25116,,audi,30426126
19,Q4 e-tron,14,48335,SUV,Automatic,Blue,14,e,audi,30104786
20,Q4 e-tron,14,48335,SUV,Automatic,Grey,14,e,audi,30109969
21,e-tron,14,71485,SUV,Automatic,Black,14,e,audi,29669884
22,e-tron,14,71749,SUV,Automatic,Black,14,e,audi,29669883
23,e-tron,14,78990,SUV,Automatic,Black,14,e,audi,29669882
24,RS e-tron GT,14,114990,Saloon,Automatic,Black,14,e,audi,29669918
25,RS e-tron GT,14,124990,Saloon,Automatic,Blue,14,e,audi,29730215
26,Q4 e-tron,17,52970,SUV,Automatic,Blue,17,e,audi,30419885
27,RS e-tron GT,17,104990,Saloon,Automatic,Grey,17,e,audi,29669915
28,RS e-tron GT,17,125977,Saloon,Automatic,Grey,17,e,audi,30427989
29,Q8,2023,73880,Black,Electric,Automatic,1965,,audi,30224748
30,RS e-tron GT,2022,91400,Black,Electric,Automatic,3989,,audi,30101636
31,Q8,2023,65580,Blue,Electric,Automatic,4521,,audi,29730214
32,Q4 e-tron,2023,44650,Grey,Electric,Automatic,4854,,audi,30271038
33,Q4 e-tron,2023,37680,Blue,Electric,Automatic,6758,,audi,29669827
34,Q4 e-tron,17,52520,SUV,Automatic,Black,17,e,audi,30418290
35,Q4 e-tron,33,45780,SUV,Automatic,Blue,33,e,audi,30410678
36,Q4 e-tron,33,46280,SUV,Automatic,Grey,33,e,audi,30408737
37,Q4 e-tron,33,49280,SUV,Automatic,Silver,33,e,audi,30410680
38,Q4 e-tron,33,51280,SUV,Automatic,Grey,33,e,audi,30410679
39,Q4 e-tron,33,56480,SUV,Automatic,Grey,33,e,audi,30408738
40,Other,33,81980,SUV,Automatic,Grey,33,e,audi,30362526
41,e-tron,50,79980,Saloon,Automatic,Grey,50,e,audi,29670142
42,e-tron,50,81480,SUV,Automatic,Black,50,e,audi,29670144
43,e-tron,2023,89980,Grey,Electric,Automatic,50,,audi,29953589
44,e-tron,50,90980,Saloon,Automatic,Blue,50,e,audi,29937203
45,e-tron,50,94980,SUV,Automatic,Black,50,e,audi,29670143
46,e-tron,50,96980,SUV,Automatic,Grey,50,e,audi,29670145
