,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,2 Series,2019,14690,Manual,42452,Petrol,40.9,1.5,bmw,30261338
1,X1,2010,5900,Automatic,109517,Diesel,45.6,2.0,bmw,30411181
2,X1,2014,7995,Manual,86907,Diesel,51.4,2.0,bmw,30145053
3,2 Series,2019,20299,Semi-Auto,8177,Diesel,None,2.0,bmw,30267208
4,3 Series,2018,21899,Semi-Auto,9952,Diesel,64.2,2.0,bmw,30251067
5,1 Series,2020,23299,Manual,10964,Petrol,41.5,1.5,bmw,30161978
6,1 Series,2021,21049,Manual,10996,Diesel,58.9,1.5,bmw,30155455
7,X1,2022,31549,Semi-Auto,11684,Hybrid,148.7,1.5,bmw,30298495
8,2 Series,2018,19549,Semi-Auto,12609,Diesel,51.4,2.0,bmw,30392913
9,1 Series,2021,25549,Semi-Auto,12963,Petrol,None,1.5,bmw,30208474
10,1 Series,2019,16749,Semi-Auto,14739,Diesel,None,1.5,bmw,30208411
11,2 Series,2019,15699,Manual,15684,Petrol,42.8,1.5,bmw,30079798
12,X2,2019,21549,Manual,15691,Diesel,55.4,2.0,bmw,30417398
13,X2,2018,23699,Semi-Auto,15868,Petrol,39.2,2.0,bmw,30317285
14,5 Series,2020,27049,Semi-Auto,16837,Diesel,49.6,2.0,bmw,30046169
15,3 Series,2019,25849,Semi-Auto,16872,Petrol,42.2,2.0,bmw,30384460
16,X2,2019,21799,Semi-Auto,17602,Petrol,37.2,2.0,bmw,30063579
17,2 Series,2020,29549,Semi-Auto,17800,Petrol,36.2,2.0,bmw,30421728
18,1 Series,2019,19349,Semi-Auto,18877,Petrol,36.7,1.5,bmw,30103560
19,2 Series,2018,17199,Manual,18938,Petrol,52.3,1.5,bmw,30178594
20,1 Series,2018,14349,Manual,18999,Diesel,53.3,1.5,bmw,30354489
21,1 Series,2021,26049,Semi-Auto,19299,Petrol,44.1,1.5,bmw,30354616
22,2 Series,2020,23749,Semi-Auto,19529,Petrol,47.9,2.0,bmw,30429282
23,X2,2019,18599,Manual,19706,Diesel,55.4,2.0,bmw,30113650
24,3 Series,2021,29049,Semi-Auto,21132,Diesel,56.5,2.0,bmw,30320432
25,2 Series,2020,24949,Semi-Auto,21145,Petrol,42.2,1.5,bmw,30447888
26,1 Series,2019,23049,Semi-Auto,22153,Petrol,40.4,1.5,bmw,30260974
27,X1,2019,22749,Semi-Auto,22193,Petrol,39.2,2.0,bmw,30075201
28,i3,2020,18049,White,Electric,Automatic,22258,,bmw,30354549
29,5 Series,2019,27199,Semi-Auto,22565,Petrol,47.9,2.0,bmw,30373300
30,1 Series,2020,20799,Semi-Auto,22642,Diesel,53.3,2.0,bmw,30046053
31,1 Series,2017,15699,Manual,22811,Petrol,52.3,1.5,bmw,30447991
32,1 Series,2020,21799,Manual,22862,Petrol,41.5,1.5,bmw,30260985
33,X1,2018,22449,Semi-Auto,23119,Petrol,37.7,2.0,bmw,30284856
34,2 Series,2018,20849,Semi-Auto,23386,Petrol,46.3,2.0,bmw,30447808
35,3 Series,2020,24549,Semi-Auto,23564,Diesel,53.3,2.0,bmw,29695046
36,3 Series,2019,27049,Semi-Auto,23650,Diesel,52.3,2.0,bmw,30424971
37,2 Series,2018,15999,Semi-Auto,23693,Diesel,60.1,2.0,bmw,30079722
38,1 Series,2019,20999,Manual,23824,Petrol,None,1.5,bmw,30208511
39,1 Series,2020,19049,Manual,24232,Diesel,57.7,1.5,bmw,30042456
40,1 Series,2019,17849,Manual,24559,Petrol,44.8,1.5,bmw,30046145
41,X1,2019,23049,Semi-Auto,24789,Petrol,39.2,2.0,bmw,30196688
42,X2,2019,20549,Semi-Auto,25395,Petrol,43.5,1.5,bmw,30417205
43,2 Series,2017,14049,Manual,26018,Diesel,68.9,2.0,bmw,30447767
44,2 Series,2019,18299,Manual,26100,Petrol,52.3,1.5,bmw,30308113
45,2 Series,2019,18299,Manual,26207,Petrol,52.3,1.5,bmw,30233501
46,3 Series,2019,27849,Semi-Auto,26292,Diesel,48.7,2.0,bmw,30438249
47,2 Series,2020,19599,Manual,26543,Petrol,45.6,1.5,bmw,30042395
48,1 Series,2020,21549,Manual,26544,Petrol,41.5,1.5,bmw,30103745
49,2 Series,2017,14549,Manual,26886,Diesel,65.7,2.0,bmw,30112195
50,X3,2019,31549,Semi-Auto,34450,Diesel,54.3,2.0,bmw,30272428
51,X1,2019,21499,Semi-Auto,34499,Petrol,39.2,2.0,bmw,30042385
52,X1,2018,21599,Semi-Auto,34616,Petrol,37.7,2.0,bmw,30348681
53,X1,2018,22199,Semi-Auto,35015,Petrol,35.3,2.0,bmw,30317297
54,X1,2019,23049,Semi-Auto,35494,Petrol,39.2,2.0,bmw,30392891
55,2 Series,2018,17199,Manual,35648,Diesel,54.3,1.5,bmw,30429267
56,1 Series,2018,14599,Manual,36308,Diesel,None,2.0,bmw,30208600
57,5 Series,2019,27049,Semi-Auto,36407,Diesel,None,3.0,bmw,30208638
58,X2,2018,17049,Manual,36412,Diesel,55.4,2.0,bmw,30284897
59,3 Series,2018,19049,Semi-Auto,36825,Petrol,48.7,2.0,bmw,30438203
60,X2,2019,18349,Manual,31772,Petrol,42.8,1.5,bmw,30348767
61,3 Series,2019,25499,Semi-Auto,31795,Hybrid,None,2.0,bmw,30190721
62,1 Series,2020,21549,Semi-Auto,32252,Diesel,57.7,1.5,bmw,30103482
63,1 Series,2016,15549,Manual,32649,Petrol,46.3,2.0,bmw,30417358
64,X2,2018,17299,Manual,33057,Diesel,55.4,2.0,bmw,30178428
65,1 Series,2020,23549,Semi-Auto,33064,Diesel,50.4,2.0,bmw,30447162
66,X3,2019,29549,Semi-Auto,33453,Petrol,30.4,2.0,bmw,30113693
67,5 Series,2019,23299,Semi-Auto,33986,Diesel,49.6,2.0,bmw,29915959
68,X4,2019,33049,Semi-Auto,34097,Diesel,42.8,2.0,bmw,30417108
69,X2,2018,21049,Semi-Auto,34242,Diesel,58.9,2.0,bmw,30042635
70,X3,2019,31549,Semi-Auto,34450,Diesel,54.3,2.0,bmw,30272428
71,X1,2019,21499,Semi-Auto,34499,Petrol,39.2,2.0,bmw,30042385
72,X1,2018,21599,Semi-Auto,34616,Petrol,37.7,2.0,bmw,30348681
73,X1,2018,22199,Semi-Auto,35015,Petrol,35.3,2.0,bmw,30317297
74,1 Series,2019,16849,Semi-Auto,35169,Petrol,54.3,1.5,bmw,30079688
75,X1,2019,23049,Semi-Auto,35494,Petrol,39.2,2.0,bmw,30392891
76,2 Series,2018,17199,Manual,35648,Diesel,54.3,1.5,bmw,30429267
77,2 Series,2018,16349,Manual,35661,Petrol,52.3,1.5,bmw,30448055
78,1 Series,2018,14599,Manual,36308,Diesel,None,2.0,bmw,30208600
79,5 Series,2019,27049,Semi-Auto,36407,Diesel,None,3.0,bmw,30208638
80,X2,2018,17049,Manual,36412,Diesel,55.4,2.0,bmw,30284897
81,X2,2019,20799,Semi-Auto,36822,Diesel,61.4,2.0,bmw,30090256
82,3 Series,2018,19049,Semi-Auto,36825,Petrol,48.7,2.0,bmw,30438203
83,1 Series,2017,22149,Semi-Auto,36886,Petrol,39.8,3.0,bmw,30448021
84,1 Series,2021,26049,Semi-Auto,37323,Diesel,48.7,2.0,bmw,30451809
85,2 Series,2019,19049,Semi-Auto,37960,Diesel,67.3,2.0,bmw,30348741
86,2 Series,2019,19849,Automatic,38377,Hybrid,113,1.5,bmw,30401215
87,3 Series,2017,17799,Semi-Auto,38776,Diesel,64.2,2.0,bmw,30354595
88,1 Series,2020,19799,Manual,38932,Diesel,54.3,1.5,bmw,30132492
89,1 Series,2020,22699,Semi-Auto,39115,Petrol,40.4,1.5,bmw,30367170
90,3 Series,2018,25049,Semi-Auto,39411,Diesel,51.4,3.0,bmw,30417308
91,3 Series,2020,22049,Semi-Auto,39491,Diesel,54.3,2.0,bmw,30429165
92,2 Series,2018,18849,Semi-Auto,39554,Petrol,38.2,2.0,bmw,30438197
93,1 Series,2019,21049,Semi-Auto,39573,Petrol,39.8,3.0,bmw,30042214
94,2 Series,2016,11949,Manual,40390,Petrol,52.3,1.5,bmw,30447983
95,1 Series,2018,13949,Manual,40410,Diesel,52.3,2.0,bmw,30429245
96,2 Series,2019,17199,Semi-Auto,40497,Diesel,67.3,2.0,bmw,30075200
97,1 Series,2020,20349,Manual,41070,Petrol,41.5,1.5,bmw,30447932
98,X2,2019,17599,Manual,41242,Petrol,42.8,1.5,bmw,30337921
99,1 Series,2019,14549,Manual,41261,Diesel,72.4,1.5,bmw,30424954
100,5 Series,2018,20549,Semi-Auto,41323,Diesel,68.9,2.0,bmw,29950320
101,5 Series,2020,25549,Semi-Auto,41398,Diesel,46.3,2.0,bmw,30354622
102,3 Series,2017,17249,Semi-Auto,41508,Diesel,64.2,2.0,bmw,30178578
103,2 Series,2018,16999,Semi-Auto,41637,Petrol,48.7,2.0,bmw,30188226
104,X1,2019,19549,Manual,41731,Diesel,52.3,2.0,bmw,30451738
105,3 Series,2018,14549,Manual,42156,Petrol,52.3,1.5,bmw,30354544
106,X3,2016,20299,Semi-Auto,42327,Diesel,54.3,2.0,bmw,30348789
107,4 Series,2019,18699,Manual,42447,Diesel,62.8,2.0,bmw,30132419
108,3 Series,2019,20499,Semi-Auto,42484,Diesel,64.2,2.0,bmw,30219164
109,X1,2017,20299,Semi-Auto,42747,Petrol,44.8,2.0,bmw,30308325
