,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,5 Series,2020,27049,Semi-Auto,16837,Diesel,49.6,2.0,bmw,30046169
1,2 Series,2020,29549,Semi-Auto,17800,Petrol,36.2,2.0,bmw,30421728
2,2 Series,2018,17199,Manual,18938,Petrol,52.3,1.5,bmw,30178594
3,1 Series,2018,14349,Manual,18999,Diesel,53.3,1.5,bmw,30354489
4,1 Series,2021,26049,Semi-Auto,19299,Petrol,44.1,1.5,bmw,30354616
5,2 Series,2020,23749,Semi-Auto,19529,Petrol,47.9,2.0,bmw,30429282
6,1 Series,2019,23049,Semi-Auto,22153,Petrol,40.4,1.5,bmw,30260974
7,i3,2020,18049,White,Electric,Automatic,22258,,bmw,30354549
8,5 Series,2019,27199,Semi-Auto,22565,Petrol,47.9,2.0,bmw,30373300
9,1 Series,2020,20799,Semi-Auto,22642,Diesel,53.3,2.0,bmw,30046053
10,2 Series,2020,23749,Semi-Auto,19529,Petrol,47.9,2.0,bmw,30429282
11,X2,2019,18599,Manual,19706,Diesel,55.4,2.0,bmw,30113650
12,3 Series,2021,29049,Semi-Auto,21132,Diesel,56.5,2.0,bmw,30320432
13,2 Series,2020,24949,Semi-Auto,21145,Petrol,42.2,1.5,bmw,30447888
14,1 Series,2019,23049,Semi-Auto,22153,Petrol,40.4,1.5,bmw,30260974
15,X1,2019,22749,Semi-Auto,22193,Petrol,39.2,2.0,bmw,30075201
16,i3,2020,18049,White,Electric,Automatic,22258,,bmw,30354549
17,5 Series,2019,27199,Semi-Auto,22565,Petrol,47.9,2.0,bmw,30373300
18,1 Series,2020,20799,Semi-Auto,22642,Diesel,53.3,2.0,bmw,30046053
19,1 Series,2017,15699,Manual,22811,Petrol,52.3,1.5,bmw,30447991
20,1 Series,2020,21799,Manual,22862,Petrol,41.5,1.5,bmw,30260985
21,X1,2018,22449,Semi-Auto,23119,Petrol,37.7,2.0,bmw,30284856
22,2 Series,2018,20849,Semi-Auto,23386,Petrol,46.3,2.0,bmw,30447808
23,3 Series,2020,24549,Semi-Auto,23564,Diesel,53.3,2.0,bmw,29695046
24,3 Series,2019,27049,Semi-Auto,23650,Diesel,52.3,2.0,bmw,30424971
25,2 Series,2018,15999,Semi-Auto,23693,Diesel,60.1,2.0,bmw,30079722
26,1 Series,2019,20999,Manual,23824,Petrol,None,1.5,bmw,30208511
27,1 Series,2020,19049,Manual,24232,Diesel,57.7,1.5,bmw,30042456
28,1 Series,2019,17849,Manual,24559,Petrol,44.8,1.5,bmw,30046145
29,X1,2019,23049,Semi-Auto,24789,Petrol,39.2,2.0,bmw,30196688
30,4 Series,2016,16899,Semi-Auto,31116,Diesel,60.1,2.0,bmw,30281249
31,X2,2019,18349,Manual,31772,Petrol,42.8,1.5,bmw,30348767
32,1 Series,2020,21549,Semi-Auto,32252,Diesel,57.7,1.5,bmw,30103482
33,1 Series,2016,15549,Manual,32649,Petrol,46.3,2.0,bmw,30417358
34,X2,2018,17299,Manual,33057,Diesel,55.4,2.0,bmw,30178428
35,5 Series,2019,23299,Semi-Auto,33986,Diesel,49.6,2.0,bmw,29915959
36,X4,2019,33049,Semi-Auto,34097,Diesel,42.8,2.0,bmw,30417108
37,X2,2018,21049,Semi-Auto,34242,Diesel,58.9,2.0,bmw,30042635
38,X3,2019,31549,Semi-Auto,34450,Diesel,54.3,2.0,bmw,30272428
39,X1,2019,21499,Semi-Auto,34499,Petrol,39.2,2.0,bmw,30042385
40,2 Series,2019,21049,Semi-Auto,27570,Petrol,38.7,1.5,bmw,30448077
41,5 Series,2019,25549,Semi-Auto,27867,Diesel,56.5,3.0,bmw,30438212
42,6 Series,2019,27549,Semi-Auto,29695,Diesel,44.1,2.0,bmw,30417357
43,X1,2019,23299,Semi-Auto,30266,Petrol,39.2,2.0,bmw,30251040
44,1 Series,2019,16549,Semi-Auto,30754,Diesel,78.5,1.5,bmw,30401230
45,X4,2017,24049,Semi-Auto,30945,Diesel,54.3,2.0,bmw,30312236
46,4 Series,2016,16899,Semi-Auto,31116,Diesel,60.1,2.0,bmw,30281249
47,3 Series,2017,15449,Manual,31660,Petrol,48.7,2.0,bmw,30447967
48,X2,2019,18349,Manual,31772,Petrol,42.8,1.5,bmw,30348767
49,3 Series,2019,25499,Semi-Auto,31795,Hybrid,None,2.0,bmw,30190721
50,3 Series,2017,17799,Semi-Auto,38776,Diesel,64.2,2.0,bmw,30354595
51,1 Series,2020,22699,Semi-Auto,39115,Petrol,40.4,1.5,bmw,30367170
52,3 Series,2018,25049,Semi-Auto,39411,Diesel,51.4,3.0,bmw,30417308
53,3 Series,2020,22049,Semi-Auto,39491,Diesel,54.3,2.0,bmw,30429165
